family,domain,family_counts,taxid,lineage,lineage_ranks,lineage_taxids
Rikenellaceae,Bacteria,9612,171550,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae,cellular root;domain;kingdom;clade;clade;phylum;class;order;family,131567;2;3379134;1783270;68336;976;200643;171549;171550
Pasteurellaceae,Bacteria,9033,712,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1236;135625;712
Legionellaceae,Bacteria,8495,444,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Legionellales;Legionellaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1236;118969;444
Morganellaceae,Bacteria,8457,1903414,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Morganellaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1236;91347;1903414
Bifidobacteriaceae,Bacteria,8126,31953,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;1760;85004;31953
Helicobacteraceae,Bacteria,8092,72293,cellular organisms;Bacteria;Pseudomonadati;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;29547;3031852;213849;72293
Comamonadaceae,Bacteria,4629,80864,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28216;80840;80864
Paracoccaceae,Bacteria,4436,31989,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;204455;31989
Microbacteriaceae,Bacteria,4395,85023,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;1760;85006;85023
Rhizobiaceae,Bacteria,4389,82115,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;356;82115
Candidatus Pelagibacteraceae,Bacteria,4209,1655514,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Candidatus Pelagibacterales;Candidatus Pelagibacteraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;54526;1655514
Christensenellaceae,Bacteria,4053,990719,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Christensenellales;Christensenellaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;1239;186801;3082768;990719
Erysipelotrichaceae,Bacteria,4024,128827,cellular organisms;Bacteria;Bacillati;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;1239;526524;526525;128827
Alcaligenaceae,Bacteria,4024,506,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28216;80840;506
Corynebacteriaceae,Bacteria,3859,1653,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;1760;85007;1653
Sphingomonadaceae,Bacteria,3859,41297,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;204457;41297
Aeromonadaceae,Bacteria,3845,84642,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Aeromonadaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1236;135624;84642
Coriobacteriaceae,Bacteria,3827,84107,cellular organisms;Bacteria;Bacillati;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;84998;84999;84107
Porphyromonadaceae,Bacteria,3747,171551,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae,cellular root;domain;kingdom;clade;clade;phylum;class;order;family,131567;2;3379134;1783270;68336;976;200643;171549;171551
Eubacteriaceae,Bacteria,3644,186806,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;1239;186801;186802;186806
Chitinophagaceae,Bacteria,3560,563835,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae,cellular root;domain;kingdom;clade;clade;phylum;class;order;family,131567;2;3379134;1783270;68336;976;1853228;1853229;563835
Akkermansiaceae,Bacteria,3461,1647988,cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae,cellular root;domain;kingdom;clade;phylum;class;order;family,131567;2;3379134;1783257;74201;203494;48461;1647988
Roseobacteraceae,Bacteria,3457,2854170,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;204455;2854170
Tannerellaceae,Bacteria,3142,2005525,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae,cellular root;domain;kingdom;clade;clade;phylum;class;order;family,131567;2;3379134;1783270;68336;976;200643;171549;2005525
Propionibacteriaceae,Bacteria,3080,31957,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;1760;85009;31957
