family,domain,family_counts,taxid,lineage,lineage_ranks,lineage_taxids
Gemmataceae,Bacteria,290,1914233,cellular organisms;Bacteria;Pseudomonadati;PVC group;Planctomycetota;Planctomycetia;Gemmatales;Gemmataceae,cellular root;domain;kingdom;clade;phylum;class;order;family,131567;2;3379134;1783257;203682;203683;2691355;1914233
Thermoleophilaceae,Bacteria,283,320796,cellular organisms;Bacteria;Bacillati;Actinomycetota;Thermoleophilia;Thermoleophilales;Thermoleophilaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;1497346;588674;320796
Chthoniobacteraceae,Bacteria,281,1836792,cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Spartobacteria;Chthoniobacterales;Chthoniobacteraceae,cellular root;domain;kingdom;clade;phylum;class;order;family,131567;2;3379134;1783257;74201;134549;1836787;1836792
Acidithiobacillaceae,Bacteria,281,225058,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Acidithiobacillia;Acidithiobacillales;Acidithiobacillaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1807140;225057;225058
Nitrospinaceae,Bacteria,279,407032,cellular organisms;Bacteria;Pseudomonadati;Nitrospinota/Tectimicrobiota group;Nitrospinota;Nitrospinia;Nitrospinales;Nitrospinaceae,cellular root;domain;kingdom;clade;phylum;class;order;family,131567;2;3379134;1802340;1293497;1293498;1293499;407032
Beijerinckiaceae,Bacteria,276,45404,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;356;45404
Roseomonadaceae,Bacteria,275,3385906,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Roseomonadaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;3120395;3385906
Cellvibrionaceae,Bacteria,268,1706371,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1236;1706369;1706371
Idiomarinaceae,Bacteria,263,267893,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Idiomarinaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1236;135622;267893
Thiobacillaceae,Bacteria,262,2008790,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Thiobacillaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28216;32003;2008790
Deinococcaceae,Bacteria,260,183710,cellular organisms;Bacteria;Thermotogati;Deinococcota;Deinococci;Deinococcales;Deinococcaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3384194;1297;188787;118964;183710
Methanomicrobiaceae,Archaea,258,2194,cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae,cellular root;domain;kingdom;phylum;clade;class;order;family,131567;2157;3366610;28890;2290931;224756;2191;2194
Azonexaceae,Bacteria,246,2008795,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Azonexaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28216;206389;2008795
Methanomassiliicoccaceae,Archaea,246,1577788,cellular organisms;Archaea;Methanobacteriati;Thermoplasmatota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2157;3366610;2283796;183967;1235850;1577788
Smithellaceae,Bacteria,246,2964538,cellular organisms;Bacteria;Pseudomonadati;Thermodesulfobacteriota;Syntrophia;Syntrophales;Smithellaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;200940;3031648;2914038;2964538
Thermomonosporaceae,Bacteria,244,2012,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Streptosporangiales;Thermomonosporaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;1760;85012;2012
Pseudanabaenaceae,Bacteria,241,1890436,cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;Cyanophyceae;Pseudanabaenales;Pseudanabaenaceae,cellular root;domain;kingdom;clade;phylum;class;order;family,131567;2;1783272;1798711;1117;3028117;2881377;1890436
Ferrovaceae,Bacteria,240,1442156,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Ferrovales;Ferrovaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28216;1442155;1442156
Nocardiopsidaceae,Bacteria,240,83676,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Streptosporangiales;Nocardiopsidaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;1760;85012;83676
Sterolibacteriaceae,Bacteria,239,2008793,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Sterolibacteriaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28216;32003;2008793
Candidatus Thalassarchaeaceae,Archaea,239,2599196,cellular organisms;Archaea;Methanobacteriati;Thermoplasmatota;Candidatus Poseidoniia;Candidatus Poseidoniales;Candidatus Thalassarchaeaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2157;3366610;2283796;2599185;133814;2599196
Archaeoglobaceae,Archaea,232,2232,cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2157;3366610;28890;183980;2231;2232
Methanocorpusculaceae,Archaea,232,88404,cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Methanomicrobia;Methanomicrobiales;Methanocorpusculaceae,cellular root;domain;kingdom;phylum;clade;class;order;family,131567;2157;3366610;28890;2290931;224756;2191;88404
Promicromonosporaceae,Bacteria,230,85017,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Promicromonosporaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;1760;85006;85017
Parvibaculaceae,Bacteria,228,2813035,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Parvibaculaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;356;2813035
Rhodobiaceae,Bacteria,228,119043,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhodobiaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;356;119043
Candidatus Competibacteraceae,Bacteria,226,1400857,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Gammaproteobacteria incertae sedis;Candidatus Competibacteraceae,cellular root;domain;kingdom;phylum;class;no rank;family,131567;2;3379134;1224;1236;118884;1400857
Thermococcaceae,Archaea,221,2259,cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Thermococci;Thermococcales;Thermococcaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2157;3366610;28890;183968;2258;2259
Acidocellaceae,Bacteria,215,3385905,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acidocellaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;3120395;3385905
Geodermatophilaceae,Bacteria,213,85030,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Geodermatophilales;Geodermatophilaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;1760;1643682;85030
Isosphaeraceae,Bacteria,213,1763524,cellular organisms;Bacteria;Pseudomonadati;PVC group;Planctomycetota;Planctomycetia;Isosphaerales;Isosphaeraceae,cellular root;domain;kingdom;clade;phylum;class;order;family,131567;2;3379134;1783257;203682;203683;2691356;1763524
Solibacteraceae,Bacteria,213,332161,cellular organisms;Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Bryobacterales;Solibacteraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;57723;204432;332160;332161
Thermoproteaceae,Archaea,212,2267,cellular organisms;Archaea;Thermoproteati;Thermoproteota;Thermoprotei;Thermoproteales;Thermoproteaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2157;1783275;28889;183924;2266;2267
Candidatus Kapaibacteriaceae,Bacteria,212,3399771,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Candidatus Kapaibacteriota;Candidatus Kapaibacteriia;Candidatus Kapaibacteriales;Candidatus Kapaibacteriaceae,cellular root;domain;kingdom;clade;clade;phylum;class;order;family,131567;2;3379134;1783270;68336;3349921;3349962;3399770;3399771
Chromobacteriaceae,Bacteria,212,1499392,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Neisseriales;Chromobacteriaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28216;206351;1499392
Leptolyngbyaceae,Bacteria,212,1890438,cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;Cyanophyceae;Leptolyngbyales;Leptolyngbyaceae,cellular root;domain;kingdom;clade;phylum;class;order;family,131567;2;1783272;1798711;1117;3028117;3079749;1890438
Micropepsaceae,Bacteria,208,1921568,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Micropepsales;Micropepsaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;1921567;1921568
Dermabacteraceae,Bacteria,206,85020,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Dermabacteraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;1760;85006;85020
Spirosomataceae,Bacteria,203,2896860,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Cytophagia;Cytophagales;Spirosomataceae,cellular root;domain;kingdom;clade;clade;phylum;class;order;family,131567;2;3379134;1783270;68336;976;768503;768507;2896860
Filifactoraceae,Bacteria,202,3118655,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Peptostreptococcales;Filifactoraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;1239;186801;3082720;3118655
Acidilobaceae,Archaea,201,871007,cellular organisms;Archaea;Thermoproteati;Thermoproteota;Thermoprotei;Acidilobales;Acidilobaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2157;1783275;28889;183924;871006;871007
Natrialbaceae,Archaea,199,1644061,cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Natrialbaceae,cellular root;domain;kingdom;phylum;clade;class;order;family,131567;2157;3366610;28890;2290931;183963;2235;1644061
Candidatus Cloacimonadaceae,Bacteria,197,3039865,cellular organisms;Bacteria;Pseudomonadati;FCB group;Candidatus Cloacimonadota;Candidatus Cloacimonadia;Candidatus Cloacimonadales;Candidatus Cloacimonadaceae,cellular root;domain;kingdom;clade;phylum;class;order;family,131567;2;3379134;1783270;456828;3039863;3039864;3039865
Dermatophilaceae,Bacteria,196,85018,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Dermatophilaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;1760;85006;85018
Nevskiaceae,Bacteria,195,568386,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Nevskiales;Nevskiaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1236;1775403;568386
Thalassospiraceae,Bacteria,191,2844866,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Thalassospiraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;204441;2844866
Rubrobacteraceae,Bacteria,191,84997,cellular organisms;Bacteria;Bacillati;Actinomycetota;Rubrobacteria;Rubrobacterales;Rubrobacteraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;84995;84996;84997
Victivallaceae,Bacteria,191,255528,cellular organisms;Bacteria;Pseudomonadati;PVC group;Lentisphaerota;Lentisphaeria;Victivallales;Victivallaceae,cellular root;domain;kingdom;clade;phylum;class;order;family,131567;2;3379134;1783257;256845;1313211;278082;255528
Methylocystaceae,Bacteria,189,31993,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylocystaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;356;31993
Melioribacteraceae,Bacteria,189,1334117,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Ignavibacteriota;Ignavibacteria;Ignavibacteriales;Melioribacteraceae,cellular root;domain;kingdom;clade;clade;phylum;class;order;family,131567;2;3379134;1783270;68336;1134404;795747;795748;1334117
Acidiferrobacteraceae,Bacteria,188,1692041,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Acidiferrobacterales;Acidiferrobacteraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1236;1692040;1692041
Candidatus Korobacteraceae,Bacteria,188,3121618,cellular organisms;Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Terriglobales;Candidatus Korobacteraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;57723;204432;204433;3121618
Dehalococcoidaceae,Bacteria,186,1202464,cellular organisms;Bacteria;Bacillati;Chloroflexota;Dehalococcoidia;Dehalococcoidales;Dehalococcoidaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;200795;301297;1202465;1202464
Spongiibacteraceae,Bacteria,180,1706375,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Cellvibrionales;Spongiibacteraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1236;1706369;1706375
Reichenbachiellaceae,Bacteria,179,2762302,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Cytophagia;Cytophagales;Reichenbachiellaceae,cellular root;domain;kingdom;clade;clade;phylum;class;order;family,131567;2;3379134;1783270;68336;976;768503;768507;2762302
Thermoguttaceae,Bacteria,177,2691358,cellular organisms;Bacteria;Pseudomonadati;PVC group;Planctomycetota;Planctomycetia;Pirellulales;Thermoguttaceae,cellular root;domain;kingdom;clade;phylum;class;order;family,131567;2;3379134;1783257;203682;203683;2691354;2691358
Lentimicrobiaceae,Bacteria,176,1840213,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Lentimicrobiaceae,cellular root;domain;kingdom;clade;clade;phylum;class;order;family,131567;2;3379134;1783270;68336;976;200643;171549;1840213
Maricaulaceae,Bacteria,176,2800061,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Maricaulales;Maricaulaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;2800059;2800061
Thermofilaceae,Archaea,173,114378,cellular organisms;Archaea;Thermoproteati;Thermoproteota;Thermoprotei;Thermofilales;Thermofilaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2157;1783275;28889;183924;2856582;114378
Casimicrobiaceae,Bacteria,173,2705999,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Betaproteobacteria incertae sedis;Casimicrobiaceae,cellular root;domain;kingdom;phylum;class;no rank;family,131567;2;3379134;1224;28216;119066;2705999
Ktedonobacteraceae,Bacteria,171,388449,cellular organisms;Bacteria;Bacillati;Chloroflexota;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;200795;388447;388448;388449
Frankiaceae,Bacteria,171,74712,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;1760;85013;74712
Flammeovirgaceae,Bacteria,170,200667,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Cytophagia;Cytophagales;Flammeovirgaceae,cellular root;domain;kingdom;clade;clade;phylum;class;order;family,131567;2;3379134;1783270;68336;976;768503;768507;200667
Robiginitomaculaceae,Bacteria,170,2800062,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Maricaulales;Robiginitomaculaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;2800059;2800062
Miltoncostaeaceae,Bacteria,169,2843199,cellular organisms;Bacteria;Bacillati;Actinomycetota;Thermoleophilia;Miltoncostaeales;Miltoncostaeaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;1497346;2843198;2843199
Kofleriaceae,Bacteria,167,224464,cellular organisms;Bacteria;Pseudomonadati;Myxococcota;Polyangia;Haliangiales;Kofleriaceae,cellular root;domain;kingdom;phylum;subclass;order;family,131567;2;3379134;2818505;3031711;3031714;224464
Roseivirgaceae,Bacteria,162,2762306,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Cytophagia;Cytophagales;Roseivirgaceae,cellular root;domain;kingdom;clade;clade;phylum;class;order;family,131567;2;3379134;1783270;68336;976;768503;768507;2762306
Stellaceae,Bacteria,162,2844601,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Stellaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;204441;2844601
Dietziaceae,Bacteria,158,85029,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Dietziaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;1760;85007;85029
Spiroplasmataceae,Bacteria,158,2131,cellular organisms;Bacteria;Bacillati;Mycoplasmatota;Mollicutes;Entomoplasmatales;Spiroplasmataceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;544448;31969;186328;2131
Chthonomonadaceae,Bacteria,156,1077264,cellular organisms;Bacteria;Bacillati;Armatimonadota;Chthonomonadia;Chthonomonadales;Chthonomonadaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;67819;1077257;1077263;1077264
Pseudohongiellaceae,Bacteria,156,3085095,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudohongiellaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1236;72274;3085095
Fimbriimonadaceae,Bacteria,154,1663426,cellular organisms;Bacteria;Bacillati;Armatimonadota;Fimbriimonadia;Fimbriimonadales;Fimbriimonadaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;67819;1663419;1663425;1663426
Granulosicoccaceae,Bacteria,154,449719,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Chromatiales;Granulosicoccaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1236;135613;449719
Aurantimonadaceae,Bacteria,152,255475,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Aurantimonadaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;356;255475
Boseaceae,Bacteria,151,2831100,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Boseaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;356;2831100
Desulfocapsaceae,Bacteria,151,2886822,cellular organisms;Bacteria;Pseudomonadati;Thermodesulfobacteriota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;200940;3031451;3024411;2886822
Parvularculaceae,Bacteria,149,255474,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Parvularculales;Parvularculaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;255473;255474
Thermotogaceae,Bacteria,149,188709,cellular organisms;Bacteria;Thermotogati;Thermotogota;Thermotogae;Thermotogales;Thermotogaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3384194;200918;188708;2419;188709
Trueperaceae,Bacteria,147,332247,cellular organisms;Bacteria;Thermotogati;Deinococcota;Deinococci;Trueperales;Trueperaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3384194;1297;188787;2762275;332247
Vulcanimicrobiaceae,Bacteria,147,2829291,cellular organisms;Bacteria;Bacillati;Vulcanimicrobiota;Vulcanimicrobiia;Vulcanimicrobiales;Vulcanimicrobiaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;1154676;2829293;2599632;2829291
Candidatus Saccharimonadaceae,Bacteria,144,2171986,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Saccharibacteria;Candidatus Saccharimonadia;Candidatus Saccharimonadales;Candidatus Saccharimonadaceae,cellular root;domain;no rank;clade;phylum;class;order;family,131567;2;2323;1783234;95818;2093818;2093825;2171986
Halobacteriaceae,Archaea,144,2236,cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Halobacteriaceae,cellular root;domain;kingdom;phylum;clade;class;order;family,131567;2157;3366610;28890;2290931;183963;2235;2236
Wenzhouxiangellaceae,Bacteria,142,1676141,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Chromatiales;Wenzhouxiangellaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1236;135613;1676141
Marinilabiliaceae,Bacteria,142,558415,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Marinilabiliales;Marinilabiliaceae,cellular root;domain;kingdom;clade;clade;phylum;class;order;family,131567;2;3379134;1783270;68336;976;200643;1970189;558415
Anaeromyxobacteraceae,Bacteria,140,1524215,cellular organisms;Bacteria;Pseudomonadati;Myxococcota;Myxococcia;Myxococcales;Cystobacterineae;Anaeromyxobacteraceae,cellular root;domain;kingdom;phylum;class;order;suborder;family,131567;2;3379134;2818505;32015;29;80811;1524215
Candidatus Caldarchaeaceae,Archaea,140,3071583,cellular organisms;Archaea;Thermoproteati;Nitrososphaerota;Nitrososphaerota incertae sedis;Candidatus Caldarchaeales;Candidatus Caldarchaeaceae,cellular root;domain;kingdom;phylum;no rank;order;family,131567;2157;1783275;651137;651142;3071582;3071583
Sphingosinicellaceae,Bacteria,139,2820280,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingosinicellaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;204457;2820280
Syntrophobacteraceae,Bacteria,139,213465,cellular organisms;Bacteria;Pseudomonadati;Thermodesulfobacteriota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;200940;3024408;213462;213465
Syntrophorhabdaceae,Bacteria,137,513556,cellular organisms;Bacteria;Pseudomonadati;Thermodesulfobacteriota;Syntrophorhabdia;Syntrophorhabdales;Syntrophorhabdaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;200940;3031649;2819262;513556
Coleofasciculaceae,Bacteria,137,1892251,cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;Cyanophyceae;Coleofasciculales;Coleofasciculaceae,cellular root;domain;kingdom;clade;phylum;class;order;family,131567;2;1783272;1798711;1117;3028117;3079753;1892251
Geminicoccaceae,Bacteria,136,2066434,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Geminicoccales;Geminicoccaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;3108222;2066434
Aminobacteriaceae,Bacteria,135,3029087,cellular organisms;Bacteria;Thermotogati;Synergistota;Synergistia;Synergistales;Aminobacteriaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3384194;508458;649775;649776;3029087
Kribbellaceae,Bacteria,135,2726069,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Kribbellaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;1760;85009;2726069
Thermoanaerobacteraceae,Bacteria,134,186814,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;1239;186801;68295;186814
Fulvivirgaceae,Bacteria,133,2762286,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Cytophagia;Cytophagales;Fulvivirgaceae,cellular root;domain;kingdom;clade;clade;phylum;class;order;family,131567;2;3379134;1783270;68336;976;768503;768507;2762286
Desulfuromonadaceae,Bacteria,132,213421,cellular organisms;Bacteria;Pseudomonadati;Thermodesulfobacteriota;Desulfuromonadia;Desulfuromonadales;Desulfuromonadaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;200940;3031651;69541;213421
Kosmotogaceae,Bacteria,131,1643948,cellular organisms;Bacteria;Thermotogati;Thermotogota;Thermotogae;Kosmotogales;Kosmotogaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3384194;200918;188708;1643946;1643948
Gemellaceae,Bacteria,131,539738,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Gemellaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;1239;91061;1385;539738
Lewinellaceae,Bacteria,129,1937960,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Saprospiria;Saprospirales;Lewinellaceae,cellular root;domain;kingdom;clade;clade;phylum;class;order;family,131567;2;3379134;1783270;68336;976;1937959;1936988;1937960
Tissierellaceae,Bacteria,128,1737406,cellular organisms;Bacteria;Bacillati;Bacillota;Tissierellia;Tissierellales;Tissierellaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;1239;1737404;1737405;1737406
Desulfitobacteriaceae,Bacteria,127,2937909,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Desulfitobacteriaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;1239;186801;186802;2937909
Puniceicoccaceae,Bacteria,127,415002,cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Opitutia;Puniceicoccales;Puniceicoccaceae,cellular root;domain;kingdom;clade;phylum;class;order;family,131567;2;3379134;1783257;74201;414999;415001;415002
Clostridiales Family XVII. Incertae Sedis,Bacteria,126,539000,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Eubacteriales incertae sedis;Clostridiales Family XVII. Incertae Sedis,cellular root;domain;kingdom;phylum;class;order;no rank;family,131567;2;1783272;1239;186801;186802;538999;539000
Candidatus Promineifilaceae,Bacteria,124,3085097,cellular organisms;Bacteria;Bacillati;Chloroflexota;Ardenticatenia;Candidatus Promineifilales;Candidatus Promineifilaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;200795;1382928;3085098;3085097
