unclassified_name,count,sequence_count,division,family,genus,lineage_signature,example_centroids
"# Unclassified family entries: 41,506 of 70,899 total",,,,,,,
Perkinsida_X.U.family,29,74,Alveolata,Perkinsida_X.U.family,Perkinsida_X.U.genus,Alveolata|Perkinsida_X.U.family|Perkinsida_X.U.genus,REF_SPR_GDKH01029260.1.1786_Eukaryota_SAR_Alveolata_Protalveolata_Colpodellida_Voromonas_Voromonas_pontica; REF_SPR_GQ149767.1.1769_Eukaryota_SAR_Alveolata_Apicomplexa_Conoidasida_Coccidia_Eimeriorina_Rhytidocystis_Rhytidocystis_cyamus; REF_SPR_DQ244034.1.1712_Eukaryota_SAR_Alveolata_Protalveolata_Perkinsidae_A31_uncultured_alveolate
Dinoflagellata.U.family,22,28,Alveolata,Dinoflagellata.U.family,Dinoflagellata.U.genus,Alveolata|Dinoflagellata.U.family|Dinoflagellata.U.genus,REF_SPR_FN598439.1.1838_Eukaryota_SAR_Alveolata_Protalveolata_Syndiniales_Syndinium_uncultured_marine_Syndiniales; REF_SPR_HM581715.1.1787_Eukaryota_uncultured_marine_eukaryote; REF_SPR_HM581714.1.1783_Eukaryota_SAR_Alveolata_Ciliophora_Intramacronucleata_Spirotrichea_Oligotrichia_Spirotontonia_uncultured_marine_eukaryote
Gregarinomorphea.U.family,15,80,Alveolata,Gregarinomorphea.U.family,Gregarinomorphea.U.genus,Alveolata|Gregarinomorphea.U.family|Gregarinomorphea.U.genus,IMG_3300024344.a_Ga0209992_10011174; REF_SPR_FJ832159.1.1751_Eukaryota_SAR_Alveolata_Apicomplexa_Conoidasida_Gregarinasina_Eugregarinorida_Urospora_Gregarinidae_sp._from_Paranemertes_peregrina_SR-2009a; IMG_3300032263.a_Ga0316195_10028743
Eimeriida.U.family,6,20,Alveolata,Eimeriida.U.family,Eimeriida.U.genus,Alveolata|Eimeriida.U.family|Eimeriida.U.genus,REF_SPR_FJ904646.1.1866_Eukaryota_SAR_Alveolata_Apicomplexa_Conoidasida_Coccidia_Eimeriorina_Calyptosporidae_Calyptospora_funduli; REF_SPR_GU479670.1.1826_Eukaryota_SAR_Alveolata_Apicomplexa_Conoidasida_Coccidia_Eimeriorina_Calyptosporidae_Calyptospora_funduli; REF_SPR_KT025255.1.1757_Eukaryota_SAR_Alveolata_Apicomplexa_Conoidasida_Coccidia_Eimeriorina_Goussia_clupearum
Neogregarinorida.U.family,5,9,Alveolata,Neogregarinorida.U.family,Neogregarinorida.U.genus,Alveolata|Neogregarinorida.U.family|Neogregarinorida.U.genus,IMG_3300042989.a_Ga0451690_0004523; REF_SPR_FJ865355.1.1752_U_18S_rRNA_nucleus__Eukaryota_Alveolata_Apicomplexa_Gregarinomorphea_Neogregarinorida_Actinocephalidae_Psychodiella_Psychodiella_sp.; REF_BRK_c-1328_conseq_Otu0442_20_freshwater_Skogaryd-fw_Eukaryota_TSAR_Alveolata_Division
Amoebozoa.U.family,4214,15143,Amoebozoa.U.division,Amoebozoa.U.family,Amoebozoa.U.genus,Amoebozoa.U.division|Amoebozoa.U.family|Amoebozoa.U.genus,IMG_3300028585.a_Ga0265797_10025277; IMG_3300047172.a_Ga0495340_0014787_1; IMG_3300003403.a_JGI26532J50257_10002121
Archaeplastida.U.family,342,1480,Archaeplastida.U.division,Archaeplastida.U.family,Archaeplastida.U.genus,Archaeplastida.U.division|Archaeplastida.U.family|Archaeplastida.U.genus,IMG_3300034009.a_Ga0334944_000574; REF_SPR_HF913647.1.2753_Eukaryota_Archaeplastida_Chloroplastida_Charophyta_Phragmoplastophyta_Streptophyta_Charophyceae_Charales_Chara_Chara_aspera; IMG_3300031813.a_Ga0316217_10006324
Centroplasthelida_X.U.family,151,475,Centroplasthelida,Centroplasthelida_X.U.family,Centroplasthelida_X.U.genus,Centroplasthelida|Centroplasthelida_X.U.family|Centroplasthelida_X.U.genus,IMG_3300008263.a_Ga0114349_1002451; IMG_3300008264.a_Ga0114353_1010146; IMG_3300031036.a_Ga0073978_1019917
Chlorophyta_X.U.family,499,2267,Chlorophyta,Chlorophyta_X.U.family,Chlorophyta_X.U.genus,Chlorophyta|Chlorophyta_X.U.family|Chlorophyta_X.U.genus,IMG_3300008265.a_Ga0114361_1010994; IMG_3300021577.a_Ga0226818_1000932; IMG_3300042875.a_Ga0453091_003930
Sphaeropleales.U.family,56,214,Chlorophyta,Sphaeropleales.U.family,Sphaeropleales.U.genus,Chlorophyta|Sphaeropleales.U.family|Sphaeropleales.U.genus,REF_SPR_Y17817.1.4661_G_18S_rRNA_nucleus_strain_SAG_49.87_Eukaryota_Archaeplastida_Chlorophyta_Chlorophyceae_Sphaeropleales_Selenastraceae_Monoraphidium_Monoraphidium_terrestre; REF_SPR_HM483519.1.3292_G_18S_rRNA_nucleus_strain_SAG_202-6_Eukaryota_Archaeplastida_Chlorophyta_Chlorophyceae_Sphaeropleales_Sphaeropleales_X_Ankistrodesmus_Ankistrodesmus_nannoselene; REF_SPR_AY846380.1.2583_G_18S_rRNA_nucleus_strain_AS3-5_Eukaryota_Archaeplastida_Chlorophyta_Chlorophyceae_Sphaeropleales_Selenastraceae_Monoraphidium_Monoraphidium_minutum
Chlorophyceae.U.family,10,62,Chlorophyta,Chlorophyceae.U.family,Chlorophyceae.U.genus,Chlorophyta|Chlorophyceae.U.family|Chlorophyceae.U.genus,IMG_3300017635.a_Ga0187999_100462; REF_SPR_KC486765.1.1580_Eukaryota_Archaeplastida_Chloroplastida_Chlorophyta_Trebouxiophyceae_uncultured_Dunaliella; IMG_3300021193.a_Ga0219039_1078340
Euglenida.U.family,1526,5350,Discoba,Euglenida.U.family,Euglenida.U.genus,Discoba|Euglenida.U.family|Euglenida.U.genus,IMG_3300025701.a_Ga0209771_1003594; REF_SPR_AF386644.1.4503_U_18S_rRNA_nucleus_strain_SAG_222.80_Eukaryota_Excavata_Discoba_Euglenida_Aphagea_Distigmidae_Distigma_Distigma_sennii; IMG_3300031521.a_Ga0311364_10030619
Heterolobosea.U.family,896,4751,Discoba,Heterolobosea.U.family,Heterolobosea.U.genus,Discoba|Heterolobosea.U.family|Heterolobosea.U.genus,IMG_3300028415.a_Ga0306867_1002025; IMG_3300025572.a_Ga0207864_1006230; IMG_3300032431.a_Ga0335395_10008884
Kinetoplastea.U.family,451,1621,Discoba,Kinetoplastea.U.family,Kinetoplastea.U.genus,Discoba|Kinetoplastea.U.family|Kinetoplastea.U.genus,REF_SPR_MF969038.1.2427_Eukaryota_Discoba_Discicristata_Euglenozoa_Kinetoplastea_Metakinetoplastina_Trypanosomatida_Leptomonas_Trypanosomatidae_sp._PNG107f; REF_SPR_JQ658823.1.2403_Eukaryota_Discoba_Discicristata_Euglenozoa_Kinetoplastea_Metakinetoplastina_Trypanosomatida_Leptomonas_Trypanosomatidae_sp._G33; REF_SPR_JQ658821.1.2402_U_18S_rRNA_nucleus_clone_G31_Eukaryota_Excavata_Discoba_Kinetoplastea_Trypanosomatida_Trypanosomatidae_Trypanosomatidae_TRY1_Trypanosomatidae_TRY1_sp.
Petalomonadida.U.family,422,1103,Discoba,Petalomonadida.U.family,Petalomonadida.U.genus,Discoba|Petalomonadida.U.family|Petalomonadida.U.genus,IMG_3300042203.a_Ga0451581_002949; IMG_3300049218.a_Ga0495317_0075001; IMG_3300007323.a_Ga0099768_1018614
Neobodonida.U.family,221,929,Discoba,Neobodonida.U.family,Neobodonida.U.genus,Discoba|Neobodonida.U.family|Neobodonida.U.genus,REF_SPR_DQ465511.1.3212_U_18S_rRNA_nucleus_strain_HFCC333_Eukaryota_Excavata_Discoba_Kinetoplastea_Neobodonida_Rhynchomonadidae_Rhynchomonas_Rhynchomonas_sp.; REF_SPR_AY827855.1.2627_Eukaryota_Discoba_Discicristata_Euglenozoa_Kinetoplastea_Metakinetoplastina_Neobodonida_Rhynchomonas_Rhynchomonas_nasuta; IMG_3300045996.a_Ga0456371_00314495
Tetramitia_I.U.family,200,796,Discoba,Tetramitia_I.U.family,Tetramitia_I.U.genus,Discoba|Tetramitia_I.U.family|Tetramitia_I.U.genus,IMG_3300009676.a_Ga0116187_1008507; IMG_3300002168.a_JGI24712J26585_10005157; IMG_3300005961.a_Ga0075157_10037838
