unclassified_name,count,sequence_count,division,family,genus,lineage_signature,example_centroids
"# Unclassified family entries: 41,506 of 70,899 total",,,,,,,
Basidiomycota.U.family,32,88,Opisthokonta,Basidiomycota.U.family,Basidiomycota.U.genus,Opisthokonta|Basidiomycota.U.family|Basidiomycota.U.genus,IMG_3300035696.a_Ga0374055_0074138; IMG_3300023106.a_Ga0247809_1000545; REF_SPR_D38239.1.2658_G_18S_rRNA_nucleus_strain_JCM_2896_Eukaryota_Opisthokonta_Fungi_Basidiomycota_Pucciniomycotina_Agaricostilbomycetes_Bensingtonia_Bensingtonia_yamatoana
Rhizophydiales.U.family,29,107,Opisthokonta,Rhizophydiales.U.family,Rhizophydiales.U.genus,Opisthokonta|Rhizophydiales.U.family|Rhizophydiales.U.genus,IMG_3300044844.a_Ga0453102_0005317; REF_SPR_HQ191426.1.2366_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Chytridiomycota_Incertae_Sedis_Chytridiomycetes_Rhizophydiales_Kappamycetaceae_uncultured_Chytridiomycota; REF_SPR_HQ191296.1.2355_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Chytridiomycota_Incertae_Sedis_Chytridiomycetes_Rhizophydiales_Kappamycetaceae_uncultured_Chytridiomycota
Taphrinomycotina.U.family,17,110,Opisthokonta,Taphrinomycotina.U.family,Taphrinomycotina.U.genus,Opisthokonta|Taphrinomycotina.U.family|Taphrinomycotina.U.genus,IMG_3300044718.a_Ga0467061_0003738; IMG_3300045257.a_Ga0467023_0004992; IMG_3300038479.a_Ga0436674_0002499_1
Zoopagomycota.U.family,1,2,Opisthokonta,Zoopagomycota.U.family,Zoopagomycota.U.genus,Opisthokonta|Zoopagomycota.U.family|Zoopagomycota.U.genus,IMG_3300045918.a_Ga0485828_0022081
Cercozoa.U.family,1152,3275,Rhizaria,Cercozoa.U.family,Cercozoa.U.genus,Rhizaria|Cercozoa.U.family|Cercozoa.U.genus,IMG_3300024981.a_Ga0209934_1002102; IMG_3300024981.a_Ga0209934_1002160; IMG_3300025526.a_Ga0208492_1002470
Monothalamids_X.U.family,507,2233,Rhizaria,Monothalamids_X.U.family,Monothalamids_X.U.genus,Rhizaria|Monothalamids_X.U.family|Monothalamids_X.U.genus,REF_SPR_HM213830.1.4173_U_18S_rRNA_nucleus__Eukaryota_Rhizaria_Foraminifera_Globothalamea_Rotaliida_Elphidiidae_Elphidium_Elphidium_excavatum; REF_SPR_KF042533.1.4130_U_18S_rRNA_nucleus__Eukaryota_Rhizaria_Foraminifera_Globothalamea_Rotaliida_Elphidiidae_Elphidium_Elphidium_excavatum; REF_SPR_AJ318224.1.4066_U_18S_rRNA_nucleus__Eukaryota_Rhizaria_Foraminifera_Monothalamids_Monothalamids_Clade-I_Monothalamids_Clade-I_X_Astrammina_Astrammina_triangularis
Polycystinea.U.family,391,4253,Rhizaria,Polycystinea.U.family,Polycystinea.U.genus,Rhizaria|Polycystinea.U.family|Polycystinea.U.genus,REF_SPR_HQ651783.1.3714_Eukaryota_SAR_Rhizaria_Retaria_Polycystinea_Spumellaria_Phorticium_Phorticium_clevei; REF_BRK_c-135_conseq_Otu555_4_deep_Ms2-mes_Eukaryota_TSAR_Rhizaria_Radiolaria_Polycystinea_Spumellarida_Spumellarida-Group-I_Spumellarida-Group-I_X_Spumellarida-Group-I_X_sp_Species; REF_SPR_KP175030.1.2281_Eukaryota_SAR_Rhizaria_Retaria_Polycystinea_Spumellaria_Astrosphaera_uncultured_spumellarian
Foraminifera.U.family,322,2196,Rhizaria,Foraminifera.U.family,Foraminifera.U.genus,Rhizaria|Foraminifera.U.family|Foraminifera.U.genus,IMG_3300010985.a_Ga0138326_10258234; REF_SPR_M20154.1.4194_U_18S_rRNA_nucleus__Eukaryota_Opisthokonta_Metazoa_Craniata_Craniata_X_Mammalia_Mus_Mus_musculus; IMG_3300030752.a_Ga0073953_11461494
Vampyrellida.U.family,315,1110,Rhizaria,Vampyrellida.U.family,Vampyrellida.U.genus,Rhizaria|Vampyrellida.U.family|Vampyrellida.U.genus,IMG_3300004627.a_Ga0066629_1021251; IMG_3300015615.a_Ga0183872_10630397_1; IMG_3300045391.a_Ga0438458_00330348
Radiolaria.U.family,272,1717,Rhizaria,Radiolaria.U.family,Radiolaria.U.genus,Rhizaria|Radiolaria.U.family|Radiolaria.U.genus,REF_SPR_HQ651785.1.3845_Eukaryota_SAR_Rhizaria_Retaria_RAD_B_Sticholonche_sp._JB-2011; IMG_3300031800.a_Ga0310122_10008125; IMG_3300020457.a_Ga0211643_10049411
Nassellaria.U.family,209,918,Rhizaria,Nassellaria.U.family,Nassellaria.U.genus,Rhizaria|Nassellaria.U.family|Nassellaria.U.genus,IMG_3300032278.a_Ga0310345_10012430; IMG_3300003880.a_Ga0063278_1000058; IMG_3300026202.a_Ga0207984_1003241
Thaumatomonadida.U.family,88,597,Rhizaria,Thaumatomonadida.U.family,Thaumatomonadida.U.genus,Rhizaria|Thaumatomonadida.U.family|Thaumatomonadida.U.genus,IMG_3300007510.a_Ga0105013_1016087; IMG_3300021964.a_Ga0222719_10028737; IMG_3300037427.a_Ga0315325_0038382
Filosa-Thecofilosea.U.family,33,84,Rhizaria,Filosa-Thecofilosea.U.family,Filosa-Thecofilosea.U.genus,Rhizaria|Filosa-Thecofilosea.U.family|Filosa-Thecofilosea.U.genus,REF_SPR_AB714270.1.2920_Eukaryota_SAR_Rhizaria_Cercozoa_Imbricatea_Silicofilosea_Thaumatomonadida_Peregriniidae_Esquamula_Esquamula_lacrimiformis; IMG_3300028795.a_Ga0302227_10007158_1; IMG_3300044512.a_Ga0453786_0003818
Filosa-Sarcomonadea.U.family,31,82,Rhizaria,Filosa-Sarcomonadea.U.family,Filosa-Sarcomonadea.U.genus,Rhizaria|Filosa-Sarcomonadea.U.family|Filosa-Sarcomonadea.U.genus,IMG_3300020123.a_Ga0210607_13584687_1; IMG_3300029910.a_Ga0311369_10083986; REF_BRK_c-1160_conseq_Otu0428_25_soil_Sweden_Eukaryota_TSAR_Rhizaria_Cercozoa_Filosa-Sarcomonadea_Glissomonadida_Order
Glissomonadida.U.family,21,102,Rhizaria,Glissomonadida.U.family,Glissomonadida.U.genus,Rhizaria|Glissomonadida.U.family|Glissomonadida.U.genus,IMG_3300008114.a_Ga0114347_1023095; IMG_3300046507.a_Ga0495606_0090143; IMG_3300022750.a_Ga0247812_10029614
Cryomonadida.U.family,5,7,Rhizaria,Cryomonadida.U.family,Cryomonadida.U.genus,Rhizaria|Cryomonadida.U.family|Cryomonadida.U.genus,REF_SPR_KC488564.1.1599_Eukaryota_SAR_Rhizaria_Cercozoa_Chlorarachniophyta_Minorisa_uncultured_Rhizaria; REF_BRK_m64077_200210_022006_134284479_ccs_double-barcode_Otu0679_2_surface_WC-sur_Eukaryota_TSAR_Rhizaria_Cercozoa_Filosa-Thecofilosea_Cryomonadida_Protaspa-lineage_Protaspa-lineage_X_Protaspa-lineage_X_sp_Species; REF_BRK_c-3789_conseq_Otu0552_3_surface_WC-sur_Eukaryota_TSAR_Rhizaria_Cercozoa_Filosa-Thecofilosea_Cryomonadida_Order
Rhizaria.U.family,2,3,Rhizaria,Rhizaria.U.family,Rhizaria.U.genus,Rhizaria|Rhizaria.U.family|Rhizaria.U.genus,IMG_3300036716.a_Ga0315323_0063175; IMG_3300009130.a_Ga0118729_1168182
Stramenopiles.U.family,1038,7804,Stramenopiles,Stramenopiles.U.family,Stramenopiles.U.genus,Stramenopiles|Stramenopiles.U.family|Stramenopiles.U.genus,IMG_3300022659.a_Ga0248194_14304580; IMG_3300027786.a_Ga0209812_10003318; IMG_3300022468.a_Ga0233289_14264464
Gyrista.U.family,833,3060,Stramenopiles,Gyrista.U.family,Gyrista.U.genus,Stramenopiles|Gyrista.U.family|Gyrista.U.genus,IMG_3300039159.a_Ga0400140_002040; IMG_3300027777.a_Ga0209829_10005881; IMG_3300031222.a_Ga0307972_1001373
Bicoecea.U.family,280,1227,Stramenopiles,Bicoecea.U.family,Bicoecea.U.genus,Stramenopiles|Bicoecea.U.family|Bicoecea.U.genus,IMG_3300043421.a_Ga0451740_0001287; IMG_3300044986.a_Ga0485163_0046950; IMG_3300042520.a_Ga0453218_0017300
Opalozoa.U.family,218,1086,Stramenopiles,Opalozoa.U.family,Opalozoa.U.genus,Stramenopiles|Opalozoa.U.family|Opalozoa.U.genus,IMG_3300025577.a_Ga0209304_1002615; IMG_3300006636.a_Ga0075525_10000970; REF_SPR_HQ219411.1.2449_Eukaryota_SAR_Stramenopiles_MAST-12_uncultured_stramenopile
Thalassiosirales.U.family,53,222,Stramenopiles,Thalassiosirales.U.family,Thalassiosirales.U.genus,Stramenopiles|Thalassiosirales.U.family|Thalassiosirales.U.genus,IMG_3300022202.a_Ga0224498_10000434; REF_BRK_m64077_200204_130436_82706899_ccs_single-barcode_Otu0755_2_freshwater_Erken-fw_Eukaryota_TSAR_Stramenopiles_Gyrista_Diatomeae_Mediophyceae_Thalassiosirophycidae_Family; REF_SPR_MG972341.1.3209_G_18S_rRNA_nucleus__Eukaryota_Stramenopiles_Ochrophyta_Bacillariophyta_Bacillariophyta_X_Polar-centric-Mediophyceae_Chaetoceros_Chaetoceros_diversus_2
Peronosporomycetes_X.U.family,44,130,Stramenopiles,Peronosporomycetes_X.U.family,Peronosporomycetes_X.U.genus,Stramenopiles|Peronosporomycetes_X.U.family|Peronosporomycetes_X.U.genus,IMG_3300042349.a_Ga0453943_0001734; IMG_3300037257.a_Ga0397553_0000175; IMG_3300009073.a_Ga0114957_1005582
Bigyra.U.family,30,244,Stramenopiles,Bigyra.U.family,Bigyra.U.genus,Stramenopiles|Bigyra.U.family|Bigyra.U.genus,IMG_3300025545.a_Ga0209142_1003877; IMG_3300021338.a_Ga0213839_1007792; IMG_3300034068.a_Ga0334990_0016010
Labyrinthulomycetes.U.family,19,33,Stramenopiles,Labyrinthulomycetes.U.family,Labyrinthulomycetes.U.genus,Stramenopiles|Labyrinthulomycetes.U.family|Labyrinthulomycetes.U.genus,REF_SPR_AF304465.1.2101_Eukaryota_SAR_Stramenopiles_Labyrinthulomycetes_Amphitraemidae_Diplophrys_sp._ATCC_50360; IMG_3300030843.a_Ga0075392_10064645; REF_BRK_m64077_200208_195333_87032648_ccs_single-barcode_Otu1374_2_freshwater_Erken-sed_Eukaryota_TSAR_Stramenopiles_Bigyra_Sagenista_Labyrinthulomycetes_Amphitremida_Diplophrys_Diplophrys_sp_Species
TSAR.U.family,509,1675,TSAR.U.division,TSAR.U.family,TSAR.U.genus,TSAR.U.division|TSAR.U.family|TSAR.U.genus,IMG_3300015263.a_Ga0183003_10039147; REF_SPR_MG519743.1.2045_Eukaryota_SAR_Rhizaria_Cercozoa_Gromia_Gromia_melinus; REF_SPR_MG519738.1.2026_Eukaryota_SAR_Rhizaria_Cercozoa_Gromia_Gromia_oviformis
Tubulinea_X.U.family,121,492,Tubulinea,Tubulinea_X.U.family,Tubulinea_X.U.genus,Tubulinea|Tubulinea_X.U.family|Tubulinea_X.U.genus,IMG_3300035704.a_Ga0376645_0018730; IMG_3300004137.a_Ga0058883_1007751; IMG_3300042006.a_Ga0439432_018071
Euamoebida.U.family,86,246,Tubulinea,Euamoebida.U.family,Euamoebida.U.genus,Tubulinea|Euamoebida.U.family|Euamoebida.U.genus,REF_SPR_EU869301.1.2048_U_18S_rRNA_nucleus_strain_NTSHR_Eukaryota_Amoebozoa_Lobosa_Tubulinea_Euamoebida_Hartmannellidae_Saccamoeba_Saccamoeba_limax; IMG_3300015371.a_Ga0132258_10105125; REF_SPR_JQ271718.1.1974_Eukaryota_Amorphea_Amoebozoa_Tubulinea_Euamoebida_Saccamoeba_Saccamoeba_sp._MSED6
Arcellinida.U.family,75,271,Tubulinea,Arcellinida.U.family,Arcellinida.U.genus,Tubulinea|Arcellinida.U.family|Arcellinida.U.genus,REF_SPR_AY848964.1.2373_U_18S_rRNA_nucleus__Eukaryota_Amoebozoa_Lobosa_Tubulinea_Arcellinida_Arcellinida_X_Heleopera_Heleopera_sphagni; IMG_3300009697.a_Ga0116231_10031482; IMG_3300009787.a_Ga0116226_10045138
Elardia.U.family,28,49,Tubulinea,Elardia.U.family,Elardia.U.genus,Tubulinea|Elardia.U.family|Elardia.U.genus,IMG_3300017970.a_Ga0187783_10039276; IMG_3300005548.a_Ga0070665_100172264; IMG_3300006426.a_Ga0075037_1066427
Tubulinea.U.family,2,2,Tubulinea,Tubulinea.U.family,Tubulinea.U.genus,Tubulinea|Tubulinea.U.family|Tubulinea.U.genus,IMG_3300036500.a_Ga0393201_004294; IMG_3300036501.a_Ga0393202_044043
