phylum,domain,phylum_counts,lineage,lineage_ranks,lineage_taxids,taxid
B1Sed10-29,Archaea,21,Archaea;B1Sed10-29,superkingdom;phylum,1337977286;1407021021,2059189029.0
UBP14,Bacteria,20,Bacteria;UBP14,superkingdom;phylum,81602897;83836613,83836613.0
Thermosulfidibacterota,Bacteria,18,Bacteria;Thermosulfidibacterota,superkingdom;phylum,81602897;1976045203,1976045203.0
JdFR-76,Bacteria,18,Bacteria;Zhuqueibacterota,superkingdom;phylum,81602897;807627558,1290011739.0
Dictyoglomota,Bacteria,16,Bacteria;Dictyoglomota,superkingdom;phylum,81602897;847586293,847586293.0
Goldbacteria,Bacteria,15,Bacteria;Goldbacteria,superkingdom;phylum,81602897;1271365150,1271365150.0
RBG-13-66-14,Bacteria,15,Bacteria;RBG-13-66-14,superkingdom;phylum,81602897;774941538,902989803.0
BMS3Abin14,Bacteria,15,Bacteria;BMS3Abin14,superkingdom;phylum,81602897;1762881460,1762881460.0
Coprothermobacterota,Bacteria,14,Bacteria;Coprothermobacterota,superkingdom;phylum,81602897;245980837,245980837.0
QNDG01,Bacteria,14,Bacteria;Zhuqueibacterota,superkingdom;phylum,81602897;807627558,1990059589.0
4484-113,Bacteria,13,Bacteria;4484-113,superkingdom;phylum,81602897;53569094,2112131597.0
TA06,Bacteria,13,Bacteria;TA06,superkingdom;phylum,81602897;1229419431,1229419431.0
CG2-30-53-67,Bacteria,12,Bacteria;CG2-30-53-67,superkingdom;phylum,81602897;47144567,1961181379.0
SpSt-1190,Archaea,12,Archaea;SpSt-1190,superkingdom;phylum,1337977286;308274672,1967949164.0
CAIJMQ01,Bacteria,12,Bacteria;CAIJMQ01,superkingdom;phylum,81602897;2046579204,2046579204.0
JAGLYR01,Bacteria,11,Bacteria;Arandabacterota,superkingdom;phylum,81602897;2126172471,1017695016.0
NPL-UPA2,Bacteria,11,Bacteria;NPL-UPA2,superkingdom;phylum,81602897;975611785,1939425158.0
CLD3,Bacteria,11,Bacteria;CLD3,superkingdom;phylum,81602897;667527700,2071097096.0
CG2-30-70-394,Bacteria,11,Bacteria;CG2-30-70-394,superkingdom;phylum,81602897;107270983,1647306078.0
FCPU426,Bacteria,11,Bacteria;FCPU426,superkingdom;phylum,81602897;1934100425,1934100425.0
Huberarchaeota,Archaea,11,Archaea;Huberarchaeota,superkingdom;phylum,1337977286;1697611278,1697611278.0
Lernaellota,Bacteria,11,Bacteria;Lernaellota,superkingdom;phylum,81602897;298535013,298535013.0
Undinarchaeota,Archaea,10,Archaea;Undinarchaeota,superkingdom;phylum,1337977286;77745807,77745807.0
CSSED10-310,Bacteria,10,Bacteria;CSSED10-310,superkingdom;phylum,81602897;1672571177,1851956568.0
DRYD01,Bacteria,10,Bacteria;DRYD01,superkingdom;phylum,81602897;1948111848,1948111848.0
UBA1439,Bacteria,10,Bacteria;UBA1439,superkingdom;phylum,81602897;595022409,915824077.0
SZUA-182,Bacteria,10,Bacteria;SZUA-182,superkingdom;phylum,81602897;865509404,1874245729.0
UBP17,Bacteria,10,Bacteria;UBP17,domain;phylum,,
JAAXVQ01,Bacteria,9,Bacteria;JAAXVQ01,superkingdom;phylum,81602897;1465506916,1793571387.0
AUK180,Bacteria,9,Bacteria;AUK180,superkingdom;phylum,81602897;250101779,2091637340.0
Calescibacterota,Bacteria,9,Bacteria;Calescibacterota,domain;phylum,,
JABDJQ01,Bacteria,9,Bacteria;Orphanbacterota,superkingdom;phylum,81602897;888855034,956259584.0
UBP15,Bacteria,9,Bacteria;UBP15,superkingdom;phylum,81602897;1681209269,1681209269.0
Tectomicrobia,Bacteria,9,Bacteria;Tectomicrobia,superkingdom;phylum,81602897;1213721931,1213721931.0
Desantisbacteria,Bacteria,9,Bacteria;Desantisbacteria,superkingdom;phylum,81602897;286592800,286592800.0
UBP18,Bacteria,8,Bacteria;UBP18,superkingdom;phylum,81602897;1395400200,1395400200.0
UBP13,Bacteria,8,Bacteria;UBP13,superkingdom;phylum,81602897;903806957,903806957.0
ARS69,Bacteria,8,Bacteria;ARS69,superkingdom;phylum,81602897;285283459,1852930700.0
Schekmanbacteria,Bacteria,8,Bacteria;Schekmanbacteria,superkingdom;phylum,81602897;1022785082,1022785082.0
Wallbacteria,Bacteria,7,Bacteria;Wallbacteria,domain;phylum,,
UBA6266,Bacteria,7,Bacteria;UBA6266,superkingdom;phylum,81602897;499903500,1426546888.0
JANLFM01,Bacteria,7,Bacteria;JANLFM01,superkingdom;phylum,81602897;631208447,1546888043.0
DUMJ01,Bacteria,7,Bacteria;DUMJ01,superkingdom;phylum,81602897;1100567274,1594069222.0
SM23-31,Bacteria,7,Bacteria;SM23-31,superkingdom;phylum,81602897;2111634267,2126241192.0
Thermodesulfobiota,Bacteria,7,Bacteria;Thermodesulfobiota,superkingdom;phylum,81602897;964916033,964916033.0
JAHJDO01,Bacteria,7,Bacteria;JAHJDO01,superkingdom;phylum,81602897;2122727740,2122727740.0
JADFOP01,Bacteria,7,Bacteria;JADFOP01,superkingdom;phylum,81602897;771738236,2087510191.0
PUNC01,Bacteria,6,Bacteria;PUNC01,superkingdom;phylum,81602897;1441385319,1976244025.0
UBP7,Bacteria,6,Bacteria;UBP7,superkingdom;phylum,81602897;762345363,762345363.0
Auribacterota,Bacteria,6,Bacteria;Auribacterota,superkingdom;phylum,81602897;229083227,229083227.0
JAJVIF01,Bacteria,5,Bacteria;JAJVIF01,superkingdom;phylum,81602897;1757254615,2050359358.0
JACPWU01,Bacteria,5,Bacteria;JACPWU01,superkingdom;phylum,81602897;912202509,1560313488.0
JAAYKD01,Bacteria,5,Bacteria;Bacillota,superkingdom;phylum,81602897;131003083,2077373291.0
JAGLTZ01,Bacteria,5,Bacteria;Blakebacterota,superkingdom;phylum,81602897;1630600958,593229592.0
Lithacetigenota,Bacteria,4,Bacteria;Lithacetigenota,superkingdom;phylum,81602897;1706335685,1706335685.0
JAFGBW01,Bacteria,4,Bacteria;JAFGBW01,superkingdom;phylum,81602897;1457595508,1471905847.0
Chrysiogenota,Bacteria,4,Bacteria;Chrysiogenota,superkingdom;phylum,81602897;1406000169,1406000169.0
RUG730,Bacteria,4,Bacteria;RUG730,superkingdom;phylum,81602897;1027605347,1811404808.0
JACRDZ01,Bacteria,4,Bacteria;JACRDZ01,superkingdom;phylum,81602897;1069315193,1893347694.0
Moduliflexota,Bacteria,4,Bacteria;Moduliflexota,superkingdom;phylum,81602897;1727621185,1727621185.0
Muiribacteriota,Bacteria,4,Bacteria;Muiribacteriota,superkingdom;phylum,81602897;2133630180,2133630180.0
Lindowbacteria,Bacteria,4,Bacteria;Lindowbacteria,superkingdom;phylum,81602897;799601064,799601064.0
JACIXR01,Bacteria,3,Bacteria;Armatimonadota,superkingdom;phylum,81602897;386011820,1628126343.0
UBA8481,Bacteria,3,Bacteria;UBA8481,superkingdom;phylum,81602897;1565479373,2139055039.0
RBG-13-61-14,Bacteria,3,Bacteria;RBG-13-61-14,superkingdom;phylum,81602897;661465982,1690784151.0
JAPLJL01,Bacteria,3,Bacteria;JAPLJL01,superkingdom;phylum,81602897;585760546,2056876326.0
Mcinerneyibacteriota,Bacteria,3,Bacteria;Mcinerneyibacteriota,superkingdom;phylum,81602897;592117178,592117178.0
JAKLEM01,Bacteria,3,Bacteria;JAKLEM01,superkingdom;phylum,81602897;580637609,594579669.0
JABMQX01,Bacteria,3,Bacteria;JABMQX01,superkingdom;phylum,81602897;464211535,1799127973.0
Abyssobacteria,Bacteria,3,Bacteria;Abyssobacteria,superkingdom;phylum,81602897;772177946,772177946.0
B130-G9,Bacteria,3,Bacteria;B130-G9,superkingdom;phylum,81602897;213164904,1841844370.0
CALINM01,Bacteria,3,Bacteria;CALINM01,superkingdom;phylum,81602897;1475512455,1849950931.0
UBP4,Bacteria,3,Bacteria;UBP4,superkingdom;phylum,81602897;357874772,357874772.0
CAKKQC01,Bacteria,2,Bacteria;CAKKQC01,superkingdom;phylum,81602897;1429378224,1429378224.0
4572-55,Bacteria,2,Bacteria;4572-55,superkingdom;phylum,81602897;1931991181,1931991181.0
DYJV01,Bacteria,2,Bacteria;DYJV01,superkingdom;phylum,81602897;1142301725,1760047525.0
2-12-FULL-45-22,Bacteria,2,Bacteria;2-12-FULL-45-22,superkingdom;phylum,81602897;1334521670,1334521670.0
JALSQH01,Bacteria,2,Bacteria;JALSQH01,superkingdom;phylum,81602897;281910133,1837296238.0
JAJYCY01,Bacteria,2,Bacteria;JAJYCY01,superkingdom;phylum,81602897;1369860644,1892899268.0
JAGOBX01,Bacteria,2,Bacteria;JAGOBX01,superkingdom;phylum,81602897;57692665,861747984.0
JAGRBM01,Bacteria,2,Bacteria;JAGRBM01,superkingdom;phylum,81602897;1065389175,1816139905.0
JAQTZZ01,Bacteria,2,Bacteria;Muiribacteriota,superkingdom;phylum,81602897;2133630180,1414730072.0
JACPQY01,Bacteria,2,Bacteria;JACPQY01,superkingdom;phylum,81602897;1337839802,1986542058.0
GCA-2686955,Bacteria,2,Bacteria;GCA-2686955,superkingdom;phylum,81602897;956514111,956514111.0
GCA-001730085,Bacteria,2,Bacteria;GCA-001730085,superkingdom;phylum,81602897;310681039,494421074.0
UBA2233,Bacteria,2,Bacteria;UBA2233,superkingdom;phylum,81602897;298241132,1951987425.0
T1Sed10-126,Bacteria,2,Bacteria;T1Sed10-126,superkingdom;phylum,81602897;207177624,1763842147.0
JAUVQV01,Bacteria,2,Bacteria;JAUVQV01,superkingdom;phylum,81602897;1156022775,1513534563.0
BS750m-G25,Bacteria,1,Bacteria;BS750m-G25,superkingdom;phylum,81602897;1931661596,1931661596.0
DAOVTB01,Bacteria,1,Bacteria;Muiribacteriota,superkingdom;phylum,81602897;2133630180,1540302455.0
DAOUPZ01,Bacteria,1,Bacteria;Bacillota,superkingdom;phylum,81602897;131003083,1305781955.0
DUMD01,Bacteria,1,Bacteria;Bacillota,superkingdom;phylum,81602897;131003083,2064329276.0
JADJOY01,Bacteria,1,Bacteria;JADJOY01,superkingdom;phylum,81602897;685408356,2034951899.0
JAUXIQ01,Bacteria,1,Bacteria;JAUXIQ01,superkingdom;phylum,81602897;1670725321,1670725321.0
JAUXIB01,Bacteria,1,Bacteria;JAUXIB01,superkingdom;phylum,81602897;1882780145,1882780145.0
JAUYMQ01,Bacteria,1,Bacteria;JAUYMQ01,superkingdom;phylum,81602897;1966556105,1966556105.0
JAMORN01,Bacteria,1,Bacteria;JAMORN01,superkingdom;phylum,81602897;746942922,1944489529.0
JAJRZV01,Bacteria,1,Bacteria;JAJRZV01,superkingdom;phylum,81602897;156453024,1397086622.0
JAGOEH01,Bacteria,1,Bacteria;JAGOEH01,superkingdom;phylum,81602897;1044993914,1984728824.0
JAMOTN01,Bacteria,1,Bacteria;JAMOTN01,superkingdom;phylum,81602897;1503431172,1503431172.0
JAFGND01,Bacteria,1,Bacteria;JAFGND01,superkingdom;phylum,81602897;281443046,2033834066.0
J088,Bacteria,1,Bacteria;J088,superkingdom;phylum,81602897;299114684,1827943442.0
JACPUC01,Bacteria,1,Bacteria;JACPUC01,superkingdom;phylum,81602897;160013619,1835912230.0
JACPQU01,Bacteria,1,Bacteria;Bacillota,superkingdom;phylum,81602897;131003083,1088157915.0
JACPSX01,Bacteria,1,Bacteria;JACPSX01,superkingdom;phylum,81602897;1611772030,2028696103.0
JACRDV01,Archaea,1,Archaea;JACRDV01,superkingdom;phylum,1337977286;1847864198,1847864198.0
JACQOV01,Bacteria,1,Bacteria;JACQOV01,superkingdom;phylum,81602897;569993871,1543412431.0
SLNR01,Bacteria,1,Bacteria;Bacillota,superkingdom;phylum,81602897;131003083,1279152688.0
T1SED10-198M,Bacteria,1,Bacteria;T1SED10-198M,superkingdom;phylum,81602897;559194597,2008720193.0
