phylum,domain,phylum_counts,taxid,lineage,lineage_ranks,lineage_taxids
Candidatus Komeiliibacteriota,Bacteria,46,1817908,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Parcubacteria group;Candidatus Komeiliibacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794811;1817908
Abditibacteriota,Bacteria,45,2109258,cellular organisms;Bacteria;Pseudomonadati;Abditibacteriota,cellular root;domain;kingdom;phylum,131567;2;3379134;2109258
Candidatus Amesiibacteriota,Bacteria,45,1752730,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Microgenomates group;Candidatus Amesiibacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794810;1752730
Candidatus Campbelliibacteriota,Bacteria,43,1752727,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Parcubacteria group;Candidatus Campbelliibacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794811;1752727
Candidatus Hydrothermarchaeota,Archaea,42,1935019,cellular organisms;Archaea;Methanobacteriati;Candidatus Hydrothermarchaeota,cellular root;domain;kingdom;phylum,131567;2157;3366610;1935019
Candidatus Yonathiibacteriota,Bacteria,41,1817924,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Parcubacteria group;Candidatus Yonathiibacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794811;1817924
Candidatus Liptoniibacteriota,Bacteria,40,1817909,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Parcubacteria group;Candidatus Liptoniibacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794811;1817909
Candidatus Vogeliibacteriota,Bacteria,40,1817922,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Parcubacteria group;Candidatus Vogeliibacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794811;1817922
Candidatus Beckwithiibacteriota,Bacteria,38,1752726,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Microgenomates group;Candidatus Beckwithiibacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794810;1752726
Coprothermobacterota,Bacteria,37,2138240,cellular organisms;Bacteria;Pseudomonadati;Coprothermobacterota,cellular root;domain;kingdom;phylum,131567;2;3379134;2138240
Candidatus Harrisoniibacteriota,Bacteria,37,1817905,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Parcubacteria group;Candidatus Harrisoniibacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794811;1817905
candidate division FCPU426,Bacteria,37,2052329,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;candidate division FCPU426,cellular root;domain;no rank;clade;phylum,131567;2;2323;1783234;2052329
Candidatus Fervidibacterota,Bacteria,36,1383058,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Fervidibacterota,cellular root;domain;no rank;clade;phylum,131567;2;2323;1783234;1383058
Candidatus Delongiibacteriota,Bacteria,34,1817798,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Delongiibacteriota,cellular root;domain;no rank;clade;phylum,131567;2;2323;1783234;1817798
Candidatus Hermodarchaeota,Archaea,33,2798910,cellular organisms;Archaea;Promethearchaeati;Candidatus Hermodarchaeota,cellular root;domain;kingdom;phylum,131567;2157;1935183;2798910
Candidatus Anderseniibacteriota,Bacteria,32,1817901,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Parcubacteria group;Candidatus Anderseniibacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794811;1817901
Candidatus Auribacterota,Bacteria,31,2093364,cellular organisms;Bacteria;Pseudomonadati;PVC group;Candidatus Auribacterota,cellular root;domain;kingdom;clade;phylum,131567;2;3379134;1783257;2093364
Candidatus Kueneniibacteriota,Bacteria,30,1752740,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Parcubacteria group;Candidatus Kueneniibacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794811;1752740
Dictyoglomota,Bacteria,29,68297,cellular organisms;Bacteria;Pseudomonadati;Dictyoglomota,cellular root;domain;kingdom;phylum,131567;2;3379134;68297
Candidatus Jacksoniibacteriota,Bacteria,29,1817906,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Parcubacteria group;Candidatus Jacksoniibacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794811;1817906
Candidatus Undinarchaeota,Archaea,28,2821822,cellular organisms;Archaea;Nanobdellati;Candidatus Undinarchaeota,cellular root;domain;kingdom;phylum,131567;2157;1783276;2821822
Candidatus Lloydiibacteriota,Bacteria,27,1817910,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Parcubacteria group;Candidatus Lloydiibacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794811;1817910
Candidatus Ryaniibacteriota,Bacteria,27,1817914,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Parcubacteria group;Candidatus Ryaniibacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794811;1817914
Candidatus Hydrothermota,Bacteria,26,1130266,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Hydrothermota,cellular root;domain;no rank;clade;phylum,131567;2;2323;1783234;1130266
Candidatus Calescibacteriota,Bacteria,26,1052197,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Calescibacteriota,cellular root;domain;no rank;clade;phylum,131567;2;2323;1783234;1052197
Candidatus Coatesiibacteriota,Bacteria,23,1817797,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Coatesiibacteriota,cellular root;domain;no rank;clade;phylum,131567;2;2323;1783234;1817797
Candidatus Edwardsiibacteriota,Bacteria,22,1817800,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Edwardsiibacteriota,cellular root;domain;no rank;clade;phylum,131567;2;2323;1783234;1817800
Candidatus Geothermarchaeota,Archaea,22,1935021,cellular organisms;Archaea;Thermoproteati;Candidatus Geothermarchaeota,cellular root;domain;kingdom;phylum,131567;2157;1783275;1935021
Candidatus Cryosericota,Bacteria,21,2498705,cellular organisms;Bacteria;Pseudomonadati;Caldisericota/Cryosericota group;Candidatus Cryosericota,cellular root;domain;kingdom;clade;phylum,131567;2;3379134;2498710;2498705
Candidatus Desantisiibacteriota,Bacteria,21,1819803,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Desantisiibacteriota,cellular root;domain;no rank;clade;phylum,131567;2;2323;1783234;1819803
Candidatus Goldiibacteriota,Bacteria,20,2013583,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Goldiibacteriota,cellular root;domain;no rank;clade;phylum,131567;2;2323;1783234;2013583
Candidatus Woykeibacteriota,Bacteria,19,1817899,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Microgenomates group;Candidatus Woykeibacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794810;1817899
Candidatus Gribaldobacteria,Bacteria,19,2798536,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Gribaldobacteria,cellular root;domain;no rank;clade;phylum,131567;2;2323;1783234;2798536
Candidatus Ratteibacteria,Bacteria,19,2979319,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Ratteibacteria,cellular root;domain;no rank;clade;phylum,131567;2;2323;1783234;2979319
Candidatus Njordarchaeota,Archaea,18,3036961,cellular organisms;Archaea;Promethearchaeati;Candidatus Njordarchaeota,cellular root;domain;kingdom;phylum,131567;2157;1935183;3036961
Candidatus Blackburniibacteriota,Bacteria,18,1817898,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Microgenomates group;Candidatus Blackburniibacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794810;1817898
Candidatus Odinarchaeota,Archaea,17,1936271,cellular organisms;Archaea;Promethearchaeati;Candidatus Odinarchaeota,cellular root;domain;kingdom;phylum,131567;2157;1935183;1936271
Candidatus Terryibacteriota,Bacteria,17,1817920,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Parcubacteria group;Candidatus Terryibacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794811;1817920
Halobacteriota,Archaea,16,3100166,cellular organisms;Archaea;Methanobacteriati;Halobacteriota,cellular root;domain;kingdom;phylum,131567;2157;3366610;3100166
Candidatus Walliibacteriota,Bacteria,16,1817812,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Walliibacteriota,cellular root;domain;no rank;clade;phylum,131567;2;2323;1783234;1817812
Candidatus Vebleniibacteriota,Bacteria,16,1817921,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Parcubacteria group;Candidatus Vebleniibacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794811;1817921
Candidatus Macinerneyibacteriota,Bacteria,15,2703810,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Macinerneyibacteriota,cellular root;domain;no rank;clade;phylum,131567;2;2323;1783234;2703810
Candidatus Niyogiibacteriota,Bacteria,15,1817912,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Parcubacteria group;Candidatus Niyogiibacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794811;1817912
Candidatus Schekmaniibacteriota,Bacteria,14,1817811,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Schekmaniibacteriota,cellular root;domain;no rank;clade;phylum,131567;2;2323;1783234;1817811
Candidatus Brenneribacteriota,Bacteria,13,1817902,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Parcubacteria group;Candidatus Brenneribacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794811;1817902
Candidatus Brockarchaeota,Archaea,13,2587344,cellular organisms;Archaea;Thermoproteati;Candidatus Brockarchaeota,cellular root;domain;kingdom;phylum,131567;2157;1783275;2587344
Candidatus Spechtiibacteriota,Bacteria,13,1817915,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Parcubacteria group;Candidatus Spechtiibacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794811;1817915
Candidatus Glassiibacteriota,Bacteria,13,1817805,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Glassiibacteriota,cellular root;domain;no rank;clade;phylum,131567;2;2323;1783234;1817805
Thermodesulfobiota,Bacteria,12,3002442,cellular organisms;Bacteria;Pseudomonadati;Thermodesulfobiota,cellular root;domain;kingdom;phylum,131567;2;3379134;3002442
Candidatus Moduliflexota,Bacteria,12,3071909,cellular organisms;Bacteria;Candidatus Moduliflexota,cellular root;domain;phylum,131567;2;3071909
Candidatus Tagaibacteriota,Bacteria,11,1817918,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Parcubacteria group;Candidatus Tagaibacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794811;1817918
Chrysiogenota,Bacteria,11,200938,cellular organisms;Bacteria;Pseudomonadati;Chrysiogenota,cellular root;domain;kingdom;phylum,131567;2;3379134;200938
Candidatus Helarchaeota,Archaea,11,2572044,cellular organisms;Archaea;Promethearchaeati;Candidatus Helarchaeota,cellular root;domain;kingdom;phylum,131567;2157;1935183;2572044
Candidatus Fraseribacteriota,Bacteria,11,1817804,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Fraseribacteriota,cellular root;domain;no rank;clade;phylum,131567;2;2323;1783234;1817804
candidate division CPR2,Bacteria,10,1618339,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;candidate division CPR2,cellular root;domain;no rank;clade;phylum,131567;2;2323;1783234;1618339
Candidatus Culexarchaeota,Archaea,9,2986807,cellular organisms;Archaea;Thermoproteati;Candidatus Culexarchaeota,cellular root;domain;kingdom;phylum,131567;2157;1783275;2986807
candidate division CPR3,Bacteria,9,1618340,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;candidate division CPR3,cellular root;domain;no rank;clade;phylum,131567;2;2323;1783234;1618340
Candidatus Chisholmiibacteriota,Bacteria,9,1817900,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Microgenomates group;Candidatus Chisholmiibacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794810;1817900
Candidatus Caldatribacteriota,Bacteria,9,3097285,cellular organisms;Bacteria;Bacteria incertae sedis;Candidatus Caldatribacteriota,cellular root;domain;no rank;phylum,131567;2;2323;3097285
Candidatus Elulimicrobiota,Bacteria,8,2802647,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Candidatus Elulimicrobiota,cellular root;domain;no rank;clade;clade;phylum,131567;2;2323;1783234;1783273;2802647
Candidatus Baldrarchaeota,Archaea,8,2798909,cellular organisms;Archaea;Promethearchaeati;Candidatus Baldrarchaeota,cellular root;domain;kingdom;phylum,131567;2157;1935183;2798909
Candidatus Borrarchaeota,Archaea,8,2798908,cellular organisms;Archaea;Promethearchaeati;Candidatus Borrarchaeota,cellular root;domain;kingdom;phylum,131567;2157;1935183;2798908
candidate division CSSED10-310,Bacteria,8,2855607,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;candidate division CSSED10-310,cellular root;domain;no rank;clade;phylum,131567;2;2323;1783234;2855607
Candidatus Huberarchaeota,Archaea,8,2582950,cellular organisms;Archaea;Nanobdellati;Candidatus Huberarchaeota,cellular root;domain;kingdom;phylum,131567;2157;1783276;2582950
candidate division LCP-89,Bacteria,7,2576005,cellular organisms;Bacteria;Pseudomonadati;FCB group;candidate division LCP-89,cellular root;domain;kingdom;clade;phylum,131567;2;3379134;1783270;2576005
Candidatus Muiribacteriota,Bacteria,7,2767197,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Muiribacteriota,cellular root;domain;no rank;clade;phylum,131567;2;2323;1783234;2767197
Candidatus Handelsmaniibacteriota,Bacteria,7,1817806,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Handelsmaniibacteriota,cellular root;domain;no rank;clade;phylum,131567;2;2323;1783234;1817806
Candidatus Raymondiibacteriota,Bacteria,7,1817809,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Raymondiibacteriota,cellular root;domain;no rank;clade;phylum,131567;2;2323;1783234;1817809
Candidatus Gerdarchaeota,Archaea,7,2795490,cellular organisms;Archaea;Promethearchaeati;Candidatus Gerdarchaeota,cellular root;domain;kingdom;phylum,131567;2157;1935183;2795490
Candidatus Lindowiibacteriota,Bacteria,7,1817807,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Lindowiibacteriota,cellular root;domain;no rank;clade;phylum,131567;2;2323;1783234;1817807
Candidatus Sifarchaeota,Archaea,6,2792781,cellular organisms;Archaea;Promethearchaeati;Candidatus Sifarchaeota,cellular root;domain;kingdom;phylum,131567;2157;1935183;2792781
Candidatus Caldipriscota,Bacteria,5,2731992,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Caldipriscota,cellular root;domain;no rank;clade;phylum,131567;2;2323;1783234;2731992
Candidatus Tharpellota,Bacteria,5,2954143,cellular organisms;Bacteria;Candidatus Tharpellota,cellular root;domain;phylum,131567;2;2954143
Candidatus Wukongarchaeota,Archaea,5,2798905,cellular organisms;Archaea;Promethearchaeati;Candidatus Wukongarchaeota,cellular root;domain;kingdom;phylum,131567;2157;1935183;2798905
Candidatus Lithacetigenota,Bacteria,5,2986052,cellular organisms;Bacteria;Bacillati;Candidatus Lithacetigenota,cellular root;domain;kingdom;phylum,131567;2;1783272;2986052
Candidatus Electryoneota,Bacteria,5,3031806,cellular organisms;Bacteria;Pseudomonadati;FCB group;Candidatus Electryoneota,cellular root;domain;kingdom;clade;phylum,131567;2;3379134;1783270;3031806
Candidatus Sigynarchaeota,Archaea,4,3036962,cellular organisms;Archaea;Promethearchaeati;Candidatus Sigynarchaeota,cellular root;domain;kingdom;phylum,131567;2157;1935183;3036962
Candidatus Freyarchaeota,Archaea,4,2827219,cellular organisms;Archaea;Promethearchaeati;Candidatus Freyarchaeota,cellular root;domain;kingdom;phylum,131567;2157;1935183;2827219
Thermosulfidibacterota,Bacteria,4,3123113,cellular organisms;Bacteria;Pseudomonadati;Thermosulfidibacterota,cellular root;domain;kingdom;phylum,131567;2;3379134;3123113
Candidatus Abawacaibacteriota,Bacteria,3,1817796,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Abawacaibacteriota,cellular root;domain;no rank;clade;phylum,131567;2;2323;1783234;1817796
Candidatus Effluviviacota,Bacteria,3,3232315,cellular organisms;Bacteria;Candidatus Effluviviacota,cellular root;domain;phylum,131567;2;3232315
candidate division CPR1,Bacteria,3,1618338,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;candidate division CPR1,cellular root;domain;no rank;clade;phylum,131567;2;2323;1783234;1618338
Candidatus Wirthbacteria,Bacteria,3,1817926,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Wirthbacteria,cellular root;domain;no rank;clade;phylum,131567;2;2323;1783234;1817926
Candidatus Blackallbacteria,Bacteria,3,2798537,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Blackallbacteria,cellular root;domain;no rank;clade;phylum,131567;2;2323;1783234;2798537
Candidatus Hinthialibacterota,Bacteria,3,3039652,cellular organisms;Bacteria;Candidatus Hinthialibacterota,cellular root;domain;phylum,131567;2;3039652
Candidatus Lernaellota,Bacteria,2,3039322,cellular organisms;Bacteria;Candidatus Lernaellota,cellular root;domain;phylum,131567;2;3039322
candidate division KD3-62,Bacteria,1,1704031,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;candidate division KD3-62,cellular root;domain;no rank;clade;phylum,131567;2;2323;1783234;1704031
Candidatus Kariarchaeota,Archaea,1,2798907,cellular organisms;Archaea;Promethearchaeati;Candidatus Kariarchaeota,cellular root;domain;kingdom;phylum,131567;2157;1935183;2798907
Candidatus Geoarchaeota,Archaea,1,1448933,cellular organisms;Archaea;Thermoproteati;Candidatus Geoarchaeota,cellular root;domain;kingdom;phylum,131567;2157;1783275;1448933
Candidatus Fischeribacteriota,Bacteria,1,1817803,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Fischeribacteriota,cellular root;domain;no rank;clade;phylum,131567;2;2323;1783234;1817803
Candidatus Cerribacteria,Bacteria,1,2301208,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Microgenomates group;Candidatus Cerribacteria,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794810;2301208
