phylum,domain,phylum_counts,taxid,lineage,lineage_ranks,lineage_taxids
Synergistota,Bacteria,954,508458,cellular organisms;Bacteria;Thermotogati;Synergistota,cellular root;domain;kingdom;phylum,131567;2;3384194;508458
Deferribacterota,Bacteria,942,200930,cellular organisms;Bacteria;Pseudomonadati;Deferribacterota,cellular root;domain;kingdom;phylum,131567;2;3379134;200930
Candidatus Peregrinibacteriota,Bacteria,853,1619053,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Peregrinibacteriota,cellular root;domain;no rank;clade;phylum,131567;2;2323;1783234;1619053
Deinococcota,Bacteria,824,1297,cellular organisms;Bacteria;Thermotogati;Deinococcota,cellular root;domain;kingdom;phylum,131567;2;3384194;1297
Chlorobiota,Bacteria,813,1090,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Chlorobiota,cellular root;domain;kingdom;clade;clade;phylum,131567;2;3379134;1783270;68336;1090
Candidatus Cloacimonadota,Bacteria,768,456828,cellular organisms;Bacteria;Pseudomonadati;FCB group;Candidatus Cloacimonadota,cellular root;domain;kingdom;clade;phylum,131567;2;3379134;1783270;456828
Nanobdellota,Archaea,754,192989,cellular organisms;Archaea;Nanobdellati;Nanobdellota,cellular root;domain;kingdom;phylum,131567;2157;1783276;192989
Thermotogota,Bacteria,741,200918,cellular organisms;Bacteria;Thermotogati;Thermotogota,cellular root;domain;kingdom;phylum,131567;2;3384194;200918
Fibrobacterota,Bacteria,691,65842,cellular organisms;Bacteria;Pseudomonadati;FCB group;Fibrobacterota,cellular root;domain;kingdom;clade;phylum,131567;2;3379134;1783270;65842
Rhodothermota,Bacteria,662,1853220,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Rhodothermota,cellular root;domain;kingdom;clade;clade;phylum,131567;2;3379134;1783270;68336;1853220
Vulcanimicrobiota,Bacteria,629,1154676,cellular organisms;Bacteria;Bacillati;Vulcanimicrobiota,cellular root;domain;kingdom;phylum,131567;2;1783272;1154676
Kiritimatiellota,Bacteria,613,134625,cellular organisms;Bacteria;Pseudomonadati;PVC group;Kiritimatiellota,cellular root;domain;kingdom;clade;phylum,131567;2;3379134;1783257;134625
Aquificota,Bacteria,542,200783,cellular organisms;Bacteria;Pseudomonadati;Aquificota,cellular root;domain;kingdom;phylum,131567;2;3379134;200783
Candidatus Aminicenantota,Bacteria,537,67817,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Aminicenantota,cellular root;domain;no rank;clade;phylum,131567;2;2323;1783234;67817
Candidatus Dormiibacterota,Bacteria,532,2052312,cellular organisms;Bacteria;Bacillati;Candidatus Dormiibacterota,cellular root;domain;kingdom;phylum,131567;2;1783272;2052312
Candidatus Binatota,Bacteria,524,2528254,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Binatota,cellular root;domain;no rank;clade;phylum,131567;2;2323;1783234;2528254
Balneolota,Bacteria,523,1936987,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Balneolota,cellular root;domain;kingdom;clade;clade;phylum,131567;2;3379134;1783270;68336;1936987
Candidatus Moraniibacteriota,Bacteria,512,1752737,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Parcubacteria group;Candidatus Moraniibacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794811;1752737
Nitrospinota,Bacteria,501,1293497,cellular organisms;Bacteria;Pseudomonadati;Nitrospinota/Tectimicrobiota group;Nitrospinota,cellular root;domain;kingdom;clade;phylum,131567;2;3379134;1802340;1293497
Candidatus Aenigmatarchaeota,Archaea,467,743724,cellular organisms;Archaea;Nanobdellati;Candidatus Aenigmatarchaeota,cellular root;domain;kingdom;phylum,131567;2157;1783276;743724
Candidatus Methylomirabilota,Bacteria,418,640293,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Methylomirabilota,cellular root;domain;no rank;clade;phylum,131567;2;2323;1783234;640293
Candidatus Nomuraibacteriota,Bacteria,414,1752729,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Parcubacteria group;Candidatus Nomuraibacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794811;1752729
Candidatus Altimarinota,Bacteria,391,363464,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Candidatus Altimarinota,cellular root;domain;no rank;clade;clade;phylum,131567;2;2323;1783234;1783273;363464
candidate division WOR-3,Bacteria,373,1703755,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;candidate division WOR-3,cellular root;domain;no rank;clade;phylum,131567;2;2323;1783234;1703755
Candidatus Zixiibacteriota,Bacteria,372,1379697,cellular organisms;Bacteria;Pseudomonadati;FCB group;Candidatus Zixiibacteriota,cellular root;domain;kingdom;clade;phylum,131567;2;3379134;1783270;1379697
Promethearchaeota,Archaea,371,3366641,cellular organisms;Archaea;Promethearchaeati;Promethearchaeota,cellular root;domain;kingdom;phylum,131567;2157;1935183;3366641
Candidatus Latescibacterota,Bacteria,341,74015,cellular organisms;Bacteria;Pseudomonadati;FCB group;Candidatus Latescibacterota,cellular root;domain;kingdom;clade;phylum,131567;2;3379134;1783270;74015
Candidatus Bipolaricaulota,Bacteria,320,67810,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Bipolaricaulota,cellular root;domain;no rank;clade;phylum,131567;2;2323;1783234;67810
Candidatus Eiseniibacteriota,Bacteria,315,1817801,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Eiseniibacteriota,cellular root;domain;no rank;clade;phylum,131567;2;2323;1783234;1817801
Candidatus Poribacteria,Bacteria,302,265317,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Poribacteria,cellular root;domain;no rank;clade;phylum,131567;2;2323;1783234;265317
Candidatus Uhriibacteriota,Bacteria,288,1752732,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Parcubacteria group;Candidatus Uhriibacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794811;1752732
Candidatus Woeseibacteriota,Bacteria,283,1752722,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Microgenomates group;Candidatus Woeseibacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794810;1752722
Candidatus Hydrogenedentota,Bacteria,280,142187,cellular organisms;Bacteria;Pseudomonadati;FCB group;Candidatus Hydrogenedentota,cellular root;domain;kingdom;clade;phylum,131567;2;3379134;1783270;142187
Candidatus Parcubacteria,Bacteria,278,221216,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Parcubacteria group;Candidatus Parcubacteria,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794811;221216
Thermomicrobiota,Bacteria,277,3027942,cellular organisms;Bacteria;Pseudomonadati;Thermomicrobiota,cellular root;domain;kingdom;phylum,131567;2;3379134;3027942
Calditrichota,Bacteria,274,1930617,cellular organisms;Bacteria;Pseudomonadati;Calditrichota,cellular root;domain;kingdom;phylum,131567;2;3379134;1930617
Candidatus Kaiseribacteriota,Bacteria,271,1752734,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Parcubacteria group;Candidatus Kaiseribacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794811;1752734
Atribacterota,Bacteria,267,67818,cellular organisms;Bacteria;Pseudomonadati;Atribacterota,cellular root;domain;kingdom;phylum,131567;2;3379134;67818
Candidatus Parvarchaeota,Archaea,235,1462422,cellular organisms;Archaea;Nanobdellati;Candidatus Parvarchaeota,cellular root;domain;kingdom;phylum,131567;2157;1783276;1462422
Candidatus Rokuibacteriota,Bacteria,223,1752708,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Rokuibacteriota,cellular root;domain;no rank;clade;phylum,131567;2;2323;1783234;1752708
Candidatus Kapaibacteriota,Bacteria,219,3349921,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Candidatus Kapaibacteriota,cellular root;domain;kingdom;clade;clade;phylum,131567;2;3379134;1783270;68336;3349921
Candidatus Magasanikiibacteriota,Bacteria,217,1752731,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Parcubacteria group;Candidatus Magasanikiibacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794811;1752731
Candidatus Levyibacteriota,Bacteria,214,1752719,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Microgenomates group;Candidatus Levyibacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794810;1752719
Candidatus Thorarchaeota,Archaea,211,1706441,cellular organisms;Archaea;Promethearchaeati;Candidatus Thorarchaeota,cellular root;domain;kingdom;phylum,131567;2157;1935183;1706441
Caldisericota,Bacteria,207,67814,cellular organisms;Bacteria;Pseudomonadati;Caldisericota/Cryosericota group;Caldisericota,cellular root;domain;kingdom;clade;phylum,131567;2;3379134;2498710;67814
Candidatus Falkowiibacteriota,Bacteria,203,1752728,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Parcubacteria group;Candidatus Falkowiibacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794811;1752728
Candidatus Roizmaniibacteriota,Bacteria,187,1752723,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Microgenomates group;Candidatus Roizmaniibacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794810;1752723
Candidatus Krumholzibacteriota,Bacteria,181,2698788,cellular organisms;Bacteria;Candidatus Krumholzibacteriota,cellular root;domain;phylum,131567;2;2698788
candidate division WWE3,Bacteria,175,422282,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;candidate division WWE3,cellular root;domain;no rank;clade;phylum,131567;2;2323;1783234;422282
Candidatus Nealsoniibacteriota,Bacteria,171,1817911,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Parcubacteria group;Candidatus Nealsoniibacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794811;1817911
Candidatus Heimdallarchaeota,Archaea,169,1936272,cellular organisms;Archaea;Promethearchaeati;Candidatus Heimdallarchaeota,cellular root;domain;kingdom;phylum,131567;2157;1935183;1936272
Candidatus Iainarchaeota,Archaea,165,743725,cellular organisms;Archaea;Nanobdellati;Candidatus Iainarchaeota,cellular root;domain;kingdom;phylum,131567;2157;1783276;743725
