Metric	Value
Total_Phyla_Shown	9
Top_Phyla_Count	8
Other_Category_Included	Yes
Total_Eukaryota_Genomes	49,999
Total_18S_Sequences	400,105
Total_18S_OTUs	70,560
Total_Eukaryota_Species	20,712
Filtering_Method	Top 8 by total representation
Color_System	Shared taxonomic color mapping
