DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Viruses_genome_counts
Enterovirus_G_species_106966	23
New_World_begomovirus_associated_satellite_DNA_species_1149866	22
Eel_River_basin_pequenovirus_species_1609634	22
Traversvirus_II_species_1981164	22
Cyvirus_cyprinidallo3_species_3050271	22
Varicellovirus_humanalpha3_species_3050294	22
Ranavirus_ambystoma1_species_265294	21
Orthohantavirus_hantanense_species_3052480	21
Common_midwife_toad_virus_species_540070	21
Chatterjeevirus_ICP3_species_2733612	20
Pbunavirus_PB1_species_2006179	20
Percavirus_equidgamma2_species_3050281	20
Muromegalovirus_muridbeta1_species_3050323	19
Microwolfvirus_JHC117_species_1034136	19
Human_smacovirus_1_species_1595998	19
Fowl_aviadenovirus_B_species_190062	19
Epizootic_haematopoietic_necrosis_virus_species_100217	19
Potyvirus_yituberosi_species_3240642	18
Sweet_potato_leaf_curl_virus_species_100755	18
Murine_coronavirus_species_694005	18
Wheat_dwarf_virus_species_10834	18
Tomato_yellow_leaf_curl_China_virus_species_185793	18
Nereusvirus_tusconc4_species_2734124	18
Simplexvirus_macacinealpha1_species_3050305	18
Bhendi_yellow_vein_mosaic_betasatellite_species_908070	18
Honeysuckle_yellow_vein_virus_species_240865	17
Gammapapillomavirus_7_species_1175849	17
Hepatovirus_ahepa_species_3407641	17
Gilesvirus_giles_species_1982151	17
Teschovirus_A_species_118140	17
Rodent_stool-associated_circular_genome_virus_species_1074214	17
Plotvirus_plot_species_2170099	17
Cotton_leaf_curl_Gezira_virus_species_222459	17
Circular_ssDNA_virus_sp._species_2805939	17
Chilli_leaf_curl_virus_species_172278	17
Tomato_leaf_curl_betasatellite_species_220812	17
Mesta_yellow_vein_mosaic_virus_species_360579	16
Saltwater_crocodilepox_virus_species_2083001	16
Porcine_circovirus-like_virus_P1_species_1506546	16
Basavirus_sp._species_1930507	16
Emesvirus_zinderi_species_329852	16
Papaya_leaf_curl_virus_species_53260	16
Vequintavirus_murica_species_2560448	16
Microwolfvirus_microwolf_species_1034140	16
Kobuvirus_aichi_species_72149	16
Cotton_leaf_curl_Multan_betasatellite_species_306025	16
Corchorus_golden_mosaic_virus_species_390436	16
Simian_mastadenovirus_B_species_1962299	15
Giant_panda_associated_gemycircularvirus_species_2016461	15
Pestivirus_bovis_species_3052619	15
Faustovirus_species_1477405	15
Duck_atadenovirus_A_species_130328	15
Skunavirus_ASCC273_species_1165135	15
Ageratum_yellow_vein_virus_species_44560	15
Murine_leukemia_virus_species_11786	15
Rimavirus_rima_species_2560784	15
Bhendi_yellow_vein_India_betasatellite_species_908009	15
unidentified_virus_species_1214906	15
Canine_mastadenovirus_A_species_10537	15
Inovirus_M13_species_1977402	14
Circovirus_sp._species_1964372	14
Gammapapillomavirus_22_species_1961679	14
Virus_sp._species_2202649	14
Fletchervirus_CPX_species_1110702	14
Gammapapillomavirus_sp._species_2049444	14
Potyvirus_plumpoxi_species_3240600	14
Turkey_siadenovirus_A_species_298333	14
Limestonevirus_limestone_species_1091052	14
Klausavirus_princesstrina_species_1984784	14
Orthobornavirus_sciuri_species_1897087	14
Alphapapillomavirus_3_species_333767	14
Torque_teno_virus_species_68887	14
Vientovirus_species_2732655	14
Mamastrovirus_1_species_1239565	14
Rubivirus_rubellae_species_2846071	14
Henipavirus_nipahense_species_3052225	14
Tequatrovirus_T4_species_10665	14
Alphapapillomavirus_12_species_10570	14
Korravirus_drrobert_species_1982078	13
Korravirus_glenn_species_1982079	13
Varicellovirus_equidalpha4_species_3050278	13
Pegivirus_hominis_species_3052608	13
Woesvirus_woes_species_1982751	13
White_spot_syndrome_virus_species_342409	13
Dependoparvovirus_anseriform1_species_1511895	13
Gammapapillomavirus_12_species_1513257	13
Gammapapillomavirus_24_species_1961681	13
Alphapapillomavirus_9_species_337041	13
Cotton_leaf_curl_Multan_virus_species_223252	13
Xipapillomavirus_1_species_10561	12
Jiaodavirus_jd18_species_1985326	12
Pegunavirus_suffolk_species_1986540	12
Alphapapillomavirus_10_species_333754	12
Human_mastadenovirus_G_species_536079	12
Deer_atadenovirus_A_species_2169706	12
Lederbergvirus_P22_species_10754	12
Orthobunyavirus_guaroaense_species_3052397	12
Avipoxvirus_sp._species_1928336	12
Mardivirus_anatidalpha1_species_3049524	12
Mosigvirus_mar005p1_species_2560437	12
Goatpox_virus_species_186805	12
Reginaelenavirus_rv3LV2017_species_2734071	12
Ficleduovirus_FCV1_species_2560474	12
Coronavirus_HKU15_species_1965089	12
Elveevirus_4LV2017_species_2734062	12
Mimivirus_bradfordmassiliense_species_3047343	12
Hepatitis_delta_virus_species_12475	12
Giant_panda_anellovirus_species_2016460	12
Affertcholeramvirus_CTXphi_species_141904	12
Cardiovirus_B_species_1821750	11
Kummerowia_striata_gokushovirus_species_2740155	11
Neptunevirus_srim18_species_2734121	11
Redspotted_grouper_nervous_necrosis_virus_species_43763	11
Orthorubulavirus_parotitidis_species_3052560	11
Cyclovirus_nhanloai_species_3047966	11
Cardiovirus_D_species_2734523	11
Brizovirus_syn33_species_2734097	11
Ahtivirus_sagseatwo_species_2734079	11
Helsettvirus_fPS9_species_2733625	11
Microwolfvirus_Bxz2_species_205870	11
Gammapapillomavirus_11_species_1513256	11
Gammapapillomavirus_19_species_1513264	11
Bifilivirus_B5_species_1977412	11
Avian_coronavirus_species_694014	11
Tomato_leaf_curl_Bangladesh_betasatellite_species_885379	11
Varicellovirus_canidalpha1_species_3050251	11
Affertcholeramvirus_preCTX1_species_2955230	11
Beet_curly_top_virus_species_10840	11
East_African_cassava_mosaic_virus_species_62079	11
Orthobunyavirus_bunyamweraense_species_3052381	11
Human_gut_gokushovirus_species_1986031	11
Squash_leaf_curl_China_virus_species_223323	11
Alphapapillomavirus_2_species_337039	11
Alphapapillomavirus_7_species_337042	11
Gammapapillomavirus_8_species_1175850	11
Sicinivirus_A_species_1755588	10
Wolbachia_phage_WO_species_112596	10
Qubevirus_faecium_species_39804	10
Cotton_leaf_curl_Rajasthan_virus_species_223259	10
Rasavirus_sp._species_1930508	10
Euphorbia_yellow_mosaic_virus_species_598494	10
Bovine_papular_stomatitis_virus_species_129727	10
Paslahepevirus_balayani_species_1678143	10
Amigovirus_amigo_species_1982100	10
Geminiviridae_sp._species_2202566	10
Primate_T-lymphotropic_virus_2_species_194441	10
Brisavirus_species_2732654	10
Tomato_leaf_curl_virus_species_28350	10
Protoparvovirus_rodent1_species_3052717	10
Ilzatvirus_hamlet_species_2560591	10
Avihepatovirus_A_species_691956	10
Camelpox_virus_species_28873	10
Mammalian_orthoreovirus_species_351073	10
Kolesnikvirus_Ea214_species_1965384	10
Porcine_associated_porprismacovirus_species_2496634	10
Pseudotevenvirus_leb_species_2844035	9
Sida_micrantha_mosaic_virus_species_228897	9
Gammapapillomavirus_15_species_1513260	9
Pbunavirus_PA8P1_species_2601635	9
Santee-Cooper_ranavirus_species_198068	9
Dependoparvovirus_primate1_species_1511891	9
Vequintavirus_FFH2_species_1914856	9
Rosemountvirus_yarpen_species_2846142	9
Hunnivirus_A_species_1431460	9
