genus,census_otu_count,census_size_count,otu_percentage,size_percentage,gtdb_genome_count,gtdb_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,coverage_percentage,novelty_factor,overrepresentation_factor,direct_matches,lineage_matches,total_matches,match_status
Methylobacterium,105,723,0.04,0.06,331,331,0,0.06,0.06,0.0,315.24,0.317,3.152,1,0,1,matched
Bulleidia,3,5,0.0,0.0,327,327,0,0.06,0.06,0.0,10900.0,0.009,109.0,1,0,1,matched
Psychrobacter,216,943,0.08,0.08,326,326,0,0.06,0.06,0.0,150.93,0.663,1.509,1,0,1,matched
Alteromonas,275,1154,0.1,0.1,325,325,0,0.05,0.05,0.0,118.18,0.846,1.182,1,0,1,matched
Dubosiella,20,103,0.01,0.01,320,320,0,0.05,0.05,0.0,1600.0,0.062,16.0,1,0,1,matched
Turicibacter,98,372,0.04,0.03,310,310,0,0.05,0.05,0.0,316.33,0.316,3.163,1,0,1,matched
Acetobacter,52,481,0.02,0.04,310,310,0,0.05,0.05,0.0,596.15,0.168,5.962,1,0,1,matched
Elizabethkingia,11,195,0.0,0.02,305,305,0,0.05,0.05,0.0,2772.73,0.036,27.727,1,0,1,matched
Tenacibaculum,98,311,0.04,0.03,304,304,0,0.05,0.05,0.0,310.2,0.322,3.102,1,0,1,matched
Bartonella,15,196,0.01,0.02,304,304,0,0.05,0.05,0.0,2026.67,0.049,20.267,1,0,1,matched
Brachyspira,24,90,0.01,0.01,302,302,0,0.05,0.05,0.0,1258.33,0.079,12.583,1,0,1,matched
Coprococcus,183,639,0.07,0.05,302,302,0,0.05,0.05,0.0,165.03,0.606,1.65,1,0,1,matched
Dialister,185,841,0.07,0.07,293,293,0,0.05,0.05,0.0,158.38,0.631,1.584,1,0,1,matched
Sphingobium,141,785,0.05,0.07,292,292,0,0.05,0.05,0.0,207.09,0.483,2.071,1,0,1,matched
Nitrosopumilus,1,200,0.0,0.02,288,288,0,0.05,0.05,0.0,28800.0,0.003,288.0,1,0,1,matched
Curtobacterium,31,244,0.01,0.02,288,288,0,0.05,0.05,0.0,929.03,0.108,9.29,1,0,1,matched
Ochrobactrum,99,783,0.04,0.07,284,284,0,0.05,0.05,0.0,286.87,0.349,2.869,0,1,1,matched
Phascolarctobacterium,115,806,0.04,0.07,283,283,0,0.05,0.05,0.0,246.09,0.406,2.461,1,0,1,matched
Anaerostipes,201,716,0.08,0.06,282,282,0,0.05,0.05,0.0,140.3,0.713,1.403,1,0,1,matched
Anaerotruncus,41,84,0.02,0.01,282,282,0,0.05,0.05,0.0,687.8,0.145,6.878,1,0,1,matched
Chlamydia,5,47,0.0,0.0,274,274,0,0.05,0.05,0.0,5480.0,0.018,54.8,1,0,1,matched
Anaerotignum,5,104,0.0,0.01,270,270,0,0.05,0.05,0.0,5400.0,0.019,54.0,1,0,1,matched
