genus,census_otu_count,census_size_count,otu_percentage,size_percentage,gtdb_genome_count,gtdb_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,coverage_percentage,novelty_factor,overrepresentation_factor,direct_matches,lineage_matches,total_matches,match_status
Pistricoccus,1,3,0.0,0.0,1,1,0,0.0,0.0,0.0,100.0,1.0,1.0,1,0,1,matched
Siansivirga,3,5,0.0,0.0,1,1,0,0.0,0.0,0.0,33.33,3.0,0.333,1,0,1,matched
Phaeovibrio,1,1,0.0,0.0,1,1,0,0.0,0.0,0.0,100.0,1.0,1.0,1,0,1,matched
Aciditerrimonas,9,54,0.0,0.0,1,1,0,0.0,0.0,0.0,11.11,9.0,0.111,1,0,1,matched
Changchengzhania,3,5,0.0,0.0,1,1,0,0.0,0.0,0.0,33.33,3.0,0.333,1,0,1,matched
Oryzihumus,24,352,0.01,0.03,1,1,0,0.0,0.0,0.0,4.17,24.0,0.042,1,0,1,matched
Allocatelliglobosispora,3,4,0.0,0.0,1,1,0,0.0,0.0,0.0,33.33,3.0,0.333,1,0,1,matched
Hazenella,1,3,0.0,0.0,1,1,0,0.0,0.0,0.0,100.0,1.0,1.0,1,0,1,matched
Microaerobacter,1,1,0.0,0.0,1,1,0,0.0,0.0,0.0,100.0,1.0,1.0,1,0,1,matched
Flexibacter,19,69,0.01,0.01,1,1,0,0.0,0.0,0.0,5.26,19.0,0.053,1,0,1,matched
Aestuariicoccus,10,12,0.0,0.0,1,1,0,0.0,0.0,0.0,10.0,10.0,0.1,0,1,1,matched
Carnimonas,5,8,0.0,0.0,1,1,0,0.0,0.0,0.0,20.0,5.0,0.2,1,0,1,matched
Flaviramulus,5,6,0.0,0.0,1,1,0,0.0,0.0,0.0,20.0,5.0,0.2,1,0,1,matched
Acetohalobium,3,8,0.0,0.0,1,1,0,0.0,0.0,0.0,33.33,3.0,0.333,1,0,1,matched
Actinorhabdospora,1,1,0.0,0.0,1,1,0,0.0,0.0,0.0,100.0,1.0,1.0,1,0,1,matched
Thermocatellispora,3,5,0.0,0.0,1,1,0,0.0,0.0,0.0,33.33,3.0,0.333,1,0,1,matched
Hugenholtzia,9,39,0.0,0.0,1,1,0,0.0,0.0,0.0,11.11,9.0,0.111,1,0,1,matched
Natronobiforma,1,2,0.0,0.0,1,1,0,0.0,0.0,0.0,100.0,1.0,1.0,1,0,1,matched
Thiohalophilus,62,144,0.02,0.01,1,1,0,0.0,0.0,0.0,1.61,62.0,0.016,1,0,1,matched
Sediminitomix,1,2,0.0,0.0,1,1,0,0.0,0.0,0.0,100.0,1.0,1.0,1,0,1,matched
Aureitalea,7,23,0.0,0.0,1,1,0,0.0,0.0,0.0,14.29,7.0,0.143,1,0,1,matched
Chlorogloea,5,16,0.0,0.0,1,1,0,0.0,0.0,0.0,20.0,5.0,0.2,0,1,1,matched
Haloparvum,16,43,0.01,0.0,1,1,0,0.0,0.0,0.0,6.25,16.0,0.062,1,0,1,matched
Oculatella,5,18,0.0,0.0,1,1,0,0.0,0.0,0.0,20.0,5.0,0.2,1,0,1,matched
Desulfohalobium,4,9,0.0,0.0,1,1,0,0.0,0.0,0.0,25.0,4.0,0.25,1,0,1,matched
Pseudozobellia,2,2,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Lihuaxuella,2,5,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Nanoarchaeum,17,55,0.01,0.0,1,1,0,0.0,0.0,0.0,5.88,17.0,0.059,1,0,1,matched
Paramaledivibacter,8,12,0.0,0.0,1,1,0,0.0,0.0,0.0,12.5,8.0,0.125,1,0,1,matched
Lyngbya,21,56,0.01,0.0,1,1,0,0.0,0.0,0.0,4.76,21.0,0.048,1,0,1,matched
Pseudarcicella,35,912,0.01,0.08,1,1,0,0.0,0.0,0.0,2.86,35.0,0.029,1,0,1,matched
Desulfospira,2,2,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Fonticella,52,116,0.02,0.01,1,1,0,0.0,0.0,0.0,1.92,52.0,0.019,1,0,1,matched
Telmatocola,8,20,0.0,0.0,1,1,0,0.0,0.0,0.0,12.5,8.0,0.125,1,0,1,matched
Methanosphaerula,2,14,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Inmirania,11,19,0.0,0.0,1,1,0,0.0,0.0,0.0,9.09,11.0,0.091,1,0,1,matched
Halotia,2,8,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Rehaibacterium,10,87,0.0,0.01,1,1,0,0.0,0.0,0.0,10.0,10.0,0.1,1,0,1,matched
Arboricoccus,4,4,0.0,0.0,1,1,0,0.0,0.0,0.0,25.0,4.0,0.25,1,0,1,matched
Desulfocarbo,17,46,0.01,0.0,1,1,0,0.0,0.0,0.0,5.88,17.0,0.059,1,0,1,matched
Gomphosphaeria,2,2,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Dissulfurimicrobium,13,56,0.0,0.0,1,1,0,0.0,0.0,0.0,7.69,13.0,0.077,1,0,1,matched
Phaseolibacter,2,5,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Angustibacter,11,74,0.0,0.01,1,1,0,0.0,0.0,0.0,9.09,11.0,0.091,1,0,1,matched
Desulfovirgula,2,3,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Thiorhodospira,2,6,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Pantanalinema,1,4,0.0,0.0,1,1,0,0.0,0.0,0.0,100.0,1.0,1.0,1,0,1,matched
Romeria,1,4,0.0,0.0,1,1,0,0.0,0.0,0.0,100.0,1.0,1.0,1,0,1,matched
Thioflavicoccus,2,14,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Eisenibacter,2,13,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Rivibacter,2,2,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Tenggerimyces,2,3,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Aquimixticola,2,2,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Paraphotobacterium,3,17,0.0,0.0,1,1,0,0.0,0.0,0.0,33.33,3.0,0.333,1,0,1,matched
Antricoccus,6,14,0.0,0.0,1,1,0,0.0,0.0,0.0,16.67,6.0,0.167,1,0,1,matched
Aquaspirillum,13,88,0.0,0.01,1,1,0,0.0,0.0,0.0,7.69,13.0,0.077,1,0,1,matched
Limimonas,8,18,0.0,0.0,1,1,0,0.0,0.0,0.0,12.5,8.0,0.125,1,0,1,matched
Marinactinospora,2,4,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Fervidicella,2,3,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Desulfonispora,2,3,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Anaerovorax,194,591,0.07,0.05,1,1,0,0.0,0.0,0.0,0.52,194.0,0.005,1,0,1,matched
Pseudospirillum,2,4,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Marinithermus,2,8,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Desulfoglaeba,1,4,0.0,0.0,1,1,0,0.0,0.0,0.0,100.0,1.0,1.0,1,0,1,matched
Haloplasma,34,70,0.01,0.01,1,1,0,0.0,0.0,0.0,2.94,34.0,0.029,1,0,1,matched
Crinalium,2,17,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Kallotenue,4,6,0.0,0.0,1,1,0,0.0,0.0,0.0,25.0,4.0,0.25,1,0,1,matched
Catelliglobosispora,2,4,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Rhabdobacter,4,4,0.0,0.0,1,1,0,0.0,0.0,0.0,25.0,4.0,0.25,1,0,1,matched
Demetria,2,4,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Neosynechococcus,2,5,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Chitinivibrio,2,2,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Achromatium,17,35,0.01,0.0,1,1,0,0.0,0.0,0.0,5.88,17.0,0.059,1,0,1,matched
Parvibium,8,14,0.0,0.0,1,1,0,0.0,0.0,0.0,12.5,8.0,0.125,1,0,1,matched
Methylosarcina,6,36,0.0,0.0,1,1,0,0.0,0.0,0.0,16.67,6.0,0.167,1,0,1,matched
Eilatimonas,2,4,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Asaccharospora,2,3,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Gloeotrichia,2,14,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Vulcanibacillus,20,43,0.01,0.0,1,1,0,0.0,0.0,0.0,5.0,20.0,0.05,1,0,1,matched
Sabulilitoribacter,2,8,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Costertonia,2,3,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Clostridiisalibacter,17,28,0.01,0.0,1,1,0,0.0,0.0,0.0,5.88,17.0,0.059,1,0,1,matched
Chrysiogenes,2,4,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Seinonella,2,3,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Emcibacter,4,11,0.0,0.0,1,1,0,0.0,0.0,0.0,25.0,4.0,0.25,1,0,1,matched
Terasakiispira,4,5,0.0,0.0,1,1,0,0.0,0.0,0.0,25.0,4.0,0.25,1,0,1,matched
Coriobacterium,4,9,0.0,0.0,1,1,0,0.0,0.0,0.0,25.0,4.0,0.25,1,0,1,matched
Saliterribacillus,2,2,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Halarsenatibacter,8,15,0.0,0.0,1,1,0,0.0,0.0,0.0,12.5,8.0,0.125,1,0,1,matched
Dethiosulfatarculus,2,2,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Algicola,6,18,0.0,0.0,1,1,0,0.0,0.0,0.0,16.67,6.0,0.167,1,0,1,matched
Defluviimonas,29,107,0.01,0.01,1,1,0,0.0,0.0,0.0,3.45,29.0,0.034,0,1,1,matched
Crenalkalicoccus,2,4,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Salinirubrum,2,25,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Haloactinospora,2,2,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Herbihabitans,4,4,0.0,0.0,1,1,0,0.0,0.0,0.0,25.0,4.0,0.25,1,0,1,matched
Ornatilinea,28,90,0.01,0.01,1,1,0,0.0,0.0,0.0,3.57,28.0,0.036,1,0,1,matched
Snuella,2,2,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Roseospirillum,4,9,0.0,0.0,1,1,0,0.0,0.0,0.0,25.0,4.0,0.25,1,0,1,matched
Filobacillus,2,3,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Sporohalobacter,2,4,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Thorsellia,3,7,0.0,0.0,1,1,0,0.0,0.0,0.0,33.33,3.0,0.333,1,0,1,matched
Pelagirhabdus,1,5,0.0,0.0,1,1,0,0.0,0.0,0.0,100.0,1.0,1.0,1,0,1,matched
Desulfofarcimen,249,289,0.09,0.02,1,1,0,0.0,0.0,0.0,0.4,249.0,0.004,1,0,1,matched
Balneicella,1,1,0.0,0.0,1,1,0,0.0,0.0,0.0,100.0,1.0,1.0,1,0,1,matched
Orbus,6,9,0.0,0.0,1,1,0,0.0,0.0,0.0,16.67,6.0,0.167,1,0,1,matched
Oxobacter,58,102,0.02,0.01,1,1,0,0.0,0.0,0.0,1.72,58.0,0.017,1,0,1,matched
Egibacter,9,37,0.0,0.0,1,1,0,0.0,0.0,0.0,11.11,9.0,0.111,1,0,1,matched
Luteibaculum,9,15,0.0,0.0,1,1,0,0.0,0.0,0.0,11.11,9.0,0.111,1,0,1,matched
Thermotalea,2,3,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Aureibacillus,2,4,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Sulfurifustis,76,390,0.03,0.03,1,1,0,0.0,0.0,0.0,1.32,76.0,0.013,1,0,1,matched
Acetitomaculum,121,249,0.05,0.02,1,1,0,0.0,0.0,0.0,0.83,121.0,0.008,1,0,1,matched
Fuchsiella,4,24,0.0,0.0,1,1,0,0.0,0.0,0.0,25.0,4.0,0.25,1,0,1,matched
Syntrophobotulus,2,5,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Gemmatirosa,18,50,0.01,0.0,1,1,0,0.0,0.0,0.0,5.56,18.0,0.056,1,0,1,matched
Succinispira,4,7,0.0,0.0,1,1,0,0.0,0.0,0.0,25.0,4.0,0.25,1,0,1,matched
Plesiocystis,2,5,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Aureicoccus,1,3,0.0,0.0,1,1,0,0.0,0.0,0.0,100.0,1.0,1.0,1,0,1,matched
Isobaculum,1,1,0.0,0.0,1,1,0,0.0,0.0,0.0,100.0,1.0,1.0,1,0,1,matched
Klugiella,2,5,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Desmospora,3,5,0.0,0.0,1,1,0,0.0,0.0,0.0,33.33,3.0,0.333,1,0,1,matched
Calderihabitans,1,1,0.0,0.0,1,1,0,0.0,0.0,0.0,100.0,1.0,1.0,1,0,1,matched
Samsonia,1,1,0.0,0.0,1,1,0,0.0,0.0,0.0,100.0,1.0,1.0,1,0,1,matched
Ichthyobacterium,25,43,0.01,0.0,1,1,0,0.0,0.0,0.0,4.0,25.0,0.04,1,0,1,matched
Methyloterricola,10,46,0.0,0.0,1,1,0,0.0,0.0,0.0,10.0,10.0,0.1,1,0,1,matched
Planctobacterium,1,8,0.0,0.0,1,1,0,0.0,0.0,0.0,100.0,1.0,1.0,1,0,1,matched
Devriesea,1,3,0.0,0.0,1,1,0,0.0,0.0,0.0,100.0,1.0,1.0,1,0,1,matched
Anaerobium,3,7,0.0,0.0,1,1,0,0.0,0.0,0.0,33.33,3.0,0.333,1,0,1,matched
Spongiivirga,3,3,0.0,0.0,1,1,0,0.0,0.0,0.0,33.33,3.0,0.333,1,0,1,matched
Gaetbulibacter,16,62,0.01,0.01,1,1,0,0.0,0.0,0.0,6.25,16.0,0.062,1,0,1,matched
Anoxybacter,1,1,0.0,0.0,1,1,0,0.0,0.0,0.0,100.0,1.0,1.0,1,0,1,matched
Anaerovirgula,3,3,0.0,0.0,1,1,0,0.0,0.0,0.0,33.33,3.0,0.333,1,0,1,matched
Fontimonas,9,20,0.0,0.0,1,1,0,0.0,0.0,0.0,11.11,9.0,0.111,1,0,1,matched
Thermithiobacillus,1,2,0.0,0.0,1,1,0,0.0,0.0,0.0,100.0,1.0,1.0,1,0,1,matched
Rhabdochromatium,1,2,0.0,0.0,1,1,0,0.0,0.0,0.0,100.0,1.0,1.0,1,0,1,matched
Dichotomicrobium,20,169,0.01,0.01,1,1,0,0.0,0.0,0.0,5.0,20.0,0.05,1,0,1,matched
Desulforegula,3,7,0.0,0.0,1,1,0,0.0,0.0,0.0,33.33,3.0,0.333,1,0,1,matched
Nitritalea,1,2,0.0,0.0,1,1,0,0.0,0.0,0.0,100.0,1.0,1.0,1,0,1,matched
Tuwongella,9,15,0.0,0.0,1,1,0,0.0,0.0,0.0,11.11,9.0,0.111,1,0,1,matched
Gynuella,3,10,0.0,0.0,1,1,0,0.0,0.0,0.0,33.33,3.0,0.333,1,0,1,matched
Beutenbergia,1,3,0.0,0.0,1,1,0,0.0,0.0,0.0,100.0,1.0,1.0,1,0,1,matched
Natribacillus,3,3,0.0,0.0,1,1,0,0.0,0.0,0.0,33.33,3.0,0.333,1,0,1,matched
Anditalea,2,5,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Caedibacter,16,57,0.01,0.0,1,1,0,0.0,0.0,0.0,6.25,16.0,0.062,1,0,1,matched
Methylomusa,1,5,0.0,0.0,1,1,0,0.0,0.0,0.0,100.0,1.0,1.0,1,0,1,matched
Actinorugispora,1,1,0.0,0.0,1,1,0,0.0,0.0,0.0,100.0,1.0,1.0,1,0,1,matched
Arcticibacterium,4,32,0.0,0.0,1,1,0,0.0,0.0,0.0,25.0,4.0,0.25,1,0,1,matched
Thermosporothrix,13,45,0.0,0.0,1,1,0,0.0,0.0,0.0,7.69,13.0,0.077,1,0,1,matched
Desulfovermiculus,65,261,0.02,0.02,1,1,0,0.0,0.0,0.0,1.54,65.0,0.015,1,0,1,matched
Allosalinactinospora,2,2,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Acetonema,3,7,0.0,0.0,1,1,0,0.0,0.0,0.0,33.33,3.0,0.333,1,0,1,matched
Thiocystis,8,24,0.0,0.0,1,1,0,0.0,0.0,0.0,12.5,8.0,0.125,1,0,1,matched
Salinispira,29,100,0.01,0.01,1,1,0,0.0,0.0,0.0,3.45,29.0,0.034,1,0,1,matched
Desmonostoc,16,109,0.01,0.01,1,1,0,0.0,0.0,0.0,6.25,16.0,0.062,1,0,1,matched
Syntrophobacter,115,559,0.04,0.05,1,1,0,0.0,0.0,0.0,0.87,115.0,0.009,1,0,1,matched
Allofustis,2,4,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Desulfurispora,37,73,0.01,0.01,1,1,0,0.0,0.0,0.0,2.7,37.0,0.027,1,0,1,matched
Sinobaca,2,4,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Williamwhitmania,4,36,0.0,0.0,1,1,0,0.0,0.0,0.0,25.0,4.0,0.25,1,0,1,matched
Minicystis,16,54,0.01,0.0,1,1,0,0.0,0.0,0.0,6.25,16.0,0.062,1,0,1,matched
Thiohalospira,2,7,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Millisia,1,2,0.0,0.0,1,1,0,0.0,0.0,0.0,100.0,1.0,1.0,1,0,1,matched
Desulfatirhabdium,26,244,0.01,0.02,1,1,0,0.0,0.0,0.0,3.85,26.0,0.038,1,0,1,matched
Thermohalobacter,1,3,0.0,0.0,1,1,0,0.0,0.0,0.0,100.0,1.0,1.0,1,0,1,matched
Merismopedia,7,10,0.0,0.0,1,1,0,0.0,0.0,0.0,14.29,7.0,0.143,1,0,1,matched
Marinithermofilum,1,3,0.0,0.0,1,1,0,0.0,0.0,0.0,100.0,1.0,1.0,1,0,1,matched
Pajaroellobacter,195,888,0.07,0.07,1,1,0,0.0,0.0,0.0,0.51,195.0,0.005,1,0,1,matched
Longimycelium,8,21,0.0,0.0,1,1,0,0.0,0.0,0.0,12.5,8.0,0.125,1,0,1,matched
Desulfarculus,3,5,0.0,0.0,1,1,0,0.0,0.0,0.0,33.33,3.0,0.333,1,0,1,matched
Caldisalinibacter,1,1,0.0,0.0,1,1,0,0.0,0.0,0.0,100.0,1.0,1.0,1,0,1,matched
Actinocrinis,2,2,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
Fervidicola,1,8,0.0,0.0,1,1,0,0.0,0.0,0.0,100.0,1.0,1.0,1,0,1,matched
Desulfotalea,14,32,0.01,0.0,1,1,0,0.0,0.0,0.0,7.14,14.0,0.071,1,0,1,matched
Ornithinibacillus,16,22,0.01,0.0,1,1,0,0.0,0.0,0.0,6.25,16.0,0.062,0,1,1,matched
Tuberibacillus,3,34,0.0,0.0,1,1,0,0.0,0.0,0.0,33.33,3.0,0.333,1,0,1,matched
Irregularibacter,11,24,0.0,0.0,1,1,0,0.0,0.0,0.0,9.09,11.0,0.091,1,0,1,matched
Hasllibacter,2,2,0.0,0.0,1,1,0,0.0,0.0,0.0,50.0,2.0,0.5,1,0,1,matched
CAG-873,0,0,0.0,0.0,5466,5466,0,0.92,0.92,0.0,0.0,,,0,0,0,gtdb_only
Lepagella,0,0,0.0,0.0,4602,4602,0,0.78,0.78,0.0,0.0,,,0,0,0,gtdb_only
Duncaniella,0,0,0.0,0.0,3493,3493,0,0.59,0.59,0.0,0.0,,,0,0,0,gtdb_only
Paramuribaculum,0,0,0.0,0.0,3481,3481,0,0.59,0.59,0.0,0.0,,,0,0,0,gtdb_only
Cryptobacteroides,0,0,0.0,0.0,3232,3232,0,0.55,0.55,0.0,0.0,,,0,0,0,gtdb_only
UBA3282,0,0,0.0,0.0,3086,3086,0,0.52,0.52,0.0,0.0,,,0,0,0,gtdb_only
COE1,0,0,0.0,0.0,2978,2978,0,0.5,0.5,0.0,0.0,,,0,0,0,gtdb_only
UBA7173,0,0,0.0,0.0,2806,2806,0,0.47,0.47,0.0,0.0,,,0,0,0,gtdb_only
Coproplasma,0,0,0.0,0.0,1819,1819,0,0.31,0.31,0.0,0.0,,,0,0,0,gtdb_only
Pelagibacter,0,0,0.0,0.0,1576,1576,0,0.27,0.27,0.0,0.0,,,0,0,0,gtdb_only
Suilimivivens,0,0,0.0,0.0,1343,1343,0,0.23,0.23,0.0,0.0,,,0,0,0,gtdb_only
Kineothrix,0,0,0.0,0.0,1085,1085,0,0.18,0.18,0.0,0.0,,,0,0,0,gtdb_only
Petralouisia,0,0,0.0,0.0,978,978,0,0.17,0.17,0.0,0.0,,,0,0,0,gtdb_only
Butyribacter,0,0,0.0,0.0,946,946,0,0.16,0.16,0.0,0.0,,,0,0,0,gtdb_only
Gallimonas,0,0,0.0,0.0,885,885,0,0.15,0.15,0.0,0.0,,,0,0,0,gtdb_only
Pelethomonas,0,0,0.0,0.0,843,843,0,0.14,0.14,0.0,0.0,,,0,0,0,gtdb_only
Enterenecus,0,0,0.0,0.0,811,811,0,0.14,0.14,0.0,0.0,,,0,0,0,gtdb_only
Faecousia,0,0,0.0,0.0,801,801,0,0.14,0.14,0.0,0.0,,,0,0,0,gtdb_only
Hominiventricola,0,0,0.0,0.0,795,795,0,0.13,0.13,0.0,0.0,,,0,0,0,gtdb_only
CAG-269,0,0,0.0,0.0,705,705,0,0.12,0.12,0.0,0.0,,,0,0,0,gtdb_only
Enterousia,0,0,0.0,0.0,688,688,0,0.12,0.12,0.0,0.0,,,0,0,0,gtdb_only
UBA3263,0,0,0.0,0.0,683,683,0,0.12,0.12,0.0,0.0,,,0,0,0,gtdb_only
Taurinivorans,0,0,0.0,0.0,653,653,0,0.11,0.11,0.0,0.0,,,0,0,0,gtdb_only
Lawsonibacter,0,0,0.0,0.0,634,634,0,0.11,0.11,0.0,0.0,,,0,0,0,gtdb_only
Vescimonas,0,0,0.0,0.0,624,624,0,0.11,0.11,0.0,0.0,,,0,0,0,gtdb_only
Nanosyncoccus,0,0,0.0,0.0,598,598,0,0.1,0.1,0.0,0.0,,,0,0,0,gtdb_only
Stutzerimonas,0,0,0.0,0.0,593,593,0,0.1,0.1,0.0,0.0,,,0,0,0,gtdb_only
Mediterraneibacter,0,0,0.0,0.0,570,570,0,0.1,0.1,0.0,0.0,,,0,0,0,gtdb_only
Brotaphodocola,0,0,0.0,0.0,565,565,0,0.1,0.1,0.0,0.0,,,0,0,0,gtdb_only
Sporofaciens,0,0,0.0,0.0,564,564,0,0.1,0.1,0.0,0.0,,,0,0,0,gtdb_only
Gemmiger,0,0,0.0,0.0,545,545,0,0.09,0.09,0.0,0.0,,,0,0,0,gtdb_only
RAAP-2,0,0,0.0,0.0,545,545,0,0.09,0.09,0.0,0.0,,,0,0,0,gtdb_only
Mammaliicoccus,0,0,0.0,0.0,515,515,0,0.09,0.09,0.0,0.0,,,0,0,0,gtdb_only
Pelethenecus,0,0,0.0,0.0,505,505,0,0.09,0.09,0.0,0.0,,,0,0,0,gtdb_only
Chlorobium,0,0,0.0,0.0,483,483,0,0.08,0.08,0.0,0.0,,,0,0,0,gtdb_only
UBA3402,0,0,0.0,0.0,482,482,0,0.08,0.08,0.0,0.0,,,0,0,0,gtdb_only
RGIG4057,0,0,0.0,0.0,481,481,0,0.08,0.08,0.0,0.0,,,0,0,0,gtdb_only
Bovifimicola,0,0,0.0,0.0,475,475,0,0.08,0.08,0.0,0.0,,,0,0,0,gtdb_only
RACS-045,0,0,0.0,0.0,473,473,0,0.08,0.08,0.0,0.0,,,0,0,0,gtdb_only
Sodaliphilus,0,0,0.0,0.0,464,464,0,0.08,0.08,0.0,0.0,,,0,0,0,gtdb_only
Enterocloster,0,0,0.0,0.0,460,460,0,0.08,0.08,0.0,0.0,,,0,0,0,gtdb_only
Limivicinus,0,0,0.0,0.0,431,431,0,0.07,0.07,0.0,0.0,,,0,0,0,gtdb_only
CAG-115,0,0,0.0,0.0,406,406,0,0.07,0.07,0.0,0.0,,,0,0,0,gtdb_only
CAG-791,0,0,0.0,0.0,394,394,0,0.07,0.07,0.0,0.0,,,0,0,0,gtdb_only
Caccovicinus,0,0,0.0,0.0,389,389,0,0.07,0.07,0.0,0.0,,,0,0,0,gtdb_only
MGBC122484,0,0,0.0,0.0,383,383,0,0.06,0.06,0.0,0.0,,,0,0,0,gtdb_only
Priestia,0,0,0.0,0.0,377,377,0,0.06,0.06,0.0,0.0,,,0,0,0,gtdb_only
Aliarcobacter,0,0,0.0,0.0,368,368,0,0.06,0.06,0.0,0.0,,,0,0,0,gtdb_only
Planktophila,0,0,0.0,0.0,366,366,0,0.06,0.06,0.0,0.0,,,0,0,0,gtdb_only
Fimenecus,0,0,0.0,0.0,354,354,0,0.06,0.06,0.0,0.0,,,0,0,0,gtdb_only
Schaedlerella,0,0,0.0,0.0,349,349,0,0.06,0.06,0.0,0.0,,,0,0,0,gtdb_only
PALSA-747,0,0,0.0,0.0,347,347,0,0.06,0.06,0.0,0.0,,,0,0,0,gtdb_only
1XD8-76,0,0,0.0,0.0,346,346,0,0.06,0.06,0.0,0.0,,,0,0,0,gtdb_only
Caccovivens,0,0,0.0,0.0,343,343,0,0.06,0.06,0.0,0.0,,,0,0,0,gtdb_only
MD308,0,0,0.0,0.0,335,335,0,0.06,0.06,0.0,0.0,,,0,0,0,gtdb_only
Thomasclavelia,0,0,0.0,0.0,328,328,0,0.06,0.06,0.0,0.0,,,0,0,0,gtdb_only
Otoolea,0,0,0.0,0.0,325,325,0,0.05,0.05,0.0,0.0,,,0,0,0,gtdb_only
VSOB01,0,0,0.0,0.0,324,324,0,0.05,0.05,0.0,0.0,,,0,0,0,gtdb_only
Anaerocaecibacter,0,0,0.0,0.0,315,315,0,0.05,0.05,0.0,0.0,,,0,0,0,gtdb_only
