phylum,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,novelty_factor,overrepresentation_factor,direct_matches,taxid_matches,lineage_matches,total_matches,match_status,domain,coverage_percentage
Thermoproteota,569,2540,0.22,0.21,2576,250,275,0.1,0.29,10.68,2.276,0.439,1,1,-1,1,matched,Archaea,
Bdellovibrionota,2646,8064,1.01,0.68,2013,247,129,0.08,0.28,6.41,10.713,0.093,1,1,-1,1,matched,Bacteria,
Ignavibacteriota,11,25,0.0,0.0,1583,117,7,0.06,0.13,0.44,0.094,10.636,1,1,-1,1,matched,Bacteria,
Fusobacteriota,728,3793,0.28,0.32,1475,157,717,0.06,0.18,48.61,4.637,0.216,1,1,-1,1,matched,Bacteria,
Chlamydiota,12,54,0.0,0.0,1410,114,802,0.05,0.13,56.88,0.105,9.5,1,1,-1,1,matched,Bacteria,
Elusimicrobiota,686,2029,0.26,0.17,1190,157,38,0.05,0.18,3.19,4.369,0.229,1,1,-1,1,matched,Bacteria,
Armatimonadota,1473,5017,0.56,0.42,1170,96,12,0.05,0.11,1.03,15.344,0.065,1,1,-1,1,matched,Bacteria,
Synergistota,665,2035,0.25,0.17,954,137,65,0.04,0.16,6.81,4.854,0.206,1,1,-1,1,matched,Bacteria,
Deferribacterota,99,299,0.04,0.03,942,37,20,0.04,0.04,2.12,2.676,0.374,1,1,-1,1,matched,Bacteria,
Deinococcota,528,2321,0.2,0.19,824,202,359,0.03,0.23,43.57,2.614,0.383,1,1,-1,1,matched,Bacteria,
Chlorobiota,3,4,0.0,0.0,813,56,35,0.03,0.06,4.31,0.054,18.667,1,1,-1,1,matched,Bacteria,
Nanoarchaeota,3178,9061,1.21,0.76,754,27,34,0.03,0.03,4.51,117.704,0.008,0,1,0,1,matched,Archaea,
Thermotogota,188,1640,0.07,0.14,741,157,130,0.03,0.18,17.54,1.197,0.835,1,1,-1,1,matched,Bacteria,
Fibrobacterota,723,2395,0.28,0.2,691,88,48,0.03,0.1,6.95,8.216,0.122,1,1,-1,1,matched,Bacteria,
Aquificota,166,1085,0.06,0.09,542,60,41,0.02,0.07,7.56,2.767,0.361,1,1,-1,1,matched,Bacteria,
Nitrospinota,373,1656,0.14,0.14,501,41,19,0.02,0.05,3.79,9.098,0.11,1,1,-1,1,matched,Bacteria,
Thermomicrobiota,511,1946,0.19,0.16,277,20,7,0.01,0.02,2.53,25.55,0.039,1,1,-1,1,matched,Bacteria,
Calditrichota,455,1257,0.17,0.11,274,13,7,0.01,0.01,2.55,35.0,0.029,1,1,-1,1,matched,Bacteria,
Atribacterota,223,1405,0.09,0.12,267,61,23,0.01,0.07,8.61,3.656,0.274,1,1,-1,1,matched,Bacteria,
Caldisericota,104,936,0.04,0.08,207,21,3,0.01,0.02,1.45,4.952,0.202,1,1,-1,1,matched,Bacteria,
Abditibacteriota,257,816,0.1,0.07,45,7,2,0.0,0.01,4.44,36.714,0.027,1,1,-1,1,matched,Bacteria,
Coprothermobacterota,56,278,0.02,0.02,37,6,4,0.0,0.01,10.81,9.333,0.107,1,1,-1,1,matched,Bacteria,
Dictyoglomota,7,133,0.0,0.01,29,8,3,0.0,0.01,10.34,0.875,1.143,1,1,-1,1,matched,Bacteria,
Chrysiogenota,5,13,0.0,0.0,11,6,4,0.0,0.01,36.36,0.833,1.2,1,1,-1,1,matched,Bacteria,
Thermoplasmatota,0,0,0.0,0.0,5584,484,292,0.22,0.55,5.23,,,0,0,0,0,ncbi_only,Archaea,0.0
Fidelibacterota,0,0,0.0,0.0,1358,98,94,0.05,0.11,6.92,,,0,0,0,0,ncbi_only,Bacteria,0.0
Lentisphaerota,0,0,0.0,0.0,1031,63,16,0.04,0.07,1.55,,,0,0,0,0,ncbi_only,Bacteria,0.0
Rhodothermota,0,0,0.0,0.0,662,48,280,0.03,0.05,42.3,,,0,0,0,0,ncbi_only,Bacteria,0.0
Vulcanimicrobiota,0,0,0.0,0.0,629,23,13,0.02,0.03,2.07,,,0,0,0,0,ncbi_only,Bacteria,0.0
Kiritimatiellota,0,0,0.0,0.0,613,22,11,0.02,0.03,1.79,,,0,0,0,0,ncbi_only,Bacteria,0.0
Balneolota,0,0,0.0,0.0,523,89,40,0.02,0.1,7.65,,,0,0,0,0,ncbi_only,Bacteria,0.0
Promethearchaeota,0,0,0.0,0.0,371,11,2,0.01,0.01,0.54,,,0,0,0,0,ncbi_only,Archaea,0.0
Halobacteriota,0,0,0.0,0.0,16,1,1,0.0,0.0,6.25,,,0,0,0,0,ncbi_only,Archaea,0.0
Thermodesulfobiota,0,0,0.0,0.0,12,5,3,0.0,0.01,25.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Thermosulfidibacterota,0,0,0.0,0.0,4,3,1,0.0,0.0,25.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Mitochondria,9617,41965,3.67,3.51,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Patescibacteria,5626,17253,2.14,1.44,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Lokiarchaeia,362,1328,0.14,0.11,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Chloroplast,3414,15853,1.3,1.33,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Bacteria.U.phylum,4221,19550,1.61,1.64,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Archaea.U.phylum,30,87,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Odinarchaeia,169,511,0.06,0.04,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Cyanobacteriota/Melainabacteria.U.phylum,148,488,0.06,0.04,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Heimdallarchaeia,83,365,0.03,0.03,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Apicoplast,81,203,0.03,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
