family,census_otu_count,census_size_count,otu_percentage,size_percentage,gtdb_genome_count,gtdb_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,novelty_factor,overrepresentation_factor,direct_matches,lineage_matches,total_matches,match_status,coverage_percentage
Endomicrobiaceae,137,354,0.05,0.03,129,129,0,0.02,0.02,0.0,1.062,0.942,1,0,1,matched,
Marinilabiliaceae,419,1176,0.16,0.1,127,127,0,0.02,0.02,0.0,3.299,0.303,1,0,1,matched,
Rectinemataceae,1,1,0.0,0.0,121,121,0,0.02,0.02,0.0,0.008,121.0,1,0,1,matched,
Verrucomicrobiaceae,623,4565,0.24,0.38,121,121,0,0.02,0.02,0.0,5.149,0.194,1,0,1,matched,
Smithellaceae,89,687,0.03,0.06,120,120,0,0.02,0.02,0.0,0.742,1.348,1,0,1,matched,
Acidiferrobacteraceae,106,532,0.04,0.04,120,120,0,0.02,0.02,0.0,0.883,1.132,1,0,1,matched,
Ectothiorhodospiraceae,336,1544,0.13,0.13,120,120,0,0.02,0.02,0.0,2.8,0.357,1,0,1,matched,
Reyranellaceae,110,1774,0.04,0.15,120,120,0,0.02,0.02,0.0,0.917,1.091,1,0,1,matched,
Eubacteriaceae,221,1229,0.08,0.1,114,114,0,0.02,0.02,0.0,1.939,0.516,1,0,1,matched,
Methylococcaceae,311,2072,0.12,0.17,112,112,0,0.02,0.02,0.0,2.777,0.36,1,0,1,matched,
Mariprofundaceae,111,409,0.04,0.03,110,110,0,0.02,0.02,0.0,1.009,0.991,1,0,1,matched,
Syntrophomonadaceae,343,890,0.13,0.07,110,110,0,0.02,0.02,0.0,3.118,0.321,1,0,1,matched,
Desulfobulbaceae,417,1643,0.16,0.14,108,108,0,0.02,0.02,0.0,3.861,0.259,1,0,1,matched,
Christensenellaceae,1852,4396,0.71,0.37,108,108,0,0.02,0.02,0.0,17.148,0.058,1,0,1,matched,
Thalassospiraceae,147,650,0.06,0.05,104,104,0,0.02,0.02,0.0,1.413,0.707,1,0,1,matched,
Vicingaceae,69,359,0.03,0.03,103,103,0,0.02,0.02,0.0,0.67,1.493,1,0,1,matched,
Archaeoglobaceae,66,307,0.03,0.03,102,102,0,0.02,0.02,0.0,0.647,1.545,1,0,1,matched,
Blattabacteriaceae,135,436,0.05,0.04,100,100,0,0.02,0.02,0.0,1.35,0.741,1,0,1,matched,
Aquificaceae,72,511,0.03,0.04,100,100,0,0.02,0.02,0.0,0.72,1.389,1,0,1,matched,
Salibacteraceae,1,4,0.0,0.0,99,99,0,0.02,0.02,0.0,0.01,99.0,1,0,1,matched,
Desulfitobacteriaceae,297,666,0.11,0.06,99,99,0,0.02,0.02,0.0,3.0,0.333,1,0,1,matched,
Geobacteraceae,415,1893,0.16,0.16,97,97,0,0.02,0.02,0.0,4.278,0.234,1,0,1,matched,
Acidilobaceae,21,131,0.01,0.01,97,97,0,0.02,0.02,0.0,0.216,4.619,1,0,1,matched,
Kosmotogaceae,34,312,0.01,0.03,94,94,0,0.02,0.02,0.0,0.362,2.765,1,0,1,matched,
Frankiaceae,30,112,0.01,0.01,93,93,0,0.02,0.02,0.0,0.323,3.1,1,0,1,matched,
Chthoniobacteraceae,791,4749,0.3,0.4,91,91,0,0.02,0.02,0.0,8.692,0.115,1,0,1,matched,
Piscirickettsiaceae,191,1210,0.07,0.1,90,90,0,0.02,0.02,0.0,2.122,0.471,1,0,1,matched,
Thiotrichaceae,461,1730,0.18,0.14,90,90,0,0.02,0.02,0.0,5.122,0.195,1,0,1,matched,
Isosphaeraceae,492,2150,0.19,0.18,90,90,0,0.02,0.02,0.0,5.467,0.183,1,0,1,matched,
Chloroflexaceae,159,573,0.06,0.05,88,88,0,0.01,0.01,0.0,1.807,0.553,1,0,1,matched,
Pseudanabaenaceae,89,614,0.03,0.05,83,83,0,0.01,0.01,0.0,1.072,0.933,1,0,1,matched,
Parvularculaceae,85,452,0.03,0.04,82,82,0,0.01,0.01,0.0,1.037,0.965,1,0,1,matched,
Granulosicoccaceae,27,102,0.01,0.01,80,80,0,0.01,0.01,0.0,0.338,2.963,1,0,1,matched,
Syntrophorhabdaceae,162,800,0.06,0.07,77,77,0,0.01,0.01,0.0,2.104,0.475,1,0,1,matched,
Wenzhouxiangellaceae,16,61,0.01,0.01,76,76,0,0.01,0.01,0.0,0.211,4.75,1,0,1,matched,
Alicyclobacillaceae,176,745,0.07,0.06,73,73,0,0.01,0.01,0.0,2.411,0.415,1,0,1,matched,
Parvibaculaceae,89,518,0.03,0.04,73,73,0,0.01,0.01,0.0,1.219,0.82,1,0,1,matched,
Rubrobacteraceae,211,1322,0.08,0.11,71,71,0,0.01,0.01,0.0,2.972,0.336,1,0,1,matched,
Thalassobaculaceae,25,108,0.01,0.01,71,71,0,0.01,0.01,0.0,0.352,2.84,1,0,1,matched,
