family,census_otu_count,census_size_count,otu_percentage,size_percentage,gtdb_genome_count,gtdb_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,novelty_factor,overrepresentation_factor,direct_matches,lineage_matches,total_matches,match_status,coverage_percentage
Krumholzibacteriaceae,0,0,0.0,0.0,24,24,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
RBG-13-55-18,0,0,0.0,0.0,24,24,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
BM002,0,0,0.0,0.0,24,24,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA11713,0,0,0.0,0.0,24,24,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
CG1-02-47-37,0,0,0.0,0.0,24,24,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
XYD1-FULL-46-19,0,0,0.0,0.0,24,24,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
DRMK01,0,0,0.0,0.0,24,24,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA472,0,0,0.0,0.0,24,24,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA9983,0,0,0.0,0.0,23,23,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JABEUL01,0,0,0.0,0.0,23,23,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
GWC2-42-12,0,0,0.0,0.0,23,23,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA12327,0,0,0.0,0.0,23,23,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
WQXJ01,0,0,0.0,0.0,23,23,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
CACZYB01,0,0,0.0,0.0,23,23,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JAGLIN01,0,0,0.0,0.0,23,23,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JAAZAB01,0,0,0.0,0.0,23,23,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA2128,0,0,0.0,0.0,23,23,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA12079,0,0,0.0,0.0,23,23,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA10216,0,0,0.0,0.0,23,23,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
40CM-4-68-19,0,0,0.0,0.0,23,23,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Panguiarchaeaceae,0,0,0.0,0.0,23,23,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA7430,0,0,0.0,0.0,23,23,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
QMZM01,0,0,0.0,0.0,23,23,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
J042,0,0,0.0,0.0,23,23,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Bin95,0,0,0.0,0.0,23,23,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
DTU025,0,0,0.0,0.0,23,23,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA11236,0,0,0.0,0.0,23,23,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA10009,0,0,0.0,0.0,23,23,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
OMII01,0,0,0.0,0.0,23,23,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
DRQE01,0,0,0.0,0.0,23,23,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA9783,0,0,0.0,0.0,23,23,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
RPQS01,0,0,0.0,0.0,22,22,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
PNOQ01,0,0,0.0,0.0,22,22,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
PWPS01,0,0,0.0,0.0,22,22,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA2796,0,0,0.0,0.0,22,22,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Fen-1064,0,0,0.0,0.0,22,22,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA2966,0,0,0.0,0.0,22,22,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Methylomirabilaceae,0,0,0.0,0.0,22,22,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Methanogasteraceae,0,0,0.0,0.0,22,22,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
CADDZS01,0,0,0.0,0.0,22,22,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA929,0,0,0.0,0.0,22,22,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA12108,0,0,0.0,0.0,22,22,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
GW2011-AR5,0,0,0.0,0.0,22,22,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
BM004,0,0,0.0,0.0,22,22,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
RBG-16-71-46,0,0,0.0,0.0,22,22,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA5352,0,0,0.0,0.0,22,22,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Ferrovibrionaceae,0,0,0.0,0.0,22,22,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
GW2011-AR15,0,0,0.0,0.0,22,22,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JACNLC01,0,0,0.0,0.0,22,22,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
DSQY01,0,0,0.0,0.0,21,21,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JAJZLH01,0,0,0.0,0.0,21,21,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA11136,0,0,0.0,0.0,21,21,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
RVW-14,0,0,0.0,0.0,21,21,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
02-FULL-45-10c,0,0,0.0,0.0,21,21,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Negativicoccaceae,0,0,0.0,0.0,21,21,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
CAMVHY01,0,0,0.0,0.0,21,21,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Thiohalomonadaceae,0,0,0.0,0.0,21,21,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Anoxymicrobiaceae,0,0,0.0,0.0,21,21,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Feifaniaceae,0,0,0.0,0.0,21,21,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA3002,0,0,0.0,0.0,21,21,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Oceanipulchritudinaceae,0,0,0.0,0.0,21,21,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
SZUA-567,0,0,0.0,0.0,21,21,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Marsarchaeaceae,0,0,0.0,0.0,21,21,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA4142,0,0,0.0,0.0,21,21,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA7312,0,0,0.0,0.0,21,21,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Kariarchaeaceae,0,0,0.0,0.0,21,21,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
CATQHL01,0,0,0.0,0.0,21,21,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
GCA-2747515,0,0,0.0,0.0,21,21,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA6794,0,0,0.0,0.0,21,21,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JAADJA01,0,0,0.0,0.0,21,21,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
GWA1-39-11,0,0,0.0,0.0,21,21,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
BMS3B,0,0,0.0,0.0,20,20,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA1429,0,0,0.0,0.0,20,20,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
DUUL01,0,0,0.0,0.0,20,20,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JAAKFR01,0,0,0.0,0.0,20,20,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA2964,0,0,0.0,0.0,20,20,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Ignisphaeraceae,0,0,0.0,0.0,20,20,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Pluralincolimonadaceae,0,0,0.0,0.0,20,20,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA9337,0,0,0.0,0.0,20,20,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UMGS1384,0,0,0.0,0.0,20,20,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JABLTI01,0,0,0.0,0.0,20,20,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Aquicultoraceae,0,0,0.0,0.0,20,20,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
DTJG01,0,0,0.0,0.0,20,20,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA10138,0,0,0.0,0.0,20,20,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JAJZXF01,0,0,0.0,0.0,20,20,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
DRXL01,0,0,0.0,0.0,20,20,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
S012-40,0,0,0.0,0.0,20,20,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA8958,0,0,0.0,0.0,20,20,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA4055,0,0,0.0,0.0,20,20,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA2192,0,0,0.0,0.0,20,20,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
SZUA-5,0,0,0.0,0.0,20,20,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Thermotaleaceae,0,0,0.0,0.0,20,20,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
HR35,0,0,0.0,0.0,20,20,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
CAINMV01,0,0,0.0,0.0,20,20,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
HO2-37-13b,0,0,0.0,0.0,20,20,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA6257,0,0,0.0,0.0,20,20,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JAKAOS01,0,0,0.0,0.0,20,20,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
GWE2-31-10,0,0,0.0,0.0,20,20,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JAJYVN01,0,0,0.0,0.0,20,20,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA2156,0,0,0.0,0.0,19,19,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
SHLN01,0,0,0.0,0.0,19,19,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
RUG12999,0,0,0.0,0.0,19,19,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA4882,0,0,0.0,0.0,19,19,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA6911,0,0,0.0,0.0,19,19,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA10347,0,0,0.0,0.0,19,19,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
GWB1-42-6,0,0,0.0,0.0,19,19,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA6930,0,0,0.0,0.0,19,19,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Firm-18,0,0,0.0,0.0,19,19,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JABHCV01,0,0,0.0,0.0,19,19,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
VXPW01,0,0,0.0,0.0,19,19,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
GCA-002705445,0,0,0.0,0.0,19,19,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
DTU065,0,0,0.0,0.0,19,19,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA9637,0,0,0.0,0.0,19,19,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
CACEW01,0,0,0.0,0.0,19,19,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Hermodarchaeaceae,0,0,0.0,0.0,19,19,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
GCA-2688035,0,0,0.0,0.0,19,19,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UXAT02,0,0,0.0,0.0,19,19,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
RPQK01,0,0,0.0,0.0,19,19,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Tichowtungiaceae,0,0,0.0,0.0,19,19,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
CAIJKW01,0,0,0.0,0.0,19,19,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
AE-B3A,0,0,0.0,0.0,19,19,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
E44-bin15,0,0,0.0,0.0,19,19,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
2-12-FULL-49-11,0,0,0.0,0.0,19,19,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
CAJPTX01,0,0,0.0,0.0,19,19,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Ga0077523,0,0,0.0,0.0,19,19,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
SOJC01,0,0,0.0,0.0,19,19,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
SXRF01,0,0,0.0,0.0,19,19,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Aggregatilineaceae,0,0,0.0,0.0,19,19,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
CG1-02-33-12,0,0,0.0,0.0,19,19,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Methanofastidiosaceae,0,0,0.0,0.0,19,19,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JAMPXM01,0,0,0.0,0.0,19,19,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Chloracidobacteriaceae,0,0,0.0,0.0,19,19,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
SURF-7,0,0,0.0,0.0,18,18,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
SZUA-336,0,0,0.0,0.0,18,18,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA10212,0,0,0.0,0.0,18,18,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
DSM-45169,0,0,0.0,0.0,18,18,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA9629,0,0,0.0,0.0,18,18,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Inquilinaceae,0,0,0.0,0.0,18,18,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JAAZKV01,0,0,0.0,0.0,18,18,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
SpSt-899,0,0,0.0,0.0,18,18,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA5680,0,0,0.0,0.0,18,18,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JdFR-43,0,0,0.0,0.0,18,18,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA12382,0,0,0.0,0.0,18,18,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
DTU029,0,0,0.0,0.0,18,18,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
FACHB-T130,0,0,0.0,0.0,18,18,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Tenderiaceae,0,0,0.0,0.0,18,18,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
TMED2,0,0,0.0,0.0,18,18,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
PALSA-610,0,0,0.0,0.0,18,18,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
W02-35-19,0,0,0.0,0.0,18,18,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JAJYXR01,0,0,0.0,0.0,18,18,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
PGXB01,0,0,0.0,0.0,18,18,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA10190,0,0,0.0,0.0,18,18,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
SCSR01,0,0,0.0,0.0,18,18,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Magnetovibrionaceae,0,0,0.0,0.0,18,18,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JAANXG01,0,0,0.0,0.0,18,18,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Caldatribacteriaceae,0,0,0.0,0.0,18,18,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
SLAA01,0,0,0.0,0.0,18,18,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
ATM1,0,0,0.0,0.0,18,18,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
CAIOMD01,0,0,0.0,0.0,18,18,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JAAYXM01,0,0,0.0,0.0,18,18,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
WRAX01,0,0,0.0,0.0,17,17,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
OLB16,0,0,0.0,0.0,17,17,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Halarsenatibacteraceae,0,0,0.0,0.0,17,17,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
SZUA-47,0,0,0.0,0.0,17,17,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA5335,0,0,0.0,0.0,17,17,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
CAIULA01,0,0,0.0,0.0,17,17,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
CSSED10-239,0,0,0.0,0.0,17,17,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
PWPN01,0,0,0.0,0.0,17,17,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Cyclonatronaceae,0,0,0.0,0.0,17,17,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
DSM-23052,0,0,0.0,0.0,17,17,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Hodarchaeaceae,0,0,0.0,0.0,17,17,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA9339,0,0,0.0,0.0,17,17,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Thermochlorobacteraceae,0,0,0.0,0.0,17,17,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JAHJRI01,0,0,0.0,0.0,17,17,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA5829,0,0,0.0,0.0,17,17,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA2169,0,0,0.0,0.0,17,17,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
SZUA-254,0,0,0.0,0.0,17,17,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA2174,0,0,0.0,0.0,17,17,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JAAYKL01,0,0,0.0,0.0,17,17,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Kaftiobacteriaceae,0,0,0.0,0.0,17,17,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
DUEL01,0,0,0.0,0.0,17,17,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Tharpellaceae,0,0,0.0,0.0,17,17,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA12090,0,0,0.0,0.0,17,17,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA2258,0,0,0.0,0.0,17,17,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
SG8-24,0,0,0.0,0.0,17,17,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Quadrisphaeraceae,0,0,0.0,0.0,17,17,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
SG8-5,0,0,0.0,0.0,17,17,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA8366,0,0,0.0,0.0,17,17,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
GCA-2717185,0,0,0.0,0.0,17,17,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Hepatoplasmataceae,0,0,0.0,0.0,17,17,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
CAIVKH01,0,0,0.0,0.0,17,17,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Versatilivoraceae,0,0,0.0,0.0,17,17,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JACQKK01,0,0,0.0,0.0,17,17,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
TMED131,0,0,0.0,0.0,17,17,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
GWA2-38-27,0,0,0.0,0.0,17,17,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Calditenuaceae,0,0,0.0,0.0,17,17,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Nitrosocaldaceae,0,0,0.0,0.0,17,17,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JADMIN01,0,0,0.0,0.0,17,17,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Thermostichaceae,0,0,0.0,0.0,17,17,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
MRBY01,0,0,0.0,0.0,17,17,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Altiarchaeaceae,0,0,0.0,0.0,17,17,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
VBWQ01,0,0,0.0,0.0,16,16,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
CSSed11-197,0,0,0.0,0.0,16,16,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JACDCH01,0,0,0.0,0.0,16,16,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Thermobaculaceae,0,0,0.0,0.0,16,16,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
RBG-16-66-30,0,0,0.0,0.0,16,16,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Desulfovirgulaceae,0,0,0.0,0.0,16,16,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Bathyanammoxibiaceae,0,0,0.0,0.0,16,16,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Brennerbacteraceae,0,0,0.0,0.0,16,16,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Turneriellaceae,0,0,0.0,0.0,16,16,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Vampirovibrionaceae,0,0,0.0,0.0,16,16,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
HO2-52-23,0,0,0.0,0.0,16,16,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
SpSt-205,0,0,0.0,0.0,16,16,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA1369,0,0,0.0,0.0,16,16,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
G3-4614,0,0,0.0,0.0,16,16,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Atribacteraceae,0,0,0.0,0.0,16,16,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
SMXS01,0,0,0.0,0.0,16,16,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Minwuiaceae,0,0,0.0,0.0,16,16,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
VXNJ01,0,0,0.0,0.0,16,16,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA10002,0,0,0.0,0.0,16,16,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JADFTO01,0,0,0.0,0.0,16,16,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA994,0,0,0.0,0.0,16,16,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
2-12-FULL-66-21,0,0,0.0,0.0,16,16,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
OLB7,0,0,0.0,0.0,16,16,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Palsa-1439,0,0,0.0,0.0,16,16,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
SM23-30,0,0,0.0,0.0,16,16,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
GCA-002722245,0,0,0.0,0.0,16,16,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
CAIVPW01,0,0,0.0,0.0,16,16,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Berkiellaceae,0,0,0.0,0.0,16,16,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
BMS3Abin14,0,0,0.0,0.0,15,15,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA1412,0,0,0.0,0.0,15,15,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JAAYUY01,0,0,0.0,0.0,15,15,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
2-02-FULL-48-14,0,0,0.0,0.0,15,15,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
TS1B11,0,0,0.0,0.0,15,15,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JAKAPL01,0,0,0.0,0.0,15,15,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
DSVV01,0,0,0.0,0.0,15,15,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA4181,0,0,0.0,0.0,15,15,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
HDB-SIOI813,0,0,0.0,0.0,15,15,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
AG1,0,0,0.0,0.0,15,15,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
PWYM01,0,0,0.0,0.0,15,15,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
GWA2-42-15,0,0,0.0,0.0,15,15,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
XYB2-FULL-48-7,0,0,0.0,0.0,15,15,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
AC-14,0,0,0.0,0.0,15,15,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA3054,0,0,0.0,0.0,15,15,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
