genus,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,novelty_factor,overrepresentation_factor,direct_matches,taxid_matches,lineage_matches,total_matches,match_status,domain,coverage_percentage
Jeotgalibaca,8,62,0.0,0.01,116,9,9,0.01,0.01,7.76,0.889,1.125,1,1,-1,1,matched,Bacteria,
Ilumatobacter,66,761,0.03,0.06,116,8,5,0.01,0.01,4.31,8.25,0.121,1,1,-1,1,matched,Bacteria,
Methylobacter,54,713,0.02,0.06,116,21,22,0.01,0.03,18.97,2.571,0.389,1,1,-1,1,matched,Bacteria,
Mogibacterium,105,374,0.04,0.03,115,8,7,0.01,0.01,6.09,13.125,0.076,1,1,-1,1,matched,Bacteria,
Kaistella,1,1,0.0,0.0,115,28,38,0.01,0.04,33.04,0.036,28.0,1,1,-1,1,matched,Bacteria,
Giesbergeria,4,15,0.0,0.0,115,5,2,0.01,0.01,1.74,0.8,1.25,1,1,-1,1,matched,Bacteria,
Nitrospina,194,828,0.07,0.07,115,9,5,0.01,0.01,4.35,21.556,0.046,1,1,-1,1,matched,Bacteria,
Ensifer,41,65,0.02,0.01,114,67,104,0.01,0.09,91.23,0.612,1.634,1,1,-1,1,matched,Bacteria,
Saccharolobus,12,87,0.0,0.01,114,7,46,0.01,0.01,40.35,1.714,0.583,1,1,-1,1,matched,Archaea,
Desulfobulbus,150,599,0.06,0.05,114,25,24,0.01,0.03,21.05,6.0,0.167,1,1,-1,1,matched,Bacteria,
Syntrophomonas,152,447,0.06,0.04,114,45,10,0.01,0.06,8.77,3.378,0.296,1,1,-1,1,matched,Bacteria,
Smithella,89,687,0.03,0.06,114,15,4,0.01,0.02,3.51,5.933,0.169,1,1,-1,1,matched,Bacteria,
Xanthobacter,10,61,0.0,0.01,113,60,100,0.01,0.08,88.5,0.167,6.0,1,1,-1,1,matched,Bacteria,
Parvibaculum,29,157,0.01,0.01,113,5,4,0.01,0.01,3.54,5.8,0.172,1,1,-1,1,matched,Bacteria,
Schaalia,16,219,0.01,0.02,113,25,57,0.01,0.03,50.44,0.64,1.562,1,1,-1,1,matched,Bacteria,
Pararheinheimera,4,19,0.0,0.0,112,40,55,0.0,0.05,49.11,0.1,10.0,0,1,0,1,matched,Bacteria,
Rhizobacter,54,587,0.02,0.05,112,13,11,0.0,0.02,9.82,4.154,0.241,1,1,-1,1,matched,Bacteria,
Rheinheimera,77,478,0.03,0.04,112,40,55,0.0,0.05,49.11,1.925,0.519,1,1,-1,1,matched,Bacteria,
Metallosphaera,24,128,0.01,0.01,112,11,19,0.0,0.02,16.96,2.182,0.458,1,1,-1,1,matched,Archaea,
Granulicatella,62,467,0.02,0.04,111,19,25,0.0,0.03,22.52,3.263,0.306,1,1,-1,1,matched,Bacteria,
Intestinimonas,41,65,0.02,0.01,111,16,47,0.0,0.02,42.34,2.562,0.39,1,1,-1,1,matched,Bacteria,
Luteolibacter,221,1928,0.08,0.16,111,16,16,0.0,0.02,14.41,13.812,0.072,1,1,-1,1,matched,Bacteria,
Halioglobus,105,416,0.04,0.03,111,7,10,0.0,0.01,9.01,15.0,0.067,1,1,-1,1,matched,Bacteria,
Arenimonas,170,928,0.06,0.08,111,16,14,0.0,0.02,12.61,10.625,0.094,1,1,-1,1,matched,Bacteria,
Pontimonas,1,27,0.0,0.0,110,3,17,0.0,0.0,15.45,0.333,3.0,1,1,-1,1,matched,Bacteria,
Oceanobacillus,67,260,0.03,0.02,110,61,104,0.0,0.08,94.55,1.098,0.91,1,1,-1,1,matched,Bacteria,
Leptolyngbya,141,479,0.05,0.04,109,75,63,0.0,0.1,57.8,1.88,0.532,1,1,-1,1,matched,Bacteria,
Mesotoga,22,232,0.01,0.02,109,24,19,0.0,0.03,17.43,0.917,1.091,1,1,-1,1,matched,Bacteria,
Intestinibacter,8,377,0.0,0.03,109,4,32,0.0,0.01,29.36,2.0,0.5,1,1,-1,1,matched,Bacteria,
Reyranella,76,1632,0.03,0.14,108,7,5,0.0,0.01,4.63,10.857,0.092,1,1,-1,1,matched,Bacteria,
Nitrosospira,11,171,0.0,0.01,108,18,24,0.0,0.02,22.22,0.611,1.636,1,1,-1,1,matched,Bacteria,
Glutamicibacter,45,158,0.02,0.01,106,39,72,0.0,0.05,67.92,1.154,0.867,1,1,-1,1,matched,Bacteria,
