genus,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,novelty_factor,overrepresentation_factor,direct_matches,taxid_matches,lineage_matches,total_matches,match_status,domain,coverage_percentage
Rhodopseudomonas,17,199,0.01,0.02,64,21,52,0.0,0.03,81.25,0.81,1.235,1,1,-1,1,matched,Bacteria,
Lentzea,12,47,0.0,0.0,64,50,59,0.0,0.07,92.19,0.24,4.167,1,1,-1,1,matched,Bacteria,
Ferroplasma,15,43,0.01,0.0,64,4,3,0.0,0.01,4.69,3.75,0.267,1,1,-1,1,matched,Archaea,
Sulfuritalea,68,384,0.03,0.03,63,3,1,0.0,0.0,1.59,22.667,0.044,1,1,-1,1,matched,Bacteria,
Phyllobacterium,35,141,0.01,0.01,63,38,49,0.0,0.05,77.78,0.921,1.086,1,1,-1,1,matched,Bacteria,
Cloacibacillus,10,42,0.0,0.0,63,6,11,0.0,0.01,17.46,1.667,0.6,1,1,-1,1,matched,Bacteria,
Commensalibacter,7,27,0.0,0.0,63,26,45,0.0,0.04,71.43,0.269,3.714,1,1,-1,1,matched,Bacteria,
Piscinibacter,8,29,0.0,0.0,63,11,14,0.0,0.02,22.22,0.727,1.375,1,1,-1,1,matched,Bacteria,
Rectinema,1,1,0.0,0.0,63,2,1,0.0,0.0,1.59,0.5,2.0,1,1,-1,1,matched,Bacteria,
Sarcina,47,182,0.02,0.02,63,5,9,0.0,0.01,14.29,9.4,0.106,1,1,-1,1,matched,Bacteria,
Frigoribacterium,7,60,0.0,0.01,63,49,52,0.0,0.07,82.54,0.143,7.0,1,1,-1,1,matched,Bacteria,
Desulfosporosinus,220,487,0.08,0.04,63,34,21,0.0,0.05,33.33,6.471,0.155,1,1,-1,1,matched,Bacteria,
Marivita,17,76,0.01,0.01,63,12,39,0.0,0.02,61.9,1.417,0.706,1,1,-1,1,matched,Bacteria,
Methylophilus,31,171,0.01,0.01,63,28,28,0.0,0.04,44.44,1.107,0.903,1,1,-1,1,matched,Bacteria,
Celeribacter,14,85,0.01,0.01,63,14,25,0.0,0.02,39.68,1.0,1.0,1,1,-1,1,matched,Bacteria,
Conexibacter,156,1734,0.06,0.15,63,14,14,0.0,0.02,22.22,11.143,0.09,1,1,-1,1,matched,Bacteria,
Rhodoblastus,11,118,0.0,0.01,63,6,14,0.0,0.01,22.22,1.833,0.545,1,1,-1,1,matched,Bacteria,
Halobacteriovorax,35,108,0.01,0.01,63,44,42,0.0,0.06,66.67,0.795,1.257,1,1,-1,1,matched,Bacteria,
Marinoscillum,74,755,0.03,0.06,63,7,5,0.0,0.01,7.94,10.571,0.095,1,1,-1,1,matched,Bacteria,
Shimia,9,29,0.0,0.0,62,29,38,0.0,0.04,61.29,0.31,3.222,1,1,-1,1,matched,Bacteria,
Eikenella,10,36,0.0,0.0,62,19,40,0.0,0.03,64.52,0.526,1.9,1,1,-1,1,matched,Bacteria,
Schlesneria,45,316,0.02,0.03,62,5,3,0.0,0.01,4.84,9.0,0.111,1,1,-1,1,matched,Bacteria,
Raoultibacter,12,21,0.0,0.0,62,5,6,0.0,0.01,9.68,2.4,0.417,1,1,-1,1,matched,Bacteria,
Salinibacterium,5,32,0.0,0.0,62,32,35,0.0,0.04,56.45,0.156,6.4,1,1,-1,1,matched,Bacteria,
Pelagicola,4,4,0.0,0.0,62,29,38,0.0,0.04,61.29,0.138,7.25,0,1,0,1,matched,Bacteria,
Salinivibrio,32,109,0.01,0.01,62,40,62,0.0,0.05,100.0,0.8,1.25,1,1,-1,1,matched,Bacteria,
Aminobacterium,20,49,0.01,0.0,62,23,3,0.0,0.03,4.84,0.87,1.15,1,1,-1,1,matched,Bacteria,
Meiothermus,53,234,0.02,0.02,62,13,21,0.0,0.02,33.87,4.077,0.245,1,1,-1,1,matched,Bacteria,
Sterolibacterium,20,49,0.01,0.0,62,3,2,0.0,0.0,3.23,6.667,0.15,1,1,-1,1,matched,Bacteria,
Hoeflea,8,109,0.0,0.01,61,23,24,0.0,0.03,39.34,0.348,2.875,1,1,-1,1,matched,Bacteria,
Thalassotalea,51,131,0.02,0.01,61,35,44,0.0,0.05,72.13,1.457,0.686,1,1,-1,1,matched,Bacteria,
Fluviicola,274,1623,0.1,0.14,61,9,3,0.0,0.01,4.92,30.444,0.033,1,1,-1,1,matched,Bacteria,
Candidatus Nitrosotalea,1,13,0.0,0.0,61,8,6,0.0,0.01,9.84,0.125,8.0,0,1,0,1,matched,Archaea,
Flavisolibacter,137,421,0.05,0.04,61,7,7,0.0,0.01,11.48,19.571,0.051,1,1,-1,1,matched,Bacteria,
Fournierella,16,31,0.01,0.0,61,11,12,0.0,0.02,19.67,1.455,0.688,0,1,0,1,matched,Bacteria,
Edaphobacter,11,53,0.0,0.0,60,12,14,0.0,0.02,23.33,0.917,1.091,1,1,-1,1,matched,Bacteria,
Dokdonia,18,83,0.01,0.01,60,19,19,0.0,0.03,31.67,0.947,1.056,1,1,-1,1,matched,Bacteria,
Ideonella,24,485,0.01,0.04,60,18,18,0.0,0.02,30.0,1.333,0.75,1,1,-1,1,matched,Bacteria,
Negativibacillus,40,143,0.02,0.01,60,4,1,0.0,0.01,1.67,10.0,0.1,1,1,-1,1,matched,Bacteria,
Pseudescherichia,1,1,0.0,0.0,59,4,14,0.0,0.01,23.73,0.25,4.0,1,1,-1,1,matched,Bacteria,
Zymomonas,6,58,0.0,0.0,59,2,30,0.0,0.0,50.85,3.0,0.333,1,1,-1,1,matched,Bacteria,
Leisingera,10,59,0.0,0.0,59,33,44,0.0,0.05,74.58,0.303,3.3,1,1,-1,1,matched,Bacteria,
Pseudorhodobacter,28,224,0.01,0.02,59,10,9,0.0,0.01,15.25,2.8,0.357,1,1,-1,1,matched,Bacteria,
Cellvibrio,67,437,0.03,0.04,59,20,21,0.0,0.03,35.59,3.35,0.299,1,1,-1,1,matched,Bacteria,
Taylorella,3,36,0.0,0.0,59,2,59,0.0,0.0,100.0,1.5,0.667,1,1,-1,1,matched,Bacteria,
Brachymonas,68,252,0.03,0.02,59,7,7,0.0,0.01,11.86,9.714,0.103,1,1,-1,1,matched,Bacteria,
Oceanicaulis,31,105,0.01,0.01,59,12,6,0.0,0.02,10.17,2.583,0.387,1,1,-1,1,matched,Bacteria,
Methyloversatilis,22,65,0.01,0.01,59,10,11,0.0,0.01,18.64,2.2,0.455,1,1,-1,1,matched,Bacteria,
Abiotrophia,21,83,0.01,0.01,59,4,5,0.0,0.01,8.47,5.25,0.19,1,1,-1,1,matched,Bacteria,
Solibacillus,46,157,0.02,0.01,58,30,36,0.0,0.04,62.07,1.533,0.652,1,1,-1,1,matched,Bacteria,
Enorma,7,12,0.0,0.0,58,8,16,0.0,0.01,27.59,0.875,1.143,1,1,-1,1,matched,Bacteria,
Methylibium,17,253,0.01,0.02,58,9,6,0.0,0.01,10.34,1.889,0.529,1,1,-1,1,matched,Bacteria,
Cellulophaga,18,128,0.01,0.01,58,27,45,0.0,0.04,77.59,0.667,1.5,1,1,-1,1,matched,Bacteria,
Neptunomonas,20,63,0.01,0.01,58,10,21,0.0,0.01,36.21,2.0,0.5,1,1,-1,1,matched,Bacteria,
Fischerella,21,94,0.01,0.01,58,12,49,0.0,0.02,84.48,1.75,0.571,1,1,-1,1,matched,Bacteria,
Curvibacter,25,114,0.01,0.01,58,16,11,0.0,0.02,18.97,1.562,0.64,1,1,-1,1,matched,Bacteria,
Azoarcus,64,247,0.02,0.02,58,14,14,0.0,0.02,24.14,4.571,0.219,1,1,-1,1,matched,Bacteria,
Merdibacter,2,6,0.0,0.0,58,6,1,0.0,0.01,1.72,0.333,3.0,1,1,-1,1,matched,Bacteria,
Sideroxydans,112,449,0.04,0.04,57,7,2,0.0,0.01,3.51,16.0,0.062,1,1,-1,1,matched,Bacteria,
Singulisphaera,71,276,0.03,0.02,57,5,4,0.0,0.01,7.02,14.2,0.07,1,1,-1,1,matched,Bacteria,
Mycolicibacter,1,4,0.0,0.0,57,21,53,0.0,0.03,92.98,0.048,21.0,1,1,-1,1,matched,Bacteria,
Terrisporobacter,20,123,0.01,0.01,57,8,24,0.0,0.01,42.11,2.5,0.4,1,1,-1,1,matched,Bacteria,
Aeriscardovia,3,24,0.0,0.0,57,3,2,0.0,0.0,3.51,1.0,1.0,1,1,-1,1,matched,Bacteria,
Phycicoccus,4,26,0.0,0.0,57,21,23,0.0,0.03,40.35,0.19,5.25,1,1,-1,1,matched,Bacteria,
Cereibacter,4,10,0.0,0.0,57,7,52,0.0,0.01,91.23,0.571,1.75,1,1,-1,1,matched,Bacteria,
Fictibacillus,21,95,0.01,0.01,57,31,52,0.0,0.04,91.23,0.677,1.476,1,1,-1,1,matched,Bacteria,
Acetivibrio,27,65,0.01,0.01,57,11,23,0.0,0.02,40.35,2.455,0.407,1,1,-1,1,matched,Bacteria,
Syntrophorhabdus,162,800,0.06,0.07,57,11,1,0.0,0.02,1.75,14.727,0.068,1,1,-1,1,matched,Bacteria,
Limimaricola,3,37,0.0,0.0,57,9,13,0.0,0.01,22.81,0.333,3.0,1,1,-1,1,matched,Bacteria,
Desulfomonile,62,228,0.02,0.02,57,3,1,0.0,0.0,1.75,20.667,0.048,1,1,-1,1,matched,Bacteria,
Tyzzerella,298,565,0.11,0.05,56,9,13,0.0,0.01,23.21,33.111,0.03,1,1,-1,1,matched,Bacteria,
Vampirovibrio,29,74,0.01,0.01,56,3,0,0.0,0.0,0.0,9.667,0.103,1,1,-1,1,matched,Bacteria,
Desulfuromonas,81,271,0.03,0.02,56,13,14,0.0,0.02,25.0,6.231,0.16,1,1,-1,1,matched,Bacteria,
Kurthia,27,101,0.01,0.01,56,22,31,0.0,0.03,55.36,1.227,0.815,1,1,-1,1,matched,Bacteria,
Robiginitomaculum,31,87,0.01,0.01,56,3,1,0.0,0.0,1.79,10.333,0.097,1,1,-1,1,matched,Bacteria,
Anabaena,37,363,0.01,0.03,56,42,44,0.0,0.06,78.57,0.881,1.135,1,1,-1,1,matched,Bacteria,
Anderseniella,12,67,0.0,0.01,56,3,1,0.0,0.0,1.79,4.0,0.25,1,1,-1,1,matched,Bacteria,
Methanolinea,50,311,0.02,0.03,55,16,1,0.0,0.02,1.82,3.125,0.32,1,1,-1,1,matched,Archaea,
Methanospirillum,58,314,0.02,0.03,55,6,8,0.0,0.01,14.55,9.667,0.103,1,1,-1,1,matched,Archaea,
Thermosynechococcus,2,21,0.0,0.0,55,45,36,0.0,0.06,65.45,0.044,22.5,1,1,-1,1,matched,Bacteria,
Nakamurella,50,430,0.02,0.04,55,17,17,0.0,0.02,30.91,2.941,0.34,1,1,-1,1,matched,Bacteria,
Bacteriovorax,95,416,0.04,0.03,55,11,9,0.0,0.02,16.36,8.636,0.116,1,1,-1,1,matched,Bacteria,
Mageeibacillus,6,11,0.0,0.0,55,27,0,0.0,0.04,0.0,0.222,4.5,1,1,-1,1,matched,Bacteria,
Rubripirellula,37,160,0.01,0.01,55,7,19,0.0,0.01,34.55,5.286,0.189,1,1,-1,1,matched,Bacteria,
Pusillimonas,21,124,0.01,0.01,55,25,14,0.0,0.03,25.45,0.84,1.19,1,1,-1,1,matched,Bacteria,
Saccharothrix,12,68,0.0,0.01,55,38,50,0.0,0.05,90.91,0.316,3.167,1,1,-1,1,matched,Bacteria,
Nodularia,3,21,0.0,0.0,55,10,41,0.0,0.01,74.55,0.3,3.333,1,0,0,1,matched,Bacteria,
Tissierella,102,232,0.04,0.02,55,17,22,0.0,0.02,40.0,6.0,0.167,1,1,-1,1,matched,Bacteria,
Blastomonas,12,55,0.0,0.0,55,32,30,0.0,0.04,54.55,0.375,2.667,1,1,-1,1,matched,Bacteria,
Pseudoclavibacter,23,245,0.01,0.02,54,33,46,0.0,0.05,85.19,0.697,1.435,1,1,-1,1,matched,Bacteria,
Luteibacter,35,194,0.01,0.02,54,32,39,0.0,0.04,72.22,1.094,0.914,1,1,-1,1,matched,Bacteria,
Mesonia,11,48,0.0,0.0,54,16,19,0.0,0.02,35.19,0.688,1.455,1,1,-1,1,matched,Bacteria,
Asticcacaulis,19,104,0.01,0.01,54,27,26,0.0,0.04,48.15,0.704,1.421,1,1,-1,1,matched,Bacteria,
Brenneria,11,47,0.0,0.0,54,21,54,0.0,0.03,100.0,0.524,1.909,1,1,-1,1,matched,Bacteria,
Malacoplasma,5,9,0.0,0.0,54,5,13,0.0,0.01,24.07,1.0,1.0,1,1,-1,1,matched,Bacteria,
Thiomicrorhabdus,47,195,0.02,0.02,54,17,16,0.0,0.02,29.63,2.765,0.362,1,1,-1,1,matched,Bacteria,
Octadecabacter,16,70,0.01,0.01,54,12,29,0.0,0.02,53.7,1.333,0.75,1,1,-1,1,matched,Bacteria,
Laribacter,2,31,0.0,0.0,54,2,50,0.0,0.0,92.59,1.0,1.0,1,1,-1,1,matched,Bacteria,
Haliea,11,52,0.0,0.0,53,7,5,0.0,0.01,9.43,1.571,0.636,1,1,-1,1,matched,Bacteria,
Bergeyella,68,376,0.03,0.03,53,6,12,0.0,0.01,22.64,11.333,0.088,1,1,-1,1,matched,Bacteria,
Parvibacter,4,9,0.0,0.0,53,2,4,0.0,0.0,7.55,2.0,0.5,1,1,-1,1,matched,Bacteria,
Psychroserpens,16,47,0.01,0.0,53,15,16,0.0,0.02,30.19,1.067,0.938,1,1,-1,1,matched,Bacteria,
Sediminicola,4,27,0.0,0.0,53,6,5,0.0,0.01,9.43,0.667,1.5,1,1,-1,1,matched,Bacteria,
Enterorhabdus,86,137,0.03,0.01,53,4,2,0.0,0.01,3.77,21.5,0.047,1,1,-1,1,matched,Bacteria,
Phycisphaera,34,85,0.01,0.01,53,7,2,0.0,0.01,3.77,4.857,0.206,1,1,-1,1,matched,Bacteria,
Methanothermobacter,14,137,0.01,0.01,53,15,20,0.0,0.02,37.74,0.933,1.071,1,1,-1,1,matched,Archaea,
Faecalicoccus,3,20,0.0,0.0,53,5,22,0.0,0.01,41.51,0.6,1.667,1,1,-1,1,matched,Bacteria,
Thermotoga,15,155,0.01,0.01,53,25,26,0.0,0.03,49.06,0.6,1.667,1,1,-1,1,matched,Bacteria,
Arcticiflavibacter,10,20,0.0,0.0,53,15,16,0.0,0.02,30.19,0.667,1.5,0,1,0,1,matched,Bacteria,
Holdemania,4,22,0.0,0.0,53,7,18,0.0,0.01,33.96,0.571,1.75,1,1,-1,1,matched,Bacteria,
Longimicrobium,23,88,0.01,0.01,53,2,3,0.0,0.0,5.66,11.5,0.087,1,1,-1,1,matched,Bacteria,
Noviherbaspirillum,92,436,0.04,0.04,53,23,22,0.0,0.03,41.51,4.0,0.25,1,1,-1,1,matched,Bacteria,
Zhongshania,10,55,0.0,0.0,53,10,13,0.0,0.01,24.53,1.0,1.0,1,1,-1,1,matched,Bacteria,
Formosa,56,287,0.02,0.02,52,14,15,0.0,0.02,28.85,4.0,0.25,1,1,-1,1,matched,Bacteria,
Mesocricetibacter,1,4,0.0,0.0,52,3,1,0.0,0.0,1.92,0.333,3.0,1,1,-1,1,matched,Bacteria,
Tsukamurella,9,59,0.0,0.0,52,22,50,0.0,0.03,96.15,0.409,2.444,1,1,-1,1,matched,Bacteria,
Desulfobacter,51,175,0.02,0.01,52,8,7,0.0,0.01,13.46,6.375,0.157,1,1,-1,1,matched,Bacteria,
Methylococcus,10,40,0.0,0.0,52,10,16,0.0,0.01,30.77,1.0,1.0,1,1,-1,1,matched,Bacteria,
Coprobacter,17,72,0.01,0.01,52,5,11,0.0,0.01,21.15,3.4,0.294,1,1,-1,1,matched,Bacteria,
Chryseolinea,81,250,0.03,0.02,51,7,5,0.0,0.01,9.8,11.571,0.086,1,1,-1,1,matched,Bacteria,
Arenicella,16,57,0.01,0.0,51,5,4,0.0,0.01,7.84,3.2,0.312,1,1,-1,1,matched,Bacteria,
Mixta,1,1,0.0,0.0,51,10,20,0.0,0.01,39.22,0.1,10.0,1,1,-1,1,matched,Bacteria,
Thiopseudomonas,12,43,0.0,0.0,51,14,16,0.0,0.02,31.37,0.857,1.167,1,1,-1,1,matched,Bacteria,
Buttiauxella,13,39,0.0,0.0,51,24,33,0.0,0.03,64.71,0.542,1.846,1,1,-1,1,matched,Bacteria,
Helcococcus,39,89,0.01,0.01,51,8,42,0.0,0.01,82.35,4.875,0.205,1,1,-1,1,matched,Bacteria,
Sneathiella,33,100,0.01,0.01,51,12,15,0.0,0.02,29.41,2.75,0.364,1,1,-1,1,matched,Bacteria,
Modestobacter,10,104,0.0,0.01,51,30,38,0.0,0.04,74.51,0.333,3.0,1,1,-1,1,matched,Bacteria,
Muriicola,7,35,0.0,0.0,51,8,7,0.0,0.01,13.73,0.875,1.143,1,1,-1,1,matched,Bacteria,
Bauldia,73,256,0.03,0.02,50,3,1,0.0,0.0,2.0,24.333,0.041,1,1,-1,1,matched,Bacteria,
Aneurinibacillus,26,96,0.01,0.01,50,14,45,0.0,0.02,90.0,1.857,0.538,1,1,-1,1,matched,Bacteria,
Glycomyces,25,97,0.01,0.01,50,36,44,0.0,0.05,88.0,0.694,1.44,1,1,-1,1,matched,Bacteria,
Haliscomenobacter,31,169,0.01,0.01,50,3,1,0.0,0.0,2.0,10.333,0.097,1,1,-1,1,matched,Bacteria,
Sporolactobacillus,19,102,0.01,0.01,50,22,33,0.0,0.03,66.0,0.864,1.158,1,1,-1,1,matched,Bacteria,
Ureibacillus,21,64,0.01,0.01,50,28,43,0.0,0.04,86.0,0.75,1.333,1,1,-1,1,matched,Bacteria,
Hylemonella,4,18,0.0,0.0,50,7,4,0.0,0.01,8.0,0.571,1.75,1,1,-1,1,matched,Bacteria,
Vulcanisaeta,31,181,0.01,0.02,50,16,15,0.0,0.02,30.0,1.938,0.516,1,1,-1,1,matched,Archaea,
Georgenia,29,78,0.01,0.01,50,31,40,0.0,0.04,80.0,0.935,1.069,1,1,-1,1,matched,Bacteria,
Methanolobus,28,150,0.01,0.01,49,25,20,0.0,0.03,40.82,1.12,0.893,1,1,-1,1,matched,Archaea,
Nannocystis,58,236,0.02,0.02,49,10,11,0.0,0.01,22.45,5.8,0.172,1,1,-1,1,matched,Bacteria,
Dactylosporangium,8,56,0.0,0.0,49,30,43,0.0,0.04,87.76,0.267,3.75,1,1,-1,1,matched,Bacteria,
Calothrix,69,209,0.03,0.02,49,35,35,0.0,0.05,71.43,1.971,0.507,1,1,-1,1,matched,Bacteria,
Mariniphaga,10,13,0.0,0.0,49,4,2,0.0,0.01,4.08,2.5,0.4,1,1,-1,1,matched,Bacteria,
Macrococcus,13,75,0.0,0.01,49,27,46,0.0,0.04,93.88,0.481,2.077,1,1,-1,1,matched,Bacteria,
Aurantimonas,15,54,0.01,0.0,49,22,25,0.0,0.03,51.02,0.682,1.467,1,1,-1,1,matched,Bacteria,
Archaeoglobus,22,132,0.01,0.01,49,30,7,0.0,0.04,14.29,0.733,1.364,1,1,-1,1,matched,Archaea,
Fructobacillus,10,24,0.0,0.0,49,16,45,0.0,0.02,91.84,0.625,1.6,1,1,-1,1,matched,Bacteria,
Stomatobaculum,5,6,0.0,0.0,49,4,2,0.0,0.01,4.08,1.25,0.8,1,1,-1,1,matched,Bacteria,
Salegentibacter,36,163,0.01,0.01,48,22,29,0.0,0.03,60.42,1.636,0.611,1,1,-1,1,matched,Bacteria,
Jatrophihabitans,63,513,0.02,0.04,48,7,5,0.0,0.01,10.42,9.0,0.111,1,1,-1,1,matched,Bacteria,
Diaphorobacter,64,247,0.02,0.02,48,18,19,0.0,0.02,39.58,3.556,0.281,1,1,-1,1,matched,Bacteria,
Salinicoccus,24,82,0.01,0.01,48,24,38,0.0,0.03,79.17,1.0,1.0,1,1,-1,1,matched,Bacteria,
Alloscardovia,6,17,0.0,0.0,48,8,31,0.0,0.01,64.58,0.75,1.333,1,1,-1,1,matched,Bacteria,
Terriglobus,12,53,0.0,0.0,48,10,13,0.0,0.01,27.08,1.2,0.833,1,1,-1,1,matched,Bacteria,
Ascidiaceihabitans,15,148,0.01,0.01,48,3,14,0.0,0.0,29.17,5.0,0.2,1,1,-1,1,matched,Bacteria,
Natrinema,12,50,0.0,0.0,48,33,48,0.0,0.05,100.0,0.364,2.75,1,1,-1,1,matched,Archaea,
Gimesia,10,120,0.0,0.01,48,10,18,0.0,0.01,37.5,1.0,1.0,1,1,-1,1,matched,Bacteria,
Aureimonas,29,131,0.01,0.01,48,30,46,0.0,0.04,95.83,0.967,1.034,1,1,-1,1,matched,Bacteria,
Geothrix,28,447,0.01,0.04,47,21,18,0.0,0.03,38.3,1.333,0.75,1,1,-1,1,matched,Bacteria,
Desulfocapsa,122,389,0.05,0.03,47,5,3,0.0,0.01,6.38,24.4,0.041,1,1,-1,1,matched,Bacteria,
Tardiphaga,4,26,0.0,0.0,47,14,15,0.0,0.02,31.91,0.286,3.5,1,1,-1,1,matched,Bacteria,
Syntrophus,153,702,0.06,0.06,47,13,3,0.0,0.02,6.38,11.769,0.085,1,0,0,1,matched,Bacteria,
Sandarakinorhabdus,6,131,0.0,0.01,47,7,5,0.0,0.01,10.64,0.857,1.167,1,1,-1,1,matched,Bacteria,
Granulosicoccus,25,98,0.01,0.01,47,3,3,0.0,0.0,6.38,8.333,0.12,1,1,-1,1,matched,Bacteria,
Ehrlichia,25,98,0.01,0.01,47,8,47,0.0,0.01,100.0,3.125,0.32,1,1,-1,1,matched,Bacteria,
Acetobacterium,36,320,0.01,0.03,47,17,23,0.0,0.02,48.94,2.118,0.472,1,1,-1,1,matched,Bacteria,
Pyramidobacter,19,59,0.01,0.0,47,7,8,0.0,0.01,17.02,2.714,0.368,1,1,-1,1,matched,Bacteria,
Porphyrobacter,33,372,0.01,0.03,46,17,12,0.0,0.02,26.09,1.941,0.515,1,1,-1,1,matched,Bacteria,
Kangiella,15,56,0.01,0.0,46,16,15,0.0,0.02,32.61,0.938,1.067,1,1,-1,1,matched,Bacteria,
Fretibacterium,76,200,0.03,0.02,46,4,3,0.0,0.01,6.52,19.0,0.053,1,1,-1,1,matched,Bacteria,
Ornithobacterium,11,46,0.0,0.0,46,2,43,0.0,0.0,93.48,5.5,0.182,1,1,-1,1,matched,Bacteria,
Dermatophilus,3,8,0.0,0.0,46,2,43,0.0,0.0,93.48,1.5,0.667,1,1,-1,1,matched,Bacteria,
Anaerocolumna,37,110,0.01,0.01,46,12,14,0.0,0.02,30.43,3.083,0.324,1,1,-1,1,matched,Bacteria,
Dermacoccus,6,39,0.0,0.0,46,18,34,0.0,0.02,73.91,0.333,3.0,1,1,-1,1,matched,Bacteria,
Ornithinimicrobium,18,57,0.01,0.0,46,26,38,0.0,0.04,82.61,0.692,1.444,1,1,-1,1,matched,Bacteria,
Aphanizomenon,11,402,0.0,0.03,46,10,16,0.0,0.01,34.78,1.1,0.909,1,1,-1,1,matched,Bacteria,
Tessaracoccus,36,234,0.01,0.02,45,28,33,0.0,0.04,73.33,1.286,0.778,1,1,-1,1,matched,Bacteria,
Natronomonas,42,171,0.02,0.01,45,13,13,0.0,0.02,28.89,3.231,0.31,1,1,-1,1,matched,Archaea,
Cedecea,4,9,0.0,0.0,45,26,41,0.0,0.04,91.11,0.154,6.5,1,1,-1,1,matched,Bacteria,
Moorella,36,94,0.01,0.01,45,13,35,0.0,0.02,77.78,2.769,0.361,1,1,-1,1,matched,Bacteria,
Coleofasciculus,67,330,0.03,0.03,45,30,16,0.0,0.04,35.56,2.233,0.448,1,1,-1,1,matched,Bacteria,
Dinoroseobacter,17,38,0.01,0.0,45,4,8,0.0,0.01,17.78,4.25,0.235,1,1,-1,1,matched,Bacteria,
Salinimicrobium,33,100,0.01,0.01,45,19,18,0.0,0.03,40.0,1.737,0.576,1,1,-1,1,matched,Bacteria,
Lewinella,157,417,0.06,0.03,45,9,7,0.0,0.01,15.56,17.444,0.057,1,1,-1,1,matched,Bacteria,
Albidovulum,31,86,0.01,0.01,45,8,5,0.0,0.01,11.11,3.875,0.258,1,1,-1,1,matched,Bacteria,
Persephonella,21,112,0.01,0.01,45,6,5,0.0,0.01,11.11,3.5,0.286,1,1,-1,1,matched,Bacteria,
Thermoanaerobacter,43,157,0.02,0.01,44,19,28,0.0,0.03,63.64,2.263,0.442,1,1,-1,1,matched,Bacteria,
Maritimibacter,12,50,0.0,0.0,44,13,10,0.0,0.02,22.73,0.923,1.083,1,1,-1,1,matched,Bacteria,
Roseibacterium,11,39,0.0,0.0,44,10,12,0.0,0.01,27.27,1.1,0.909,0,1,0,1,matched,Bacteria,
Roseicyclus,5,16,0.0,0.0,44,10,12,0.0,0.01,27.27,0.5,2.0,1,1,-1,1,matched,Bacteria,
Parageobacillus,19,158,0.01,0.01,44,10,41,0.0,0.01,93.18,1.9,0.526,1,1,-1,1,matched,Bacteria,
Kandleria,2,15,0.0,0.0,44,21,8,0.0,0.03,18.18,0.095,10.5,1,1,-1,1,matched,Bacteria,
Secundilactobacillus,4,8,0.0,0.0,44,17,39,0.0,0.02,88.64,0.235,4.25,1,1,-1,1,matched,Bacteria,
Cloacibacterium,58,357,0.02,0.03,44,8,11,0.0,0.01,25.0,7.25,0.138,1,1,-1,1,matched,Bacteria,
Metallibacterium,6,25,0.0,0.0,43,2,2,0.0,0.0,4.65,3.0,0.333,1,1,-1,1,matched,Bacteria,
Pseudocitrobacter,4,15,0.0,0.0,43,9,42,0.0,0.01,97.67,0.444,2.25,1,1,-1,1,matched,Bacteria,
Roseiarcus,58,854,0.02,0.07,43,3,1,0.0,0.0,2.33,19.333,0.052,1,1,-1,1,matched,Bacteria,
Pseudodesulfovibrio,9,96,0.0,0.01,43,23,23,0.0,0.03,53.49,0.391,2.556,1,1,-1,1,matched,Bacteria,
Agrococcus,23,87,0.01,0.01,43,31,35,0.0,0.04,81.4,0.742,1.348,1,1,-1,1,matched,Bacteria,
Chloroflexus,22,137,0.01,0.01,43,8,6,0.0,0.01,13.95,2.75,0.364,1,1,-1,1,matched,Bacteria,
Ancylobacter,6,44,0.0,0.0,43,29,38,0.0,0.04,88.37,0.207,4.833,1,1,-1,1,matched,Bacteria,
Leptolinea,143,650,0.05,0.05,43,10,3,0.0,0.01,6.98,14.3,0.07,1,1,-1,1,matched,Bacteria,
Sodalis,54,107,0.02,0.01,43,34,34,0.0,0.05,79.07,1.588,0.63,1,1,-1,1,matched,Bacteria,
Metakosakonia,1,5,0.0,0.0,43,9,33,0.0,0.01,76.74,0.111,9.0,0,1,0,1,matched,Bacteria,
Micropruina,3,4,0.0,0.0,43,4,3,0.0,0.01,6.98,0.75,1.333,1,1,-1,1,matched,Bacteria,
Endomicrobium,137,354,0.05,0.03,43,8,2,0.0,0.01,4.65,17.125,0.058,1,1,-1,1,matched,Bacteria,
Cylindrospermopsis,3,6,0.0,0.0,43,3,37,0.0,0.0,86.05,1.0,1.0,1,1,-1,1,matched,Bacteria,
Geodermatophilus,35,180,0.01,0.02,43,29,35,0.0,0.04,81.4,1.207,0.829,1,1,-1,1,matched,Bacteria,
Rhodopila,17,26,0.01,0.0,43,3,1,0.0,0.0,2.33,5.667,0.176,1,1,-1,1,matched,Bacteria,
Gluconacetobacter,4,68,0.0,0.01,43,15,36,0.0,0.02,83.72,0.267,3.75,1,1,-1,1,matched,Bacteria,
Owenweeksia,33,72,0.01,0.01,43,4,1,0.0,0.01,2.33,8.25,0.121,1,1,-1,1,matched,Bacteria,
Methylorhabdus,1,1,0.0,0.0,43,29,38,0.0,0.04,88.37,0.034,29.0,0,1,0,1,matched,Bacteria,
Dermabacter,8,25,0.0,0.0,43,12,30,0.0,0.02,69.77,0.667,1.5,1,1,-1,1,matched,Bacteria,
Chromohalobacter,26,90,0.01,0.01,43,14,38,0.0,0.02,88.37,1.857,0.538,1,1,-1,1,matched,Bacteria,
