family,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,novelty_factor,overrepresentation_factor,direct_matches,taxid_matches,lineage_matches,total_matches,match_status,domain,coverage_percentage
Desulfocucumaceae,2,3,0.0,0.0,3,2,1,0.0,0.0,33.33,1.0,1.0,1,1,-1,1,matched,Bacteria,
Antricoccaceae,6,14,0.0,0.0,3,2,1,0.0,0.0,33.33,3.0,0.333,1,1,-1,1,matched,Bacteria,
Entophysalidaceae,6,17,0.0,0.0,3,2,2,0.0,0.0,66.67,3.0,0.333,1,1,-1,1,matched,Bacteria,
Thermithiobacillaceae,1,2,0.0,0.0,3,2,3,0.0,0.0,100.0,0.5,2.0,1,1,-1,1,matched,Bacteria,
Methermicoccaceae,3,8,0.0,0.0,3,2,1,0.0,0.0,33.33,1.5,0.667,1,1,-1,1,matched,Archaea,
Natranaerobiaceae,28,106,0.01,0.01,3,2,3,0.0,0.0,100.0,14.0,0.071,1,1,-1,1,matched,Bacteria,
Flexibacteraceae,23,75,0.01,0.01,3,3,1,0.0,0.0,33.33,7.667,0.13,1,1,-1,1,matched,Bacteria,
Picrophilaceae,1,2,0.0,0.0,3,2,2,0.0,0.0,66.67,0.5,2.0,1,1,-1,1,matched,Archaea,
Nanoarchaeaceae,17,55,0.01,0.0,2,2,1,0.0,0.0,50.0,8.5,0.118,1,1,-1,1,matched,Archaea,
Dissulfurirhabdaceae,2,2,0.0,0.0,2,1,2,0.0,0.0,100.0,2.0,0.5,1,1,-1,1,matched,Bacteria,
Temperatibacteraceae,2,2,0.0,0.0,2,2,2,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Kallotenuaceae,4,6,0.0,0.0,2,2,2,0.0,0.0,100.0,2.0,0.5,1,1,-1,1,matched,Bacteria,
Desulfuribacillaceae,10,14,0.0,0.0,2,2,2,0.0,0.0,100.0,5.0,0.2,1,1,-1,1,matched,Bacteria,
Dermocarpellaceae,15,63,0.01,0.01,2,2,2,0.0,0.0,100.0,7.5,0.133,1,1,-1,1,matched,Bacteria,
Thermosporotrichaceae,13,45,0.0,0.0,2,1,2,0.0,0.0,100.0,13.0,0.077,1,1,-1,1,matched,Bacteria,
Segniliparaceae,3,8,0.0,0.0,2,2,2,0.0,0.0,100.0,1.5,0.667,1,1,-1,1,matched,Bacteria,
Thorselliaceae,4,8,0.0,0.0,2,2,2,0.0,0.0,100.0,2.0,0.5,1,1,-1,1,matched,Bacteria,
Dissulfuribacteraceae,41,158,0.02,0.01,2,1,1,0.0,0.0,50.0,41.0,0.024,1,1,-1,1,matched,Bacteria,
Pasteuriaceae,19,34,0.01,0.0,2,2,2,0.0,0.0,100.0,9.5,0.105,1,1,-1,1,matched,Bacteria,
Chitinivibrionaceae,22,69,0.01,0.01,1,1,1,0.0,0.0,100.0,22.0,0.045,1,1,-1,1,matched,Bacteria,
Cyanomargaritaceae,1,3,0.0,0.0,1,1,0,0.0,0.0,0.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Methanothermaceae,3,6,0.0,0.0,1,1,1,0.0,0.0,100.0,3.0,0.333,1,1,-1,1,matched,Archaea,
Desulfoarculaceae,2,3,0.0,0.0,1,1,0,0.0,0.0,0.0,2.0,0.5,1,1,-1,1,matched,Bacteria,
Gomphosphaeriaceae,2,2,0.0,0.0,1,1,0,0.0,0.0,0.0,2.0,0.5,1,1,-1,1,matched,Bacteria,
