family,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,novelty_factor,overrepresentation_factor,direct_matches,taxid_matches,lineage_matches,total_matches,match_status,domain,coverage_percentage
Thermostichaceae,0,0,0.0,0.0,12,11,2,0.0,0.01,16.67,,,0,0,0,0,ncbi_only,Bacteria,0.0
Paraconexibacteraceae,0,0,0.0,0.0,12,5,3,0.0,0.01,25.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Pelagicoccaceae,0,0,0.0,0.0,12,8,9,0.0,0.01,75.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Aerosakkonemataceae,0,0,0.0,0.0,11,10,11,0.0,0.01,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Thiohalospiraceae,0,0,0.0,0.0,11,2,1,0.0,0.0,9.09,,,0,0,0,0,ncbi_only,Bacteria,0.0
Rhabdaerophilaceae,0,0,0.0,0.0,11,4,3,0.0,0.01,27.27,,,0,0,0,0,ncbi_only,Bacteria,0.0
Capsulimonadaceae,0,0,0.0,0.0,11,3,1,0.0,0.0,9.09,,,0,0,0,0,ncbi_only,Bacteria,0.0
Trichloromonadaceae,0,0,0.0,0.0,11,2,0,0.0,0.0,0.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Magnetospirillaceae,0,0,0.0,0.0,11,6,0,0.0,0.01,0.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Oceanibaculaceae,0,0,0.0,0.0,11,4,4,0.0,0.01,36.36,,,0,0,0,0,ncbi_only,Bacteria,0.0
Methylophagaceae,0,0,0.0,0.0,10,1,0,0.0,0.0,0.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Desulfosudaceae,0,0,0.0,0.0,10,2,1,0.0,0.0,10.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Salaquimonadaceae,0,0,0.0,0.0,10,3,1,0.0,0.0,10.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Promethearchaeaceae,0,0,0.0,0.0,10,5,2,0.0,0.01,20.0,,,0,0,0,0,ncbi_only,Archaea,0.0
Cerasicoccaceae,0,0,0.0,0.0,10,8,9,0.0,0.01,90.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Salinicoccaceae,0,0,0.0,0.0,10,4,9,0.0,0.01,90.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Lujinxingiaceae,0,0,0.0,0.0,9,4,4,0.0,0.01,44.44,,,0,0,0,0,ncbi_only,Bacteria,0.0
Hoyosellaceae,0,0,0.0,0.0,9,7,9,0.0,0.01,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Laspinemataceae,0,0,0.0,0.0,9,4,8,0.0,0.01,88.89,,,0,0,0,0,ncbi_only,Bacteria,0.0
Gallaecimonadaceae,0,0,0.0,0.0,9,6,7,0.0,0.01,77.78,,,0,0,0,0,ncbi_only,Bacteria,0.0
Thiohalorhabdaceae,0,0,0.0,0.0,9,4,3,0.0,0.01,33.33,,,0,0,0,0,ncbi_only,Bacteria,0.0
Cyclonatronaceae,0,0,0.0,0.0,8,4,2,0.0,0.01,25.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Hydrococcaceae,0,0,0.0,0.0,8,8,1,0.0,0.01,12.5,,,0,0,0,0,ncbi_only,Bacteria,0.0
Bianqueaceae,0,0,0.0,0.0,8,2,1,0.0,0.0,12.5,,,0,0,0,0,ncbi_only,Bacteria,0.0
Halothermotrichaceae,0,0,0.0,0.0,8,6,1,0.0,0.01,12.5,,,0,0,0,0,ncbi_only,Bacteria,0.0
Lutisporaceae,0,0,0.0,0.0,8,3,2,0.0,0.0,25.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Termitinemataceae,0,0,0.0,0.0,8,1,0,0.0,0.0,0.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Thermosynergistaceae,0,0,0.0,0.0,8,1,0,0.0,0.0,0.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Oceanipulchritudinaceae,0,0,0.0,0.0,7,2,1,0.0,0.0,14.29,,,0,0,0,0,ncbi_only,Bacteria,0.0
Propylenellaceae,0,0,0.0,0.0,7,3,1,0.0,0.0,14.29,,,0,0,0,0,ncbi_only,Bacteria,0.0
Natronospiraceae,0,0,0.0,0.0,7,5,3,0.0,0.01,42.86,,,0,0,0,0,ncbi_only,Bacteria,0.0
Peptoclostridiaceae,0,0,0.0,0.0,7,6,4,0.0,0.01,57.14,,,0,0,0,0,ncbi_only,Bacteria,0.0
Ahniellaceae,0,0,0.0,0.0,7,1,0,0.0,0.0,0.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Pumilibacteraceae,0,0,0.0,0.0,7,4,3,0.0,0.01,42.86,,,0,0,0,0,ncbi_only,Bacteria,0.0
Breznakiellaceae,0,0,0.0,0.0,7,4,3,0.0,0.01,42.86,,,0,0,0,0,ncbi_only,Bacteria,0.0
Rhodocytophagaceae,0,0,0.0,0.0,7,4,7,0.0,0.01,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Kribbibacteriaceae,0,0,0.0,0.0,6,3,6,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Acetonemataceae,0,0,0.0,0.0,6,5,4,0.0,0.01,66.67,,,0,0,0,0,ncbi_only,Bacteria,0.0
Salisaetaceae,0,0,0.0,0.0,6,5,4,0.0,0.01,66.67,,,0,0,0,0,ncbi_only,Bacteria,0.0
Feifaniaceae,0,0,0.0,0.0,6,2,1,0.0,0.0,16.67,,,0,0,0,0,ncbi_only,Bacteria,0.0
Tindalliaceae,0,0,0.0,0.0,6,4,1,0.0,0.01,16.67,,,0,0,0,0,ncbi_only,Bacteria,0.0
Psittacicellaceae,0,0,0.0,0.0,6,4,5,0.0,0.01,83.33,,,0,0,0,0,ncbi_only,Bacteria,0.0
Alkalispirochaetaceae,0,0,0.0,0.0,6,1,0,0.0,0.0,0.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Saccharofermentanaceae,0,0,0.0,0.0,6,2,0,0.0,0.0,0.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Natronospirillaceae,0,0,0.0,0.0,5,2,1,0.0,0.0,20.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Methyloligellaceae,0,0,0.0,0.0,5,1,0,0.0,0.0,0.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Clostridiales Family XVI. Incertae Sedis,0,0,0.0,0.0,5,4,5,0.0,0.01,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Inquilinaceae,0,0,0.0,0.0,5,1,0,0.0,0.0,0.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Limisphaeraceae,0,0,0.0,0.0,5,2,1,0.0,0.0,20.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Leeiaceae,0,0,0.0,0.0,5,4,3,0.0,0.01,60.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Echinimonadaceae,0,0,0.0,0.0,5,4,5,0.0,0.01,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Tichowtungiaceae,0,0,0.0,0.0,4,2,1,0.0,0.0,25.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Carbonactinosporaceae,0,0,0.0,0.0,4,1,4,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Aestuariirhabdaceae,0,0,0.0,0.0,4,3,3,0.0,0.0,75.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Thiofilaceae,0,0,0.0,0.0,4,2,1,0.0,0.0,25.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Gaopeijiaceae,0,0,0.0,0.0,4,1,4,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Capillimicrobiaceae,0,0,0.0,0.0,4,2,1,0.0,0.0,25.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Aristaeellaceae,0,0,0.0,0.0,4,2,4,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Thermacetogeniaceae,0,0,0.0,0.0,4,1,0,0.0,0.0,0.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Thermosulfidibacteraceae,0,0,0.0,0.0,4,3,1,0.0,0.0,25.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Leptonemataceae,0,0,0.0,0.0,4,1,0,0.0,0.0,0.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Pendulisporaceae,0,0,0.0,0.0,4,3,4,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Aquisalimonadaceae,0,0,0.0,0.0,4,1,0,0.0,0.0,0.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Microvenatoraceae,0,0,0.0,0.0,3,2,1,0.0,0.0,33.33,,,0,0,0,0,ncbi_only,Bacteria,0.0
Ktedonosporobacteraceae,0,0,0.0,0.0,3,2,1,0.0,0.0,33.33,,,0,0,0,0,ncbi_only,Bacteria,0.0
Rhizonemataceae,0,0,0.0,0.0,3,3,0,0.0,0.0,0.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Halarsenatibacteraceae,0,0,0.0,0.0,3,3,2,0.0,0.0,66.67,,,0,0,0,0,ncbi_only,Bacteria,0.0
Ferrovibrionaceae,0,0,0.0,0.0,3,1,0,0.0,0.0,0.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Anthocerotibacteraceae,0,0,0.0,0.0,3,2,1,0.0,0.0,33.33,,,0,0,0,0,ncbi_only,Bacteria,0.0
Minisyncoccaceae,0,0,0.0,0.0,3,2,1,0.0,0.0,33.33,,,0,0,0,0,ncbi_only,Bacteria,0.0
Abyssicoccaceae,0,0,0.0,0.0,3,1,3,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Criblamydiaceae,0,0,0.0,0.0,3,3,2,0.0,0.0,66.67,,,0,0,0,0,ncbi_only,Bacteria,0.0
Desulfitibacteraceae,0,0,0.0,0.0,3,3,2,0.0,0.0,66.67,,,0,0,0,0,ncbi_only,Bacteria,0.0
Oligosphaeraceae,0,0,0.0,0.0,3,2,1,0.0,0.0,33.33,,,0,0,0,0,ncbi_only,Bacteria,0.0
Desulfurisporaceae,0,0,0.0,0.0,3,2,1,0.0,0.0,33.33,,,0,0,0,0,ncbi_only,Bacteria,0.0
Dialisteraceae,0,0,0.0,0.0,3,1,0,0.0,0.0,0.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Tepidibacteraceae,0,0,0.0,0.0,3,2,3,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Rhodoligotrophaceae,0,0,0.0,0.0,3,3,3,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Phaeocystidibacteraceae,0,0,0.0,0.0,3,2,3,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Splendidivirgaceae,0,0,0.0,0.0,2,2,2,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Vampirovibrionaceae,0,0,0.0,0.0,2,2,0,0.0,0.0,0.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Speluncibacteraceae,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Mangrovivirgaceae,0,0,0.0,0.0,2,2,2,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Natranaerovirgaceae,0,0,0.0,0.0,2,2,2,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Stomatohabitantaceae,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Saeziaceae,0,0,0.0,0.0,2,1,1,0.0,0.0,50.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Atrimonadaceae,0,0,0.0,0.0,2,2,2,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Thermoanaerobacterales Family IV. Incertae Sedis,0,0,0.0,0.0,2,2,1,0.0,0.0,50.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Geochordaceae,0,0,0.0,0.0,2,2,2,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Pelobacteraceae,0,0,0.0,0.0,2,1,0,0.0,0.0,0.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Xylanivirgaceae,0,0,0.0,0.0,2,1,1,0.0,0.0,50.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Anaerosomataceae,0,0,0.0,0.0,2,2,2,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Govaniaceae,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Thermospiraceae,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Oleispirillaceae,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Futianiaceae,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Calderihabitantaceae,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Fontisphaeraceae,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Fidelibacteraceae,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Halorutilaceae,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Archaea,0.0
Eubacteriales Family IV. Incertae Sedis,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Haliovirgaceae,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Zhaonellaceae,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Halalkalicoccaceae,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Archaea,0.0
Acidilutibacteraceae,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Wilmottiaceae,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Coralliovaceae,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Neosynechococcaceae,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Thioalkalivibrionaceae,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Marinicellaceae,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Winmispiraceae,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Mabikibacteraceae,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Thermatribacteraceae,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Lusitaniellaceae,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Salsipaludibacteraceae,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Deferrivibrionaceae,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Sanyastnellaceae,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Culicoidibacteraceae,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Roseiterribacteraceae,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Conexivisphaeraceae,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Archaea,0.0
Petrachlorosaceae,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Yeguiaceae,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Vallicoccaceae,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Amphibacillaceae,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Nanobdellaceae,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Archaea,0.0
Anaerobacaceae,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Beduinellaceae,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Methylohalomonadaceae,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Aminithiophilaceae,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Terrirubraceae,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Sediminispirochaetaceae,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Koleobacteraceae,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Ostreibacteriaceae,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Shumkoniaceae,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Shiellaceae,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Hujiaoplasmataceae,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Reticulibacteraceae,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Heteroscytonemataceae,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Desulfothermaceae,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Elsteraceae,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Elainellaceae,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Natranaerofabaceae,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Thiovibrionaceae,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Aurantibacillaceae,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Maliibacteriaceae,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Thiobacteraceae,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Microgenomatia.U.family,2959,8761,1.13,0.73,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Anaerolineae.U.family,2905,9688,1.11,0.81,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Planctomycetota.U.family,2873,9782,1.1,0.82,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Dehalococcoidia.U.family,2599,11333,0.99,0.95,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Bacteroidales.U.family,2210,6840,0.84,0.57,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Verrucomicrobiae.U.family,1914,10005,0.73,0.84,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Acidobacteriota.U.family,3109,16434,1.19,1.38,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
uncultured.U.family,45,117,0.02,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Kazania.U.family,42,88,0.02,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Myxococcales.U.family,42,152,0.02,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Fimbriimonadales.U.family,41,92,0.02,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Oscillatoriales.U.family,38,133,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Actinomycetales.U.family,36,224,0.01,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Kordiimonadales.U.family,35,205,0.01,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Thermoleophilia.U.family,35,185,0.01,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Thermoanaerobacterales.U.family,34,126,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Brachyspirales.U.family,32,77,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Desulfurococcales.U.family,30,77,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Archaea.U.family,30,87,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Methanomicrobiales.U.family,30,676,0.01,0.06,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Lactobacillales.U.family,30,69,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Ferritrophicaceae,30,103,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Limnochordales.U.family,27,47,0.01,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Methanosarcinales.U.family,96,428,0.04,0.04,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Heimdallarchaeia.U.family,83,365,0.03,0.03,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Cytophagales.U.family,80,149,0.03,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Thermoprotei.U.family,75,414,0.03,0.03,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Chromatiales.U.family,71,279,0.03,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
CPR2.U.family,70,208,0.03,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Campylobacterales.U.family,70,177,0.03,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Desulfuromonadales.U.family,67,415,0.03,0.03,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Deltaproteobacteria.U.family,67,416,0.03,0.03,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Dehalococcoidales.U.family,67,205,0.03,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Caldisericales.U.family,62,532,0.02,0.04,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Coriobacteriales.U.family,61,167,0.02,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Calditrichota.U.family,56,179,0.02,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Desulfobacterales.U.family,56,150,0.02,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Syntrophobacterales.U.family,55,395,0.02,0.03,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
metagenome.Chloroplast,51,229,0.02,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Chthonomonadales.U.family,142,406,0.05,0.03,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Chitinivibrionia.U.family,141,359,0.05,0.03,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Coriobacteriia.U.family,138,674,0.05,0.06,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Nitrospirota.U.family,135,650,0.05,0.05,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Negativicutes.U.family,131,274,0.05,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Spirochaetota.U.family,130,530,0.05,0.04,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Methanomassiliicoccales.U.family,125,860,0.05,0.07,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Desulfobulbales.U.family,121,311,0.05,0.03,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Vampirovibrionales.U.family,120,382,0.05,0.03,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Phaselicystidaceae,118,541,0.04,0.05,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Chloroflexia.U.family,117,365,0.04,0.03,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Syntrophales.U.family,105,814,0.04,0.07,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Nitrospinota.U.family,102,372,0.04,0.03,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Kallotenuales.U.family,101,222,0.04,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Hyphomicrobiales.U.family,99,355,0.04,0.03,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Frankiales.U.family,96,430,0.04,0.04,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Fibrobacterales.U.family,256,768,0.1,0.06,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Ktedonobacterales.U.family,256,777,0.1,0.07,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Elusimicrobia.U.family,254,840,0.1,0.07,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
