DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Archaea_genome_counts
uncultured_Nitrososphaeria_archaeon_species_2995109	29
Candidatus_Thalassarchaeum_sp._species_3134679	29
Sulfolobaceae_archaeon_species_2967306	29
Candidatus_Methanomethylicaceae_archaeon_species_3058293	29
Thermosphaera_sp._species_2831947	29
uncultured_Nitrosopumilales_archaeon_species_171534	29
Nitrosopumilales_archaeon_species_2026768	29
Methanomicrobia_archaeon_species_2268195	28
Ferroplasmaceae_archaeon_species_2940280	28
Candidatus_Jordarchaeales_archaeon_species_3058035	28
Candidatus_Bilamarchaeaceae_archaeon_species_2886391	28
Vulcanisaeta_sp._species_2020871	27
uncultured_Desulfurococcales_archaeon_species_307553	27
Haloferacaceae_archaeon_species_2080321	27
Haloquadratum_phage_sp._species_2768784	26
Acidilobus_sp._species_1872109	26
Halobacteria_archaeon_species_2670410	26
Thermoproteus_sp._species_2268139	26
Saccharolobus_islandicus_species_43080	25
Methanospirillum_sp._species_45200	25
Methanomethylophilus_sp._species_2774294	25
Candidatus_Hydrothermarchaeota_archaeon_species_2250275	25
Candidatus_ainarchaeum_sp._species_3018264	25
Candidatus_Methanomethylicota_archaeon_species_2250257	24
Natronomonas_sp._species_2184060	24
Methanothrix_harundinacea_species_301375	24
uncultured_Candidatus_Nitrosopelagicus_sp._species_1896163	24
uncultured_Methanomassiliicoccus_sp._species_1233402	24
Promethearchaeati_archaeon_species_2591838	23
Candidatus_Altiarchaeales_archaeon_species_2250256	23
Thermococci_archaeon_species_2250254	22
Methanocellales_archaeon_species_2666334	22
Promethearchaeia_archaeon_species_3067280	22
Methanomicrobiaceae_archaeon_species_2716262	22
Caldivirga_sp._species_2080243	22
Marine_Group_I_thaumarchaeote_species_2511932	22
Candidatus_Methanomassiliicoccus_intestinalis_species_1406512	22
Candidatus_Mancarchaeum_sp._species_2953049	21
Methanosphaera_sp._species_2666342	21
Methanothermobacter_sp._species_1884223	20
uncultured_Thermococci_archaeon_species_376540	20
Acidiplasma_sp._species_1872114	20
Candidatus_Methanosuratincola_petrocarbonis_species_1867261	20
Methanolobus_sp._species_1874737	19
Halodesulfurarchaeum_sp._species_1980530	19
Ferroplasma_acidiphilum_species_74969	19
Haloferax_volcanii_species_2246	18
uncultured_Methanomassiliicoccaceae_archaeon_species_1963760	18
uncultured_Methanospirillum_sp._species_262503	18
Nanopusillaceae_archaeon_species_3058032	18
uncultured_Candidatus_Woesearchaeota_archaeon_species_2014372	17
Candidatus_Methanarcanum_hacksteinii_species_2911857	17
ANME-2_cluster_archaeon_species_2056317	17
Candidatus_Methanomethyliaceae_archaeon_species_2282146	17
Methanobacterium_formicicum_species_2162	17
uncultured_marine_group_I_thaumarchaeote_species_360837	16
uncultured_Methanobacterium_sp._species_176306	16
Methanomethylovorans_sp._species_2758717	16
Candidatus_Undinarchaeota_archaeon_species_2847861	16
Candidatus_Geocrenenecus_dongiae_species_2978061	16
Halobacteriota_archaeon_species_3100168	16
Thermococcaceae_archaeon_species_2666349	16
uncultured_Methanosarcinaceae_archaeon_species_176230	16
Methanomicrobium_sp._species_2052684	16
Candidatus_Njordarchaeota_archaeon_species_3036966	16
Candidatus_Wolframiiraptor_sinensis_species_2978065	16
Cenarchaeum_sp._species_2479206	16
Candidatus_Rehaiarchaeum_fermentans_species_3036170	16
Thermoproteales_archaeon_species_2268205	16
Candidatus_Geothermarchaeota_archaeon_species_2250273	16
Candidatus_Nitrosocaldaceae_archaeon_species_2838776	16
Archaeoglobi_archaeon_species_2250530	15
Candidatus_Methanofastidiosia_archaeon_species_2099674	15
Candidatus_Odinarchaeota_archaeon_species_2053490	15
Saccharolobus_solfataricus_species_2287	15
Candidatus_Terraquivivens_tengchongensis_species_2978055	15
uncultured_Halobacteria_archaeon_species_260469	15
Theionarchaea_archaeon_species_2747605	15
Candidatus_Nanopusillus_sp._species_2268188	15
uncultured_Methanosphaera_sp._species_262501	15
Candidatus_Poseidonia_alphae_species_1915863	14
Methanobrevibacter_woesei_species_190976	14
Halovenus_sp._species_1954478	14
Methanosarcina_thermophila_species_2210	14
Archaeoglobales_archaeon_species_2250258	13
Geoglobus_sp._species_2614232	13
Candidatus_Brockarchaeota_archaeon_species_2815303	13
Methanobrevibacter_gottschalkii_species_190974	13
Candidatus_Nitrosopolaris_sp._species_3069383	13
Candidatus_Hadarchaeum_sp._species_2883567	13
Aciduliprofundum_sp._species_2060325	13
Candidatus_Methanoculleus_thermohydrogenotrophicum_species_1671625	13
Halobacteriaceae_archaeon_species_1931997	13
Pyrococcus_kukulkanii_species_1609559	13
Methanosphaera_stadtmanae_species_2317	13
Candidatus_Anstonellaceae_archaeon_species_2886383	12
Methanoculleus_bourgensis_species_83986	12
Desulfurococcus_sp._species_51678	12
Haloquadratum_walsbyi_species_293091	12
Candidatus_Geocrenenecus_huangii_species_2978059	12
Caldisphaera_sp._species_2060322	12
Metallosphaera_sedula_species_43687	12
uncultured_Nitrososphaera_sp._species_759874	12
Thaumarchaeota_archaeon_CSP1-1_species_1640512	11
Halolamina_sp._species_1940283	11
uncultured_Methanomicrobia_archaeon_species_346909	11
Candidatus_Methanoperedenaceae_archaeon_species_2072416	11
Natrialbaceae_archaeon_species_2093806	11
Halobacterium_sp._species_2243	11
Methanobrevibacter_ruminantium_species_83816	11
Archaeoglobus_sp._species_1872626	11
uncultured_Halobellus_sp._species_1330493	11
Candidatus_Nitrosomaritimum_aestuariumsis_species_3342354	10
Candidatus_Altarchaeum_sp._species_2817952	10
Methanothermobacter_thermautotrophicus_species_145262	10
Aigarchaeota_archaeon_species_2528703	10
uncultured_Methanocellaceae_archaeon_species_1194413	10
uncultured_Thermofilaceae_archaeon_species_274044	10
Candidatus_Methanoplasma_sp._species_2604147	10
uncultured_Methanocorpusculum_sp._species_176309	10
Candidatus_Jordarchaeia_archaeon_species_3067279	10
Halanaeroarchaeum_sp._species_1963275	10
Candidatus_Nitrosopumilus_limneticus_species_2929773	10
uncultured_Haloferacaceae_archaeon_species_2904533	10
Methanobrevibacter_arboriphilus_species_39441	9
Halorubrum_distributum_species_29283	9
Thermoplasmatales_archaeon_I-plasma_species_667138	9
Candidatus_Tiamatella_sp._species_3150758	9
Candidatus_Bathycorpusculum_sp._species_2994959	9
Candidatus_Argoarchaeum_ethanivorans_species_2608793	9
Candidatus_Jordarchaeaceae_archaeon_species_3058036	9
Candidatus_Helarchaeota_archaeon_species_2719382	9
Halorubrum_sp._species_1879286	9
uncultured_Methanoculleus_sp._species_183762	9
Candidatus_Huberarchaeum_crystalense_species_2014257	8
Candidatus_Norongarragalinales_archaeon_species_2886393	8
Candidatus_Methanosuratincola_sp._species_2495426	8
Candidatus_Asbonarchaeaceae_archaeon_species_3138763	8
uncultured_Candidatus_Nitrosotenuis_sp._species_2501571	8
Methanobrevibacter_thaueri_species_190975	8
Halobacterium_hubeiense_species_1407499	8
Candidatus_Parvarchaeum_sp._species_2883576	8
Methanomassiliicoccus_sp._species_2528041	8
Candidatus_Methanofastidiosum_methylothiophilum_species_1705564	8
Haloarcula_hispanica_species_51589	8
uncultured_Sulfolobales_archaeon_species_437136	8
Methanothermococcus_okinawensis_species_155863	8
uncultured_Thermoprotei_archaeon_species_476105	8
uncultured_Natronomonas_sp._species_436949	8
Methanosarcina_barkeri_species_2208	8
Candidatus_Hydrothermarchaeales_archaeon_species_3107144	8
Haloarcula_argentinensis_species_43776	8
Candidatus_Aciduliprofundum_boonei_species_379547	8
uncultured_Thermoproteales_archaeon_species_309174	8
uncultured_Methanolinea_sp._species_521103	7
Methanococcoides_sp._species_1966350	7
Candidatus_Haiyanarchaeum_thermophilum_species_3036171	7
Candidatus_Jingweiarchaeum_tengchongense_species_3036172	7
Candidatus_Gerdarchaeota_archaeon_species_2795491	7
Candidatus_Baldrarchaeota_archaeon_species_2799005	7
Methanoculleus_marisnigri_species_2198	7
Candidatus_Terraquivivens_yellowstonensis_species_2978054	7
Marine_Group_III_euryarchaeote_species_2173149	7
Methanothermobacter_wolfeii_species_145261	7
Thermocladium_sp._species_2813583	7
Methanosarcina_flavescens_species_1715806	7
Thermodiscus_sp._species_3101453	7
Candidatus_Nitrosopelagicus_brevis_species_1410606	7
Methanobrevibacter_millerae_species_230361	7
Candidatus_Bathyarchaeum_sp._species_3072974	7
Candidatus_Micrarchaeales_archaeon_species_2886395	7
Candidatus_Methanophagaceae_archaeon_species_3386247	6
Salinarchaeum_sp._species_2018670	6
Vulcanisaeta_distributa_species_164451	6
Ferroglobus_sp._species_2614230	6
Thermogladius_sp._species_2023064	6
Cuniculiplasma_divulgatum_species_1673428	6
Halogeometricum_borinquense_species_60847	6
Methanogenium_sp._species_2196	6
Candidatus_Nitrosopolaris_nunavutensis_species_2959593	6
uncultured_Methanocorpusculaceae_archaeon_species_2563819	6
Candidatus_Saliniplasma_sp._species_3080558	6
Halapricum_sp._species_1979218	6
Pyrobaculum_aerophilum_species_13773	6
Halocatena_marina_species_2934937	6
uncultured_Thermoproteaceae_archaeon_species_310081	6
Candidatus_Hydrothermarchaeaceae_archaeon_species_3107143	6
Pyrodictium_sp._species_1970082	6
Fervidicoccus_fontis_species_683846	6
Methanobacteriales_archaeon_species_2478476	6
Candidatus_Geocrenenecus_arthurdayi_species_2978060	6
Haloplanus_sp._species_1961696	6
Thermoproteati_archaeon_species_2259140	6
Altiarchaeum_virus_species_2839849	6
Candidatus_Natronoplasma_sp._species_3101498	6
uncultured_Ignisphaera_sp._species_529699	6
Methanocaldococcus_sp._species_2152917	6
Promethearchaeum_sp._species_3061966	6
Methanocalculaceae_archaeon_species_2093799	6
Candidatus_Methanoperedens_nitroreducens_species_1392998	5
Methanobrevibacter_boviskoreani_species_1348249	5
Candidatus_Nanohalobium_sp._species_3101483	5
Thermofilales_archaeon_species_3014063	5
Methanocella_sp._species_2052833	5
uncultured_Methanomethylophilus_sp._species_1908203	5
uncultured_Methanomicrobiaceae_archaeon_species_176231	5
Candidatus_Micrarchaeum_sp._species_2282148	5
uncultured_archaeal_virus_species_1960247	5
uncultured_Candidatus_Nitrosoarchaeum_sp._species_1501411	5
Candidatus_Nitrosomarinus_catalina_species_1898749	5
Halococcaceae_archaeon_species_2497617	5
uncultured_Thermofilum_sp._species_310083	5
Methanococcaceae_archaeon_species_2528253	5
Methanocaldococcaceae_archaeon_species_2933266	5
Acidianus_sp._species_1872104	5
Candidatus_Acidifodinimicrobium_mancum_species_2898728	5
Candidatus_Nezhaarchaeota_archaeon_species_2571048	5
Methanoculleus_thermophilus_species_2200	5
Methanobrevibacter_oralis_species_66851	5
uncultured_Salinarchaeum_sp._species_1709415	5
Archaeoglobus_fulgidus_species_2234	5
Candidatus_Altarchaeum_hamiconexum_species_1803513	5
Methanocorpusculum_parvum_species_2193	5
Methanococcus_voltae_species_2188	5
Haloferax_mediterranei_species_2252	5
Halorubrum_lacusprofundi_species_2247	5
Sulfolobus_sp._species_2288	5
Methanocalculus_sp._species_2004547	5
Candidatus_Methanocomedens_sp._species_3386229	5
Methanohalophilus_portucalensis_species_39664	4
Saccharolobus_shibatae_species_2286	4
Thermococcus_litoralis_species_2265	4
Methanocorpusculaceae_archaeon_species_2682607	4
Candidatus_Methanoperedenaceae_archaeon_GB50_species_2691038	4
Methanosarcina_vacuolata_species_2215	4
Desulfurococcus_amylolyticus_species_94694	4
Candidatus_Nitrosomaritimum_khambatensis_species_3342353	4
Candidatus_Nitrosomaritimum_yanchengensis_species_3342352	4
Candidatus_Thalassarchaeum_betae_species_2599289	4
Candidatus_Methanomethylicus_mesodigestus_species_1867258	4
uncultured_haloarchaeon_species_160804	4
Methanospirillum_hungatei_species_2203	4
Methanofollis_liminatans_species_2201	4
Candidatus_Nitrosopolaris_rasttigaisensis_species_2959596	4
Haloarcula_sp._species_44098	4
Candidatus_Calditenuaceae_archaeon_species_3079264	4
Natronobacterium_gregoryi_species_44930	4
Natronococcus_sp._species_35747	4
Archaeoglobus_profundus_species_84156	4
uncultured_marine_group_III_euryarchaeote_species_360836	4
Candidatus_Nanopusillus_acidilobi_species_1577684	4
Candidatus_Hecatellales_archaeon_species_3072965	4
uncultured_Methanolobus_sp._species_218300	4
Candidatus_Nitrosocaldus_schleperae_species_2927316	4
Candidatus_Culexarchaeum_yellowstonense_species_2928963	4
Candidatus_Methanospirare_jalkutatii_species_2977098	4
Sulfuracidifex_metallicus_species_47303	4
Candidatus_Wukongarchaeota_archaeon_species_2799012	4
methanogenic_archaeon_species_1903525	4
Candidatus_Methanomethylicus_sp._species_2282147	4
Methanospirillum_purgamenti_species_2834276	4
Methanohalophilus_euhalobius_species_51203	4
Natrinema_altunense_species_222984	4
uncultured_Nanoarchaeota_archaeon_species_192991	4
uncultured_Candidatus_Methanogranum_sp._species_2093355	4
Halorientalis_sp._species_1931229	4
Candidatus_Parvarchaeum_tengchongense_species_3036169	4
Methanoculleus_chikugoensis_species_118126	4
Candidatus_Undinarchaeales_archaeon_species_3042728	4
uncultured_Methanosarcina_sp._species_176307	4
Natrinema_thermotolerans_species_121872	4
Methanohalophilus_sp._species_1966352	4
Salinigranum_sp._species_1966351	4
Halomicrobium_mukohataei_species_57705	4
Candidatus_Hestiella_acidicharens_species_3144225	4
Salinirussus_sp._species_2036002	4
Halapricum_desulfuricans_species_2841257	4
Methanobacterium_subterraneum_species_59277	4
Acidianus_infernus_species_12915	4
Methanosphaera_cuniculi_species_1077256	4
Candidatus_Sysuiplasma_acidicola_species_2888740	4
Candidatus_Methanogaster_sp._species_3386292	4
Candidatus_Sysuiplasma_jiujiangense_species_2888742	3
Candidatus_Methanomarinus_sp._species_3386244	3
Methanomassiliicoccus_luminyensis_species_1080712	3
Nitrososphaera_viennensis_species_1034015	3
Haladaptatus_pallidirubidus_species_1008152	3
Haloarchaeobius_iranensis_species_996166	3
Methanocella_conradii_species_1175444	3
Candidatus_Geothermarchaeales_archaeon_species_3107108	3
Candidatus_Hadarchaeia_archaeon_species_3107117	3
Methanothermobacter_marburgensis_species_145263	3
Pyrobaculum_arsenaticum_species_121277	3
Pyrodictium_delaneyi_species_1273541	3
Candidatus_Nanobsidianus_stetteri_species_1294122	3
Sulfuracidifex_tepidarius_species_1294262	3
Halovenus_rubra_species_869890	3
Haloplanus_litoreus_species_767515	3
Halobium_salinum_species_1364940	3
Salinirubellus_salinus_species_1364945	3
Sulfurisphaera_tokodaii_species_111955	3
Methanothermobacter_tenebrarum_species_680118	3
Thermoplasmatales_archaeon_E-plasma_species_667137	3
Nitrosopumilus_adriaticus_species_1580092	3
Methanohalophilus_halophilus_species_2177	3
Methanomicrobium_mobile_species_2205	3
Haloarcula_rubripromontorii_species_1705562	3
Methanosarcina_acetivorans_species_2214	3
Methanococcoides_methylutens_species_2226	3
Pyrococcus_furiosus_species_2261	3
Vulcanisaeta_souniana_species_164452	3
Methanimicrococcus_blatticola_species_91560	3
Candidatus_Syntrophoarchaeum_butanivorans_species_1839936	3
Thermococcus_paralvinellae_species_582419	3
uncultured_Candidatus_Methanoperedens_sp._species_1821055	3
Saliphagus_infecundisoli_species_1849069	3
Geoglobus_acetivorans_species_565033	3
Acidianus_hospitalis_species_563177	3
Aeropyrum_sp._species_1872399	3
Halobaculum_sp._species_1891221	3
Candidatus_Sifarchaeia_archaeon_species_3067287	3
Methanobrevibacter_sp._UBA212_species_1915476	3
Methanoculleus_horonobensis_species_528314	3
uncultured_Hyperthermus_sp._species_526712	3
Candidatus_Mancarchaeum_acidiphilum_species_1920749	3
Acidiplasma_aeolicum_species_507754	3
Halorhabdus_sp._species_1961697	3
Natrinema_pallidum_species_69527	3
Sulfurisphaera_ohwakuensis_species_69656	3
Thermoplasma_sp._species_1973142	3
Candidatus_Afararchaeaceae_archaeon_species_3138761	3
Halohasta_sp._species_2015588	3
Methanimicrococcus_sp._species_2022468	3
uncultured_Methanomethylovorans_sp._species_183759	3
Archaeoglobus_veneficus_species_58290	3
Halorubrum_ejinorense_species_425309	3
Natronorubrum_sp._species_2052480	3
Methanofollis_sp._species_2052835	3
Candidatus_Sigynarchaeota_archaeon_species_3036967	3
Candidatus_Syntrophoarchaeum_sp._species_2056870	3
Halobaculum_halobium_species_3032281	3
Halospeciosus_flavus_species_3032283	3
Halomarina_halobia_species_3033386	3
Halosegnis_marinus_species_3034023	3
Halalkalicoccus_jeotgali_species_413810	3
Halosimplex_aquaticum_species_3026162	3
Methanobacterium_veterum_species_408577	3
Haloquadratum_sp._species_3014035	3
Halosegnis_rubeus_species_2212850	3
Halosegnis_longus_species_2216012	3
Acidilobales_archaeon_species_2268176	3
Natrinema_hispanicum_species_392421	3
Candidatus_Nanoanaerosalina_archaeon_species_2987745	3
Candidatus_Nitrosomarinus_sp._species_2478979	3
Haladaptatus_paucihalophilus_species_367189	3
Haloarcula_laminariae_species_2961577	3
Salinigranum_halophilum_species_2565931	3
Methanothermococcus_sp._species_2614238	3
Halorussus_aquaticus_species_2953748	3
Thermoproteaceae_archaeon_species_2614265	3
Candidatus_Hikarchaeum_yamanae_species_2675326	3
Candidatus_Methanoperedenaceae_archaeon_GB37_species_2691037	3
Methanolobus_vulcani_species_38026	3
Methanosarcina_siciliae_species_38027	3
Candidatus_Lutacidiplasmatales_archaeon_species_3345206	3
Nanoarchaeales_archaeon_species_2730349	3
Thermococcus_kodakarensis_species_311400	3
Candidatus_Caldarchaeum_subterraneum_species_311458	3
Haloferax_gibbonsii_species_35746	3
Haloferax_larsenii_species_302484	3
Candidatus_Nitrosothermus_koennekii_species_2927315	3
Candidatus_Borrarchaeota_archaeon_species_2799003	3
Methanobrevibacter_olleyae_species_294671	3
Halobacterium_noricense_species_223182	3
Candidatus_Methanocorpusculum_faecipullorum_species_2838695	3
Haloarcula_japonica_species_29282	3
Halorubrum_trapanicum_species_29284	3
Thermococcus_thioreducens_species_277988	3
Candidatus_Borrarchaeum_sp._species_2846742	3
Natronomonas_gomsonensis_species_1046043	3
haloarchaeon_3A1-DGR_species_1071085	2
Halohasta_litchfieldiae_species_1073996	2
Natrinema_pellirubrum_species_69525	2
Nitrosotalea_devaniterrae_species_1078905	2
Halopenitus_persicus_species_1048396	2
Pyrobaculum_ferrireducens_species_1104324	2
Haloarcula_salinisoli_species_2487746	2
Halomontanus_rarus_species_3034020	2
Halomarina_ordinaria_species_3033939	2
Metallosphaera_yellowstonensis_species_1111107	2
Halorussus_caseinilyticus_species_3034025	2
Halobaculum_lipolyticum_species_3032001	2
Halobaculum_litoreum_species_3031998	2
Halobaculum_marinum_species_3031996	2
Nitrosarchaeum_koreense_species_1088740	2
Candidatus_Calypsonella_sp._species_3150762	2
Halorussus_marinus_species_2505976	2
Candidatus_Ethanoperedens_thermophilum_species_2766897	2
Vulcanisaeta_moutnovskia_species_985052	2
Candidatus_Nitrosarchaeum_limnium_species_1007084	2
Candidatus_Nitrosocosmicus_franklandianus_species_1798806	2
Haloarchaeobius_amylolyticus_species_1198296	2
Halopenitus_salinus_species_1198295	2
Candidatus_Bathyarchaeum_tardum_species_3042151	2
Natrinema_salifodinae_species_1202768	2
Halolamina_salifodinae_species_1202767	2
Halomicrobium_salinisoli_species_2878391	2
Candidatus_Hodarchaeaceae_archaeon_species_3045163	2
Halopelagius_longus_species_1236180	2
Halolamina_salina_species_1220023	2
uncultured_Methanocellales_archaeon_species_1131255	2
Candidatus_Methanodesulfokora_washburnensis_species_2478471	2
Halalkalicoccus_sp._species_1973143	2
Picrophilus_oshimae_species_46632	2
Thermococcus_prieurii_virus_1_species_1115696	2
Halorientalis_brevis_species_1126241	2
Halorubrum_rubrum_species_1126240	2
Halobellus_rarus_species_1126237	2
Halobellus_inordinatus_species_1126236	2
Salinirubrum_litoreum_species_1126234	2
Candidatus_Nitrosopumilus_salarius_species_1170320	2
Natrialba_swarupiae_species_2448032	2
Candidatus_Aenigmarchaeum_sp._species_2883549	2
Metallosphaera_prunae_species_47304	2
uncultured_Candidatus_Nitrosocosmicus_sp._species_2448472	2
Candidatus_Nitrosocosmicus_sp._SS_species_2563600	2
Methanospirillum_lacunae_species_668570	2
Halorientalis_regularis_species_660518	2
Methermicoccus_shengliensis_species_660064	2
Haloplanus_aerogenes_species_660522	2
Thermoplasmatales_archaeon_A-plasma_species_667135	2
Methanocaldococcus_villosus_species_667126	2
Candidatus_Parvarchaeum_acidophilus_species_662761	2
Candidatus_Parvarchaeum_acidiphilum_species_662759	2
Candidatus_Micrarchaeum_acidiphilum_species_662757	2
Natrinema_versiforme_species_88724	2
Salarchaeum_japonicum_species_555573	2
Halopelagius_inordinatus_species_553467	2
Halogranum_rubrum_species_553466	2
Natronorubrum_daqingense_species_588898	2
