DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Eukaryota_genome_counts
Oscheius_tipulae_species_141969	22
Globisporangium_irregulare_species_36331	22
Penicillium_salamii_species_1612424	22
Wallemia_ichthyophaga_species_245174	22
Chenopodium_quinoa_species_63459	22
Colletotrichum_graminicola_species_31870	22
Aspergillus_tubingensis_species_5068	21
Debaryomyces_hansenii_species_4959	21
Junonia_coenia_species_39708	21
Zygosaccharomyces_pseudobailii_species_1365887	21
Colletotrichum_fructicola_species_690256	20
Trebouxia_sp._species_2796353	20
Malassezia_furfur_species_55194	20
Rhizopus_microsporus_species_58291	20
Orbilia_oligospora_species_2813651	20
Saccharomyces_eubayanus_x_Saccharomyces_uvarum_species_1911678	20
Danio_rerio_species_7955	20
Trichoderma_asperellum_species_101201	20
Heliconius_cydno_species_33424	20
Citrus_sinensis_species_2711	20
Camellia_sinensis_species_4442	20
Solanum_verrucosum_species_315347	20
Junonia_stemosa_species_2691984	20
Colletotrichum_gloeosporioides_species_474922	19
Aspergillus_terreus_species_33178	19
Fusarium_circinatum_species_48490	19
Rhizopus_delemar_species_936053	19
Plasmodium_vivax_species_5855	19
Dothistroma_septosporum_species_64363	19
Mucor_circinelloides_species_36080	18
Equus_caballus_species_9796	18
Triticum_dicoccoides_species_85692	18
Alternaria_gaisen_species_167740	18
Aspergillus_nidulans_species_162425	18
Rattus_norvegicus_species_10116	18
Fulvia_fulva_species_5499	18
Colletotrichum_fioriniae_species_710243	18
Heliconius_numata_species_33419	18
Lentinula_edodes_species_5353	18
Brettanomyces_bruxellensis_species_5007	18
Gossypium_hirsutum_species_3635	18
Fusarium_solani_species_169388	18
Ogataea_polymorpha_species_460523	17
Phytophthora_capsici_species_4784	17
Diplodia_sapinea_species_66738	17
Taeniopygia_guttata_species_59729	17
Citrullus_lanatus_species_3654	17
Trichophyton_indotineae_species_2739387	17
Meyerozyma_guilliermondii_species_4929	16
uncultured_Blastocystis_sp._species_444509	16
Paecilomyces_lignorum_species_3128507	16
Colletotrichum_lupini_species_145971	16
Trichophyton_mentagrophytes_species_523103	16
Hanseniaspora_uvarum_species_29833	16
Brassica_napus_species_3708	16
Rotaria_magnacalcarata_species_392030	16
Raphanus_sativus_species_3726	15
Elasticomyces_elasticus_species_574655	15
Tilletia_caries_species_13290	15
Rotaria_socialis_species_392032	15
Lasiodiplodia_theobromae_species_45133	15
Agaricus_bisporus_species_5341	15
Ascochyta_lentis_species_205686	15
Plasmodium_yoelii_species_5861	15
Pythium_insidiosum_species_114742	15
Pyricularia_grisea_species_148305	15
Salmo_salar_species_8030	15
Gorilla_gorilla_species_9593	15
Cannabis_sativa_species_3483	15
