"Taxon","Coverage_Factor","Novelty_Ratio","Census_OTU_Count","NCBI_Species_Count","Division"
"Mastigamoeba",0,1609,1609,1,"Evosea"
"Stylonychia",0,800,800,1,"Alveolata"
"Neovahlkampfia",0,211,211,1,"Opisthokonta"
"Zea",0.01,186,372,2,"Streptophyta"
"Rehmannia",0.01,160,160,1,"Discoba"
"Ustanciosporium",0.01,69,69,1,"Other"
"Labyrinthula",0.02,62,62,1,"Discoba"
"Phaeosphaeria",0.02,57.33,172,3,"Opisthokonta"
"Vannella",0.02,56,56,1,"Opisthokonta"
"Pycnora",0.02,46,46,1,"Opisthokonta"
