taxid,taxon_name,domain,member_size,occurrence_count
7586,Echinodermata_XX,Eukaryota,349,48
247151,Hartmannulidae,Eukaryota,6,3
200887,Paramoebidae,Eukaryota,81,54
69555,Caenogastropoda,Eukaryota,225,45
154966,Nucleariidae_Nuclearia_2,Eukaryota,30,11
1237875,Rigifilida_XXXX,Eukaryota,246,79
6340,Annelida_XX,Eukaryota,237,49
6179,Digenea,Eukaryota,955,190
256429,Diplophrydaceae,Eukaryota,26,17
180229,Polychytriales_X,Eukaryota,6,5
555408,Balamuthiidae,Eukaryota,12,8
555408,Eustigmatophyceae_XX,Eukaryota,315,39
79788,Prolecithophora,Eukaryota,25,12
79788,Phryganellina,Eukaryota,148,62
61421,Harpellales,Eukaryota,247,60
NA,Filoretidae_X,Eukaryota,52,34
NA,NPK2-lineage,Eukaryota,137,48
NA,WIM80-lineage,Eukaryota,656,173
27994,Theileriidae,Eukaryota,1221,101
198625,Ichthyophonida_XX,Eukaryota,11,6
NA,Vermamoebidae,Eukaryota,155,46
2681886,Schizoplasmodiidae,Eukaryota,320,124
NA,OLIGO2,Eukaryota,158,13
2027449,Spironemidae,Eukaryota,81,20
NA,Mariager-Fjord-lineage,Eukaryota,198,50
NA,LKM74-lineage,Eukaryota,10,8
2604748,Endomyxa_XX,Eukaryota,2,2
NA,AND16-lineage,Eukaryota,194,75
95227,Vannellidae,Eukaryota,94,56
NA,Endomyxa-Ascetosporea_XX,Eukaryota,8,4
451507,Mucoromycotina_X,Eukaryota,977,75
6029,Microsporida_X,Eukaryota,21,11
136419,Cercozoa_XXX,Eukaryota,21,12
NA,Rhogostoma-lineage,Eukaryota,853,134
2759735,Xcellidae,Eukaryota,22,19
NA,NC12B-lineage,Eukaryota,11,3
NA,Ophryoglenida,Eukaryota,444,19
6562,Ostreoida,Eukaryota,29,13
NA,Sey055-lineage,Eukaryota,123,50
5799,Eimeriidae,Eukaryota,535,68
265318,Cyanidiales_X,Eukaryota,21,2
325674,Vampyrellidae,Eukaryota,18,10
35493,Streptophyta_XXXX,Eukaryota,23,4
3004452,Nebulidae,Eukaryota,3,1
4751,Fungi_XXX,Eukaryota,809,190
65588,Sphaerozoidae,Eukaryota,3,2
35082,Cryptosporidiidae,Eukaryota,939,64
29007,Neocallimastigaceae,Eukaryota,79,10
3004210,Nibbleridae,Eukaryota,11,3
451449,Rhizophydiaceae,Eukaryota,45,3
877183,Colpodellida_CHR1,Eukaryota,70,18
38749,Phaeodactylaceae,Eukaryota,37,15
"696132
Cyclotrichium",Cyclotrichium_like_organism_XX,Eukaryota,227,79
88165,Ochromonadaceae,Eukaryota,14,12
8504,Lepidosauria,Eukaryota,42,4
NA,Allobodonidae,Eukaryota,30,14
2864,Dinophyceae_XX,Eukaryota,19,14
2728145,Rhynchomonadidae,Eukaryota,14,4
32594,Babesiidae,Eukaryota,158,23
238903,Dysteriidae,Eukaryota,115,25
4854,Mortierellaceae_X,Eukaryota,6,6
35215,Gromiidae,Eukaryota,56,33
1416935,Pseudocolliniidae,Eukaryota,96,40
NA,ARMOP1,Eukaryota,9,6
NA,Paradinida_X,Eukaryota,5,4
NA,OLIGO5_X,Eukaryota,4,4
8292,Amphibia,Eukaryota,9,5
NA,Massiteriidae,Eukaryota,2,1
193537,Centroplasthelida_XXXX,Eukaryota,25,19
451455,Neocallimastigomycota_XX,Eukaryota,78,54
1287649,Amphitraemidae,Eukaryota,60,16
147554,Schizosaccharomycetes,Eukaryota,13,2
NA,Choanocystidae,Eukaryota,6,5
NA,Haliphthorales,Eukaryota,2,1
NA,Cryothecomonas-lineage,Eukaryota,3,2
4761,Chytridiomycota_XX,Eukaryota,3,3
NA,Mb5C-lineage,Eukaryota,111,46
NA,CCW10-lineage,Eukaryota,6,4
203140,Adeleidae,Eukaryota,3,3
NA,Filosa-Thecofilosea_XX,Eukaryota,4,3
555369,Tubulinea_XXXX,Eukaryota,15,7
66525,Leptomyxidae,Eukaryota,6,5
1938435,Limnofilidae,Eukaryota,6,4
33651,Bicoecea_XX,Eukaryota,9,7
NA,Paracercomonadidae,Eukaryota,4,4
"89593
Craniata",Craniata_XX,Eukaryota,1,1
4810,Chytridiales_X,Eukaryota,5,1
136448,Echinamoebidae,Eukaryota,2,1
1238681,Glissomonadida_X,Eukaryota,2,2
33849,Bacillariophyceae_XX,Eukaryota,29,8
1938506,Ventrifissuridae,Eukaryota,9,9
NA,Mataza-lineage,Eukaryota,5,4
NA,Novel-Clade-4,Eukaryota,6,5
45098,Thaumatomonadidae,Eukaryota,9,8
2828056,Corallicolidae,Eukaryota,2,2
589444,Cryomonadida_X,Eukaryota,1,1
188944,Thaumatomonadida_X,Eukaryota,2,2
NA,MAST-3,Eukaryota,7,3
452332,Dacrymycetes,Eukaryota,5,5
33634,Stramenopiles_XXXX,Eukaryota,8,5
