Name_to_use,taxid,otu_count,size_count,lineage,lineage_ranks,lineage_taxids
Thalassiosirales.U.family,33847,53,222,cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Bacillariophyta;Coscinodiscophyceae;Thalassiosirophycidae;Thalassiosirales;Thalassiosirales.U.family,cellular root;domain;clade;clade;clade;phylum;class;subclass;order;original_name,131567;2759;2698737;33634;2696291;2836;33836;33846;33847;33847
Spizellomycetaceae,34479,52,167,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Chytridiomycota;Chytridiomycota incertae sedis;Chytridiomycetes;Spizellomycetales;Spizellomycetaceae,cellular root;domain;clade;kingdom;no rank;phylum;no rank;class;order;family,131567;2759;33154;4751;112252;4761;2683659;451435;34478;34479
Picomonadidae,1315717,51,366,cellular organisms;Eukaryota;Eukaryota incertae sedis;Picozoa;Picomonadea;Picomonadida;Picomonadidae,cellular root;domain;no rank;phylum;class;order;family,131567;2759;2683617;419944;1315720;1315716;1315717
Euglenozoa.U.family,33682,50,204,cellular organisms;Eukaryota;Discoba;Euglenozoa;Euglenozoa.U.family,cellular root;domain;clade;phylum;original_name,131567;2759;2611352;33682;33682
Mariager-Fjord-lineage,NA,50,198,,,
Sey055-lineage,NA,50,123,Sey055-lineage,original_name,NA
Annelida_XX,6340,49,237,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Annelida;Annelida_XX,cellular root;domain;clade;kingdom;clade;clade;clade;clade;clade;phylum;original_name,131567;2759;33154;33208;6072;33213;33317;2697495;1206795;6340;6340
Echinodermata_XX,7586,48,349,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Echinodermata;Echinodermata_XX,cellular root;domain;clade;kingdom;clade;clade;clade;phylum;original_name,131567;2759;33154;33208;6072;33213;33511;7586;7586
NPK2-lineage,NA,48,137,NPK2-lineage,original_name,NA
Protaspa-lineage,1938521,48,92,cellular organisms;Eukaryota;Sar;Rhizaria;Cercozoa;Thecofilosea;Cryomonadida;Protaspidae;Protaspa,cellular root;domain;clade;clade;phylum;class;order;family;genus,131567;2759;2698737;543769;136419;1004930;589444;2603934;1938521
