Metric	Value
Total_Taxa_Shown	13
Top_Taxa_Count	12
Other_Category_Included	Yes
Total_Bacteria_Genomes	2,559,773
Total_16S_Sequences	1,075,768
Total_16S_OTUs	234,159
Total_Bacteria_Species	84,476
Filtering_Method	Top 12 by total representation
Color_System	Bacteria color mapping
