Node	Node_Order	Description	Total_Count	Data_Type
Genbank_Genome_%	1	Genbank Total Genomes (Archaea)	14,849	Percentage
IMG_Genome_%	2	IMG Genome Count (16S sequences)	41,207	Percentage
16S_OTU_%	3	16S OTU Count	8,835	Percentage
Genbank_Species_%	4	Genbank Total Species (Archaea)	2,287	Percentage
