Name_to_use,taxid,otu_count,otu_percentage,size_count,size_percentage,lineage,lineage_ranks,lineage_taxids
Nitrospinota,1293497,373,0.14,1656,0.14,cellular organisms;Bacteria;Pseudomonadati;Nitrospinota/Tectimicrobiota group;Nitrospinota,cellular root;domain;kingdom;clade;phylum,131567;2;3379134;1802340;1293497
Lokiarchaeia,1935183,362,0.14,1328,0.11,cellular organisms;Archaea;Promethearchaeati;Lokiarchaeia,cellular root;domain;kingdom;genus,131567;2157;1935183;NA
Abditibacteriota,2109258,257,0.1,816,0.07,cellular organisms;Bacteria;Pseudomonadati;Abditibacteriota,cellular root;domain;kingdom;phylum,131567;2;3379134;2109258
Atribacterota,67818,223,0.09,1405,0.12,cellular organisms;Bacteria;Pseudomonadati;Atribacterota,cellular root;domain;kingdom;phylum,131567;2;3379134;67818
Thermotogota,200918,188,0.07,1640,0.14,cellular organisms;Bacteria;Thermotogati;Thermotogota,cellular root;domain;kingdom;phylum,131567;2;3384194;200918
Odinarchaeia,3067281,169,0.06,511,0.04,cellular organisms;Archaea;Promethearchaeati;Candidatus Odinarchaeota;Candidatus Odinarchaeia,cellular root;domain;kingdom;phylum;class,131567;2157;1935183;1936271;3067281
Aquificota,200783,166,0.06,1085,0.09,cellular organisms;Bacteria;Pseudomonadati;Aquificota,cellular root;domain;kingdom;phylum,131567;2;3379134;200783
Cyanobacteriota/Melainabacteria.U.phylum,NA,148,0.06,488,0.04,Cyanobacteriota/Melainabacteria.U.phylum,original_name,NA
Caldisericota,67814,104,0.04,936,0.08,cellular organisms;Bacteria;Pseudomonadati;Caldisericota/Cryosericota group;Caldisericota,cellular root;domain;kingdom;clade;phylum,131567;2;3379134;2498710;67814
Deferribacterota,200930,99,0.04,299,0.03,cellular organisms;Bacteria;Pseudomonadati;Deferribacterota,cellular root;domain;kingdom;phylum,131567;2;3379134;200930
Heimdallarchaeia,3422291,83,0.03,365,0.03,cellular organisms;Archaea;Promethearchaeati;Candidatus Heimdallarchaeota;Candidatus Heimdallarchaeia (ex Rinke et al. 2021) (nom. nud.),cellular root;domain;kingdom;phylum;class,131567;2157;1935183;1936272;3422291
Apicoplast,NA,81,0.03,203,0.02,,,
Coprothermobacterota,2138240,56,0.02,278,0.02,cellular organisms;Bacteria;Pseudomonadati;Coprothermobacterota,cellular root;domain;kingdom;phylum,131567;2;3379134;2138240
Archaea.U.phylum,2157,30,0.01,87,0.01,cellular organisms;Archaea;Archaea.U.phylum,cellular root;domain;original_name,131567;2157;2157
Chlamydiota,204428,12,0.0,54,0.0,cellular organisms;Bacteria;Pseudomonadati;PVC group;Chlamydiota,cellular root;domain;kingdom;clade;phylum,131567;2;3379134;1783257;204428
Ignavibacteriota,1134404,11,0.0,25,0.0,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Ignavibacteriota,cellular root;domain;kingdom;clade;clade;phylum,131567;2;3379134;1783270;68336;1134404
Dictyoglomota,68297,7,0.0,133,0.01,cellular organisms;Bacteria;Pseudomonadati;Dictyoglomota,cellular root;domain;kingdom;phylum,131567;2;3379134;68297
Chrysiogenota,200938,5,0.0,13,0.0,cellular organisms;Bacteria;Pseudomonadati;Chrysiogenota,cellular root;domain;kingdom;phylum,131567;2;3379134;200938
Chlorobiota,1090,3,0.0,4,0.0,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Chlorobiota,cellular root;domain;kingdom;clade;clade;phylum,131567;2;3379134;1783270;68336;1090
