Name_to_use,taxid,otu_count,otu_percentage,size_count,size_percentage,lineage,lineage_ranks,lineage_taxids
Rikenellaceae,171550,1913,0.73,5299,0.44,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae,cellular root;domain;kingdom;clade;clade;phylum;class;order;family,131567;2;3379134;1783270;68336;976;200643;171549;171550
Christensenellaceae,990719,1852,0.71,4396,0.37,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Christensenellales;Christensenellaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;1239;186801;3082768;990719
Clostridiaceae,31979,1843,0.7,8212,0.69,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Clostridiaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;1239;186801;186802;31979
Chloroflexota.U.family,200795,1816,0.69,14646,1.23,cellular organisms;Bacteria;Bacillati;Chloroflexota;Chloroflexota.U.family,cellular root;domain;kingdom;phylum;original_name,131567;2;1783272;200795;200795
Spirochaetaceae,137,1799,0.69,5941,0.5,cellular organisms;Bacteria;Pseudomonadati;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;203691;203692;136;137
Bacteroidota.U.family,976,1737,0.66,9120,0.76,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidota.U.family,cellular root;domain;kingdom;clade;clade;phylum;original_name,131567;2;3379134;1783270;68336;976;976
Phycisphaerae.U.family,666505,1714,0.65,4606,0.39,cellular organisms;Bacteria;Pseudomonadati;PVC group;Planctomycetota;Phycisphaerae;Phycisphaerae.U.family,cellular root;domain;kingdom;clade;phylum;class;original_name,131567;2;3379134;1783257;203682;666505;666505
ABY1.U.family,NA,1711,0.65,5467,0.46,ABY1.U.family,original_name,NA
Muribaculaceae,2005473,1547,0.59,3396,0.28,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae,cellular root;domain;kingdom;clade;clade;phylum;class;order;family,131567;2;3379134;1783270;68336;976;200643;171549;2005473
Streptococcaceae,1300,1499,0.57,9958,0.83,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;1239;91061;186826;1300
Gemmatimonadaceae,219687,1494,0.57,8126,0.68,cellular organisms;Bacteria;Pseudomonadati;FCB group;Gemmatimonadota;Gemmatimonadia;Gemmatimonadales;Gemmatimonadaceae,cellular root;domain;kingdom;clade;phylum;class;order;family,131567;2;3379134;1783270;142182;219685;219686;219687
Comamonadaceae,80864,1468,0.56,9527,0.8,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28216;80840;80864
Gemmataceae,1914233,1447,0.55,3701,0.31,cellular organisms;Bacteria;Pseudomonadati;PVC group;Planctomycetota;Planctomycetia;Gemmatales;Gemmataceae,cellular root;domain;kingdom;clade;phylum;class;order;family,131567;2;3379134;1783257;203682;203683;2691355;1914233
Acidimicrobiia.U.family,84992,1406,0.54,10022,0.84,cellular organisms;Bacteria;Bacillati;Actinomycetota;Acidimicrobiia;Acidimicrobiia.U.family,cellular root;domain;kingdom;phylum;class;original_name,131567;2;1783272;201174;84992;84992
Sphingomonadaceae,41297,1382,0.53,8519,0.71,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;204457;41297
Lactobacillaceae,33958,1380,0.53,7843,0.66,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;1239;91061;186826;33958
Streptomycetaceae,2062,1376,0.52,8291,0.69,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;1760;85011;2062
Thermoplasmata.U.family,183967,1333,0.51,7908,0.66,cellular organisms;Archaea;Methanobacteriati;Thermoplasmatota;Thermoplasmata;Thermoplasmata.U.family,cellular root;domain;kingdom;phylum;class;original_name,131567;2157;3366610;2283796;183967;183967
Phycisphaeraceae,666507,1258,0.48,5650,0.47,cellular organisms;Bacteria;Pseudomonadati;PVC group;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae,cellular root;domain;kingdom;clade;phylum;class;order;family,131567;2;3379134;1783257;203682;666505;666506;666507
Paenibacillaceae,186822,1247,0.48,5325,0.45,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Paenibacillaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;1239;91061;1385;186822
Moraxellaceae,468,1204,0.46,6928,0.58,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1236;2887326;468
Bacteroidaceae,815,1171,0.45,6085,0.51,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae,cellular root;domain;kingdom;clade;clade;phylum;class;order;family,131567;2;3379134;1783270;68336;976;200643;171549;815
Sphingobacteriales.U.family,200666,1120,0.43,7226,0.6,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Sphingobacteriia;Sphingobacteriales;Sphingobacteriales.U.family,cellular root;domain;kingdom;clade;clade;phylum;class;order;original_name,131567;2;3379134;1783270;68336;976;117747;200666;200666
Pseudomonadales.U.family,72274,1109,0.42,8970,0.75,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadales.U.family,cellular root;domain;kingdom;phylum;class;order;original_name,131567;2;3379134;1224;1236;72274;72274
Burkholderiales.U.family,80840,1092,0.42,6916,0.58,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiales.U.family,cellular root;domain;kingdom;phylum;class;order;original_name,131567;2;3379134;1224;28216;80840;80840
Paracoccaceae,31989,1092,0.42,4625,0.39,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;204455;31989
Saprospiraceae,89374,1091,0.42,4819,0.4,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Saprospiria;Saprospirales;Saprospiraceae,cellular root;domain;kingdom;clade;clade;phylum;class;order;family,131567;2;3379134;1783270;68336;976;1937959;1936988;89374
Rhodospirillales.U.family,204441,1015,0.39,4712,0.39,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Rhodospirillales.U.family,cellular root;domain;kingdom;phylum;class;order;original_name,131567;2;3379134;1224;28211;204441;204441
Burkholderiaceae,119060,1013,0.39,8806,0.74,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28216;80840;119060
Rickettsiales.U.family,766,1009,0.38,3120,0.26,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rickettsiales;Rickettsiales.U.family,cellular root;domain;kingdom;phylum;class;order;original_name,131567;2;3379134;1224;28211;766;766
Treponemataceae,2845253,980,0.37,2616,0.22,cellular organisms;Bacteria;Pseudomonadati;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;203691;203692;136;2845253
Acetobacteraceae,433,980,0.37,5189,0.43,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;3120395;433
Roseobacteraceae,2854170,974,0.37,4042,0.34,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;204455;2854170
Micrococcaceae,1268,960,0.37,4723,0.4,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;1760;85006;1268
Myxococcota.U.family,2818505,936,0.36,3460,0.29,cellular organisms;Bacteria;Pseudomonadati;Myxococcota;Myxococcota.U.family,cellular root;domain;kingdom;phylum;original_name,131567;2;3379134;2818505;2818505
Xanthomonadaceae,32033,935,0.36,6338,0.53,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1236;135614;32033
Vicinamibacterales.U.family,2910145,913,0.35,3855,0.32,cellular organisms;Bacteria;Pseudomonadati;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacterales.U.family,cellular root;domain;kingdom;phylum;class;order;original_name,131567;2;3379134;57723;1813735;2910145;2910145
Erysipelotrichaceae,128827,901,0.34,3517,0.29,cellular organisms;Bacteria;Bacillati;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;1239;526524;526525;128827
Microbacteriaceae,85023,897,0.34,6634,0.56,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;1760;85006;85023
Vibrionaceae,641,893,0.34,5299,0.44,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Vibrionales;Vibrionaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1236;135623;641
Rhizobiaceae,82115,893,0.34,4481,0.38,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;356;82115
Bacillota.U.family,1239,892,0.34,2493,0.21,cellular organisms;Bacteria;Bacillati;Bacillota;Bacillota.U.family,cellular root;domain;kingdom;phylum;original_name,131567;2;1783272;1239;1239
Staphylococcaceae,90964,889,0.34,7490,0.63,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;1239;91061;1385;90964
Rhodothermaceae,563843,881,0.34,3069,0.26,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Rhodothermota;Rhodothermia;Rhodothermales;Rhodothermaceae,cellular root;domain;kingdom;clade;clade;phylum;class;order;family,131567;2;3379134;1783270;68336;1853220;1853222;1853224;563843
Tepidisphaerales.U.family,1771349,870,0.33,2540,0.21,cellular organisms;Bacteria;Pseudomonadati;PVC group;Planctomycetota;Phycisphaerae;Tepidisphaerales;Tepidisphaerales.U.family,cellular root;domain;kingdom;clade;phylum;class;order;original_name,131567;2;3379134;1783257;203682;666505;1771349;1771349
Sphingobacteriaceae,84566,860,0.33,4993,0.42,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae,cellular root;domain;kingdom;clade;clade;phylum;class;order;family,131567;2;3379134;1783270;68336;976;117747;200666;84566
