Name_to_use,taxid,otu_count,otu_percentage,size_count,size_percentage,lineage,lineage_ranks,lineage_taxids
Aeromonadaceae,84642,327,0.12,1980,0.17,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Aeromonadaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1236;135624;84642
Bacteroidia.U.family,200643,326,0.12,1307,0.11,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidia.U.family,cellular root;domain;kingdom;clade;clade;phylum;class;original_name,131567;2;3379134;1783270;68336;976;200643;200643
Cryomorphaceae,246874,324,0.12,2904,0.24,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Flavobacteriia;Flavobacteriales;Cryomorphaceae,cellular root;domain;kingdom;clade;clade;phylum;class;order;family,131567;2;3379134;1783270;68336;976;117743;200644;246874
Tannerellaceae,2005525,321,0.12,1751,0.15,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae,cellular root;domain;kingdom;clade;clade;phylum;class;order;family,131567;2;3379134;1783270;68336;976;200643;171549;2005525
Cytophagaceae,89373,317,0.12,925,0.08,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Cytophagia;Cytophagales;Cytophagaceae,cellular root;domain;kingdom;clade;clade;phylum;class;order;family,131567;2;3379134;1783270;68336;976;768503;768507;89373
Methylococcaceae,403,311,0.12,2072,0.17,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Methylococcales;Methylococcaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1236;135618;403
Polyangiales.U.family,3031712,311,0.12,1423,0.12,cellular organisms;Bacteria;Pseudomonadati;Myxococcota;Polyangia;Polyangiales;Polyangiales.U.family,cellular root;domain;kingdom;phylum;subclass;order;original_name,131567;2;3379134;2818505;3031711;3031712;3031712
Fimbriimonadaceae,1663426,311,0.12,1227,0.1,cellular organisms;Bacteria;Bacillati;Armatimonadota;Fimbriimonadia;Fimbriimonadales;Fimbriimonadaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;67819;1663419;1663425;1663426
Porphyromonadaceae,171551,310,0.12,1436,0.12,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae,cellular root;domain;kingdom;clade;clade;phylum;class;order;family,131567;2;3379134;1783270;68336;976;200643;171549;171551
Erythrobacteraceae,335929,309,0.12,1564,0.13,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;204457;335929
Solirubrobacterales.U.family,588673,309,0.12,2175,0.18,cellular organisms;Bacteria;Bacillati;Actinomycetota;Thermoleophilia;Solirubrobacterales;Solirubrobacterales.U.family,cellular root;domain;kingdom;phylum;class;order;original_name,131567;2;1783272;201174;1497346;588673;588673
Bacillales.U.family,1385,308,0.12,1263,0.11,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillales.U.family,cellular root;domain;kingdom;phylum;class;order;original_name,131567;2;1783272;1239;91061;1385;1385
Polyangiaceae,49,308,0.12,1464,0.12,cellular organisms;Bacteria;Pseudomonadati;Myxococcota;Polyangia;Polyangiales;Polyangiaceae,cellular root;domain;kingdom;phylum;subclass;order;family,131567;2;3379134;2818505;3031711;3031712;49
Mycobacteriaceae,1762,307,0.12,4412,0.37,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;1760;85007;1762
Thermodesulfobacteriota.U.family,200940,307,0.12,1480,0.12,cellular organisms;Bacteria;Pseudomonadati;Thermodesulfobacteriota;Thermodesulfobacteriota.U.family,cellular root;domain;kingdom;phylum;original_name,131567;2;3379134;200940;200940
Fibrobacteraceae,204431,303,0.12,1198,0.1,cellular organisms;Bacteria;Pseudomonadati;FCB group;Fibrobacterota;Fibrobacteria;Fibrobacterales;Fibrobacteraceae,cellular root;domain;kingdom;clade;phylum;class;order;family,131567;2;3379134;1783270;65842;204430;218872;204431
Longimicrobiaceae,1804993,301,0.11,757,0.06,cellular organisms;Bacteria;Pseudomonadati;FCB group;Gemmatimonadota;Longimicrobiia;Longimicrobiales;Longimicrobiaceae,cellular root;domain;kingdom;clade;phylum;class;order;family,131567;2;3379134;1783270;142182;1804991;1804992;1804993
Oligoflexaceae,1553902,299,0.11,838,0.07,cellular organisms;Bacteria;Pseudomonadati;Bdellovibrionota;Oligoflexia;Oligoflexales;Oligoflexaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;3018035;1553900;1553901;1553902
Methylophilaceae,32011,298,0.11,3964,0.33,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Methylophilaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28216;32003;32011
Thermococci.U.family,183968,298,0.11,1319,0.11,cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Thermococci;Thermococci.U.family,cellular root;domain;kingdom;phylum;class;original_name,131567;2157;3366610;28890;183968;183968
Desulfitobacteriaceae,2937909,297,0.11,666,0.06,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Desulfitobacteriaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;1239;186801;186802;2937909
Anaplasmataceae,942,296,0.11,1229,0.1,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rickettsiales;Anaplasmataceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;766;942
Leptospiraceae,170,296,0.11,1398,0.12,cellular organisms;Bacteria;Pseudomonadati;Spirochaetota;Spirochaetia;Leptospirales;Leptospiraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;203691;203692;1643688;170
Acidaminococcaceae,909930,296,0.11,1403,0.12,cellular organisms;Bacteria;Bacillati;Bacillota;Negativicutes;Acidaminococcales;Acidaminococcaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;1239;909932;1843488;909930
Sporomusaceae,1843490,290,0.11,868,0.07,cellular organisms;Bacteria;Bacillati;Bacillota;Negativicutes;Selenomonadales;Sporomusaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;1239;909932;909929;1843490
Leptotrichiaceae,1129771,289,0.11,999,0.08,cellular organisms;Bacteria;Fusobacteriati;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3384189;32066;203490;203491;1129771
Woeseiaceae,1738654,289,0.11,1668,0.14,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Woeseiales;Woeseiaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1236;3104269;1738654
Carnobacteriaceae,186828,289,0.11,1494,0.13,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;1239;91061;186826;186828
Marinobacteraceae,2887365,284,0.11,1490,0.12,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Marinobacteraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1236;72274;2887365
Hyphomonadaceae,69657,284,0.11,1532,0.13,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomonadales;Hyphomonadaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;2800060;69657
Sporichthyaceae,85033,283,0.11,5722,0.48,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Sporichthyales;Sporichthyaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;1760;2495578;85033
Desulfuromonadia.U.family,3031651,280,0.11,980,0.08,cellular organisms;Bacteria;Pseudomonadati;Thermodesulfobacteriota;Desulfuromonadia;Desulfuromonadia.U.family,cellular root;domain;kingdom;phylum;class;original_name,131567;2;3379134;200940;3031651;3031651
Nitrobacteraceae,41294,279,0.11,4565,0.38,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;356;41294
Gallionellaceae,90627,276,0.11,1169,0.1,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Gallionellaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28216;32003;90627
Nitrososphaeraceae,1033997,273,0.1,3133,0.26,cellular organisms;Archaea;Thermoproteati;Nitrososphaerota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2157;1783275;651137;1643678;1033996;1033997
Holosporaceae,44746,272,0.1,1276,0.11,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Holosporales;Holosporaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;1921002;44746
Nitrospinaceae,407032,271,0.1,1284,0.11,cellular organisms;Bacteria;Pseudomonadati;Nitrospinota/Tectimicrobiota group;Nitrospinota;Nitrospinia;Nitrospinales;Nitrospinaceae,cellular root;domain;kingdom;clade;phylum;class;order;family,131567;2;3379134;1802340;1293497;1293498;1293499;407032
Chromatiaceae,1046,267,0.1,1149,0.1,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Chromatiales;Chromatiaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1236;135613;1046
Elusimicrobiota.U.family,74152,267,0.1,743,0.06,cellular organisms;Bacteria;Pseudomonadati;Elusimicrobiota;Elusimicrobiota.U.family,cellular root;domain;kingdom;phylum;original_name,131567;2;3379134;74152;74152
Colwelliaceae,267889,264,0.1,914,0.08,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Colwelliaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1236;135622;267889
Halorubraceae,1644056,263,0.1,1265,0.11,cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloferacaceae,cellular root;domain;kingdom;phylum;clade;class;order;family,131567;2157;3366610;28890;2290931;183963;2235;1644056
Nocardiaceae,85025,263,0.1,1937,0.16,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Nocardiaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;1760;85007;85025
Abitibacteriaceae,2058777,257,0.1,816,0.07,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Parafrigoribacterium;environmental samples;uncultured Parafrigoribacterium sp.;Abitibacteriaceae,cellular root;domain;kingdom;phylum;class;order;family;genus;no rank;species;family,131567;2;1783272;201174;1760;85006;85023;1957020;2058776;2058777;NA
Fibrobacterales.U.family,218872,256,0.1,768,0.06,cellular organisms;Bacteria;Pseudomonadati;FCB group;Fibrobacterota;Fibrobacteria;Fibrobacterales;Fibrobacterales.U.family,cellular root;domain;kingdom;clade;phylum;class;order;original_name,131567;2;3379134;1783270;65842;204430;218872;218872
Ktedonobacterales.U.family,388448,256,0.1,777,0.07,cellular organisms;Bacteria;Bacillati;Chloroflexota;Ktedonobacteria;Ktedonobacterales;Ktedonobacterales.U.family,cellular root;domain;kingdom;phylum;class;order;original_name,131567;2;1783272;200795;388447;388448;388448
Elusimicrobia.U.family,641853,254,0.1,840,0.07,cellular organisms;Bacteria;Pseudomonadati;Elusimicrobiota;Elusimicrobia;Elusimicrobia.U.family,cellular root;domain;kingdom;phylum;class;original_name,131567;2;3379134;74152;641853;641853
Devosiaceae,2831106,251,0.1,1166,0.1,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;356;2831106
Zoogloeaceae,2008794,248,0.09,950,0.08,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28216;206389;2008794
Methanotrichaceae,143067,246,0.09,1914,0.16,cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Methanomicrobia;Methanotrichales;Methanotrichaceae,cellular root;domain;kingdom;phylum;clade;class;order;family,131567;2157;3366610;28890;2290931;224756;2905377;143067
Cellvibrionaceae,1706371,244,0.09,848,0.07,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1236;1706369;1706371
Eggerthellaceae,1643826,243,0.09,706,0.06,cellular organisms;Bacteria;Bacillati;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;84998;1643822;1643826
Planctomycetaceae,126,233,0.09,857,0.07,cellular organisms;Bacteria;Pseudomonadati;PVC group;Planctomycetota;Planctomycetia;Planctomycetales;Planctomycetaceae,cellular root;domain;kingdom;clade;phylum;class;order;family,131567;2;3379134;1783257;203682;203683;112;126
Hadesarchaea.U.family,1775750,223,0.09,671,0.06,cellular organisms;Archaea;Methanobacteriati;Candidatus Hadarchaeota;Candidatus Hadarchaeia;Hadesarchaea.U.family,cellular root;domain;kingdom;phylum;class;original_name,131567;2157;3366610;3055124;1775750;1775750
Shewanellaceae,267890,223,0.09,1412,0.12,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1236;135622;267890
Haloarculaceae,1963268,223,0.09,765,0.06,cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloarculaceae,cellular root;domain;kingdom;phylum;clade;class;order;family,131567;2157;3366610;28890;2290931;183963;2235;1963268
Haliscomenobacteraceae,1937961,222,0.08,704,0.06,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Saprospiria;Saprospirales;Haliscomenobacteraceae,cellular root;domain;kingdom;clade;clade;phylum;class;order;family,131567;2;3379134;1783270;68336;976;1937959;1936988;1937961
Tissierellia.U.family,1737404,221,0.08,604,0.05,cellular organisms;Bacteria;Bacillati;Bacillota;Tissierellia;Tissierellia.U.family,cellular root;domain;kingdom;phylum;class;original_name,131567;2;1783272;1239;1737404;1737404
Eubacteriaceae,186806,221,0.08,1229,0.1,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;1239;186801;186802;186806
Haloferacaceae,1644056,220,0.08,653,0.05,cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloferacaceae,cellular root;domain;kingdom;phylum;clade;class;order;family,131567;2157;3366610;28890;2290931;183963;2235;1644056
Atribacterota.U.family,67818,215,0.08,1295,0.11,cellular organisms;Bacteria;Pseudomonadati;Atribacterota;Atribacterota.U.family,cellular root;domain;kingdom;phylum;original_name,131567;2;3379134;67818;67818
Methylobacteriaceae,119045,213,0.08,1410,0.12,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;356;119045
Halobacteria.U.family,183963,211,0.08,707,0.06,cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteria.U.family,cellular root;domain;kingdom;phylum;clade;class;original_name,131567;2157;3366610;28890;2290931;183963;183963
Rubrobacteraceae,84997,211,0.08,1322,0.11,cellular organisms;Bacteria;Bacillati;Actinomycetota;Rubrobacteria;Rubrobacterales;Rubrobacteraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;84995;84996;84997
Azospirillaceae,2829815,210,0.08,1213,0.1,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Azospirillaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;204441;2829815
Methanosarcinaceae,2206,209,0.08,1577,0.13,cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Methanomicrobia;Methanosarcinales;Methanosarcinaceae,cellular root;domain;kingdom;phylum;clade;class;order;family,131567;2157;3366610;28890;2290931;224756;94695;2206
Armatimonadales.U.family,1042313,206,0.08,644,0.05,cellular organisms;Bacteria;Bacillati;Armatimonadota;Armatimonadia;Armatimonadales;Armatimonadales.U.family,cellular root;domain;kingdom;phylum;class;order;original_name,131567;2;1783272;67819;1042312;1042313;1042313
Akkermansiaceae,1647988,206,0.08,1200,0.1,cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae,cellular root;domain;kingdom;clade;phylum;class;order;family,131567;2;3379134;1783257;74201;203494;48461;1647988
Sphaerochaetaceae,2791015,206,0.08,995,0.08,cellular organisms;Bacteria;Pseudomonadati;Spirochaetota;Spirochaetia;Spirochaetales;Sphaerochaetaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;203691;203692;136;2791015
Desulfococcaceae,2931039,204,0.08,589,0.05,cellular organisms;Bacteria;Pseudomonadati;Thermodesulfobacteriota;Desulfobacteria;Desulfobacterales;Desulfococcaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;200940;3024418;213118;2931039
Entomoplasmatales.U.family,186328,202,0.08,604,0.05,cellular organisms;Bacteria;Bacillati;Mycoplasmatota;Mollicutes;Entomoplasmatales;Entomoplasmatales.U.family,cellular root;domain;kingdom;phylum;class;order;original_name,131567;2;1783272;544448;31969;186328;186328
Sutterellaceae,995019,200,0.08,1886,0.16,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sutterellaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28216;80840;995019
Arenicellaceae,1617891,199,0.08,690,0.06,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Arenicellales;Arenicellaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1236;1617890;1617891
Steroidobacteraceae,2689614,199,0.08,1599,0.13,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Steroidobacterales;Steroidobacteraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1236;3060226;2689614
Thermoanaerobacteraceae,186814,196,0.07,615,0.05,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;1239;186801;68295;186814
Bradymonadales.U.family,1779134,196,0.07,769,0.06,cellular organisms;Bacteria;delta/epsilon subdivisions;Deltaproteobacteria;Bradymonadales;Bradymonadales.U.family,cellular root;domain;clade;class;order;original_name,131567;2;68525;28221;1779134;1779134
Campylobacteraceae,72294,194,0.07,1558,0.13,cellular organisms;Bacteria;Pseudomonadati;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;29547;3031852;213849;72294
Deinococcaceae,183710,193,0.07,561,0.05,cellular organisms;Bacteria;Thermotogati;Deinococcota;Deinococci;Deinococcales;Deinococcaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3384194;1297;188787;118964;183710
Piscirickettsiaceae,135616,191,0.07,1210,0.1,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Thiotrichales;Piscirickettsiaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1236;72273;135616
Halobacteriaceae,2236,190,0.07,710,0.06,cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Halobacteriaceae,cellular root;domain;kingdom;phylum;clade;class;order;family,131567;2157;3366610;28890;2290931;183963;2235;2236
Alcanivoracaceae,224372,190,0.07,1091,0.09,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Alcanivoracaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1236;135619;224372
Trueperaceae,332247,189,0.07,620,0.05,cellular organisms;Bacteria;Thermotogati;Deinococcota;Deinococci;Trueperales;Trueperaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3384194;1297;188787;2762275;332247
Syntrophobacteraceae,213465,188,0.07,836,0.07,cellular organisms;Bacteria;Pseudomonadati;Thermodesulfobacteriota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;200940;3024408;213462;213465
Gaiellaceae,1154585,186,0.07,1814,0.15,cellular organisms;Bacteria;Bacillati;Actinomycetota;Thermoleophilia;Gaiellales;Gaiellaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;1497346;1154584;1154585
Symbiobacteriaceae,543349,186,0.07,581,0.05,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Symbiobacteriaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;1239;186801;186802;543349
Coriobacteriaceae,84107,184,0.07,1177,0.1,cellular organisms;Bacteria;Bacillati;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;84998;84999;84107
Marinifilaceae,1573805,184,0.07,684,0.06,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Marinilabiliales;Marinifilaceae,cellular root;domain;kingdom;clade;clade;phylum;class;order;family,131567;2;3379134;1783270;68336;976;200643;1970189;1573805
Hydrogenophilaceae,206349,184,0.07,741,0.06,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Hydrogenophilia;Hydrogenophilales;Hydrogenophilaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;2008785;119069;206349
Nostocaceae,1162,181,0.07,1030,0.09,cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;Cyanophyceae;Nostocales;Nostocaceae,cellular root;domain;kingdom;clade;phylum;class;order;family,131567;2;1783272;1798711;1117;3028117;1161;1162
Porticoccaceae,1706374,181,0.07,931,0.08,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Cellvibrionales;Porticoccaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1236;1706369;1706374
Verrucomicrobiales.U.family,48461,181,0.07,812,0.07,cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Verrucomicrobiales.U.family,cellular root;domain;kingdom;clade;phylum;class;order;original_name,131567;2;3379134;1783257;74201;203494;48461;48461
Geminicoccaceae,2066434,179,0.07,838,0.07,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Geminicoccales;Geminicoccaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;3108222;2066434
Alicyclobacillaceae,186823,176,0.07,745,0.06,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Alicyclobacillaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;1239;91061;1385;186823
Desulfotomaculaceae,2937910,174,0.07,470,0.04,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Desulfotomaculaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;1239;186801;186802;2937910
Chthoniobacterales.U.family,1836787,174,0.07,848,0.07,cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Spartobacteria;Chthoniobacterales;Chthoniobacterales.U.family,cellular root;domain;kingdom;clade;phylum;class;order;original_name,131567;2;3379134;1783257;74201;134549;1836787;1836787
Solirubrobacteraceae,320599,171,0.07,1546,0.13,cellular organisms;Bacteria;Bacillati;Actinomycetota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;1497346;588673;320599
Anaeromyxobacteraceae,1524215,170,0.06,951,0.08,cellular organisms;Bacteria;Pseudomonadati;Myxococcota;Myxococcia;Myxococcales;Cystobacterineae;Anaeromyxobacteraceae,cellular root;domain;kingdom;phylum;class;order;suborder;family,131567;2;3379134;2818505;32015;29;80811;1524215
Odinarchaeia.U.family,3067281,169,0.06,511,0.04,cellular organisms;Archaea;Promethearchaeati;Candidatus Odinarchaeota;Candidatus Odinarchaeia;Odinarchaeia.U.family,cellular root;domain;kingdom;phylum;class;original_name,131567;2157;1935183;1936271;3067281;3067281
Intrasporangiaceae,85021,169,0.06,1573,0.13,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Intrasporangiaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;1760;85006;85021
Limnochordia.U.family,1676648,166,0.06,489,0.04,cellular organisms;Bacteria;Bacillati;Bacillota;Limnochordia;Limnochordia.U.family,cellular root;domain;kingdom;phylum;class;original_name,131567;2;1783272;1239;1676648;1676648
Kiloniellaceae,597359,165,0.06,526,0.04,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Kiloniellaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;204441;597359
Fulvivirgaceae,2762286,165,0.06,439,0.04,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Cytophagia;Cytophagales;Fulvivirgaceae,cellular root;domain;kingdom;clade;clade;phylum;class;order;family,131567;2;3379134;1783270;68336;976;768503;768507;2762286
Spongiibacteraceae,1706375,164,0.06,634,0.05,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Cellvibrionales;Spongiibacteraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1236;1706369;1706375
Cardiobacteriaceae,868,163,0.06,556,0.05,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1236;135615;868
Streptosporangiaceae,2004,162,0.06,766,0.06,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Streptosporangiales;Streptosporangiaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;1760;85012;2004
