DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Bacteria_genome_counts
COLOR	#ff0000
Bifidobacterium_adolescentis_species_1680	1143
Bacilli_bacterium_species_1903720	1126
uncultured_Dorea_sp._species_286138	1119
Bacteroidia_bacterium_species_2044936	1104
Morganella_morganii_species_582	1103
Francisella_tularensis_species_263	1093
Anaerolineales_bacterium_species_2073117	1090
Limosilactobacillus_reuteri_species_1598	1056
uncultured_Christensenella_sp._species_1545742	1056
Candidatus_Paceibacterota_bacterium_species_2053589	1052
Mycobacterium_ulcerans_species_1809	1052
Fidelibacterota_bacterium_species_2026760	1036
Faecalibacterium_prausnitzii_species_853	1010
Xanthomonas_campestris_species_339	1009
uncultured_Chloroflexia_bacterium_species_1672391	1008
Acinetobacter_pittii_species_48296	992
Bacteroides_ovatus_species_28116	982
Saprospiraceae_bacterium_species_2202734	980
Lactobacillus_johnsonii_species_33959	976
Campylobacter_upsaliensis_species_28080	973
uncultured_Acidobacteriaceae_bacterium_species_194844	958
uncultured_Oscillibacter_sp._species_876091	954
Xanthomonas_citri_species_346	948
Enterococcus_hirae_species_1354	936
Shigella_boydii_species_621	932
Bacillus_anthracis_species_1392	930
Vibrio_alginolyticus_species_663	927
Nitrospirota_bacterium_species_2026887	919
uncultured_delta_proteobacterium_species_34034	915
Glaesserella_parasuis_species_738	906
Candidatus_Saccharibacteria_bacterium_species_2026720	900
Pseudomonas_syringae_species_317	887
Enterobacter_asburiae_species_61645	884
Candidatus_Pelagibacter_sp._species_2024849	876
Campylobacter_lari_species_201	875
Aeromonas_caviae_species_648	875
uncultured_Erysipelotrichaceae_bacterium_species_331630	850
uncultured_Flavobacteriaceae_bacterium_species_165436	845
uncultured_Kineothrix_sp._species_2163171	842
Streptococcus_mitis_species_28037	840
Planctomycetaceae_bacterium_species_2026779	830
Enterobacter_roggenkampii_species_1812935	828
Burkholderia_multivorans_species_87883	827
Aeromonas_veronii_species_654	826
uncultured_Solirubrobacterales_bacterium_species_768556	822
Enterobacter_kobei_species_208224	822
Brucella_melitensis_species_29459	804
Escherichia_albertii_species_208962	802
Elizabethkingia_anophelis_species_1117645	800
Corynebacterium_diphtheriae_species_1717	793
Lactobacillus_crispatus_species_47770	793
Pseudomonadales_bacterium_species_1891229	792
Akkermansiaceae_bacterium_species_2562705	791
uncultured_Mailhella_sp._species_1981031	788
Agathobacter_rectalis_species_39491	780
Alistipes_putredinis_species_28117	780
Lactococcus_lactis_species_1358	779
Gemmatimonadales_bacterium_species_2448054	768
Clostridium_sp._species_1506	768
Paludibacteraceae_bacterium_species_2748031	748
Xanthomonas_perforans_species_442694	737
Staphylococcus_haemolyticus_species_1283	734
Alistipes_sp._species_1872444	734
Mucispirillum_schaedleri_species_248039	734
Stutzerimonas_stutzeri_species_316	730
Gemmatimonadaceae_bacterium_species_2026741	727
Alistipes_onderdonkii_species_328813	718
Lactobacillus_delbrueckii_species_1584	717
