DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Archaea_species_per_genus
COLOR	#4a90e2
LEGEND_TITLE	Species Count
Candidatus Methanodesulfokora_genus_2545700	2
Picrophilus_genus_46631	2
Salinirubrum_genus_1644062	1
Natrialba_genus_63742	10
Candidatus Aenigmarchaeum_genus_1462427	2
Methermicoccus_genus_660063	2
Salarchaeum_genus_1075398	3
Halogranum_genus_695982	3
Haloterrigena_genus_121871	7
Natronoarchaeum_genus_926359	5
Halorubellus_genus_1269048	4
Halococcoides_genus_2907507	2
Methanosalsum_genus_196136	3
Candidatus Pelearchaeum_genus_3079261	2
Methanopyrus_genus_2319	3
Methanohalobium_genus_2321	2
Halovivax_genus_332951	6
Natribaculum_genus_1699375	3
Candidatus Calditenuis_genus_3071569	2
Candidatus Bilamarchaeum_genus_2885758	2
Natrarchaeobaculum_genus_2765402	3
Infirmifilum_genus_2856573	4
Methanolacinia_genus_230355	2
Candidatus Aramenus_genus_2489210	3
Haloglomus_genus_2806252	5
Candidatus Nanosalina_genus_1051666	3
Staphylothermus_genus_2279	3
Sulfodiicoccus_genus_2017961	1
Natrarchaeobius_genus_2501796	3
Halosolutus_genus_2993618	3
Candidatus Methanoxibalbensis_genus_2982589	1
Thermogymnomonas_genus_482135	1
Candidatus Mnemosynella_genus_3072937	3
Candidatus Hecatella_genus_3072904	1
Natronolimnobius_genus_253106	2
Methanotorris_genus_196119	2
Halococcus_genus_2249	13
Halostella_genus_1843185	6
Candidatus Culexmicrobium_genus_2986813	3
Halarchaeum_genus_744724	8
Candidatus Nanohalococcus_genus_3157592	1
Natronoglomus_genus_3135281	1
Candidatus Jordarchaeum_genus_2823880	5
Candidatus Haladaptatiplasma_genus_2945045	1
Candidatus Halarchaeoplasma_genus_2945043	1
Natronosalvus_genus_3076685	6
Candidatus Lokiarchaeum_genus_1655637	2
Methanonatronarchaeum_genus_2022711	3
Stygiolobus_genus_41674	7
Natranaeroarchaeum_genus_2917705	3
Candidatus Heimdallarchaeum_genus_3053649	2
Haloprofundus_genus_1911573	6
Candidatus Methanoliparum_genus_2545692	2
Natronocalculus_genus_2945980	1
Halalkaliarchaeum_genus_2678343	3
Candidatus Burarchaeum_genus_2885750	2
Candidatus Tiddalikarchaeum_genus_2885755	1
Candidatus Gugararchaeum_genus_2885740	1
Candidatus Anstonella_genus_2885743	1
Candidatus Norongarragalina_genus_2885746	1
Candidatus Forterrea_genus_2107589	2
Halonotius_genus_869896	9
Candidatus Naiadarchaeum_genus_2821828	1
Candidatus Undinarchaeum_genus_2821829	1
Halorarum_genus_3163375	3
Palaeococcus_genus_83867	3
Actinarchaeum_genus_3118923	1
Candidatus Wukongarchaeum_genus_2798930	1
Candidatus Hodarchaeum_genus_2798931	1
Candidatus Baldrarchaeum_genus_2798934	1
Candidatus Hermodarchaeum_genus_2798935	1
Methanoplanus_genus_2314	2
Candidatus Sifarchaeum_genus_2792796	3
Candidatus Fermentimicrarchaeum_genus_2795013	1
Salinibaculum_genus_2732368	5
Candidatus Chewarchaeum_genus_3138742	1
Candidatus Asbonarchaeum_genus_3138744	1
Candidatus Afararchaeum_genus_3138743	1
Methanorbis_genus_3136059	3
Candidatus Methanofilum_genus_3136060	1
Candidatus Methanofrustulum_genus_3136069	1
Candidatus Methanomicula_genus_3136103	1
Candidatus Methanoglobus_genus_3075683	1
Methanothermus_genus_2179	1
Natronorarus_genus_3386557	1
Candidatus Atabeyarchaeum_genus_3402006	1
Candidatus Methanoflexus_genus_3110795	1
Candidatus Methanorudis_genus_3110796	1
Candidatus Methanovirga_genus_3110797	5
Candidatus Methanovorans_genus_3386230	1
Candidatus Methanoprimaticola_genus_2911791	2
Candidatus Asgardarchaeum (ex Tamarit et al. 2024)_genus_3067291	2
Candidatus Lutacidiplasma_genus_3345207	1
Candidatus Gagatemarchaeum_genus_3345211	1
Halostagnicola_genus_353799	6
Candidatus Nanohalalkaliarchaeum_genus_2987740	1
Methanolapillus_genus_3136068	3
Halorarius_genus_3056835	2
Natronobeatus_genus_3065678	1
Natrononativus_genus_3065677	1
Salinilacihabitans_genus_3065676	1
Candidatus Benthortus_genus_2973086	1
Candidatus Nanohalovita_genus_3157591	1
Candidatus Alkanophaga_genus_3060409	2
Natronolimnohabitans_genus_2765403	2
Candidatus Njordarchaeum_genus_3036988	2
Salinirarus_genus_3415185	1
Pyrofollis_genus_3088728	1
Oxyplasma_genus_3373586	1
Candidatus Nitrosoabyssus_genus_3373015	1
Halovalidus_genus_3383206	1
Methanocrinis_genus_3082135	2
Candidatus Freyrarchaeum_genus_3036977	1
Candidatus Sigynarchaeum_genus_3036982	1
Candidatus Zestomicrobium_genus_3376204	1
Candidatus Harpocratesius_genus_3049169	1
Haloparvum_genus_1820337	2
Natronobiforma_genus_2174848	1
Halomicrococcus_genus_2614447	1
Conexivisphaera_genus_2613912	1
Candidatus Odinarchaeum_genus_2964766	1
Candidatus Methanohalarchaeum_genus_2022712	1
Methanovulcanius_genus_3097381	1
Methanosphaerula_genus_475087	1
Nanoarchaeum_genus_193568	2
Ignicoccus_genus_54258	3
Halopiger_genus_387342	4
Halocalculus_genus_1779002	1
Candidatus Halobonum_genus_1431544	2
Candidatus Nanosalinarum_genus_1051667	1
Halobiforma_genus_203193	1
Salinadaptatus_genus_2798309	1
Halorutilus_genus_3035923	1
Candidatus Methanolliviera_genus_2545693	3
Candidatus Methanophaga_genus_3386225	3
Methanofervidicoccus_genus_2607661	2
Methanochimaera_genus_3385476	1
Halalkalirubrum_genus_2806916	1
Nanobdella_genus_2974824	1
Candidatus Scotarchaeum_genus_3072916	1
Candidatus Geothermarchaeum_genus_3072912	1
Candidatus Pyrohabitans_genus_3072874	2
Candidatus Hydrothermarchaeum_genus_2767080	1
Candidatus Nanoclepta_genus_2303498	1
Candidatus Methanobinarius_genus_3110793	1
Methanooceanicella_genus_3141690	1
Halegenticoccus_genus_2663399	2
Pyrolobus_genus_54251	2
