DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Bacteria_species_per_genus
COLOR	#4a90e2
LEGEND_TITLE	Species Count
LEGEND_SHAPES	1
LEGEND_COLORS	#4a90e2
LEGEND_LABELS	Number of species
DATA
Candidatus Sulfotelmatobacter_genus_2136116	6
Buchnera_genus_32199	3
Ruegeria_genus_97050	105
Mesomycoplasma_genus_2923352	13
Hyphomicrobium_genus_81	26
Pseudosulfitobacter_genus_2854186	5
Sodaliphilus_genus_2815786	5
Lentilitoribacter_genus_1649463	3
Hydrogenophaga_genus_47420	45
Pectobacterium_genus_122277	35
Rhizomicrobium_genus_1241326	4
Rikenella_genus_28138	4
Candidatus Fimenecus_genus_2840564	4
Rothia_genus_32207	86
Coxiella_genus_776	18
Hominenteromicrobium_genus_3073575	2
Candidatus Thioglobus_genus_655184	15
Schaedlerella_genus_2676048	3
Apilactobacillus_genus_2767877	16
Atopobium_genus_1380	32
Rhodobacter_genus_1060	30
Solobacterium_genus_123375	15
Subdoligranulum_genus_292632	12
Candidatus Nitrotoga_genus_453161	13
Candidatus Phytoplasma_genus_33926	68
Brachyspira_genus_29521	17
Enterocloster_genus_2719313	18
Acutalibacter_genus_1918385	14
Trueperella_genus_1069494	13
Succinivibrio_genus_83770	5
Olsenella_genus_133925	48
Latilactobacillus_genus_2767885	7
Synechococcus_genus_1129	453
Delftia_genus_80865	50
Thiobacillus_genus_919	27
Mycoplasma_genus_2093	135
Candidatus Accumulibacter_genus_327159	29
Kingella_genus_32257	10
Finegoldia_genus_150022	9
Nonlabens_genus_363408	23
Actinobacillus_genus_713	20
Megasphaera_genus_906	46
Gallionella_genus_96	9
Acidaminococcus_genus_904	18
Propionibacterium_genus_1743	40
Hyphomonas_genus_85	53
Candidatus Kuenenia_genus_380738	4
Tenacibaculum_genus_104267	75
Marinomonas_genus_28253	63
Duodenibacillus_genus_1980697	5
Photobacterium_genus_657	74
Fibrobacter_genus_832	53
Chryseobacterium_genus_59732	313
Anaerobutyricum_genus_2569097	8
Atlantibacter_genus_1903434	5
Waltera_genus_2815781	4
Edwardsiella_genus_635	9
Ferrovum_genus_416212	8
Pseudanabaena_genus_1152	68
Selenomonas_genus_970	36
Adlercreutzia_genus_447020	24
Candidatus Karelsulcia_genus_336809	1
Candidatus Thiodiazotropha_genus_1913444	46
Allosphingosinicella_genus_2823232	4
Nostoc_genus_1177	150
Alcanivorax_genus_59753	87
Paraprevotella_genus_577309	6
Avibacterium_genus_292486	14
Gallibacterium_genus_155493	9
Ramlibacter_genus_174951	30
Polynucleobacter_genus_44013	142
Pirellula_genus_123	4
Giesbergeria_genus_352449	5
Aquiluna_genus_529881	8
Thiomonas_genus_32012	24
Leyella_genus_2974265	2
Methyloceanibacter_genus_1484898	8
Comamonas_genus_283	80
Lysinibacillus_genus_400634	155
Butyrivibrio_genus_830	51
Azospirillum_genus_191	64
Acidimicrobium_genus_53634	13
Arthrobacter_genus_1663	462
Anaerolinea_genus_233189	6
Aeromicrobium_genus_2040	65
Devosia_genus_46913	89
Peribacillus_genus_2675229	77
Winogradskyella_genus_286104	65
Psychrobacter_genus_497	211
Rhodococcus_genus_1827	452
Oribacterium_genus_265975	21
Xylanibacter_genus_558436	7
Rhodoluna_genus_529883	6
Tetragenococcus_genus_51668	8
Agathobaculum_genus_2048137	18
Sedimenticola_genus_349742	14
Halomonas_genus_2745	272
Jeotgalibaca_genus_1470540	9
Faecalibacillus_genus_2678885	9
Pontimonas_genus_1434032	3
Megamonas_genus_158846	10
Terracidiphilus_genus_1768185	3
Micavibrio_genus_213485	42
Mucilaginibacter_genus_423349	129
Sphingobium_genus_165695	153
Rhodanobacter_genus_75309	71
Cyanobium_genus_167375	89
Romboutsia_genus_1501226	23
Parvibaculum_genus_256616	5
Carnobacterium_genus_2747	32
Sulfitobacter_genus_60136	188
Glaciecola_genus_89404	20
Bulleidia_genus_118747	5
Paraclostridium_genus_1849822	12
Rhizobacter_genus_212743	13
Thermomonas_genus_141948	17
Candidatus Angelobacter_genus_2976915	2
Ottowia_genus_219181	14
Paludibacter_genus_346096	11
Nocardia_genus_1817	321
Snodgrassella_genus_1193515	25
Acidisphaera_genus_50714	5
Piscirickettsia_genus_1237	2
Intestinibacter_genus_1505657	4
Sphaerochaeta_genus_399320	21
Phaeobacter_genus_302485	140
Aliivibrio_genus_511678	25
Curtobacterium_genus_2034	205
Candidatus Limimorpha_genus_3083039	4
Capnocytophaga_genus_1016	39
Azonexus_genus_146936	7
Roseovarius_genus_74030	82
Lonsdalea_genus_1082702	4
Opitutus_genus_178440	5
Dokdonella_genus_323413	7
Dickeya_genus_204037	26
Sphingobacterium_genus_28453	176
Catenibacterium_genus_135858	14
Leptotrichia_genus_32067	24
Thauera_genus_33057	33
Flexilinea_genus_1769713	2
Aquabacterium_genus_92793	20
Mitsuokella_genus_52225	9
Paratractidigestivibacter_genus_2847314	2
Pluralibacter_genus_1330546	7
Roseomonas_genus_125216	44
Sulfuricurvum_genus_286130	21
Roseibium_genus_150830	32
Sphingorhabdus_genus_1434046	19
Halioglobus_genus_1217416	7
Candidatus Enterousia_genus_2840644	8
Arenimonas_genus_490567	16
Acidovorax_genus_12916	122
Gemmatimonas_genus_173479	13
Proteiniphilum_genus_294702	49
Heyndrickxia_genus_2837504	23
Tidjanibacter_genus_1929083	5
Alcaligenes_genus_507	27
Puia_genus_2045098	3
Ekhidna_genus_447678	4
Reyranella_genus_445219	7
Vagococcus_genus_2737	30
Pseudoxanthomonas_genus_83618	67
Candidatus Fimivicinus_genus_2840631	2
Candidatus Scatosoma_genus_2840568	3
Planctomyces_genus_118	6
Variovorax_genus_34072	163
Aerococcus_genus_1375	34
Myroides_genus_76831	31
Trebonia_genus_2767073	3
Balneola_genus_455358	4
Denitrificimonas_genus_2901261	2
Lawsonibacter_genus_2172004	10
Microvirga_genus_186650	58
Gilliamella_genus_1193503	154
Ilumatobacter_genus_682522	8
Holdemanella_genus_1573535	9
Blattabacterium_genus_34098	12
Rickettsia_genus_780	101
Sphingopyxis_genus_165697	104
Pedosphaera_genus_1032526	4
Ginsengibacter_genus_2806031	3
Rubrobacter_genus_42255	12
Butyricimonas_genus_574697	18
Luteolibacter_genus_518753	16
Aestuariivirga_genus_2650923	3
Sedimentibacter_genus_190972	14
Salipiger_genus_263377	21
Anaerovibrio_genus_82373	6
Algoriphagus_genus_246875	63
Pedobacter_genus_84567	173
Metamycoplasma_genus_2895509	23
Lachnobacterium_genus_140625	3
Tritonibacter_genus_2083206	8
Marmoricola_genus_86795	6
Candidatus Saccharimonas_genus_1331051	3
Aquimarina_genus_290174	56
Granulicella_genus_940557	23
Candidatus Pseudothioglobus_genus_2841677	7
Eshraghiella_genus_3342669	1
Lysobacter_genus_68	71
Acidithiobacillus_genus_119977	33
Nitrosospira_genus_35798	18
Thalassolituus_genus_187492	38
Macrococcoides_genus_3076173	4
Empedobacter_genus_59734	42
Granulicatella_genus_117563	19
Dehalococcoides_genus_61434	11
Histophilus_genus_214906	1
Xenorhabdus_genus_626	51
Hafnia_genus_568	7
Mycolicibacterium_genus_1866885	164
Candidatus Methylopumilus_genus_1679002	5
Yoonia_genus_2211641	26
Geobacillus_genus_129337	63
Acetobacter_genus_434	68
Nitrospina_genus_35800	9
Kaistella_genus_2782231	28
Kocuria_genus_57493	87
Candidatus Ventricola_genus_2840601	3
Candidatus Udaeobacter_genus_1921511	2
Shouchella_genus_2893057	14
Methylobacterium_genus_407	243
Methylobacter_genus_429	21
Sellimonas_genus_1769710	6
Paracoccus_genus_265	165
Prosthecobacter_genus_48463	9
Ileibacterium_genus_1937007	3
Smithella_genus_182623	15
Saccharofermentans_genus_1200657	2
Paenimyroides_genus_3085669	7
Colwellia_genus_28228	86
Acidiphilium_genus_522	24
Caulobacter_genus_75	70
Pseudobutyrivibrio_genus_46205	22
Evtepia_genus_2211178	5
Candidatus Cloacimonas_genus_456826	8
Pelistega_genus_106146	7
Wenzhouxiangella_genus_1676142	13
Tateyamaria_genus_299261	10
Pseudoflavonifractor_genus_1017280	38
Bdellovibrio_genus_958	32
Plesiomonas_genus_702	5
Zoogloea_genus_349	8
Rectinema_genus_1937016	2
Succinatimonas_genus_674963	19
Simonsiella_genus_71	2
Acidocella_genus_50709	16
Pseudonocardia_genus_1847	107
Pseudoalteromonas_genus_53246	507
Acidiferrobacter_genus_986106	4
Woeseia_genus_1738655	3
Candidatus Hodgkinia_genus_573657	1
Allobaculum_genus_174708	7
Lentilactobacillus_genus_2767893	25
Sangeribacter_genus_2880697	2
Kluyvera_genus_579	22
Alteriqipengyuania_genus_2800680	6
Candidatus Puniceispirillum_genus_767891	7
Candidatus Nanosyncoccus_genus_2171995	4
Fructilactobacillus_genus_2767881	11
Peptoniphilus_genus_162289	42
Methylophaga_genus_40222	55
Trichococcus_genus_82802	14
Tannerella_genus_195950	10
Draconibacterium_genus_1471399	8
Taylorella_genus_29574	2
Anaerococcus_genus_165779	45
Exiguobacterium_genus_33986	207
Succiniclasticum_genus_40840	3
Candidatus Limnocylindrus_genus_2802694	2
Candidatus Limivicinus_genus_2840595	2
Zymomonas_genus_541	2
Dechloromonas_genus_73029	21
Bartonella_genus_773	275
Slackia_genus_84108	11
Mesotoga_genus_1184396	24
Liquorilactobacillus_genus_2767888	14
Brevibacillus_genus_55080	92
Roseobacter_genus_2433	245
Sulfuritalea_genus_1054211	3
Asaia_genus_91914	15
Lutibacter_genus_358023	21
Usitatibacter_genus_2803845	3
Roseateles_genus_93681	85
Ureaplasma_genus_2129	13
Senegalimassilia_genus_1473205	4
Cytobacillus_genus_2675230	41
Paraglaciecola_genus_1621534	20
Flavisolibacter_genus_398041	7
Methylocystis_genus_133	30
Ellagibacter_genus_2137577	3
Intestinimonas_genus_1392389	16
Eisenbergiella_genus_1432051	15
Massilia_genus_149698	130
Planktothrix_genus_54304	18
Laribacter_genus_168470	2
Desulfobacula_genus_28222	9
Peptostreptococcus_genus_1257	11
Sulfobacillus_genus_28033	7
Longimicrobium_genus_1804994	2
Coprobacillus_genus_100883	56
Candidatus Stammera_genus_2608261	1
Ferrimicrobium_genus_121038	4
Anaeromyxobacter_genus_161492	18
Kosakonia_genus_1330547	37
Thioalkalivibrio_genus_106633	75
Bosea_genus_85413	73
Anderseniella_genus_444432	3
Hallerella_genus_2815788	3
Cetobacterium_genus_180162	13
Chthonomonas_genus_1077265	22
Candidatus Nanopelagicus_genus_2039639	5
Robiginitomaculum_genus_437506	3
Raoultibacter_genus_1926677	5
Pseudohongiella_genus_1524249	7
Aeriscardovia_genus_240233	3
Limnobacter_genus_131079	21
Fervidobacterium_genus_2422	16
Borrelia_genus_138	25
Anaeromassilibacillus_genus_1924093	12
Maribacter_genus_252356	67
Ferrithrix_genus_643949	3
Porticoccus_genus_1123967	6
Cupriavidus_genus_106589	90
Candidatus Methylomirabilis_genus_1170227	8
Ascidiaceihabitans_genus_1648492	3
Desulfomonile_genus_2357	3
Rhodoblastus_genus_168658	6
Caldimonas_genus_196013	10
Idiomarina_genus_135575	53
Candidatus Neomicrothrix_genus_41949	76
Thermus_genus_270	36
Mariniblastus_genus_2005380	2
Micromonospora_genus_1873	529
Paraburkholderia_genus_1822464	246
Luteimonas_genus_83614	83
Niabella_genus_379899	18
Mesocricetibacter_genus_1648517	3
Mogibacterium_genus_86331	8
Rubripirellula_genus_1579505	7
Hellea_genus_574559	3
Tabrizicola_genus_1443919	13
Dermatophilus_genus_1862	2
Chloracidobacterium_genus_458032	14
Sediminicola_genus_389486	6
Vampirovibrio_genus_213484	3
Leptospirillum_genus_179	8
Sterolibacterium_genus_157591	3
Maricaulis_genus_74317	10
Lachnoanaerobaculum_genus_1164882	11
Singulisphaera_genus_466152	5
Longicatena_genus_1918536	17
Arcanobacterium_genus_28263	15
Faecalitalea_genus_1573534	14
Cellulomonas_genus_1707	105
Chthoniobacter_genus_295577	4
Geobacter_genus_28231	35
Gemmobacter_genus_204456	16
Archangium_genus_47	9
Brachymonas_genus_28219	7
Sideroxydans_genus_314343	7
Desulfobulbus_genus_893	25
Candidatus Limiplasma_genus_2840594	5
