DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Bacteria_species_per_genus
COLOR	#4a90e2
LEGEND_TITLE	Species Count
LEGEND_SHAPES	1
LEGEND_COLORS	#4a90e2
LEGEND_LABELS	Number of species
DATA
Fermentimonas_genus_1784836	2
Paenarthrobacter_genus_1742992	68
Schinkia_genus_2837509	1
Actinoplanes_genus_1865	90
Arenicella_genus_904708	5
Rhodovulum_genus_34008	24
Lapillicoccus_genus_402170	2
Phytobacter_genus_447792	9
Conexibacter_genus_191494	14
Leucobacter_genus_55968	87
Companilactobacillus_genus_2767879	44
Eudoraea_genus_446680	4
Candidatus Fimisoma_genus_2840592	2
Marvinbryantia_genus_248744	3
Cocleimonas_genus_998014	6
Pleurocapsa_genus_44474	13
Fuerstiella_genus_1936111	2
Johnsonella_genus_43994	3
Lancefieldella_genus_2767353	4
Candidatus Acididesulfobacter_genus_2597221	3
Kerstersia_genus_257820	2
Lentimonas_genus_417293	8
Candidatus Shikimatogenerans_genus_2926991	9
Parafannyhessea_genus_2847312	2
Parageobacillus_genus_1906945	10
Candidatus Flemingiibacterium_genus_2720805	2
Pararhodobacter_genus_1097465	7
Yaniella_genus_225447	5
Terricaulis_genus_2768684	3
Acidobacterium_genus_33973	4
Candidatus Enterosoma_genus_2840553	2
Amaricoccus_genus_56999	7
Dermacoccus_genus_57495	18
Sagittula_genus_58842	9
Pseudoruminococcus_genus_2721119	3
Anaerocolumna_genus_1843210	12
Candidatus Contendobacter_genus_1400859	2
Mesosutterella_genus_2494213	4
Desulfuromonas_genus_890	13
Reichenbachiella_genus_156993	10
Nostocoides_genus_99479	10
Defluviicoccus_genus_111830	5
Marinilactibacillus_genus_191769	7
Desulfonatronovibrio_genus_53244	4
Mediterranea_genus_1926659	5
Parolsenella_genus_2082587	4
Candidatus Paceibacter_genus_1432328	2
Glutamicibacter_genus_1742989	39
Psychroserpens_genus_49277	15
Loktanella_genus_245186	25
Phycisphaera_genus_666508	7
Roseivirga_genus_290180	21
Algimonas_genus_1246884	4
Ulvibacter_genus_237444	6
Kandleria_genus_1279388	21
Algibacter_genus_261827	21
Celeribacter_genus_875170	14
Rhodopila_genus_1070	3
Pontiella_genus_2750657	4
Nisaea_genus_390876	6
Candidatus Homeothermus_genus_2005517	2
Myxococcus_genus_32	43
Oleispira_genus_188907	4
Brevefilum_genus_2019482	3
Aurantimicrobium_genus_1705353	6
Candidatus Arcticimaribacter_genus_2953860	3
Candidatus Egerieisoma_genus_2840962	2
Herbaspirillum_genus_963	58
Dellaglioa_genus_2767880	3
Candidatus Solibacter_genus_332162	7
Neobacillus_genus_2675232	59
Pseudorhodoplanes_genus_1734920	3
Magnetovibrio_genus_1313115	4
Halarcobacter_genus_2321115	5
Formosa_genus_225842	14
Tropheryma_genus_2038	1
Methyloprofundus_genus_1565313	2
Spongiibacter_genus_630749	12
Halalkalibacterium (ex Joshi et al. 2022)_genus_2893055	2
Syntrophobacter_genus_29526	6
Candidatus Deferrimicrobium_genus_2974937	2
Sulfuricella_genus_935200	5
Candidatus Fermentibacter_genus_2152900	2
Aminobacterium_genus_81466	23
Silicimonas_genus_1955420	4
Undibacterium_genus_401469	46
Maritimibacter_genus_404235	13
Acholeplasma_genus_2147	10
Phaeodactylibacter_genus_1564515	4
Microcoleus_genus_44471	300
Lacibacter_genus_649461	8
Dyella_genus_231454	56
Baekduia_genus_2600304	3
Xanthobacter_genus_279	60
Nitrosovibrio_genus_1232	4
Pyramidobacter_genus_638847	7
Cohaesibacter_genus_655352	9
Moorella (nom. illeg.)_genus_44260	13
Candidatus Onthomorpha_genus_2840528	2
Bellilinea_genus_475960	3
Hydrogenoanaerobacterium_genus_596767	3
Leifsonia_genus_110932	67
Brenneria_genus_71655	21
Desulfovermiculus_genus_339721	2
Candidatus Sulfobium_genus_2093225	2
Candidatus Sabulitectum_genus_2044589	2
Candidatus Enterocola_genus_2840525	2
Candidatus Scatomorpha_genus_2840598	12
Candidatus Dasytiphilus_genus_3121261	1
Asticcacaulis_genus_76890	27
Enorma_genus_1472762	8
Oligella_genus_90243	6
Terribacillus_genus_459532	10
Novacetimonas_genus_2919364	5
Mariprofundus_genus_377315	14
Bermanella_genus_599651	7
Telluria_genus_34069	8
Candidatus Elarobacter_genus_2829313	1
Marisediminitalea_genus_2662254	2
Labilithrix_genus_1524217	3
Cloacibacillus_genus_508459	6
Holdemania_genus_61170	7
Desulfobacter_genus_2289	8
Curvibacter_genus_281915	16
Bacteriovorax_genus_146784	11
Kangiella_genus_261963	16
Janibacter_genus_53457	27
Terrimesophilobacter_genus_2906433	2
Niameybacter_genus_1973274	4
Guyparkeria_genus_2035712	12
Parafilimonas_genus_1649476	3
Pauljensenia_genus_2740557	18
Thermodesulfatator_genus_241192	5
Agromyces_genus_33877	90
Sandarakinorhabdus_genus_362865	7
Desulfofustis_genus_51194	5
Hydrotalea_genus_1004300	6
Salinibacterium_genus_235888	32
Allofournierella_genus_1940255	11
Methyloversatilis_genus_378210	10
Plasticicumulans_genus_1400827	3
Herminiimonas_genus_303379	12
Litoreibacter_genus_947567	10
Hanamia_genus_2930254	2
Mageeibacillus_genus_1637257	27
Cellvibrio_genus_10	20
Nitratifractor_genus_269260	3
Blastomonas_genus_150203	32
Macellibacteroides_genus_1159323	3
Defluviitoga_genus_1511648	2
Sphaerospermopsis_genus_752201	11
Owenweeksia_genus_267986	4
Congzhengia_genus_2944150	2
Nevskia_genus_64001	4
Acidipropionibacterium_genus_1912215	6
Desulfonatronospira_genus_488937	3
Turneriella_genus_338321	3
Dokdonia_genus_326319	19
Aurantimonas_genus_182269	22
Mesonia_genus_232115	16
Bergeyella_genus_59735	6
Arthrospira_genus_35823	9
Fulvivirga_genus_396811	14
Mameliella_genus_1434019	11
Aphanizomenon_genus_1175	10
Terrisporobacter_genus_1505652	8
Cloacibacterium_genus_501783	8
Sulfuriferula_genus_1778653	7
Lichenihabitans_genus_2723776	5
Candidatus Alloenteromonas_genus_2840542	3
Sinimarinibacterium_genus_1861863	5
Caldicellulosiruptor_genus_44000	13
Thiomargarita_genus_90372	3
Actinophytocola_genus_695999	8
Salinimicrobium_genus_561367	19
Wujia_genus_2944152	2
Dermabacter_genus_36739	12
Reinekea_genus_230494	8
Allisonella_genus_209879	2
Halopseudomonas_genus_2901189	23
Thermomicrobium_genus_499	5
Tistrella_genus_171436	5
Syntrophus_genus_43773	13
Microlunatus_genus_29404	19
Hominilimicola_genus_3073565	2
Desulfosalsimonas_genus_377149	2
Faecalicatena_genus_2005359	10
Xanthomarina_genus_1868329	7
Aureispira_genus_365032	5
Desulfamplus_genus_1246635	2
Loigolactobacillus_genus_2767889	8
Sneathia_genus_168808	5
Diaphorobacter_genus_238749	18
Acetofilamentum_genus_558418	1
Salinicoccus_genus_45669	24
Salinispora_genus_168694	9
Pseudophaeobacter_genus_1541822	13
Tagaea_genus_1755817	2
Massilimicrobiota_genus_1924110	9
Microbispora_genus_2005	39
Ruminobacter_genus_866	4
Candidatus Aquarickettsia_genus_2491977	1
Flavihumibacter_genus_1004301	15
Candidatus Poriferisodalis_genus_2983190	2
Ructibacterium_genus_2884634	3
Maribellus_genus_2678352	8
Flavitalea_genus_1210116	3
Aminivibrio_genus_1427172	2
Pseudobdellovibrio_genus_2862745	3
Pedococcus_genus_2805645	10
Shinella_genus_323620	39
Caldimicrobium_genus_444090	3
Amedibacillus_genus_2749846	3
Patiriisocius_genus_2822394	6
Agriterribacter_genus_2821507	2
Gracilimonas_genus_649462	10
Porphyrobacter_genus_1111	17
Algiphilus_genus_1266053	3
Mesoflavibacter_genus_444051	9
Dethiobacter_genus_427925	3
Candidatus Kryptonium_genus_1855365	2
Roseiflexus_genus_120961	5
Desulfosarcina_genus_2299	12
Nannocystis_genus_53	10
Yokenella_genus_158876	1
Arcicella_genus_217140	11
Arsenophonus_genus_637	21
Cobetia_genus_204286	35
Sorangium_genus_39643	5
Alkalibacterium_genus_99906	13
Candidatus Midichloria_genus_411566	2
Maridesulfovibrio_genus_2794998	7
Tolumonas_genus_43947	5
Alicycliphilus_genus_201096	12
Roseicyclus_genus_336277	10
Sporosarcina_genus_1569	93
Absicoccus_genus_2718525	4
Thiomicrospira_genus_933	13
Rhodohalobacter_genus_1974209	9
Emcibacter_genus_1602338	3
Candidatus Onthoplasma_genus_2840603	3
Spirochaeta_genus_146	12
Lacisediminihabitans_genus_2740558	4
Magnetospirillum_genus_13134	16
Candidatus Portiera_genus_235572	2
Robinsoniella_genus_588605	5
Croceibacterium_genus_2676755	10
Actinobaculum_genus_76833	6
Candidatus Fervidibacter_genus_1448928	5
Silvibacterium_genus_1775468	4
Desulfomicrobium_genus_898	10
Chamaesiphon_genus_217161	27
Lishizhenia_genus_559293	3
Candidatus Aphodosoma_genus_2840521	2
Umezakia_genus_198592	1
Stakelama_genus_1124625	6
Solibacillus_genus_648800	30
Thiodictyon_genus_53392	3
Mycoavidus_genus_1810868	4
Corallococcus_genus_83461	43
Acetomicrobium_genus_49894	10
Immundisolibacter_genus_1934947	2
Synechocystis_genus_1142	18
Rouxiella_genus_1565532	9
Actinacidiphila_genus_2995702	18
Pseudogracilibacillus_genus_1494958	8
Frischella_genus_1335631	3
Azotobacter_genus_352	7
Sutcliffiella_genus_2837511	10
Salinivibrio_genus_51366	40
Winkia_genus_2692118	14
Chakrabartia_genus_2676858	3
Exercitatus_genus_3085664	1
Methylobacillus_genus_404	12
Shimia_genus_573139	29
Fimbriimonas_genus_1005038	3
Lawsonella_genus_1847725	3
Coprothermobacter_genus_68335	4
Methylovulum_genus_762296	3
Paenisporosarcina_genus_651660	12
Hydrogenobacter_genus_939	8
Thiopseudomonas_genus_1654787	14
Tissierella_genus_41273	17
Thermotoga_genus_2335	25
Desulfotomaculum_genus_1562	11
Ursidibacter_genus_1855419	2
Nodosilinea_genus_1120752	18
Crocosphaera_genus_263510	7
Arenibacter_genus_178469	31
Steroidobacter_genus_469322	7
Mariniplasma_genus_2903100	2
Amycolatopsis_genus_1813	221
Demequina_genus_577469	40
Methylomarinum_genus_1221209	4
Caldithrix_genus_187144	4
Roseitalea_genus_1915401	6
Desulfatitalea_genus_1303912	6
Trichormus_genus_264688	7
Caldibacillus_genus_1276290	6
Isoptericola_genus_254250	44
Endozoicomonas_genus_305899	41
Siminovitchia_genus_2837510	10
Fructobacillus_genus_559173	16
Anaerobiospirillum_genus_13334	12
Commensalibacter_genus_1079922	26
Saccharicrinis_genus_1618113	9
Holophaga_genus_35838	3
Euzebya_genus_908623	4
Hallella_genus_52228	8
Croceibacter_genus_216431	3
Sporofaciens_genus_2811390	2
Nonomuraea_genus_83681	186
Phocoenobacter_genus_146805	2
Cellulophaga_genus_104264	27
Candidatus Cryosericum_genus_2498709	5
Methylomagnum_genus_1760987	2
Candidatus Multivorans_genus_3004231	3
Luteibacter_genus_242605	32
Boseongicola_genus_1648497	14
Kribbella_genus_182639	99
Sandaracinus_genus_1055688	3
Rivihabitans_genus_1649488	1
Ewingella_genus_41201	4
Paenacidovorax_genus_3051138	3
Kytococcus_genus_57499	7
Acetivibrio_genus_35829	11
Thermoanaerobacter_genus_1754	19
Atopostipes_genus_292480	4
Quisquiliibacterium_genus_2041017	2
Komagataeibacter_genus_1434011	20
Chiayiivirga_genus_1648505	3
Solimonas_genus_413435	11
Dielma_genus_1472649	1
Rhodoplanes_genus_29407	12
Ancrocorticia_genus_2593683	3
Sulfuricaulis_genus_1744881	2
Candidatus Aquilonibacter_genus_2829305	1
Tangfeifania_genus_1649501	3
Nioella_genus_1775424	6
Longilinea_genus_475961	3
Merdimonas_genus_2023266	2
Tsukamurella_genus_2060	22
Pontibacterium_genus_2036025	3
Pimelobacter_genus_2044	3
Robiginitalea_genus_252306	11
Candidatus Epulonipiscium_genus_2383	18
Amphritea_genus_515417	9
Anaeroglobus_genus_156454	4
Caecibacter_genus_1980685	5
Candidatus Arthromitus_genus_49082	14
Parasynechococcus_genus_2881427	2
Candidatus Aldehydirespirator_genus_2983181	2
Leadbetterella_genus_319458	5
Tenuifilum_genus_2760873	3
Rariglobus_genus_2706524	2
Thermaerobacter_genus_73918	6
Zunongwangia_genus_417127	12
Oricola_genus_1594166	5
Candidatus Pelethousia_genus_2840597	2
Salinivenus_genus_1853226	4
Aneurinibacillus_genus_55079	14
Kurthia_genus_1649	22
Emticicia_genus_312278	17
Candidatus Palauibacter_genus_3056650	10
Gimesia_genus_1649453	10
Flagellimonas_genus_444459	53
Thiogranum_genus_1617886	3
Lentihominibacter_genus_2944200	3
Telmatospirillum_genus_382513	4
Enhydrobacter_genus_212791	17
Sporolactobacillus_genus_2077	22
Terrimonas_genus_296051	7
Natronohydrobacter_genus_87171	3
Verminephrobacter_genus_364316	5
Limnoglobus_genus_2731450	2
Actinomadura_genus_1988	115
Hydrogenimonas_genus_223785	5
Gemmata_genus_113	7
Thalassobaculum_genus_526215	6
Candidatus Tumulicola_genus_2829307	1
Croceitalea_genus_574891	10
Azospira_genus_146937	8
Snowella_genus_283821	3
Microcella_genus_337004	13
Desulfitobacterium_genus_36853	12
Filomicrobium_genus_119044	4
Thermocrinis_genus_75905	6
Parascardovia_genus_196082	2
Neolewinella_genus_2993541	11
Lachnotalea_genus_1763508	4
Alsobacter_genus_1502180	6
Candidatus Egerieousia_genus_2840524	3
Chromohalobacter_genus_42054	14
Obesumbacterium_genus_82982	1
Desulforhopalus_genus_40413	5
Candidatus Microsaccharimonas_genus_2959523	2
Candidatus Bipolaricaulis_genus_2250122	3
Gulosibacter_genus_256818	12
Silanimonas_genus_292713	2
Coraliomargarita_genus_442430	8
Candidatus Lightella_genus_2974993	1
Dakarella_genus_1987748	2
Alteraurantiacibacter_genus_2800678	5
Sphingosinicella_genus_335405	15
Nitrobacter_genus_911	9
Brumimicrobium_genus_200473	7
Aeribacillus_genus_1055323	15
Leptolyngbya_genus_47251	75
Aliicoccus_genus_1647178	2
Candidatus Finniella_genus_1777753	3
Aestuariivita_genus_1608457	3
Byssovorax_genus_224459	2
Auritidibacter_genus_1160973	6
Teredinibacter_genus_2425	6
Streptosporangium_genus_2000	65
Succinimonas_genus_83768	2
Propioniciclava_genus_1085622	9
Kordiimonas_genus_288021	14
Facklamia_genus_66831	9
Candidatus Vidania_genus_1191175	1
Anaerofustis_genus_264995	5
Acetobacterium_genus_33951	17
Candidatus Colimorpha_genus_3082834	4
Bryobacter_genus_911113	4
Mesoplasma_genus_46239	20
Ilyobacter_genus_167639	3
Pelobium_genus_1903173	2
Pseudobacillus_genus_108525	5
Cognaticolwellia_genus_2848171	5
Moritella_genus_58050	14
Phyllobacterium_genus_28100	38
Caldanaerobacter_genus_249529	2
Runella_genus_105	11
Thermoanaerobacterium_genus_28895	11
Congregibacter_genus_393661	5
Modestobacter_genus_88138	30
Gelidibacter_genus_49279	12
Vitreoscilla_genus_59	6
Thiolinea_genus_2212691	2
Brevifollis_genus_1383070	2
Candidatus Aalborgiella_genus_3386153	1
Candidatus Electrothrix_genus_1859128	24
Candidatus Peribacter_genus_1803399	7
Duffyella_genus_3026546	1
Candidatus Brachybacter_genus_2981994	1
Anoxybacteroides_genus_3389905	4
Candidatus Calidihabitans_genus_3377974	1
Candidatus Hakubella_genus_2754714	1
Synergistes_genus_2753	5
Mycetocola_genus_76634	14
Denitromonas_genus_139331	4
Ferrimonas_genus_44011	15
Spiroplasma_genus_2132	117
Galbitalea_genus_1484107	3
Proteiniclasticum_genus_1155385	7
Microbulbifer_genus_48073	59
Aliiroseovarius_genus_1658781	38
Furfurilactobacillus_genus_2767882	7
Pseudodesulfovibrio_genus_2035811	23
Rosenbergiella_genus_1356488	7
Pilosibacter_genus_3144345	3
Haematospirillum_genus_1804663	5
Sakamotonia_genus_2840582	4
Saccharospirillum_genus_231683	8
Taibaiella_genus_1434702	8
Dongia_genus_1146845	7
Candidatus Apopatosoma_genus_3082828	1
Thalassovita_genus_335927	13
Truepera_genus_332248	4
Rhodomicrobium_genus_1068	7
Exilispira_genus_568400	1
Gottfriedia_genus_2837503	9
Candidatus Didemnitutus_genus_2055839	2
Aquamicrobium_genus_69278	11
Halorhodospira_genus_85108	11
Intrasporangium_genus_53357	8
Alkalispirochaeta_genus_2024958	5
Oleiharenicola_genus_2100741	4
Grimontia_genus_246861	9
Bariatricus_genus_1924081	5
Bythopirellula_genus_1400386	4
Methyloglobulus_genus_1410680	2
Inhella_genus_644355	5
Leisingera_genus_191028	33
Oceanospirillum_genus_965	8
Aquidulcibacter_genus_2052989	2
Savagea_genus_1655429	3
Thioploca_genus_40751	2
Candidatus Coneutiohabitans_genus_3396485	1
Candidatus Skiveiella_genus_3386154	1
Halobacillus_genus_45667	41
Granulibacter_genus_364409	1
Psychroflexus_genus_83612	21
Thermodesulfobacterium_genus_1740	10
Candidatus Marinacidobacterium_genus_3004331	2
Thermobifida_genus_83677	6
Chryseotalea_genus_2682476	3
Actinocrinis_genus_1920515	2
Salegentibacter_genus_143222	22
Croceicoccus_genus_1295327	17
Candidatus Borkfalkia_genus_2508948	11
Pseudidiomarina_genus_2800384	28
Billgrantia_genus_3137761	18
Fictibacillus_genus_1329200	31
Chryseosolibacter_genus_2963348	3
Leptothrix_genus_88	4
Ktedonobacter_genus_363276	12
Aquihabitans_genus_1648491	4
Armatimonas_genus_1042315	2
Bombilactobacillus_genus_2767878	7
Aquimonas_genus_265718	3
Candidatus Hydrogenedens_genus_1462415	3
Candidatus Poriferisocius_genus_2983186	3
Longibaculum_genus_1918538	3
Candidatus Aphodovivens_genus_2840516	3
Fodinibius_genus_1397106	12
Roseinatronobacter_genus_121820	10
Herbinix_genus_1663717	6
Lutimonas_genus_449810	5
Actinotalea_genus_458839	16
Thermoactinomyces_genus_2023	19
Pelotomaculum_genus_191373	23
Thiohalospira_genus_476278	2
Candidatus Scybalosoma_genus_2840599	1
Pontibacter_genus_323449	60
Epilithonimonas_genus_2782229	18
Thalassotalea_genus_1518149	35
Pseudobacteriovorax_genus_1769746	2
Planomicrobium_genus_162291	9
Guptibacillus_genus_3421338	6
Caproiciproducens_genus_1738645	7
Candidatus Avichristensenella_genus_2840560	1
Vandammella_genus_2919468	1
Marinicella_genus_863253	10
Aphanothece_genus_1121	8
Saccharophagus_genus_316625	3
Candidatus Coprenecus_genus_2840536	9
Candidatus Avispirillum_genus_2720802	2
Pararhizobium_genus_1612611	15
Povalibacter_genus_1538468	2
Thermogutta_genus_1676125	3
Carboxylicivirga_genus_1628153	8
Candidatus Vicinibacter_genus_2981996	2
Candidatus Geohabitans_genus_3377977	1
Polymorphobacter_genus_1508451	8
Limibaculum_genus_2036011	2
Buttiauxella_genus_82976	24
Kouleothrix_genus_186475	4
Rufibacter_genus_1379908	16
Crocinitomix_genus_246873	5
Rhodospirillum_genus_1081	6
Fluoribacter_genus_461	2
Trinickia_genus_2571160	14
Rhizorhabdus_genus_1649486	6
Sulfurimicrobium_genus_2772198	2
Oligoflexus_genus_1553903	3
Niastella_genus_354354	10
Duganella_genus_75654	53
Drancourtella_genus_1903506	8
Lawsonia_genus_41707	2
Tepidimonas_genus_114248	11
Abditibacterium_genus_2109263	3
Candidatus Krumholzibacterium_genus_2698819	2
Rubritalea_genus_361050	8
Candidatus Profftella_genus_1381133	2
Parvularcula_genus_208215	12
Cedecea_genus_158483	26
Paucimonas_genus_157932	2
Glaciihabitans_genus_1649454	7
Mobilibacterium_genus_1935192	2
Lamprocystis_genus_53452	3
Pectinatus_genus_864	6
Flavicella_genus_1644102	3
Thermophilibacter_genus_2847307	6
Candidatus Nanogingivalis_genus_2171991	2
Pseudacidovorax_genus_433923	6
Trabulsiella_genus_158851	2
Simkania_genus_34093	2
Candidatus Kaftiobacterium_genus_3377972	1
Candidatus Avelusimicrobium_genus_2840538	8
Candidatus Caldatribacterium_genus_1454725	6
Candidatus Wallacebacter_genus_3082385	1
Pigmentiphaga_genus_152267	15
Candidatus Avilachnospira_genus_2840579	3
Halochromatium_genus_85074	5
Oceanobacillus_genus_182709	61
Peptacetobacter_genus_2743582	5
Candidatus Desulfofervidus_genus_1902583	2
Candidatus Merdousia_genus_2840660	2
Parasporobacterium_genus_115543	3
Alloyangia_genus_2919626	3
Ventrimonas_genus_2840573	4
Candidatus Stercoripulliclostridium_genus_2840600	4
Parasaccharibacter_genus_1602345	8
Mariniflexile_genus_527198	17
Hippea_genus_84404	6
Limnoraphis_genus_1332112	2
Edaphocola_genus_2601681	4
Hydrogenobaculum_genus_168657	6
Hominisplanchenecus_genus_2941498	3
Candidatus Aquidulcis_genus_2802942	2
Thermovibrio_genus_171868	3
Hydrogenibacillus_genus_1609627	3
Sulfurihydrogenibium_genus_212790	5
Fastidiosipila_genus_236752	3
Alicyclobacillus_genus_29330	33
Sulfurirhabdus_genus_1738658	2
Candidatus Aphodousia_genus_2840646	6
Candidatus Fimimorpha_genus_2840590	2
Arsenicicoccus_genus_267408	10
Bombella_genus_1654741	14
Breoghania_genus_1406135	4
Aminipila_genus_2060094	5
Candidatus Marisimplicoccus_genus_2953857	2
Muricomes_genus_1918542	3
Silvanigrella_genus_2024975	4
Heliomicrobium_genus_2831443	5
Desemzia_genus_82800	8
Allorhizobium_genus_78526	12
Thiocapsa_genus_1056	14
Faecalispora_genus_3115229	3
Saccharopolyspora_genus_1835	52
Candidatus Calescibacterium_genus_1454777	2
Halobacteriovorax_genus_1652133	44
Acidibacter_genus_1549619	2
Casimicrobium_genus_2706000	2
Psychrosphaera_genus_907197	12
Frigoribacterium_genus_96492	49
Blastopirellula_genus_265487	7
Ignatzschineria_genus_112008	10
Urechidicola_genus_2700084	3
Pyruvatibacter_genus_1742974	3
Candidatus Allocopromorpha_genus_2840610	4
Halofilum_genus_1929135	2
Candidatus Adiutrix_genus_1705729	2
Enemella_genus_2896773	3
Haloferula_genus_574899	9
Candidatus Amarobacter_genus_3140602	1
Hydrocarboniphaga_genus_243627	4
Mesoterricola_genus_3074468	3
Desulfonema_genus_45654	4
Oceanicoccus_genus_1084558	4
Anaerofilum_genus_52784	6
Vitreimonas_genus_2919601	2
Mesobacillus_genus_2675231	17
Rhodothermus_genus_29548	5
Candidatus Amulumruptor_genus_2510710	2
Roseococcus_genus_35812	9
Desulfatiglans_genus_1549126	3
Brooklawnia_genus_369926	4
Bittarella (ex Durand et al. 2017)_genus_1929297	1
Desulfobacca_genus_60892	6
Humidesulfovibrio_genus_2910983	2
Metabacillus_genus_2675233	30
Marivirga_genus_869806	11
Pseudoduganella_genus_1522432	24
Austwickia_genus_1184606	4
Ponticaulis_genus_1123044	4
Prosthecochloris_genus_1101	13
Acidithrix_genus_1609233	3
Desulfobacterium_genus_2295	3
Tepidiforma_genus_2682228	4
Geodermatophilus_genus_1860	29
Candidatus Rifleibacterium_genus_3389868	2
Candidatus Coproplasma_genus_2840583	9
Salaquimonas_genus_2712688	3
Ketobacter_genus_2025617	5
Leminorella_genus_82980	2
Aureimonas_genus_414371	30
Rubrivirga_genus_1434037	8
Vogesella_genus_57739	19
Pannonibacter_genus_227873	12
Candidatus Microgenomatus_genus_1432326	2
Desulfarculus_genus_453229	3
Candidatus Atelocyanobacterium_genus_1453359	2
Tepidanaerobacter_genus_499228	9
Proteocatella_genus_181069	2
Macrococcus_genus_69965	27
Undibacter_genus_2946529	2
Thermosynergistes_genus_2881000	1
Enterovirga_genus_2026349	5
Gibbsiella_genus_929812	3
Candidatus Metalachnospira_genus_2721107	2
Gluconacetobacter_genus_89583	15
Candidatus Onthomonas_genus_2840626	2
Mycolicibacter_genus_1073531	21
Pseudoclavibacter_genus_255204	33
Methylacidiphilum (ex Ratnadevi et al. 2023)_genus_511745	7
Paenalcaligenes_genus_1100891	8
Sideroxyarcus_genus_2943286	2
Richelia_genus_98443	12
Ahrensia_genus_152180	7
Phormidesmis_genus_1005722	8
Jannaschia_genus_188905	25
Mordavella_genus_1981033	2
Hydrogenovibrio_genus_28884	14
Anaeroplasma_genus_2086	3
Candidatus Lachnocurva_genus_3397567	1
Aestuariibacter_genus_249523	4
Candidatus Caccocola_genus_2840654	2
Kordia_genus_221065	10
Mesoaciditoga_genus_1495038	3
Pseudochrobactrum_genus_354349	12
Candidatus Fokinia_genus_1802983	2
Desulfopila_genus_429014	6
Sunxiuqinia_genus_1254401	5
Candidatus Faecivicinus_genus_2840587	2
Saccharococcus_genus_29395	3
Desulfatibacillum_genus_218207	4
Bibersteinia_genus_476528	1
Psychrobacillus_genus_1221880	45
Nitratidesulfovibrio_genus_2802295	8
Candidatus Aquicultor_genus_2900668	3
Candidatus Parvibacillus_genus_2981995	1
Cyanobacterium_genus_102234	8
Symbiobacterium_genus_2733	3
Peptococcus_genus_2740	4
Dyadobacter_genus_120831	56
Candidatus Raskinella_genus_3342871	1
Aquaticitalea_genus_2034843	2
Imperialibacter_genus_1649461	6
Neptuniibacter_genus_459520	24
Candidatus Kryptobacter_genus_1855364	2
Coleofasciculus_genus_669368	30
Candidatus Endobugula_genus_62100	3
Candidatus Segetimicrobium_genus_3377971	1
Candidatus Tremblaya_genus_189384	5
Candidatus Merdicola_genus_2840565	2
Mobilitalea_genus_1649471	2
Metaclostridioides_genus_3120165	1
Thermosipho_genus_2420	13
Lacinutrix_genus_291183	16
Galactobacillus_genus_2060871	2
Flaviramulus_genus_369400	6
Ligaoa_genus_2944149	1
Alishewanella_genus_111142	14
Rhodosalinus_genus_2047740	6
Candidatus Symbiothrix_genus_467084	2
Candidimonas_genus_1074468	5
Oceanithermus_genus_208447	3
Lactonifactor_genus_420345	8
Culturomica_genus_1926651	3
Labilibaculum_genus_2060722	6
Elioraea_genus_457933	7
Candidatus Pullichristensenella_genus_2840567	6
Rubritepida_genus_182402	3
Rummeliibacillus_genus_648802	11
Pelosinus_genus_365348	9
Perlucidibaca_genus_661182	4
Spiribacter_genus_1335745	14
Candidatus Merdiplasma_genus_2840615	2
Candidatus Aquirickettsiella_genus_2778334	2
Rickettsiella_genus_59195	13
Murimonas_genus_1774128	1
Kaistia_genus_166953	16
Actinosynnema_genus_40566	19
Advenella_genus_290425	12
Paracraurococcus_genus_77674	4
Colibacter_genus_1980675	1
Wenyingzhuangia_genus_1518147	8
Candidatus Moeniiplasma_genus_1822366	1
Mangrovibacterium_genus_1573808	4
Traorella_genus_1929045	2
Bizionia_genus_283785	15
Alkalicoccobacillus_genus_2893059	4
Hydrogenophilus_genus_70774	3
Trichloromonas_genus_3031666	1
Pricia_genus_1434034	3
Amedibacterium_genus_2749267	10
Caloranaerobacter_genus_171003	3
Candidatus Entotheonella_genus_93171	7
Nitrolancea_genus_1206748	2
Phreatobacter_genus_1632780	6
Amnibacterium_genus_1029631	8
Aromatoleum_genus_551759	12
Candidatus Sulfomarinibacter_genus_2885991	4
Paraperlucidibaca_genus_1268272	4
Cognatishimia_genus_2211635	10
Chlorobaculum_genus_256319	7
Pseudoglutamicibacter_genus_1742991	2
Massilibacteroides_genus_2034765	2
Terasakiella_genus_196080	6
Catonella_genus_43996	4
Candidatus Palibaumannia_genus_198346	1
Candidatus Jettenia_genus_360731	6
Candidatus Regiella_genus_568988	2
Verrucomicrobium_genus_2735	7
Candidatus Infernicultor_genus_3378347	1
Hornefia_genus_2815774	3
Parablautia_genus_3039590	3
Tessaracoccus_genus_72763	28
Candidatus Symbiodolus_genus_3234016	1
Planktotalea_genus_1195766	4
Plantibacter_genus_190323	27
Candidatus Spyradenecus_genus_2840663	2
Mycetohabitans_genus_2571159	10
Malaciobacter_genus_2321114	6
Tahibacter_genus_1453544	7
Candidatus Faecenecus_genus_2840543	1
Alkaliphilus_genus_114627	14
Azovibrio_genus_146935	2
Caenispirillum_genus_414051	4
Siccibacter_genus_1649298	2
Franconibacter_genus_1649295	5
Acidihalobacter_genus_1765964	6
Paraeggerthella_genus_651554	4
