DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Viruses_species_per_genus
COLOR	#4a90e2
LEGEND_TITLE	Species Count
LEGEND_SHAPES	1
LEGEND_COLORS	#4a90e2
LEGEND_LABELS	Number of species
DATA
Suipoxvirus_genus_10275	1
Gemykibivirus_genus_1941236	55
Chipapillomavirus_genus_934800	4
Betapartitivirus_genus_1511809	20
Friunavirus_genus_1985711	78
Coralvirus_genus_2733171	2
Nitmarvirus_genus_2733304	1
Armstrongvirus_genus_2733167	3
Eneladusvirus_genus_2560128	2
Otagovirus_genus_2560197	18
Alphapartitivirus_genus_1511808	22
Muminvirus_genus_2843426	6
Marvinvirus_genus_1982091	4
Nymphadoravirus_genus_2169636	16
Gladiatorvirus_genus_2948726	32
Krischvirus_genus_1913651	33
Coopervirus_genus_1982898	16
Alphatectivirus_genus_2169669	13
Septimatrevirus_genus_1921544	33
Audreyjarvisvirus_genus_2843351	7
Tanisvirus_genus_2843069	4
Lambdavirus_genus_186765	12
Fromanvirus_genus_186764	307
Vesivirus_genus_95337	10
Siovirus_genus_2843048	3
Etatorquevirus_genus_687337	7
Bongovirus_genus_1983744	9
Bocaparvovirus_genus_1507401	49
Papyrusvirus_genus_1982554	2
Aveparvovirus_genus_1511864	5
Fernvirus_genus_2843380	37
Demosthenesvirus_genus_1982106	3
Kapieceevirus_genus_2948779	1
Fionnbharthvirus_genus_2948708	17
Doupovirus_genus_2948681	1
Tequintavirus_genus_187218	123
Epseptimavirus_genus_2732017	101
Pifdecavirus_genus_2732691	30
Kayfunavirus_genus_2732686	137
Anaposvirus_genus_2733090	1
Tunavirus_genus_187217	30
Namakavirus_genus_2733116	1
Terapinvirus_genus_2733216	4
Mooglevirus_genus_1985303	16
Lillamyvirus_genus_2843418	8
Upsilonpapillomavirus_genus_936058	3
Pipapillomavirus_genus_334211	2
Ascovirus_genus_43680	5
Colecusatellite_genus_2169619	24
Orthomarburgvirus_genus_3044783	1
Pasivirus_genus_1511782	1
Betapolyomavirus_genus_1891714	40
Aquabirnavirus_genus_39750	5
Gosmusatellite_genus_2169620	8
Litunavirus_genus_1920762	35
Enquatrovirus_genus_371730	10
Sputnikvirus_genus_1932924	2
Nankokuvirus_genus_1925779	20
Enhodamvirus_genus_1922329	10
Megrivirus_genus_1330069	8
Baylorvirus_genus_2732973	2
Felixounavirus_genus_1198140	141
Fibrovirus_genus_1977139	3
Seadornavirus_genus_208294	5
Orthonairovirus_genus_1980517	49
Rabovirus_genus_2025077	4
Ceceduovirus_genus_2842588	7
Erbovirus_genus_194961	1
Fipvunavirus_genus_2560132	19
Emalynvirus_genus_2560127	33
Macavirus_genus_548687	9
Sendosyvirus_genus_2843452	5
Flaumdravirus_genus_2560133	2
Jerseyvirus_genus_1910991	205
Proboscivirus_genus_548689	6
Samistivirus_genus_2560220	21
Pogseptimavirus_genus_2732037	3
Roseolovirus_genus_40272	6
Yonseivirus_genus_2843478	8
Ampunavirus_genus_2732929	2
Phikmvvirus_genus_477967	37
Tinytimothyvirus_genus_2843096	13
Silviavirus_genus_1857889	33
Siniperhavirus_genus_2948908	2
Deltainfluenzavirus_genus_1511083	1
Bernalvirus_genus_1982101	3
Scutavirus_genus_1232637	2
Akonivirus_genus_2842540	10
Rocahepevirus_genus_2948883	2
Pospiviroid_genus_185753	11
Aorunvirus_genus_2842545	2
Triavirus_genus_1623273	65
Avihepevirus_genus_2946812	2
Woodruffvirus_genus_1982745	7
Nahantvirus_genus_2842892	1
Seoulvirus_genus_1980929	31
Wphvirus_genus_1922327	25
Betaretrovirus_genus_140052	14
Lambdapapillomavirus_genus_325462	5
Mammarenavirus_genus_1653394	43
Restivirus_genus_2732877	2
Anayavirus_genus_2946797	99
Cystovirus_genus_10878	13
Epsilonpapillomavirus_genus_325459	2
Alphachrysovirus_genus_2560087	21
Dechshavirus_genus_2942995	1
Rosenblumvirus_genus_680287	38
Andhravirus_genus_2732589	15
Cypovirus_genus_10981	11
Tlsvirus_genus_1920865	31
Maculvirus_genus_2731958	28
Gyeongsanvirus_genus_2731942	6
Lymphocystivirus_genus_10494	4
Winklervirus_genus_2560256	3
Parabovirus_genus_2733279	3
Ohlsrhavirus_genus_2733252	9
Montyvirus_genus_2733196	22
Pecentumvirus_genus_1857844	25
Marthavirus_genus_1980936	12
Asteriusvirus_genus_2560094	20
Efquatrovirus_genus_2560124	57
Jasminevirus_genus_2560153	3
Brussowvirus_genus_1623303	44
Omikronpapillomavirus_genus_325461	1
Liefievirus_genus_1623288	67
Sapelovirus_genus_686982	6
Dyoomikronpapillomavirus_genus_1513242	1
Ambidensovirus_genus_10806	6
Alphapolyomavirus_genus_1891713	52
Rosavirus_genus_1511804	3
Quhwahvirus_genus_2733202	24
Schizotequatrovirus_genus_1198137	21
Polymycovirus_genus_2733294	16
Cbastvirus_genus_1918718	2
Grablovirus_genus_2034995	3
Kleczkowskavirus_genus_1921525	8
Pakpunavirus_genus_1921407	57
Homburgvirus_genus_1921125	5
Salivirus_genus_688449	2
Megavirus_genus_3044761	6
Turncurtovirus_genus_1298631	4
Bronvirus_genus_1623278	15
Mavirus_genus_993034	1
Tetraparvovirus_genus_1511911	9
Haloferacalesvirus_genus_2843389	28
Cilevirus_genus_675070	7
Bruynoghevirus_genus_545932	54
Orthotospovirus_genus_2560196	29
Tombusvirus_genus_12141	20
Shapirovirus_genus_2733155	8
Vegasvirus_genus_2034998	1
Lazarusvirus_genus_2842820	16
Botrytimonavirus_genus_2842566	4
Claudivirus_genus_2842609	11
Orthoebolavirus_genus_3044781	6
Peduovirus_genus_140410	40
Magoulivirus_genus_2560172	43
Taupapillomavirus_genus_934799	7
Nanovirus_genus_104766	13
Aquareovirus_genus_10979	9
Teubervirus_genus_2843466	6
Luzseptimavirus_genus_1982594	6
Kafunavirus_genus_1982587	1
Uetakevirus_genus_542960	19
Pahexavirus_genus_1982251	124
Pipefishvirus_genus_1982899	41
Menderavirus_genus_2843421	6
Coventryvirus_genus_2843370	14
Agricanvirus_genus_1984776	7
Sclerotimonavirus_genus_1883068	13
Icepovirus_genus_2842751	7
Karimacvirus_genus_2843400	20
Flowerpowervirus_genus_2842684	4
Gilsonvirus_genus_2843386	10
Brevihamaparvovirus_genus_2733230	2
Alphanodavirus_genus_143920	5
Veracruzvirus_genus_2948946	27
Lagovirus_genus_95339	5
Alpharetrovirus_genus_153057	10
Wildcatvirus_genus_1993858	2
Kratiovirus_genus_2948788	17
Casadabanvirus_genus_1623286	61
Salasvirus_genus_186846	11
Quadrivirus_genus_1299297	3
Chivirus_genus_1623283	46
Omegapapillomavirus_genus_936061	1
Polerovirus_genus_119164	75
Avastrovirus_genus_249589	16
Dhillonvirus_genus_1623289	83
Vectrevirus_genus_2732928	45
Biquartavirus_genus_1912143	17
Lauvirus_genus_2731953	1
Hepandensovirus_genus_1513201	1
Dyonupapillomavirus_genus_1513241	1
Dyorhopapillomavirus_genus_1513244	1
Phifelvirus_genus_1623299	3
Yatapoxvirus_genus_10282	2
Leishmaniavirus_genus_39755	3
Chirohepevirus_genus_2948661	3
Apscaviroid_genus_185756	19
Bequatrovirus_genus_1917990	13
Obolenskvirus_genus_1915205	42
Lightbulbvirus_genus_1918522	2
Mapvirus_genus_1920750	6
Reptarenavirus_genus_1653395	5
Wawtorquevirus_genus_2843130	4
Longwoodvirus_genus_2732984	3
Paraavulavirus_genus_2560199	2
Ampelovirus_genus_217160	22
Tegunavirus_genus_1921704	4
Vesiculovirus_genus_11271	26
Novirhabdovirus_genus_186778	5
Gordtnkvirus_genus_1982218	1
Smoothievirus_genus_1982557	10
Johnsonvirus_genus_1982576	2
Nipunavirus_genus_1982239	8
Tsarbombavirus_genus_1985181	9
Cytorhabdovirus_genus_11305	51
Fishburnevirus_genus_1983734	43
Acadianvirus_genus_1982897	5
Przondovirus_genus_1985720	198
Cronusvirus_genus_2005059	2
Lambdatorquevirus_genus_1218489	4
Closterovirus_genus_12160	25
Ferlavirus_genus_1283308	2
Copiparvovirus_genus_1511888	15
Orthoavulavirus_genus_2560194	9
Sadwavirus_genus_215920	9
Iflavirus_genus_232799	90
Attisvirus_genus_2169652	20
Fabenesatellite_genus_2169628	1
Rockefellervirus_genus_2843445	22
Carpasinavirus_genus_2733099	2
Rauchvirus_genus_542959	5
Zindervirus_genus_542837	11
Chlorovirus_genus_181083	46
Usarudivirus_genus_2843109	8
Lokivirus_genus_2560170	6
Popoffvirus_genus_2560208	1
Poushouvirus_genus_2560209	2
Ceetrepovirus_genus_2560111	5
Dhakavirus_genus_1914165	31
Orchidvirus_genus_2560193	3
Enamovirus_genus_12289	10
Slopekvirus_genus_1985328	63
Dismasvirus_genus_2560122	43
Kojivirus_genus_2560161	7
Pikminvirus_genus_2560203	1
Corndogvirus_genus_1623285	20
Chloriridovirus_genus_10491	5
