DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Eukaryota_species_per_genus
COLOR	#4a90e2
LEGEND_TITLE	Species Count
Loxodonta_genus_9784	1
Phaseolus_genus_3883	3
Ostrinia_genus_29056	2
Ochromonas_genus_2985	2
Lycocorax_genus_681191	1
Gasterosteus_genus_69292	2
Babesia_genus_5864	12
Setaria_genus_4554	2
Monosporozyma_genus_3162981	7
Histoplasma_genus_5036	3
Blumeria_genus_34372	2
Naumovozyma_genus_278028	3
Musa_genus_4640	10
Vandiemenella_genus_431948	1
Lichtheimia_genus_688353	5
Madurella_genus_100815	2
Nannochloropsis_genus_5748	6
Sporothrix_genus_29907	23
Helicoverpa_genus_7112	4
Pisum_genus_3887	1
Metarhizium_genus_5529	13
Heterocephalus_genus_10180	1
Flammulina_genus_38944	2
Pristionchus_genus_54125	8
Gadus_genus_8048	3
Curvie_genus_2613966	1
Falco_genus_8952	27
Rangifer_genus_9869	1
Paralichthys_genus_8254	2
Ostreococcus_genus_70447	12
Hibiscus_genus_47605	9
Ceratocystis_genus_5157	28
Marchantia_genus_3196	3
Lipomyces_genus_29828	19
Tolypocladium_genus_29909	17
Persea_genus_3434	1
Scophthalmus_genus_52903	1
Cyclaneusma_genus_1758688	1
Taiwanofungus_genus_320360	2
Aedes_genus_7158	5
Olea_genus_4145	2
Phascolarctos_genus_38625	1
Carya_genus_13402	2
Vigna_genus_3913	9
Maudiozyma_genus_3162980	8
Pongo_genus_9599	2
Aegilops_genus_4480	8
Neoscytalidium_genus_463684	1
Columba_genus_8931	3
Pleurotus_genus_5320	14
Oncorhynchus_genus_8016	9
Juglans_genus_16718	10
Cutaneotrichosporon_genus_1838142	18
Paraphaeosphaeria_genus_125369	2
Melospiza_genus_44395	2
Harmonia_genus_115356	1
Lodderomyces_genus_36913	2
Peronospora_genus_70742	5
Anguilla_genus_7935	8
Saccharum_genus_4546	3
Acanthamoeba_genus_5754	21
Naegleria_genus_5761	4
Polyplastron_genus_47893	1
Sarcophilus_genus_9304	1
Adineta_genus_104781	3
Kodamaea_genus_77850	24
Dromaius_genus_8789	1
Chrysemys_genus_8477	1
Leptidea_genus_189907	3
Acanthaster_genus_133433	1
Ixodes_genus_6944	6
Nematocida_genus_586132	14
Naganishia_genus_1851509	17
Linnemannia_genus_2779861	7
Magallana_genus_2171616	3
Bubalus_genus_9918	3
Starmerella_genus_75735	31
Aquila_genus_8960	8
Scleropages_genus_27726	1
Erysiphe_genus_5121	4
Schmidtea_genus_55270	4
Arxiozyma_genus_36906	5
Mytilus_genus_6548	5
Pyrrhoderma_genus_175660	2
Ophiostoma_genus_5159	19
Petromyzon_genus_7756	1
Meloidogyne_genus_189290	11
Lotmaria_genus_1620386	1
Theileria_genus_5873	6
Bursaphelenchus_genus_6324	3
Camelus_genus_9836	3
Trichinella_genus_6333	13
Rhizopogon_genus_5375	11
Clarireedia_genus_2211661	8
