# Multiple Unclassified Combinations
# Analysis date: 2025-10-15 11:14:40
# Total combinations: 83
# Total clusters: 41,506
# Total sequences: 198,486

taxonomic_combination,division,family,genus,row_count,total_size,avg_size_per_cluster,example_centroids
Eukaryota.U.division|Eukaryota.U.family|Eukaryota.U.genus,Eukaryota.U.division,Eukaryota.U.family,Eukaryota.U.genus,9333,39360,4.22,IMG_3300027741.a_Ga0209085_1003614; IMG_3300042143.a_Ga0451492_002059; IMG_3300028047.a_Ga0209526_10006985
TSAR.U.division|TSAR.U.family|TSAR.U.genus,TSAR.U.division,TSAR.U.family,TSAR.U.genus,509,1675,3.29,IMG_3300015263.a_Ga0183003_10039147; REF_SPR_MG519743.1.2045_Eukaryota_SAR_Rhizaria_Cercozoa_Gromia_Gromia_melinus; REF_SPR_MG519738.1.2026_Eukaryota_SAR_Rhizaria_Cercozoa_Gromia_Gromia_oviformis
Rhizaria|Monothalamids_X.U.family|Monothalamids_X.U.genus,Rhizaria,Monothalamids_X.U.family,Monothalamids_X.U.genus,507,2233,4.4,REF_SPR_HM213830.1.4173_U_18S_rRNA_nucleus__Eukaryota_Rhizaria_Foraminifera_Globothalamea_Rotaliida_Elphidiidae_Elphidium_Elphidium_excavatum; REF_SPR_KF042533.1.4130_U_18S_rRNA_nucleus__Eukaryota_Rhizaria_Foraminifera_Globothalamea_Rotaliida_Elphidiidae_Elphidium_Elphidium_excavatum; REF_SPR_AJ318224.1.4066_U_18S_rRNA_nucleus__Eukaryota_Rhizaria_Foraminifera_Monothalamids_Monothalamids_Clade-I_Monothalamids_Clade-I_X_Astrammina_Astrammina_triangularis
Chlorophyta|Chlorophyta_X.U.family|Chlorophyta_X.U.genus,Chlorophyta,Chlorophyta_X.U.family,Chlorophyta_X.U.genus,499,2267,4.54,IMG_3300008265.a_Ga0114361_1010994; IMG_3300021577.a_Ga0226818_1000932; IMG_3300042875.a_Ga0453091_003930
Discoba|Kinetoplastea.U.family|Kinetoplastea.U.genus,Discoba,Kinetoplastea.U.family,Kinetoplastea.U.genus,451,1621,3.59,REF_SPR_MF969038.1.2427_Eukaryota_Discoba_Discicristata_Euglenozoa_Kinetoplastea_Metakinetoplastina_Trypanosomatida_Leptomonas_Trypanosomatidae_sp._PNG107f; REF_SPR_JQ658823.1.2403_Eukaryota_Discoba_Discicristata_Euglenozoa_Kinetoplastea_Metakinetoplastina_Trypanosomatida_Leptomonas_Trypanosomatidae_sp._G33; REF_SPR_JQ658821.1.2402_U_18S_rRNA_nucleus_clone_G31_Eukaryota_Excavata_Discoba_Kinetoplastea_Trypanosomatida_Trypanosomatidae_Trypanosomatidae_TRY1_Trypanosomatidae_TRY1_sp.
Opisthokonta|Crustacea.U.family|Crustacea.U.genus,Opisthokonta,Crustacea.U.family,Crustacea.U.genus,436,2433,5.58,IMG_3300005826.a_Ga0074477_1496964; REF_SPR_LT960405.1.1906_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Siphonostomatoida_Macrostylis_sp._ML08; IMG_3300040793.a_Ga0450797_132125
Discoba|Petalomonadida.U.family|Petalomonadida.U.genus,Discoba,Petalomonadida.U.family,Petalomonadida.U.genus,422,1103,2.61,IMG_3300042203.a_Ga0451581_002949; IMG_3300049218.a_Ga0495317_0075001; IMG_3300007323.a_Ga0099768_1018614
Alveolata|Alveolata.U.family|Alveolata.U.genus,Alveolata,Alveolata.U.family,Alveolata.U.genus,393,8253,21.0,IMG_3300008117.a_Ga0114351_1026149; IMG_3300032006.a_Ga0310344_10012182; IMG_3300034010.a_Ga0365732_0667847
Rhizaria|Polycystinea.U.family|Polycystinea.U.genus,Rhizaria,Polycystinea.U.family,Polycystinea.U.genus,391,4253,10.88,REF_SPR_HQ651783.1.3714_Eukaryota_SAR_Rhizaria_Retaria_Polycystinea_Spumellaria_Phorticium_Phorticium_clevei; REF_BRK_c-135_conseq_Otu555_4_deep_Ms2-mes_Eukaryota_TSAR_Rhizaria_Radiolaria_Polycystinea_Spumellarida_Spumellarida-Group-I_Spumellarida-Group-I_X_Spumellarida-Group-I_X_sp_Species; REF_SPR_KP175030.1.2281_Eukaryota_SAR_Rhizaria_Retaria_Polycystinea_Spumellaria_Astrosphaera_uncultured_spumellarian
Opisthokonta|Mollusca.U.family|Mollusca.U.genus,Opisthokonta,Mollusca.U.family,Mollusca.U.genus,353,2354,6.67,REF_SPR_AF120520.1.2239_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Lophotrochozoa_Mollusca_Gastropoda_Heterobranchia_Rissoella_caribaea; REF_SPR_FJ917203.1.2175_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Lophotrochozoa_Mollusca_Gastropoda_Heterobranchia_Rissoella_elongatospira; REF_SPR_FJ917449.1.2172_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Lophotrochozoa_Mollusca_Gastropoda_Heterobranchia_Pleurobranchaea_meckeli
Archaeplastida.U.division|Archaeplastida.U.family|Archaeplastida.U.genus,Archaeplastida.U.division,Archaeplastida.U.family,Archaeplastida.U.genus,342,1480,4.33,IMG_3300034009.a_Ga0334944_000574; REF_SPR_HF913647.1.2753_Eukaryota_Archaeplastida_Chloroplastida_Charophyta_Phragmoplastophyta_Streptophyta_Charophyceae_Charales_Chara_Chara_aspera; IMG_3300031813.a_Ga0316217_10006324
Alveolata|Oligohymenophorea.U.family|Oligohymenophorea.U.genus,Alveolata,Oligohymenophorea.U.family,Oligohymenophorea.U.genus,339,1781,5.25,IMG_3300032212.a_Ga0316207_10005232; REF_SPR_HQ219368.1.2292_Eukaryota_SAR_Alveolata_Ciliophora_Intramacronucleata_Conthreep_Oligohymenophorea_CV1-2A-17_uncultured_ciliate; REF_SPR_KU665355.1.2269_Eukaryota_SAR_Alveolata_Ciliophora_Intramacronucleata_Conthreep_Oligohymenophorea_Scuticociliatia_Pleuronema_Peniculistoma_mytili
Opisthokonta|Agaricomycotina.U.family|Agaricomycotina.U.genus,Opisthokonta,Agaricomycotina.U.family,Agaricomycotina.U.genus,328,2666,8.13,IMG_3300036819.a_Ga0376689_0010566; IMG_3300013786.a_Ga0180413_10333; REF_SPR_KY964761.1.3428_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Dikarya_Basidiomycota_Pucciniomycotina_Pucciniomycetes_Pucciniales_Pucciniaceae_Gymnosporangium_Gymnosporangium_juniperi-virginianae
Opisthokonta|Craniata_X.U.family|Craniata_X.U.genus,Opisthokonta,Craniata_X.U.family,Craniata_X.U.genus,326,2470,7.58,IMG_3300014042.a_Ga0117790_1004490; REF_SPR_KT580984.1.2058_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Deuterostomia_Chordata_Vertebrata_Gnathostomata_Euteleostomi_Actinopterygii_Neopterygii_Teleostei_Cynoglossus_lineolatus; REF_SPR_GFIX01047396.524.2500_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Deuterostomia_Chordata_Vertebrata_Gnathostomata_Euteleostomi_Actinopterygii_Neopterygii_Teleostei_Gadus_morhua__Atlantic_cod_
