# Multiple Unclassified Combinations
# Analysis date: 2025-10-15 11:14:40
# Total combinations: 83
# Total clusters: 41,506
# Total sequences: 198,486

taxonomic_combination,division,family,genus,row_count,total_size,avg_size_per_cluster,example_centroids
Eukaryota.U.division|Eukaryota.U.family|Eukaryota.U.genus,Eukaryota.U.division,Eukaryota.U.family,Eukaryota.U.genus,9333,39360,4.22,IMG_3300027741.a_Ga0209085_1003614; IMG_3300042143.a_Ga0451492_002059; IMG_3300028047.a_Ga0209526_10006985
Alveolata|Coccidiomorphea.U.family|Coccidiomorphea.U.genus,Alveolata,Coccidiomorphea.U.family,Coccidiomorphea.U.genus,61,404,6.62,REF_SPR_KF696363.1.2021_Eukaryota_SAR_Alveolata_Apicomplexa_Aconoidasida_Haemosporoidia_Plasmodium_Plasmodium_ovale_wallikeri; REF_SPR_AF297085.1.1996_Eukaryota_SAR_Alveolata_Apicomplexa_Conoidasida_Coccidia_Adeleorina_Hepatozoon_Hepatozoon_sp._Boiga; REF_SPR_DQ096835.1.1924_Eukaryota_SAR_Alveolata_Apicomplexa_Conoidasida_Coccidia_Adeleorina_Adelina_Adelina_dimidiata
Evosea|Archamoebea.U.family|Archamoebea.U.genus,Evosea,Archamoebea.U.family,Archamoebea.U.genus,58,216,3.72,REF_SPR_JX101953.1.2971_U_18S_rRNA_nucleus_clone_MALEN3_Eukaryota_Amoebozoa_Conosa_Archamoebea_Mastigamoebida_Endolimacidae_Endolimax_Endolimax_sp.; REF_SPR_JX157640.1.2943_U_18S_rRNA_nucleus__Eukaryota_Amoebozoa_Conosa_Archamoebea_Mastigamoebida_Mastigamoebidae_Mastigamoeba_Mastigamoeba_abducta; REF_SPR_JX157632.1.2919_U_18S_rRNA_nucleus__Eukaryota_Amoebozoa_Conosa_Archamoebea_Mastigamoebida_Mastigamoebidae_Mastigamoeba_Mastigamoeba_abducta
Opisthokonta|Mucoromycotina.U.family|Mucoromycotina.U.genus,Opisthokonta,Mucoromycotina.U.family,Mucoromycotina.U.genus,57,363,6.37,IMG_3300049447.a_Ga0497419_0000879; IMG_3300028452.a_Ga0307247_10019571; IMG_3300036792.a_Ga0376663_0010962
Chlorophyta|Sphaeropleales.U.family|Sphaeropleales.U.genus,Chlorophyta,Sphaeropleales.U.family,Sphaeropleales.U.genus,56,214,3.82,REF_SPR_Y17817.1.4661_G_18S_rRNA_nucleus_strain_SAG_49.87_Eukaryota_Archaeplastida_Chlorophyta_Chlorophyceae_Sphaeropleales_Selenastraceae_Monoraphidium_Monoraphidium_terrestre; REF_SPR_HM483519.1.3292_G_18S_rRNA_nucleus_strain_SAG_202-6_Eukaryota_Archaeplastida_Chlorophyta_Chlorophyceae_Sphaeropleales_Sphaeropleales_X_Ankistrodesmus_Ankistrodesmus_nannoselene; REF_SPR_AY846380.1.2583_G_18S_rRNA_nucleus_strain_AS3-5_Eukaryota_Archaeplastida_Chlorophyta_Chlorophyceae_Sphaeropleales_Selenastraceae_Monoraphidium_Monoraphidium_minutum
Stramenopiles|Thalassiosirales.U.family|Thalassiosirales.U.genus,Stramenopiles,Thalassiosirales.U.family,Thalassiosirales.U.genus,53,222,4.19,IMG_3300022202.a_Ga0224498_10000434; REF_BRK_m64077_200204_130436_82706899_ccs_single-barcode_Otu0755_2_freshwater_Erken-fw_Eukaryota_TSAR_Stramenopiles_Gyrista_Diatomeae_Mediophyceae_Thalassiosirophycidae_Family; REF_SPR_MG972341.1.3209_G_18S_rRNA_nucleus__Eukaryota_Stramenopiles_Ochrophyta_Bacillariophyta_Bacillariophyta_X_Polar-centric-Mediophyceae_Chaetoceros_Chaetoceros_diversus_2
Alveolata|Peritrichia_2.U.family|Peritrichia_2.U.genus,Alveolata,Peritrichia_2.U.family,Peritrichia_2.U.genus,53,322,6.08,IMG_3300022231.a_Ga0236276_1136585; REF_SPR_GDIP01247411.6619.8547_Eukaryota_Cryptophyceae_Cryptomonadales_Cryptomonas_Daphnia_magna; REF_SPR_AB902285.1.1760_Eukaryota_SAR_Alveolata_Ciliophora_Intramacronucleata_Conthreep_Oligohymenophorea_Peritrichia_uncultured_eukaryote
Discoba|Euglenozoa.U.family|Euglenozoa.U.genus,Discoba,Euglenozoa.U.family,Euglenozoa.U.genus,50,204,4.08,IMG_3300006236.a_Ga0082396_100060; IMG_3300006232.a_Ga0082392_116254; IMG_3300004627.a_Ga0066629_1019590
Stramenopiles|Peronosporomycetes_X.U.family|Peronosporomycetes_X.U.genus,Stramenopiles,Peronosporomycetes_X.U.family,Peronosporomycetes_X.U.genus,44,130,2.95,IMG_3300042349.a_Ga0453943_0001734; IMG_3300037257.a_Ga0397553_0000175; IMG_3300009073.a_Ga0114957_1005582
Opisthokonta|Ustilaginomycotina.U.family|Ustilaginomycotina.U.genus,Opisthokonta,Ustilaginomycotina.U.family,Ustilaginomycotina.U.genus,43,1134,26.37,IMG_3300021435.a_Ga0214095_1000002; IMG_3300007015.a_Ga0104053_102086; REF_SPR_HQ191282.1.3527_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Dikarya_Basidiomycota_Ustilaginomycotina_Exobasidiomycetes_Exobasidiales_Exobasidiaceae_Exobasidium_uncultured_Dikarya
Alveolata|Suctoria.U.family|Suctoria.U.genus,Alveolata,Suctoria.U.family,Suctoria.U.genus,36,87,2.42,IMG_3300027771.a_Ga0209279_10008317; IMG_3300040801.a_Ga0450804_3498820; IMG_3300006164.a_Ga0075441_10037612
Rhizaria|Filosa-Thecofilosea.U.family|Filosa-Thecofilosea.U.genus,Rhizaria,Filosa-Thecofilosea.U.family,Filosa-Thecofilosea.U.genus,33,84,2.55,REF_SPR_AB714270.1.2920_Eukaryota_SAR_Rhizaria_Cercozoa_Imbricatea_Silicofilosea_Thaumatomonadida_Peregriniidae_Esquamula_Esquamula_lacrimiformis; IMG_3300028795.a_Ga0302227_10007158_1; IMG_3300044512.a_Ga0453786_0003818
Opisthokonta|Basidiomycota.U.family|Basidiomycota.U.genus,Opisthokonta,Basidiomycota.U.family,Basidiomycota.U.genus,32,88,2.75,IMG_3300035696.a_Ga0374055_0074138; IMG_3300023106.a_Ga0247809_1000545; REF_SPR_D38239.1.2658_G_18S_rRNA_nucleus_strain_JCM_2896_Eukaryota_Opisthokonta_Fungi_Basidiomycota_Pucciniomycotina_Agaricostilbomycetes_Bensingtonia_Bensingtonia_yamatoana
Rhizaria|Filosa-Sarcomonadea.U.family|Filosa-Sarcomonadea.U.genus,Rhizaria,Filosa-Sarcomonadea.U.family,Filosa-Sarcomonadea.U.genus,31,82,2.65,IMG_3300020123.a_Ga0210607_13584687_1; IMG_3300029910.a_Ga0311369_10083986; REF_BRK_c-1160_conseq_Otu0428_25_soil_Sweden_Eukaryota_TSAR_Rhizaria_Cercozoa_Filosa-Sarcomonadea_Glissomonadida_Order
Stramenopiles|Bigyra.U.family|Bigyra.U.genus,Stramenopiles,Bigyra.U.family,Bigyra.U.genus,30,244,8.13,IMG_3300025545.a_Ga0209142_1003877; IMG_3300021338.a_Ga0213839_1007792; IMG_3300034068.a_Ga0334990_0016010
Opisthokonta|Rhizophydiales.U.family|Rhizophydiales.U.genus,Opisthokonta,Rhizophydiales.U.family,Rhizophydiales.U.genus,29,107,3.69,IMG_3300044844.a_Ga0453102_0005317; REF_SPR_HQ191426.1.2366_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Chytridiomycota_Incertae_Sedis_Chytridiomycetes_Rhizophydiales_Kappamycetaceae_uncultured_Chytridiomycota; REF_SPR_HQ191296.1.2355_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Chytridiomycota_Incertae_Sedis_Chytridiomycetes_Rhizophydiales_Kappamycetaceae_uncultured_Chytridiomycota
Alveolata|Perkinsida_X.U.family|Perkinsida_X.U.genus,Alveolata,Perkinsida_X.U.family,Perkinsida_X.U.genus,29,74,2.55,REF_SPR_GDKH01029260.1.1786_Eukaryota_SAR_Alveolata_Protalveolata_Colpodellida_Voromonas_Voromonas_pontica; REF_SPR_GQ149767.1.1769_Eukaryota_SAR_Alveolata_Apicomplexa_Conoidasida_Coccidia_Eimeriorina_Rhytidocystis_Rhytidocystis_cyamus; REF_SPR_DQ244034.1.1712_Eukaryota_SAR_Alveolata_Protalveolata_Perkinsidae_A31_uncultured_alveolate
Discosea|Discosea_X.U.family|Discosea_X.U.genus,Discosea,Discosea_X.U.family,Discosea_X.U.genus,28,93,3.32,REF_SPR_AF019064.1.2682_U_18S_rRNA_nucleus_strain_Ray_&_Hayes__ATCC_30137_Eukaryota_Amoebozoa_Lobosa_Lobosa_X_Centramoebida_Acanthamoebidae_Acanthamoeba_Acanthamoeba_astronyxis; REF_SPR_KC822466.1.2639_Eukaryota_Amorphea_Amoebozoa_Discosea_Longamoebia_Centramoebida_Acanthamoeba_Acanthamoeba_sp._CDC_V621; REF_SPR_DQ185605.1.2582_Eukaryota_Amorphea_Amoebozoa_Discosea_Longamoebia_Centramoebida_Acanthamoeba_Acanthamoeba_sp._PJ
Tubulinea|Elardia.U.family|Elardia.U.genus,Tubulinea,Elardia.U.family,Elardia.U.genus,28,49,1.75,IMG_3300017970.a_Ga0187783_10039276; IMG_3300005548.a_Ga0070665_100172264; IMG_3300006426.a_Ga0075037_1066427
Alveolata|Dinoflagellata.U.family|Dinoflagellata.U.genus,Alveolata,Dinoflagellata.U.family,Dinoflagellata.U.genus,22,28,1.27,REF_SPR_FN598439.1.1838_Eukaryota_SAR_Alveolata_Protalveolata_Syndiniales_Syndinium_uncultured_marine_Syndiniales; REF_SPR_HM581715.1.1787_Eukaryota_uncultured_marine_eukaryote; REF_SPR_HM581714.1.1783_Eukaryota_SAR_Alveolata_Ciliophora_Intramacronucleata_Spirotrichea_Oligotrichia_Spirotontonia_uncultured_marine_eukaryote
Rhizaria|Glissomonadida.U.family|Glissomonadida.U.genus,Rhizaria,Glissomonadida.U.family,Glissomonadida.U.genus,21,102,4.86,IMG_3300008114.a_Ga0114347_1023095; IMG_3300046507.a_Ga0495606_0090143; IMG_3300022750.a_Ga0247812_10029614
Stramenopiles|Labyrinthulomycetes.U.family|Labyrinthulomycetes.U.genus,Stramenopiles,Labyrinthulomycetes.U.family,Labyrinthulomycetes.U.genus,19,33,1.74,REF_SPR_AF304465.1.2101_Eukaryota_SAR_Stramenopiles_Labyrinthulomycetes_Amphitraemidae_Diplophrys_sp._ATCC_50360; IMG_3300030843.a_Ga0075392_10064645; REF_BRK_m64077_200208_195333_87032648_ccs_single-barcode_Otu1374_2_freshwater_Erken-sed_Eukaryota_TSAR_Stramenopiles_Bigyra_Sagenista_Labyrinthulomycetes_Amphitremida_Diplophrys_Diplophrys_sp_Species
Opisthokonta|Taphrinomycotina.U.family|Taphrinomycotina.U.genus,Opisthokonta,Taphrinomycotina.U.family,Taphrinomycotina.U.genus,17,110,6.47,IMG_3300044718.a_Ga0467061_0003738; IMG_3300045257.a_Ga0467023_0004992; IMG_3300038479.a_Ga0436674_0002499_1
Alveolata|Gregarinomorphea.U.family|Gregarinomorphea.U.genus,Alveolata,Gregarinomorphea.U.family,Gregarinomorphea.U.genus,15,80,5.33,IMG_3300024344.a_Ga0209992_10011174; REF_SPR_FJ832159.1.1751_Eukaryota_SAR_Alveolata_Apicomplexa_Conoidasida_Gregarinasina_Eugregarinorida_Urospora_Gregarinidae_sp._from_Paranemertes_peregrina_SR-2009a; IMG_3300032263.a_Ga0316195_10028743
Chlorophyta|Chlorophyceae.U.family|Chlorophyceae.U.genus,Chlorophyta,Chlorophyceae.U.family,Chlorophyceae.U.genus,10,62,6.2,IMG_3300017635.a_Ga0187999_100462; REF_SPR_KC486765.1.1580_Eukaryota_Archaeplastida_Chloroplastida_Chlorophyta_Trebouxiophyceae_uncultured_Dunaliella; IMG_3300021193.a_Ga0219039_1078340
Alveolata|Eimeriida.U.family|Eimeriida.U.genus,Alveolata,Eimeriida.U.family,Eimeriida.U.genus,6,20,3.33,REF_SPR_FJ904646.1.1866_Eukaryota_SAR_Alveolata_Apicomplexa_Conoidasida_Coccidia_Eimeriorina_Calyptosporidae_Calyptospora_funduli; REF_SPR_GU479670.1.1826_Eukaryota_SAR_Alveolata_Apicomplexa_Conoidasida_Coccidia_Eimeriorina_Calyptosporidae_Calyptospora_funduli; REF_SPR_KT025255.1.1757_Eukaryota_SAR_Alveolata_Apicomplexa_Conoidasida_Coccidia_Eimeriorina_Goussia_clupearum
Rhizaria|Cryomonadida.U.family|Cryomonadida.U.genus,Rhizaria,Cryomonadida.U.family,Cryomonadida.U.genus,5,7,1.4,REF_SPR_KC488564.1.1599_Eukaryota_SAR_Rhizaria_Cercozoa_Chlorarachniophyta_Minorisa_uncultured_Rhizaria; REF_BRK_m64077_200210_022006_134284479_ccs_double-barcode_Otu0679_2_surface_WC-sur_Eukaryota_TSAR_Rhizaria_Cercozoa_Filosa-Thecofilosea_Cryomonadida_Protaspa-lineage_Protaspa-lineage_X_Protaspa-lineage_X_sp_Species; REF_BRK_c-3789_conseq_Otu0552_3_surface_WC-sur_Eukaryota_TSAR_Rhizaria_Cercozoa_Filosa-Thecofilosea_Cryomonadida_Order
Alveolata|Neogregarinorida.U.family|Neogregarinorida.U.genus,Alveolata,Neogregarinorida.U.family,Neogregarinorida.U.genus,5,9,1.8,IMG_3300042989.a_Ga0451690_0004523; REF_SPR_FJ865355.1.1752_U_18S_rRNA_nucleus__Eukaryota_Alveolata_Apicomplexa_Gregarinomorphea_Neogregarinorida_Actinocephalidae_Psychodiella_Psychodiella_sp.; REF_BRK_c-1328_conseq_Otu0442_20_freshwater_Skogaryd-fw_Eukaryota_TSAR_Alveolata_Division
Discosea|Acanthopodida.U.family|Acanthopodida.U.genus,Discosea,Acanthopodida.U.family,Acanthopodida.U.genus,3,3,1.0,REF_SPR_FPLS01060146.1.1247_Eukaryota_Amorphea_Amoebozoa_Discosea_Longamoebia_Centramoebida_metagenome; IMG_3300012212.a_Ga0150985_109985960; IMG_3300006423.a_Ga0075039_1014944
Rhizaria|Rhizaria.U.family|Rhizaria.U.genus,Rhizaria,Rhizaria.U.family,Rhizaria.U.genus,2,3,1.5,IMG_3300036716.a_Ga0315323_0063175; IMG_3300009130.a_Ga0118729_1168182
Tubulinea|Tubulinea.U.family|Tubulinea.U.genus,Tubulinea,Tubulinea.U.family,Tubulinea.U.genus,2,2,1.0,IMG_3300036500.a_Ga0393201_004294; IMG_3300036501.a_Ga0393202_044043
Evosea|Pelobiontida.U.family|Pelobiontida.U.genus,Evosea,Pelobiontida.U.family,Pelobiontida.U.genus,2,3,1.5,IMG_3300009584.a_Ga0115597_1100830; IMG_3300038162.a_Ga0401957_004083
Opisthokonta|Zoopagomycota.U.family|Zoopagomycota.U.genus,Opisthokonta,Zoopagomycota.U.family,Zoopagomycota.U.genus,1,2,2.0,IMG_3300045918.a_Ga0485828_0022081
Evosea|Mastigamoebida.U.family|Mastigamoebida.U.genus,Evosea,Mastigamoebida.U.family,Mastigamoebida.U.genus,1,2,2.0,IMG_3300036353.a_Ga0393301_017169
