name,count,sequence_count
"# Total rows in original metadata: 70,899",,
Colpodellida_CHR1,18,70
Dino-Group-II-Clade-21,17,78
Taphrinomycetes,17,80
Taphrinomycotina.U.family,17,110
Paulinellidae,17,24
Diplophrydaceae,17,26
Arthropoda_XX,16,24
Amphitraemidae,16,60
Gregarinomorphea.U.family,15,80
MAST-12,15,27
Chloropicaceae,15,50
Phaeodactylaceae,15,37
Allobodonidae,14,30
Dinophyceae_XX,14,19
Scyphozoa,13,32
OLIGO2,13,158
Ostreoida,13,29
Chytridiomycetaceae,12,82
Aphelidiaceae,12,17
Dino-Group-II_X,12,29
Kickxellales,12,40
Prolecithophora,12,25
Cercozoa_XXX,12,21
Ochromonadaceae,12,14
Nucleariidae_Nuclearia_2,11,30
Microsporida_X,11,21
Chlorophyceae.U.family,10,62
Reophacidae,10,34
Pterocystida_XX,10,24
Bodonidae,10,15
Vampyrellidae,10,18
Neocallimastigaceae,10,79
Evaginogenida,9,17
Ventrifissuridae,9,9
Balamuthiidae,8,12
LKM74-lineage,8,10
Bacillariophyceae_XX,8,29
Thaumatomonadidae,8,9
Tubulinea_XXXX,7,15
Bicoecea_XX,7,9
Ichthyophonida_XX,6,11
Eimeriida.U.family,6,20
Mortierellaceae_X,6,6
ARMOP1,6,9
Saprolegniales,5,126
Trebouxiophyceae_XX,5,8
Nucleohelea,5,14
Polychytriales_X,5,6
Neogregarinorida.U.family,5,9
Cryomonadida.U.family,5,7
Amphibia,5,9
Choanocystidae,5,6
Leptomyxidae,5,6
Novel-Clade-4,5,6
Dacrymycetes,5,5
Stramenopiles_XXXX,5,8
Sphaeropleales_X,4,6
Allapsidae,4,6
Endomyxa-Ascetosporea_XX,4,8
Streptophyta_XXXX,4,23
Lepidosauria,4,42
Rhynchomonadidae,4,14
Paradinida_X,4,5
OLIGO5_X,4,4
CCW10-lineage,4,6
Limnofilidae,4,6
Paracercomonadidae,4,4
Mataza-lineage,4,5
Ceratiaceae,3,65
Lipomycetaceae,3,6
Hartmannulidae,3,6
NC12B-lineage,3,11
Nibbleridae,3,11
Rhizophydiaceae,3,45
Chytridiomycota_XX,3,3
Adeleidae,3,3
Filosa-Thecofilosea_XX,3,4
Acanthopodida.U.family,3,3
MAST-3,3,7
Alphamonaceae,2,10
Endomyxa_XX,2,2
Cyanidiales_X,2,21
Sphaerozoidae,2,3
Pelobiontida.U.family,2,3
Schizosaccharomycetes,2,13
Cryothecomonas-lineage,2,3
Glissomonadida_X,2,2
Corallicolidae,2,2
Thaumatomonadida_X,2,2
Tubulinea.U.family,2,2
Rhizaria.U.family,2,3
Skeletonemaceae,1,1
Selenastraceae,1,1
Nebulidae,1,3
Zoopagomycota.U.family,1,2
Massiteriidae,1,2
Haliphthorales,1,2
Craniata_XX,1,1
Chytridiales_X,1,5
Echinamoebidae,1,2
Cryomonadida_X,1,1
Mastigamoebida.U.family,1,2
