# 18S EukCensus Taxonomic Combination Analysis
# Analysis date: 2025-10-15 11:26:29
# Total original records: 70,899
# Unique taxonomic combinations: 491
# Total sequences: 401,342

taxonomic_combination,division,family,genus,row_count,total_size,avg_size_per_cluster,example_centroids
Opisthokonta|Crustacea.U.family|Crustacea.U.genus,Opisthokonta,Crustacea.U.family,Crustacea.U.genus,436,2433,5.58,IMG_3300005826.a_Ga0074477_1496964; REF_SPR_LT960405.1.1906_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Siphonostomatoida_Macrostylis_sp._ML08; IMG_3300040793.a_Ga0450797_132125
Opisthokonta|Eurotiomycetes|Eurotiomycetes.U.genus,Opisthokonta,Eurotiomycetes,Eurotiomycetes.U.genus,381,3580,9.4,IMG_3300039109.a_Ga0120178_004481; IMG_3300011432.a_Ga0137428_1001754_1; REF_SPR_EF413600.1.3847_U_18S_rRNA_nucleus__Eukaryota_Opisthokonta_Fungi_Ascomycota_Pezizomycotina_Eurotiomycetes_Polyblastia_Polyblastia_melaspora
Opisthokonta|Mollusca.U.family|Mollusca.U.genus,Opisthokonta,Mollusca.U.family,Mollusca.U.genus,353,2354,6.67,REF_SPR_AF120520.1.2239_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Lophotrochozoa_Mollusca_Gastropoda_Heterobranchia_Rissoella_caribaea; REF_SPR_FJ917203.1.2175_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Lophotrochozoa_Mollusca_Gastropoda_Heterobranchia_Rissoella_elongatospira; REF_SPR_FJ917449.1.2172_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Lophotrochozoa_Mollusca_Gastropoda_Heterobranchia_Pleurobranchaea_meckeli
Opisthokonta|Agaricomycotina.U.family|Agaricomycotina.U.genus,Opisthokonta,Agaricomycotina.U.family,Agaricomycotina.U.genus,328,2666,8.13,IMG_3300036819.a_Ga0376689_0010566; IMG_3300013786.a_Ga0180413_10333; REF_SPR_KY964761.1.3428_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Dikarya_Basidiomycota_Pucciniomycotina_Pucciniomycetes_Pucciniales_Pucciniaceae_Gymnosporangium_Gymnosporangium_juniperi-virginianae
Opisthokonta|Craniata_X.U.family|Craniata_X.U.genus,Opisthokonta,Craniata_X.U.family,Craniata_X.U.genus,326,2470,7.58,IMG_3300014042.a_Ga0117790_1004490; REF_SPR_KT580984.1.2058_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Deuterostomia_Chordata_Vertebrata_Gnathostomata_Euteleostomi_Actinopterygii_Neopterygii_Teleostei_Cynoglossus_lineolatus; REF_SPR_GFIX01047396.524.2500_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Deuterostomia_Chordata_Vertebrata_Gnathostomata_Euteleostomi_Actinopterygii_Neopterygii_Teleostei_Gadus_morhua__Atlantic_cod_
Opisthokonta|Exobasidiomycetes|Malassezia,Opisthokonta,Exobasidiomycetes,Malassezia,298,11722,39.34,IMG_3300036830.a_Ga0376669_0013612; IMG_3300018906.a_Ga0193609_1001625; REF_SPR_EU167573.1.3042_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Dikarya_Ascomycota_Pezizomycotina_Dothideomycetes_Pleosporales_Didymellaceae_Stagonosporopsis_Stagonosporopsis_cucurbitacearum
Opisthokonta|Ascomycota.U.family|Ascomycota.U.genus,Opisthokonta,Ascomycota.U.family,Ascomycota.U.genus,288,3632,12.61,IMG_3300049324.a_Ga0497583_0001633; IMG_3300026310.a_Ga0209239_1004136; IMG_3300045013.a_Ga0467005_0004534
Opisthokonta|Chromadorea_X|Chromadorea_X.U.genus,Opisthokonta,Chromadorea_X,Chromadorea_X.U.genus,282,791,2.8,REF_SPR_LC147027.1.3725_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Ecdysozoa_Nematozoa_Nematoda_Chromadorea_Tylenchida_Tylenchomorpha_sp._Spondylis_PT; REF_SPR_KY907662.1.3256_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Ecdysozoa_Nematozoa_Nematoda_Chromadorea_Tylenchida_Neotylenchidae_gen._sp._1_QY-2017; REF_SPR_KJ934162.1.2557_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Ecdysozoa_Nematozoa_Nematoda_Chromadorea_Tylenchida_Hemicriconemoides_chitwoodi
Opisthokonta|Rozellomycota_XX|Rozellomycota_XXX,Opisthokonta,Rozellomycota_XX,Rozellomycota_XXX,268,757,2.82,IMG_3300025691.a_Ga0208826_1005466; IMG_3300032456.a_Ga0335394_10019326; IMG_3300044710.a_Ga0454596_0007311
Opisthokonta|Saccharomycotina.U.family|Saccharomycotina.U.genus,Opisthokonta,Saccharomycotina.U.family,Saccharomycotina.U.genus,259,3098,11.96,REF_SPR_DQ519012.1.2670_R_18S_rRNA_nucleus_strain_NRRL_Y-11557__CBS_1807_Eukaryota_Opisthokonta_Fungi_Ascomycota_Saccharomycotina_Lipomycetaceae_Lipomyces_Lipomyces_starkeyi; REF_SPR_HQ191369.1.2525_U_18S_rRNA_nucleus_clone_PA2009C3_Eukaryota_Opisthokonta_Fungi_Chytridiomycota_Chytridiomycotina_Chytridiomycetes_Rhyzophidiales_X_Rhyzophidiales_X_sp.; REF_SPR_HQ219392.1.2380_U_18S_rRNA_nucleus_clone_AY2009A5_Eukaryota_Opisthokonta_Fungi_Chytridiomycota_Chytridiomycotina_Chytridiomycotina_X_Chytridiomycotina_XX_Chytridiomycotina_XX_sp.
