# Total Size Outliers
# Analysis date: 2025-10-15 11:15:54
# Total outliers: 70
# Outliers identified using IQR method (1.5 * IQR)

taxonomic_combination,division,family,genus,row_count,total_size,avg_size_per_cluster,example_centroids
Alveolata|Thoracosphaeraceae|Pentapharsodinium,Alveolata,Thoracosphaeraceae,Pentapharsodinium,466,2001,4.29,IMG_3300045747.a_Ga0485825_0012721; REF_BRK_m64077_200210_022006_172361464_ccs_double-barcode_Otu0657_2_surface_WC-sur_Eukaryota_TSAR_Alveolata_Dinoflagellata_Dinophyceae_Class; REF_SPR_LC333937.1.1858_Eukaryota_SAR_Alveolata_Dinoflagellata_Incertae_Sedis_Cabra_matta
Streptophyta|Embryophyceae_XX|Glycine,Streptophyta,Embryophyceae_XX,Glycine,85,1830,21.53,IMG_3300028453.a_Ga0307246_1001902; IMG_3300035670.a_Ga0310129_0007616; REF_SPR_BDFN01003070.11614.13400_Eukaryota_Archaeplastida_Chloroplastida_Charophyta_Phragmoplastophyta_Streptophyta_Embryophyta_Tracheophyta_Spermatophyta_Magnoliophyta_Solanales_Ipomoea_Ipomoea_nil__Japanese_morning_glory_
Alveolata|Dino-Group-II-Clade-7|Dino-Group-II-Clade-7_X,Alveolata,Dino-Group-II-Clade-7,Dino-Group-II-Clade-7_X,547,1828,3.34,IMG_3300035202.a_Ga0373640_0008418; IMG_3300032360.a_Ga0315334_10006666; IMG_3300006339.a_Ga0068481_1098157
Alveolata|Oligohymenophorea.U.family|Oligohymenophorea.U.genus,Alveolata,Oligohymenophorea.U.family,Oligohymenophorea.U.genus,339,1781,5.25,IMG_3300032212.a_Ga0316207_10005232; REF_SPR_HQ219368.1.2292_Eukaryota_SAR_Alveolata_Ciliophora_Intramacronucleata_Conthreep_Oligohymenophorea_CV1-2A-17_uncultured_ciliate; REF_SPR_KU665355.1.2269_Eukaryota_SAR_Alveolata_Ciliophora_Intramacronucleata_Conthreep_Oligohymenophorea_Scuticociliatia_Pleuronema_Peniculistoma_mytili
Opisthokonta|Leotiomycetes|Leotiomycetes.U.genus,Opisthokonta,Leotiomycetes,Leotiomycetes.U.genus,230,1747,7.6,IMG_3300023101.a_Ga0224557_1003928; IMG_3300038479.a_Ga0436674_0007308_1; IMG_3300035172.a_Ga0373955_0006713
Rhizaria|Radiolaria.U.family|Radiolaria.U.genus,Rhizaria,Radiolaria.U.family,Radiolaria.U.genus,272,1717,6.31,REF_SPR_HQ651785.1.3845_Eukaryota_SAR_Rhizaria_Retaria_RAD_B_Sticholonche_sp._JB-2011; IMG_3300031800.a_Ga0310122_10008125; IMG_3300020457.a_Ga0211643_10049411
TSAR.U.division|TSAR.U.family|TSAR.U.genus,TSAR.U.division,TSAR.U.family,TSAR.U.genus,509,1675,3.29,IMG_3300015263.a_Ga0183003_10039147; REF_SPR_MG519743.1.2045_Eukaryota_SAR_Rhizaria_Cercozoa_Gromia_Gromia_melinus; REF_SPR_MG519738.1.2026_Eukaryota_SAR_Rhizaria_Cercozoa_Gromia_Gromia_oviformis
Opisthokonta|Rotifera_XX|Rotifera_XX.U.genus,Opisthokonta,Rotifera_XX,Rotifera_XX.U.genus,113,1652,14.62,IMG_3300006112.a_Ga0007857_1009312; IMG_3300006116.a_Ga0007807_1005623; REF_SPR_AF499747.1.1820_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Lophotrochozoa_Bryozoa_Gymnolaemata_Cheilostomatida_Parasmittina_sp._HYL-2002
Discoba|Kinetoplastea.U.family|Kinetoplastea.U.genus,Discoba,Kinetoplastea.U.family,Kinetoplastea.U.genus,451,1621,3.59,REF_SPR_MF969038.1.2427_Eukaryota_Discoba_Discicristata_Euglenozoa_Kinetoplastea_Metakinetoplastina_Trypanosomatida_Leptomonas_Trypanosomatidae_sp._PNG107f; REF_SPR_JQ658823.1.2403_Eukaryota_Discoba_Discicristata_Euglenozoa_Kinetoplastea_Metakinetoplastina_Trypanosomatida_Leptomonas_Trypanosomatidae_sp._G33; REF_SPR_JQ658821.1.2402_U_18S_rRNA_nucleus_clone_G31_Eukaryota_Excavata_Discoba_Kinetoplastea_Trypanosomatida_Trypanosomatidae_Trypanosomatidae_TRY1_Trypanosomatidae_TRY1_sp.
Alveolata|Dino-Group-II-Clade-10-and-11|Dino-Group-II-Clade-10-and-11_X,Alveolata,Dino-Group-II-Clade-10-and-11,Dino-Group-II-Clade-10-and-11_X,415,1595,3.84,IMG_3300028196.a_Ga0257114_1005240; IMG_3300020165.a_Ga0206125_10009900; IMG_3300031675.a_Ga0302122_10006258
Discoba|Euglenaceae|Trachelomonas,Discoba,Euglenaceae,Trachelomonas,470,1572,3.34,IMG_3300040793.a_Ga0450797_349254; IMG_3300006355.a_Ga0075501_1006342; REF_SPR_DQ140128.1.2775_U_18S_rRNA_nucleus_specimen_Michigan_isolate_Triemer_lab__USA_MI_100_Eukaryota_Excavata_Discoba_Euglenida_Euglenophyceae_Phacaceae_Lepocinclis_Lepocinclis_fusca
Alveolata|Sessilida|Vorticella,Alveolata,Sessilida,Vorticella,132,1571,11.9,IMG_3300045918.a_Ga0485828_0088631; IMG_3300045970.a_Ga0485187_0008803; IMG_3300030011.a_Ga0302270_10015282
Tubulinea|Hartmannellidae|Saccamoeba,Tubulinea,Hartmannellidae,Saccamoeba,279,1566,5.61,IMG_3300030851.a_Ga0075380_10106356; IMG_3300002461.a_AADWTP_10057751; IMG_3300010104.a_Ga0127446_1046433
Opisthokonta|Chytridiomycota.U.family|Chytridiomycota.U.genus,Opisthokonta,Chytridiomycota.U.family,Chytridiomycota.U.genus,530,1528,2.88,IMG_3300031628.a_Ga0308014_1002904; REF_SPR_EF432819.1.3579_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Chytridiomycota_Incertae_Sedis_Chytridiomycetes_Lobulomycetales_Lobulomycetaceae_uncultured_Lobulomycetales_sp._AF011; IMG_3300031656.a_Ga0308005_10003084
Archaeplastida.U.division|Archaeplastida.U.family|Archaeplastida.U.genus,Archaeplastida.U.division,Archaeplastida.U.family,Archaeplastida.U.genus,342,1480,4.33,IMG_3300034009.a_Ga0334944_000574; REF_SPR_HF913647.1.2753_Eukaryota_Archaeplastida_Chloroplastida_Charophyta_Phragmoplastophyta_Streptophyta_Charophyceae_Charales_Chara_Chara_aspera; IMG_3300031813.a_Ga0316217_10006324
Alveolata|Perkinsida_XX|Perkinsida_XXX,Alveolata,Perkinsida_XX,Perkinsida_XXX,221,1396,6.32,IMG_3300042298.a_Ga0453167_0008458; IMG_3300042907.a_Ga0453086_0005479; IMG_3300046018.a_Ga0485832_0006585
Opisthokonta|Insecta|Drosophila,Opisthokonta,Insecta,Drosophila,217,1383,6.37,IMG_3300009510.a_Ga0116230_10012858; REF_SPR_JSAE01000136.2249.4512_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Hexapoda_Insecta_Pterygota_Neoptera_Diptera_Drosophila_melanogaster__fruit_fly_; REF_SPR_GBRX01007055.124.2327_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Hexapoda_Insecta_Pterygota_Neoptera_Diptera_Glossina_palpalis_gambiensis
Chlorophyta|Chlamydomonadales_X|Chlamydomonadales_X.U.genus,Chlorophyta,Chlamydomonadales_X,Chlamydomonadales_X.U.genus,191,1360,7.12,REF_SPR_JX911252.1.2655_Eukaryota_Archaeplastida_Chloroplastida_Chlorophyta_Chlorophyceae_Chlamydomonadales_Chlamydomonas_Chlamydomonas_sp._KIOST-1; REF_SPR_MH703736.1.2595_Eukaryota_Archaeplastida_Chloroplastida_Chlorophyta_Chlorophyceae_Chlamydomonadales_Chlamydomonas_Chloromonas_sp._Ru-6-8; REF_SPR_MH703738.1.2571_Eukaryota_Archaeplastida_Chloroplastida_Chlorophyta_Chlorophyceae_Chlamydomonadales_Actinochloris_Actinochloris_sphaerica
Opisthokonta|Sordariomycetes|Lecanicillium,Opisthokonta,Sordariomycetes,Lecanicillium,225,1334,5.93,IMG_3300006466.a_Ga0082249_10000125; REF_SPR_JN941706.1.3517_U_18S_rRNA_nucleus_strain_NBRC_103839_Eukaryota_Opisthokonta_Fungi_Ascomycota_Pezizomycotina_Sordariomycetes_Ophiocordyceps_Ophiocordyceps_prolifica; REF_SPR_JN941721.1.3441_U_18S_rRNA_nucleus_strain_NBRC_103836_Eukaryota_Opisthokonta_Fungi_Ascomycota_Pezizomycotina_Sordariomycetes_Ophiocordyceps_Ophiocordyceps_cuboidea
