# Avg Size Per Cluster Outliers
# Analysis date: 2025-10-15 11:15:54
# Total outliers: 39
# Outliers identified using IQR method (1.5 * IQR)

taxonomic_combination,division,family,genus,row_count,total_size,avg_size_per_cluster,example_centroids
Opisthokonta|Maxillopoda|Paracalanus,Opisthokonta,Maxillopoda,Paracalanus,15,324,21.6,IMG_3300037837.a_Ga0427890_001385; REF_BRK_m64077_200210_022006_47907040_ccs_single-barcode_Otu0660_2_surface_WC-sur_Eukaryota_Obazoa_Opisthokonta_Metazoa_Arthropoda_Crustacea_Maxillopoda_Paracalanus_Paracalanus_parvus_Species; REF_BRK_c-505_conseq_Otu0332_11_surface_WC-sur_Eukaryota_Obazoa_Opisthokonta_Metazoa_Arthropoda_Crustacea_Maxillopoda_Family
Streptophyta|Embryophyceae_XX|Glycine,Streptophyta,Embryophyceae_XX,Glycine,85,1830,21.53,IMG_3300028453.a_Ga0307246_1001902; IMG_3300035670.a_Ga0310129_0007616; REF_SPR_BDFN01003070.11614.13400_Eukaryota_Archaeplastida_Chloroplastida_Charophyta_Phragmoplastophyta_Streptophyta_Embryophyta_Tracheophyta_Spermatophyta_Magnoliophyta_Solanales_Ipomoea_Ipomoea_nil__Japanese_morning_glory_
Alveolata|Alveolata.U.family|Alveolata.U.genus,Alveolata,Alveolata.U.family,Alveolata.U.genus,393,8253,21.0,IMG_3300008117.a_Ga0114351_1026149; IMG_3300032006.a_Ga0310344_10012182; IMG_3300034010.a_Ga0365732_0667847
Opisthokonta|Eurotiomycetes|Penicillium,Opisthokonta,Eurotiomycetes,Penicillium,100,2067,20.67,IMG_3300046648.a_Ga0495611_0002655; REF_SPR_EU167574.1.3043_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Dikarya_Ascomycota_Pezizomycotina_Dothideomycetes_Capnodiales_Cladosporiaceae_Cladosporium_Cladosporium_sp._CBS_280.49; IMG_3300021088.a_Ga0210404_10009263
Opisthokonta|Glomerales|Rhizophagus,Opisthokonta,Glomerales,Rhizophagus,236,4813,20.39,IMG_3300030506.a_Ga0302194_10003075; REF_SPR_HQ219354.1.2397_U_18S_rRNA_nucleus_clone_AY2009C5_Eukaryota_Opisthokonta_Fungi_Chytridiomycota_Chytridiomycotina_Chytridiomycotina_X_Chytridiomycotina_XX_Chytridiomycotina_XX_sp.; REF_SPR_KU981162.1.2246_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Dikarya_Ascomycota_Pezizomycotina_Dothideomycetes_Pleosporales_Didymosphaeriaceae_Paraphaeosphaeria_Paraphaeosphaeria_neglecta
Stramenopiles|Thalassiosiraceae|Thalassiosira,Stramenopiles,Thalassiosiraceae,Thalassiosira,309,6048,19.57,REF_SPR_KT347147.1.3358_Eukaryota_SAR_Stramenopiles_Ochrophyta_Diatomea_Bacillariophytina_Mediophyceae_Thalassiosira_Conticribra_weissflogiopsis; REF_SPR_LC009879.1.2717_U_18S_rRNA_nucleus_strain_URACC_SH6-A_Eukaryota_Stramenopiles_Ochrophyta_Pelagophyceae_Pelagomonadales_Pelagomonadaceae_Pelagomonas_Pelagomonas_calceolata; REF_SPR_HQ413684.1.1916_U_18S_rRNA_nucleus_strain_R10_Eukaryota_Stramenopiles_Ochrophyta_Bacillariophyta_Bacillariophyta_X_Polar-centric-Mediophyceae_Pierrecomperia_Pierrecomperia_catenuloides
Opisthokonta|Sordariomycetes|Neurospora,Opisthokonta,Sordariomycetes,Neurospora,13,243,18.69,REF_GEN_GCF_000520075.1; IMG_3300028480.a_Ga0233383_1003479; REF_SPR_FJ360521.1885.3680_UC_18S_rRNA_nucleus__Eukaryota_Opisthokonta_Fungi_Ascomycota_Pezizomycotina_Sordariomycetes_Neurospora_Neurospora_crassa
Alveolata|Cryptosporidiidae|Cryptosporidium1,Alveolata,Cryptosporidiidae,Cryptosporidium1,50,922,18.44,REF_SPR_AF513227.1.1803_Eukaryota_SAR_Alveolata_Apicomplexa_Conoidasida_Cryptosporida_Cryptosporidium_Cryptosporidium_sp.; REF_SPR_AF108862.1.1784_U_18S_rRNA_nucleus_strain_Cat_1__131__Eukaryota_Alveolata_Apicomplexa_Gregarinomorphea_Cryptogregarinorida_Cryptosporidiidae_Cryptosporidium2_Cryptosporidium2_felis; REF_SPR_DQ295012.1.1757_Eukaryota_SAR_Alveolata_Apicomplexa_Conoidasida_Cryptosporida_Cryptosporidium_Cryptosporidium_sp._Sbey05c
Alveolata|Dino-Group-I-Clade-1|Dino-Group-I-Clade-1_X,Alveolata,Dino-Group-I-Clade-1,Dino-Group-I-Clade-1_X,116,2072,17.86,IMG_3300023173.a_Ga0255776_10017637; REF_BRK_c-136_conseq_Otu451_10_deep_Ms2-mes_Eukaryota_TSAR_Alveolata_Dinoflagellata_Syndiniales_Dino-Group-I_Dino-Group-I-Clade-1_Dino-Group-I-Clade-1_X_Dino-Group-I-Clade-1_X_sp_Species; IMG_3300020461.a_Ga0211535_10031857
Opisthokonta|Enoplea_X|Clavicaudoides,Opisthokonta,Enoplea_X,Clavicaudoides,8,142,17.75,IMG_3300009553.a_Ga0105249_10007630; IMG_3300006954.a_Ga0079219_10002572; IMG_3300043380.a_Ga0454635_0008726
Streptophyta|Embryophyceae_XX|Zea,Streptophyta,Embryophyceae_XX,Zea,372,6252,16.81,IMG_3300046782.a_Ga0495473_0005475; IMG_3300032075.a_Ga0310890_10002117; REF_SPR_KP420422.1.3322_Eukaryota_Archaeplastida_Chloroplastida_Charophyta_Phragmoplastophyta_Streptophyta_Embryophyta_Tracheophyta_Spermatophyta_Magnoliophyta_Liliopsida_Liliales_Petermannia_Petermannia_cirrosa
Stramenopiles|Peronosporales|Phytophthora,Stramenopiles,Peronosporales,Phytophthora,67,1107,16.52,REF_SPR_MH620351.1.3471_Eukaryota_SAR_Stramenopiles_Peronosporomycetes_Phytophthora_Peronospora_belbahrii; REF_SPR_AATU01005887.19232.21101_U_18S_rRNA_nucleus_strain_T30-4_Eukaryota_Stramenopiles_Pseudofungi_Oomycota_Oomycota_X_Peronosporales_Phytophthora_Phytophthora_infestans; REF_SPR_NBSG01000065.138141.139999_Eukaryota_SAR_Stramenopiles_Peronosporomycetes_Phytophthora_Peronospora_tabacina
Opisthokonta|Rhizophydiaceae|Batrachochytrium,Opisthokonta,Rhizophydiaceae,Batrachochytrium,3,45,15.0,REF_SPR_AATT01000236.4789.6585_U_18S_rRNA_nucleus_strain_JEL423_Eukaryota_Opisthokonta_Fungi_Chytridiomycota_Chytridiomycotina_Chytridiomycetes_Batrachochytrium_Batrachochytrium_dendrobatidis; REF_SPR_AATT01000235.146421.147973_U_18S_rRNA_nucleus_strain_JEL423_Eukaryota_Opisthokonta_Fungi_Chytridiomycota_Chytridiomycotina_Chytridiomycetes_Batrachochytrium_Batrachochytrium_dendrobatidis; REF_SPR_KC762294.1.1070_U_18S_rRNA_nucleus__Eukaryota_Opisthokonta_Fungi_Chytridiomycota_Chytridiomycotina_Chytridiomycetes_Batrachochytrium_Batrachochytrium_salamandrivorans
Opisthokonta|Rotifera_XX|Rotifera_XX.U.genus,Opisthokonta,Rotifera_XX,Rotifera_XX.U.genus,113,1652,14.62,IMG_3300006112.a_Ga0007857_1009312; IMG_3300006116.a_Ga0007807_1005623; REF_SPR_AF499747.1.1820_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Lophotrochozoa_Bryozoa_Gymnolaemata_Cheilostomatida_Parasmittina_sp._HYL-2002
Opisthokonta|Mucoromycotina_X|Rhizopus,Opisthokonta,Mucoromycotina_X,Rhizopus,67,969,14.46,REF_SPR_DQ155289.402.2275_U_18S_rRNA_nucleus_strain_M_Eukaryota_Opisthokonta_Fungi_Mucoromycota_Mucoromycotina_Mucoromycotina_X_Cunninghamella_Cunninghamella_bertholletiae; IMG_3300048091.a_Ga0495626_0011251; REF_SPR_KC671227.1.1841_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Mucoromycota_Mucoromycotina_Incertae_Sedis_Mucorales_Choanephoraceae_uncultured_uncultured_fungus
Alveolata|Dino-Group-II-Clade-6|Dino-Group-II-Clade-6_X,Alveolata,Dino-Group-II-Clade-6,Dino-Group-II-Clade-6_X,286,4127,14.43,IMG_3300025681.a_Ga0209263_1004049; IMG_3300020185.a_Ga0206131_10014626; IMG_3300028535.a_Ga0257111_1002781
Opisthokonta|Maxillopoda|Metridia,Opisthokonta,Maxillopoda,Metridia,5,70,14.0,IMG_3300037621.a_Ga0314840_0002077; IMG_3300038328.a_Ga0427886_001045; IMG_3300000422.a_BB_Man_A_Liq_inBBDRAFT_1010240
Opisthokonta|Maxillopoda|Anomalocera,Opisthokonta,Maxillopoda,Anomalocera,4,55,13.75,IMG_3300021373.a_Ga0213865_10006442; REF_SPR_JX995289.1.1751_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Acartia_bifilosa; IMG_3300019757.a_Ga0193964_1028438
Opisthokonta|Maxillopoda|Maxillopoda.U.genus,Opisthokonta,Maxillopoda,Maxillopoda.U.genus,155,2107,13.59,IMG_3300023179.a_Ga0214923_10015406; REF_SPR_AB625967.1.2136_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Metridia_asymmetrica; REF_SPR_AB625960.1.2064_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Gaetanus_variabilis
Opisthokonta|Eurotiomycetes|Aspergillus,Opisthokonta,Eurotiomycetes,Aspergillus,48,646,13.46,IMG_3300011931.a_Ga0120814_10184; REF_SPR_MJVA01000145.11280.13287_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Dikarya_Ascomycota_Pezizomycotina_Eurotiomycetes_Eurotiales_Trichocomaceae_Talaromyces_Talaromyces_wortmannii; IMG_3300048853.a_Ga0496062_006513
Alveolata|Sessilida|Pseudovorticella,Alveolata,Sessilida,Pseudovorticella,6,76,12.67,IMG_3300007985.a_Ga0100381_1005321_1; IMG_3300013796.a_Ga0119890_1001119; IMG_3300044615.a_Ga0453755_0094347
Opisthokonta|Ascomycota.U.family|Ascomycota.U.genus,Opisthokonta,Ascomycota.U.family,Ascomycota.U.genus,288,3632,12.61,IMG_3300049324.a_Ga0497583_0001633; IMG_3300026310.a_Ga0209239_1004136; IMG_3300045013.a_Ga0467005_0004534
Alveolata|OLIGO2|OLIGO2_X,Alveolata,OLIGO2,OLIGO2_X,13,158,12.15,IMG_3300029314.a_Ga0239302_102520; REF_SPR_LC150182.1.1329_Eukaryota_SAR_Alveolata_Ciliophora_Intramacronucleata_Conthreep_Oligohymenophorea_Peritrichia_uncultured_uncultured_eukaryote; IMG_3300006601.a_Ga0079100_1045322
Alveolata|Theileriidae|Theileria1,Alveolata,Theileriidae,Theileria1,101,1221,12.09,REF_SPR_KF429799.1.1977_U_18S_rRNA_nucleus__Eukaryota_Alveolata_Apicomplexa_Coccidiomorphea_Piroplasmorida_Theileriidae_Theileria9_Theileria9_annulata; REF_SPR_EU083804.1.1895_Eukaryota_SAR_Alveolata_Apicomplexa_Aconoidasida_Piroplasmorida_Theileria_Theileria_sergenti; REF_SPR_KY436057.1.1786_Eukaryota_SAR_Alveolata_Apicomplexa_Aconoidasida_Piroplasmorida_Babesia_Babesia_ardeae
Opisthokonta|Saccharomycotina.U.family|Saccharomycotina.U.genus,Opisthokonta,Saccharomycotina.U.family,Saccharomycotina.U.genus,259,3098,11.96,REF_SPR_DQ519012.1.2670_R_18S_rRNA_nucleus_strain_NRRL_Y-11557__CBS_1807_Eukaryota_Opisthokonta_Fungi_Ascomycota_Saccharomycotina_Lipomycetaceae_Lipomyces_Lipomyces_starkeyi; REF_SPR_HQ191369.1.2525_U_18S_rRNA_nucleus_clone_PA2009C3_Eukaryota_Opisthokonta_Fungi_Chytridiomycota_Chytridiomycotina_Chytridiomycetes_Rhyzophidiales_X_Rhyzophidiales_X_sp.; REF_SPR_HQ219392.1.2380_U_18S_rRNA_nucleus_clone_AY2009A5_Eukaryota_Opisthokonta_Fungi_Chytridiomycota_Chytridiomycotina_Chytridiomycotina_X_Chytridiomycotina_XX_Chytridiomycotina_XX_sp.
Alveolata|Sessilida|Vorticella,Alveolata,Sessilida,Vorticella,132,1571,11.9,IMG_3300045918.a_Ga0485828_0088631; IMG_3300045970.a_Ga0485187_0008803; IMG_3300030011.a_Ga0302270_10015282
