genus,census_taxid,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,genome_pct_db,species_pct,direct_name_matches,direct_taxid_matches,hierarchical_taxid_matches,lineage_name_matches,total_matches,match_status,domain,isolate_count,isolate_percentage,novelty_factor,overrepresentation_factor
Hymenobacter,89966,230,814,0.08,0.06,235,151,0.01,0.15,0,0,151,0,151,matched,Bacteria,177,75.32,1.523,0.657
Lysobacter,68,170,846,0.06,0.07,235,94,0.01,0.09,0,0,94,0,94,matched,Bacteria,132,56.17,1.809,0.553
Parahymenobacter,89966,2,2,0.0,0.0,235,151,0.01,0.15,0,0,151,0,151,matched,Bacteria,177,75.32,0.013,75.5
Rhodobacter,1060,136,921,0.05,0.07,234,31,0.01,0.03,0,0,31,0,31,matched,Bacteria,51,21.79,4.387,0.228
Anaerococcus,165779,153,563,0.05,0.04,233,42,0.01,0.04,0,0,42,0,42,matched,Bacteria,64,27.47,3.643,0.275
Thiobacillus,919,136,664,0.05,0.05,232,27,0.01,0.03,0,0,27,0,27,matched,Bacteria,6,2.59,5.037,0.199
Winogradskyella,286104,72,215,0.03,0.02,232,67,0.01,0.07,0,0,67,0,67,matched,Bacteria,97,41.81,1.075,0.931
Rhodobiaceae.U.genus,119043,6,13,0.0,0.0,228,22,0.01,0.02,0,0,22,0,22,matched,Bacteria,8,3.51,0.273,3.667
Acidilobaceae.U.genus,871007,2,3,0.0,0.0,228,18,0.01,0.02,0,0,18,0,18,matched,Archaea,4,1.75,0.111,9.0
Megamonas,158846,47,185,0.02,0.01,225,10,0.01,0.01,0,0,10,0,10,matched,Bacteria,48,21.33,4.7,0.213
Actinotignum,1653174,5,21,0.0,0.0,225,13,0.01,0.01,0,0,13,0,13,matched,Bacteria,208,92.44,0.385,2.6
Mitsuokella,52225,17,94,0.01,0.01,224,10,0.01,0.01,0,0,10,0,10,matched,Bacteria,26,11.61,1.7,0.588
Methanobacterium,2160,103,1186,0.04,0.09,224,83,0.01,0.08,0,0,83,0,83,matched,Archaea,36,16.07,1.241,0.806
Peptoniphilus,162289,105,239,0.04,0.02,223,46,0.01,0.04,0,0,46,0,46,matched,Bacteria,78,34.98,2.283,0.438
Pelagicola,573139,4,4,0.0,0.0,222,30,0.01,0.03,0,0,30,0,30,matched,Bacteria,190,85.59,0.133,7.5
Shimia,573139,9,29,0.0,0.0,222,30,0.01,0.03,0,0,30,0,30,matched,Bacteria,190,85.59,0.3,3.333
Trueperella,1069494,14,40,0.0,0.0,221,13,0.01,0.01,0,0,13,0,13,matched,Bacteria,196,88.69,1.077,0.929
Vagococcus,2737,24,69,0.01,0.01,220,32,0.01,0.03,0,0,32,0,32,matched,Bacteria,179,81.36,0.75,1.333
Entomoplasmatales.U.genus,186328,202,604,0.07,0.05,219,142,0.01,0.14,0,0,142,0,142,matched,Bacteria,192,87.67,1.423,0.703
Sinobacteraceae.U.genus,568386,3,12,0.0,0.0,218,41,0.01,0.04,0,0,41,0,41,matched,Bacteria,28,12.84,0.073,13.667
Liberibacter,34019,1,6,0.0,0.0,217,11,0.01,0.01,0,0,11,0,11,matched,Bacteria,203,93.55,0.091,11.0
Acidiferrobacteraceae.U.genus,1692041,23,56,0.01,0.0,217,10,0.01,0.01,0,0,10,0,10,matched,Bacteria,5,2.3,2.3,0.435
Solibacteraceae.U.genus,332161,415,2187,0.14,0.17,216,13,0.01,0.01,0,0,13,0,13,matched,Bacteria,4,1.85,31.923,0.031
Xenorhabdus,626,36,157,0.01,0.01,216,51,0.01,0.05,0,0,51,0,51,matched,Bacteria,215,99.54,0.706,1.417
Ferrovum,416212,29,155,0.01,0.01,214,8,0.01,0.01,0,0,8,0,8,matched,Bacteria,5,2.34,3.625,0.276
Natrialbaceae.U.genus,1644061,3,8,0.0,0.0,213,155,0.01,0.15,0,0,155,0,155,matched,Archaea,182,85.45,0.019,51.667
Apilactobacillus,2767877,6,9,0.0,0.0,212,17,0.01,0.02,0,0,17,0,17,matched,Bacteria,207,97.64,0.353,2.833
Slackia,84108,26,101,0.01,0.01,211,11,0.01,0.01,0,0,11,0,11,matched,Bacteria,26,12.32,2.364,0.423
Avibacterium,292486,5,32,0.0,0.0,210,14,0.01,0.01,0,0,14,0,14,matched,Bacteria,209,99.52,0.357,2.8
Glutamicibacter,1742989,45,158,0.02,0.01,210,62,0.01,0.06,0,0,62,0,62,matched,Bacteria,139,66.19,0.726,1.378
Dermatophilaceae.U.genus,85018,54,78,0.02,0.01,210,22,0.01,0.02,0,0,22,0,22,matched,Bacteria,58,27.62,2.455,0.407
Thermococcus,2263,40,322,0.01,0.03,210,70,0.01,0.07,0,0,70,0,70,matched,Archaea,77,36.67,0.571,1.75
Rhizomicrobium,1241326,8,137,0.0,0.01,209,4,0.01,0.0,0,0,4,0,4,matched,Bacteria,5,2.39,2.0,0.5
Methanoregula,395331,88,876,0.03,0.07,209,21,0.01,0.02,0,0,21,0,21,matched,Archaea,2,0.96,4.19,0.239
Methyloceanibacter,1484898,19,184,0.01,0.01,207,8,0.01,0.01,0,0,8,0,8,matched,Bacteria,6,2.9,2.375,0.421
Ktedonobacteraceae.U.genus,388449,777,1859,0.27,0.14,207,16,0.01,0.02,0,0,16,0,16,matched,Bacteria,5,2.42,48.562,0.021
uncultured_cyanobacterium.Chloroplast,1211,3,6,0.0,0.0,206,1,0.01,0.0,0,1,0,0,1,matched,Bacteria,0,0.0,3.0,0.333
Micavibrio,213485,1,3,0.0,0.0,205,42,0.01,0.04,0,0,42,0,42,matched,Bacteria,3,1.46,0.024,42.0
Colwellia,28228,173,693,0.06,0.05,203,88,0.01,0.09,0,0,88,0,88,matched,Bacteria,92,45.32,1.966,0.509
Nonlabens,363408,23,158,0.01,0.01,202,24,0.01,0.02,0,0,24,0,24,matched,Bacteria,35,17.33,0.958,1.043
Marinilabiliaceae.U.genus,558415,318,929,0.11,0.07,202,59,0.01,0.06,0,0,59,0,59,matched,Bacteria,52,25.74,5.39,0.186
Chthonomonadales.U.genus,1077263,142,406,0.05,0.03,201,26,0.01,0.03,0,0,26,0,26,matched,Bacteria,4,1.99,5.462,0.183
Nocardiopsis,2013,70,346,0.02,0.03,201,103,0.01,0.1,0,0,103,0,103,matched,Bacteria,189,94.03,0.68,1.471
Thermus,270,77,852,0.03,0.07,200,39,0.01,0.04,0,0,39,0,39,matched,Bacteria,149,74.5,1.974,0.506
Pseudarthrobacter,1742993,80,292,0.03,0.02,200,114,0.01,0.11,0,0,114,0,114,matched,Bacteria,182,91.0,0.702,1.425
Methanoculleus,45989,72,370,0.03,0.03,199,52,0.01,0.05,0,0,52,0,52,matched,Archaea,32,16.08,1.385,0.722
Pseudanabaena,1152,37,459,0.01,0.04,199,68,0.01,0.07,0,0,68,0,68,matched,Bacteria,23,11.56,0.544,1.838
Roseomonas,125216,192,1288,0.07,0.1,199,50,0.01,0.05,0,0,50,0,50,matched,Bacteria,104,52.26,3.84,0.26
Gluconobacter,441,12,156,0.0,0.01,196,42,0.01,0.04,0,0,42,0,42,matched,Bacteria,154,78.57,0.286,3.5
Desulfocapsaceae.U.genus,2886822,359,948,0.12,0.07,195,29,0.01,0.03,0,0,29,0,29,matched,Bacteria,27,13.85,12.379,0.081
Roseibium,150830,4,6,0.0,0.0,195,37,0.01,0.04,0,0,37,0,37,matched,Bacteria,64,32.82,0.108,9.25
Actinomadura,1988,86,312,0.03,0.02,195,120,0.01,0.12,0,0,120,0,120,matched,Bacteria,186,95.38,0.717,1.395
Kluyvera,579,10,20,0.0,0.0,195,23,0.01,0.02,0,0,23,0,23,matched,Bacteria,164,84.1,0.435,2.3
Spongiibacteraceae.U.genus,1706375,125,497,0.04,0.04,194,39,0.01,0.04,0,0,39,0,39,matched,Bacteria,37,19.07,3.205,0.312
Caulobacter,75,75,656,0.03,0.05,194,78,0.01,0.08,0,0,78,0,78,matched,Bacteria,96,49.48,0.962,1.04
Gemmatimonas,173479,432,2040,0.15,0.16,193,13,0.01,0.01,0,0,13,0,13,matched,Bacteria,4,2.07,33.231,0.03
Rhodoluna,529883,9,380,0.0,0.03,192,6,0.01,0.01,0,0,6,0,6,matched,Bacteria,7,3.65,1.5,0.667
Syntrophobacteraceae.U.genus,213465,40,151,0.01,0.01,191,23,0.01,0.02,0,0,23,0,23,matched,Bacteria,10,5.24,1.739,0.575
Photorhabdus,29487,45,196,0.02,0.02,191,47,0.01,0.05,0,0,47,0,47,matched,Bacteria,191,100.0,0.957,1.044
Empedobacter,59734,21,126,0.01,0.01,191,45,0.01,0.04,0,0,45,0,45,matched,Bacteria,100,52.36,0.467,2.143
Peptostreptococcus,1257,38,145,0.01,0.01,190,11,0.01,0.01,0,0,11,0,11,matched,Bacteria,47,24.74,3.455,0.289
Ramlibacter,174951,66,416,0.02,0.03,190,33,0.01,0.03,0,0,33,0,33,matched,Bacteria,37,19.47,2.0,0.5
Paucibacter,93681,17,177,0.01,0.01,189,97,0.01,0.09,0,0,97,0,97,matched,Bacteria,114,60.32,0.175,5.706
Pelomonas,93681,26,68,0.01,0.01,189,97,0.01,0.09,0,0,97,0,97,matched,Bacteria,114,60.32,0.268,3.731
Sedimenticola,349742,58,171,0.02,0.01,189,14,0.01,0.01,0,0,14,0,14,matched,Bacteria,5,2.65,4.143,0.241
Kinneretia,93681,2,9,0.0,0.0,189,97,0.01,0.09,0,0,97,0,97,matched,Bacteria,114,60.32,0.021,48.5
Mitsuaria,93681,10,80,0.0,0.01,189,97,0.01,0.09,0,0,97,0,97,matched,Bacteria,114,60.32,0.103,9.7
Roseateles,93681,4,39,0.0,0.0,189,97,0.01,0.09,0,0,97,0,97,matched,Bacteria,114,60.32,0.041,24.25
Cardiobacteriales.U.genus,135615,3,8,0.0,0.0,188,36,0.01,0.04,0,0,36,0,36,matched,Bacteria,74,39.36,0.083,12.0
Rikenella,28138,38,45,0.01,0.0,188,4,0.01,0.0,0,0,4,0,4,matched,Bacteria,2,1.06,9.5,0.105
Ornithobacterium,28250,11,46,0.0,0.0,187,2,0.01,0.0,0,0,2,0,2,matched,Bacteria,184,98.4,5.5,0.182
Qipengyuania,1855416,2,21,0.0,0.0,187,59,0.01,0.06,0,0,59,0,59,matched,Bacteria,91,48.66,0.034,29.5
Tannerella,195950,63,130,0.02,0.01,187,10,0.01,0.01,0,0,10,0,10,matched,Bacteria,26,13.9,6.3,0.159
uncultured_Rickettsiales_bacterium.Mitochondria,219660,6,11,0.0,0.0,187,1,0.01,0.0,0,1,0,0,1,matched,Bacteria,0,0.0,6.0,0.167
Rathayibacter,33886,8,37,0.0,0.0,185,102,0.01,0.1,0,0,102,0,102,matched,Bacteria,184,99.46,0.078,12.75
Thauera,33057,98,347,0.03,0.03,183,34,0.01,0.03,0,0,34,0,34,matched,Bacteria,46,25.14,2.882,0.347
Halorubrum,56688,132,645,0.05,0.05,183,98,0.01,0.1,0,0,98,0,98,matched,Archaea,171,93.44,1.347,0.742
Coprobacillus,100883,4,33,0.0,0.0,182,56,0.01,0.05,0,0,56,0,56,matched,Bacteria,67,36.81,0.071,14.0
Leucobacter,55968,100,337,0.03,0.03,182,97,0.01,0.09,0,0,97,0,97,matched,Bacteria,124,68.13,1.031,0.97
Cetobacterium,180162,35,189,0.01,0.01,182,14,0.01,0.01,0,0,14,0,14,matched,Bacteria,24,13.19,2.5,0.4
Frankiaceae.U.genus,74712,1,1,0.0,0.0,181,92,0.01,0.09,0,0,92,0,92,matched,Bacteria,118,65.19,0.011,92.0
Draconibacterium,1471399,78,232,0.03,0.02,181,8,0.01,0.01,0,0,8,0,8,matched,Bacteria,8,4.42,9.75,0.103
Lentimicrobiaceae.U.genus,1840213,277,1366,0.1,0.11,180,7,0.01,0.01,0,0,7,0,7,matched,Bacteria,3,1.67,39.571,0.025
Alcaligenes,507,99,629,0.03,0.05,179,32,0.01,0.03,0,0,32,0,32,matched,Bacteria,130,72.63,3.094,0.323
Pandoraea,93217,13,212,0.0,0.02,179,46,0.01,0.04,0,0,46,0,46,matched,Bacteria,162,90.5,0.283,3.538
Bdellovibrio,958,457,962,0.16,0.07,178,32,0.01,0.03,0,0,32,0,32,matched,Bacteria,50,28.09,14.281,0.07
Paraclostridium,1849822,21,84,0.01,0.01,177,12,0.01,0.01,0,0,12,0,12,matched,Bacteria,133,75.14,1.75,0.571
Nitrososphaera,497726,4,123,0.0,0.01,177,14,0.01,0.01,0,0,14,0,14,matched,Archaea,7,3.95,0.286,3.5
Hafnia,568,6,186,0.0,0.01,177,7,0.01,0.01,0,0,7,0,7,matched,Bacteria,118,66.67,0.857,1.167
Succinatimonas,674963,5,12,0.0,0.0,176,19,0.01,0.02,0,0,19,0,19,matched,Bacteria,4,2.27,0.263,3.8
Myroides,76831,33,335,0.01,0.03,176,40,0.01,0.04,0,0,40,0,40,matched,Bacteria,159,90.34,0.825,1.212
Gemella,1378,151,597,0.05,0.05,175,25,0.01,0.02,0,0,25,0,25,matched,Bacteria,62,35.43,6.04,0.166
Sphaerochaeta,399320,203,981,0.07,0.08,175,21,0.01,0.02,0,0,21,0,21,matched,Bacteria,8,4.57,9.667,0.103
Thalassospira,168934,51,247,0.02,0.02,175,51,0.01,0.05,0,0,51,0,51,matched,Bacteria,76,43.43,1.0,1.0
Luteimonas,83614,103,449,0.04,0.03,174,92,0.01,0.09,0,0,92,0,92,matched,Bacteria,105,60.34,1.12,0.893
Flammeovirgaceae.U.genus,200667,20,29,0.01,0.0,174,60,0.01,0.06,0,0,60,0,60,matched,Bacteria,29,16.67,0.333,3.0
Gallionella,96,95,450,0.03,0.04,174,9,0.01,0.01,0,0,9,0,9,matched,Bacteria,1,0.57,10.556,0.095
Methylobacter,429,54,713,0.02,0.06,173,23,0.01,0.02,0,0,23,0,23,matched,Bacteria,24,13.87,2.348,0.426
Eisenbergiella,1432051,43,63,0.01,0.0,172,15,0.01,0.01,0,0,15,0,15,matched,Bacteria,20,11.63,2.867,0.349
Dietzia,37914,40,187,0.01,0.01,171,57,0.01,0.06,0,0,57,0,57,matched,Bacteria,131,76.61,0.702,1.425
Geminicoccaceae.U.genus,2066434,155,757,0.05,0.06,170,17,0.01,0.02,0,0,17,0,17,matched,Bacteria,34,20.0,9.118,0.11
Paenarthrobacter,1742992,15,49,0.01,0.0,170,80,0.01,0.08,0,0,80,0,80,matched,Bacteria,160,94.12,0.188,5.333
Paludibacter,346096,160,760,0.06,0.06,170,11,0.01,0.01,0,0,11,0,11,matched,Bacteria,3,1.76,14.545,0.069
Tetragenococcus,51668,6,53,0.0,0.0,169,8,0.01,0.01,0,0,8,0,8,matched,Bacteria,110,65.09,0.75,1.333
Actinoplanes,1865,59,504,0.02,0.04,168,100,0.01,0.1,0,0,100,0,100,matched,Bacteria,140,83.33,0.59,1.695
Thermoanaerobacteraceae.U.genus,186814,2,2,0.0,0.0,168,59,0.01,0.06,0,0,59,0,59,matched,Bacteria,89,52.98,0.034,29.5
Fimbriimonadaceae.U.genus,1663426,295,1185,0.1,0.09,168,5,0.01,0.0,0,0,5,0,5,matched,Bacteria,2,1.19,59.0,0.017
Parvularculaceae.U.genus,255474,8,17,0.0,0.0,168,26,0.01,0.03,0,0,26,0,26,matched,Bacteria,24,14.29,0.308,3.25
Aquimarina,290174,34,80,0.01,0.01,168,59,0.01,0.06,0,0,59,0,59,matched,Bacteria,87,51.79,0.576,1.735
Elusimicrobium,423604,28,92,0.01,0.01,167,5,0.01,0.0,0,0,5,0,5,matched,Bacteria,3,1.8,5.6,0.179
Rahnella,34037,24,83,0.01,0.01,167,43,0.01,0.04,0,0,43,0,43,matched,Bacteria,141,84.43,0.558,1.792
Anaerolinea,233189,168,566,0.06,0.04,166,6,0.01,0.01,0,0,6,0,6,matched,Bacteria,2,1.2,28.0,0.036
Melissococcus,33969,1,22,0.0,0.0,166,2,0.01,0.0,0,0,2,0,2,matched,Bacteria,164,98.8,0.5,2.0
Lentilitoribacter,1649463,4,11,0.0,0.0,166,3,0.01,0.0,0,0,3,0,3,matched,Bacteria,2,1.2,1.333,0.75
Thiomonas,32012,19,96,0.01,0.01,165,24,0.01,0.02,0,0,24,0,24,matched,Bacteria,18,10.91,0.792,1.263
Candidatus Izemoplasmatales.U.genus,2975519,150,696,0.05,0.05,165,15,0.01,0.01,0,0,15,0,15,matched,Bacteria,8,4.85,10.0,0.1
Methylophaga,40222,58,362,0.02,0.03,165,54,0.01,0.05,0,0,54,0,54,matched,Bacteria,20,12.12,1.074,0.931
Caballeronia,1827195,11,230,0.0,0.02,164,122,0.01,0.12,0,0,122,0,122,matched,Bacteria,149,90.85,0.09,11.091
Agromyces,33877,76,291,0.03,0.02,164,100,0.01,0.1,0,0,100,0,100,matched,Bacteria,141,85.98,0.76,1.316
Candidatus Saccharimonadaceae.U.genus,2171986,242,1098,0.08,0.09,163,10,0.01,0.01,0,0,10,0,10,matched,Bacteria,4,2.45,24.2,0.041
Sphingorhabdus,1434046,39,730,0.01,0.06,163,18,0.01,0.02,0,0,18,0,18,matched,Bacteria,17,10.43,2.167,0.462
Cryobacterium,69578,12,163,0.0,0.01,163,124,0.01,0.12,0,0,124,0,124,matched,Bacteria,137,84.05,0.097,10.333
Aliivibrio,511678,13,117,0.0,0.01,163,26,0.01,0.03,0,0,26,0,26,matched,Bacteria,157,96.32,0.5,2.0
Kineosporiaceae.U.genus,83778,11,59,0.0,0.0,163,73,0.01,0.07,0,0,73,0,73,matched,Bacteria,109,66.87,0.151,6.636
Spiroplasma,2132,48,228,0.02,0.02,162,118,0.01,0.12,0,0,118,0,118,matched,Bacteria,142,87.65,0.407,2.458
Idiomarina,135575,72,327,0.03,0.03,161,55,0.01,0.05,0,0,55,0,55,matched,Bacteria,57,35.4,1.309,0.764
Senegalimassilia,1473205,13,68,0.0,0.01,161,4,0.01,0.0,0,0,4,0,4,matched,Bacteria,4,2.48,3.25,0.308
Arcobacter,28196,49,485,0.02,0.04,161,52,0.01,0.05,0,0,52,0,52,matched,Bacteria,55,34.16,0.942,1.061
Ottowia,219181,41,146,0.01,0.01,160,14,0.01,0.01,0,0,14,0,14,matched,Bacteria,22,13.75,2.929,0.341
Proteiniphilum,294702,124,513,0.04,0.04,159,49,0.01,0.05,0,0,49,0,49,matched,Bacteria,4,2.52,2.531,0.395
Aurantimonadaceae.U.genus,255475,1,1,0.0,0.0,158,90,0.01,0.09,0,0,90,0,90,matched,Bacteria,117,74.05,0.011,90.0
Microvirga,186650,78,400,0.03,0.03,157,65,0.01,0.06,0,0,65,0,65,matched,Bacteria,79,50.32,1.2,0.833
Chloroflexaceae.U.genus,1106,137,436,0.05,0.03,156,11,0.01,0.01,0,0,11,0,11,matched,Bacteria,6,3.85,12.455,0.08
Ensifer,106591,41,65,0.01,0.01,155,79,0.01,0.08,0,0,79,0,79,matched,Bacteria,128,82.58,0.519,1.927
Bulleidia,118747,3,5,0.0,0.0,153,8,0.01,0.01,0,0,8,0,8,matched,Bacteria,8,5.23,0.375,2.667
Finegoldia,150022,50,226,0.02,0.02,153,13,0.01,0.01,0,0,13,0,13,matched,Bacteria,10,6.54,3.846,0.26
Acidimicrobium,53634,5,14,0.0,0.0,152,13,0.01,0.01,0,0,13,0,13,matched,Bacteria,3,1.97,0.385,2.6
Pseudoflavonifractor,1017280,2,9,0.0,0.0,152,38,0.01,0.04,0,0,38,0,38,matched,Bacteria,50,32.89,0.053,19.0
Liquorilactobacillus,2767888,7,8,0.0,0.0,151,14,0.01,0.01,0,0,14,0,14,matched,Bacteria,42,27.81,0.5,2.0
Atlantibacter,1903434,5,10,0.0,0.0,151,5,0.01,0.0,0,0,5,0,5,matched,Bacteria,51,33.77,1.0,1.0
Glaciecola,89404,42,223,0.01,0.02,151,21,0.01,0.02,0,0,21,0,21,matched,Bacteria,17,11.26,2.0,0.5
Thalassolituus,187492,7,65,0.0,0.01,150,38,0.01,0.04,0,0,38,0,38,matched,Bacteria,16,10.67,0.184,5.429
Oleibacter,187492,25,70,0.01,0.01,150,38,0.01,0.04,0,0,38,0,38,matched,Bacteria,16,10.67,0.658,1.52
Sporosarcina,1569,76,386,0.03,0.03,150,101,0.01,0.1,0,0,101,0,101,matched,Bacteria,124,82.67,0.752,1.329
Cellulosimicrobium,157920,25,119,0.01,0.01,150,39,0.01,0.04,0,0,39,0,39,matched,Bacteria,106,70.67,0.641,1.56
Chromobacterium,535,20,144,0.01,0.01,149,32,0.01,0.03,0,0,32,0,32,matched,Bacteria,147,98.66,0.625,1.6
Yoonia,2211641,7,41,0.0,0.0,148,28,0.0,0.03,0,0,28,0,28,matched,Bacteria,38,25.68,0.25,4.0
Herbaspirillum,963,48,293,0.02,0.02,148,58,0.0,0.06,0,0,58,0,58,matched,Bacteria,104,70.27,0.828,1.208
Desulfuromonadaceae.U.genus,213421,36,156,0.01,0.01,148,28,0.0,0.03,0,0,28,0,28,matched,Bacteria,15,10.14,1.286,0.778
Kosakonia,1330547,26,373,0.01,0.03,148,41,0.0,0.04,0,0,41,0,41,matched,Bacteria,124,83.78,0.634,1.577
Opitutus,178440,137,1548,0.05,0.12,147,5,0.0,0.0,0,0,5,0,5,matched,Bacteria,3,2.04,27.4,0.036
Candidatus Babeliales.U.genus,2497644,1128,2661,0.39,0.21,147,9,0.0,0.01,0,0,9,0,9,matched,Bacteria,3,2.04,125.333,0.008
Granulicatella,117563,62,467,0.02,0.04,146,19,0.0,0.02,0,0,19,0,19,matched,Bacteria,31,21.23,3.263,0.306
Coleofasciculaceae.U.genus,1892251,19,53,0.01,0.0,146,101,0.0,0.1,0,0,101,0,101,matched,Bacteria,29,19.86,0.188,5.316
Halobacteriaceae.U.genus,2236,35,129,0.01,0.01,146,44,0.0,0.04,0,0,44,0,44,matched,Archaea,83,56.85,0.795,1.257
Pirellula,123,418,1770,0.15,0.14,146,4,0.0,0.0,0,0,4,0,4,matched,Bacteria,2,1.37,104.5,0.01
Hydrogenothermaceae.U.genus,224027,3,17,0.0,0.0,145,15,0.0,0.01,0,0,15,0,15,matched,Bacteria,13,8.97,0.2,5.0
Companilactobacillus,2767879,5,8,0.0,0.0,145,46,0.0,0.04,0,0,46,0,46,matched,Bacteria,117,80.69,0.109,9.2
Atribacteria.U.genus,2847774,8,110,0.0,0.01,144,26,0.0,0.03,0,0,26,0,26,matched,Bacteria,7,4.86,0.308,3.25
Roseiflexaceae.U.genus,1508635,293,1355,0.1,0.11,143,13,0.0,0.01,0,0,13,0,13,matched,Bacteria,4,2.8,22.538,0.044
Snodgrassella,1193515,3,35,0.0,0.0,143,26,0.0,0.03,0,0,26,0,26,matched,Bacteria,117,81.82,0.115,8.667
Schaalia,2529408,16,219,0.01,0.02,143,25,0.0,0.02,0,0,25,0,25,matched,Bacteria,60,41.96,0.64,1.562
Kribbella,182639,33,294,0.01,0.02,142,115,0.0,0.11,0,0,115,0,115,matched,Bacteria,128,90.14,0.287,3.485
Tepidisphaerales.U.genus,1771349,870,2540,0.3,0.2,142,8,0.0,0.01,0,0,8,0,8,matched,Bacteria,2,1.41,108.75,0.009
Thioalkalivibrio,106633,23,72,0.01,0.01,142,75,0.0,0.07,0,0,75,0,75,matched,Bacteria,77,54.23,0.307,3.261
Kosmotogaceae.U.genus,1643948,6,32,0.0,0.0,142,32,0.0,0.03,0,0,32,0,32,matched,Bacteria,23,16.2,0.188,5.333
Candidatus Methanomethylicia.U.genus,3415498,27,244,0.01,0.02,140,15,0.0,0.01,0,0,15,0,15,matched,Archaea,0,0.0,1.8,0.556
Luteolibacter,518753,221,1928,0.08,0.15,140,16,0.0,0.02,0,0,16,0,16,matched,Bacteria,16,11.43,13.812,0.072
Virgibacillus,84406,92,237,0.03,0.02,140,59,0.0,0.06,0,0,59,0,59,matched,Bacteria,128,91.43,1.559,0.641
Reyranellaceae.U.genus,2844375,34,142,0.01,0.01,139,9,0.0,0.01,0,0,9,0,9,matched,Bacteria,5,3.6,3.778,0.265
Hadesarchaea.U.genus,1775750,223,671,0.08,0.05,138,11,0.0,0.01,0,0,11,0,11,matched,Archaea,8,5.8,20.273,0.049
Dechloromonas,73029,77,454,0.03,0.04,138,22,0.0,0.02,0,0,22,0,22,matched,Bacteria,17,12.32,3.5,0.286
Aquabacterium,92793,107,486,0.04,0.04,138,20,0.0,0.02,0,0,20,0,20,matched,Bacteria,15,10.87,5.35,0.187
Pontimonas,1434032,1,27,0.0,0.0,138,3,0.0,0.0,0,0,3,0,3,matched,Bacteria,17,12.32,0.333,3.0
Anaerovibrio,82373,35,119,0.01,0.01,137,6,0.0,0.01,0,0,6,0,6,matched,Bacteria,7,5.11,5.833,0.171
Puniceicoccaceae.U.genus,415002,236,1072,0.08,0.08,137,10,0.0,0.01,0,0,10,0,10,matched,Bacteria,9,6.57,23.6,0.042
Mogibacterium,86331,105,374,0.04,0.03,136,8,0.0,0.01,0,0,8,0,8,matched,Bacteria,7,5.15,13.125,0.076
Plesiomonas,702,24,145,0.01,0.01,136,5,0.0,0.0,0,0,5,0,5,matched,Bacteria,58,42.65,4.8,0.208
Geobacter,28231,153,940,0.05,0.07,135,34,0.0,0.03,0,0,34,0,34,matched,Bacteria,27,20.0,4.5,0.222
Microbulbifer,48073,25,135,0.01,0.01,135,95,0.0,0.09,0,0,95,0,95,matched,Bacteria,126,93.33,0.263,3.8
Leifsonia,110932,29,198,0.01,0.02,134,76,0.0,0.07,0,0,76,0,76,matched,Bacteria,99,73.88,0.382,2.621
Sulfuricurvum,286130,84,438,0.03,0.03,133,21,0.0,0.02,0,0,21,0,21,matched,Bacteria,2,1.5,4.0,0.25
Ureaplasma,2129,22,128,0.01,0.01,133,13,0.0,0.01,0,0,13,0,13,matched,Bacteria,55,41.35,1.692,0.591
Streptosporangium,2000,18,126,0.01,0.01,132,79,0.0,0.08,0,0,79,0,79,matched,Bacteria,131,99.24,0.228,4.389
Aequorivita,153265,35,72,0.01,0.01,132,45,0.0,0.04,0,0,45,0,45,matched,Bacteria,37,28.03,0.778,1.286
Nitriliruptoraceae.U.genus,596498,57,192,0.02,0.01,131,5,0.0,0.0,0,0,5,0,5,matched,Bacteria,2,1.53,11.4,0.088
Thermomonas,141948,55,262,0.02,0.02,131,17,0.0,0.02,0,0,17,0,17,matched,Bacteria,22,16.79,3.235,0.309
Rheinheimera,67575,77,478,0.03,0.04,130,41,0.0,0.04,0,0,41,0,41,matched,Bacteria,59,45.38,1.878,0.532
Pararheinheimera,67575,4,19,0.0,0.0,130,41,0.0,0.04,0,0,41,0,41,matched,Bacteria,59,45.38,0.098,10.25
Granulicella,940557,71,801,0.02,0.06,130,23,0.0,0.02,0,0,23,0,23,matched,Bacteria,21,16.15,3.087,0.324
Halioglobus,1217416,105,416,0.04,0.03,130,6,0.0,0.01,0,0,6,0,6,matched,Bacteria,8,6.15,17.5,0.057
Gallibacterium,155493,8,40,0.0,0.0,130,10,0.0,0.01,0,0,10,0,10,matched,Bacteria,125,96.15,0.8,1.25
Acidiphilium,522,118,248,0.04,0.02,130,25,0.0,0.02,0,0,25,0,25,matched,Bacteria,18,13.85,4.72,0.212
Kaistella,2782231,1,1,0.0,0.0,129,28,0.0,0.03,0,0,28,0,28,matched,Bacteria,38,29.46,0.036,28.0
Methylocystis,133,29,270,0.01,0.02,128,32,0.0,0.03,0,0,32,0,32,matched,Bacteria,42,32.81,0.906,1.103
Smithella,182623,89,687,0.03,0.05,127,15,0.0,0.01,0,0,15,0,15,matched,Bacteria,4,3.15,5.933,0.169
Reyranella,445219,76,1632,0.03,0.13,127,7,0.0,0.01,0,0,7,0,7,matched,Bacteria,5,3.94,10.857,0.092
Giesbergeria,352449,4,15,0.0,0.0,127,6,0.0,0.01,0,0,6,0,6,matched,Bacteria,4,3.15,0.667,1.5
