genus,census_taxid,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,genome_pct_db,species_pct,direct_name_matches,direct_taxid_matches,hierarchical_taxid_matches,lineage_name_matches,total_matches,match_status,domain,isolate_count,isolate_percentage,novelty_factor,overrepresentation_factor
Porticoccaceae.U.genus,1706374,145,717,0.05,0.06,709,46,0.02,0.04,0,0,46,0,46,matched,Bacteria,142,20.03,3.152,0.317
Spirochaetaceae.U.genus,137,776,2428,0.27,0.19,707,68,0.02,0.07,0,0,68,0,68,matched,Bacteria,32,4.53,11.412,0.088
Acholeplasmatales.U.genus,186329,4,5,0.0,0.0,706,127,0.02,0.12,0,0,127,0,127,matched,Bacteria,156,22.1,0.031,31.75
Planococcaceae.U.genus,186818,28,56,0.01,0.0,700,345,0.02,0.34,0,0,345,0,345,matched,Bacteria,478,68.29,0.081,12.321
Photobacterium,657,97,458,0.03,0.04,681,85,0.02,0.08,0,0,85,0,85,matched,Bacteria,660,96.92,1.141,0.876
Hyphomonadaceae.U.genus,69657,183,734,0.06,0.06,670,100,0.02,0.1,0,0,100,0,100,matched,Bacteria,45,6.72,1.83,0.546
Mycoplasmataceae.U.genus,2092,52,158,0.02,0.01,663,188,0.02,0.18,0,0,188,0,188,matched,Bacteria,363,54.75,0.277,3.615
Pediococcus,1253,68,349,0.02,0.03,660,17,0.02,0.02,0,0,17,0,17,matched,Bacteria,616,93.33,4.0,0.25
Chitinophaga,79328,71,319,0.02,0.02,659,94,0.02,0.09,0,0,94,0,94,matched,Bacteria,126,19.12,0.755,1.324
Oenococcus,46254,8,30,0.0,0.0,658,9,0.02,0.01,0,0,9,0,9,matched,Bacteria,633,96.2,0.889,1.125
Coprococcus,33042,183,639,0.06,0.05,653,60,0.02,0.06,0,0,60,0,60,matched,Bacteria,92,14.09,3.05,0.328
Woeseiaceae.U.genus,1738654,41,185,0.01,0.01,652,8,0.02,0.01,0,0,8,0,8,matched,Bacteria,31,4.75,5.125,0.195
Vicinamibacterales.U.genus,2910145,913,3855,0.32,0.3,650,8,0.02,0.01,0,0,8,0,8,matched,Bacteria,43,6.62,114.125,0.009
Sphingobacterium,28453,213,1395,0.07,0.11,649,180,0.02,0.18,0,0,180,0,180,matched,Bacteria,291,44.84,1.183,0.845
Turicibacter,191303,98,372,0.03,0.03,647,16,0.02,0.02,0,0,16,0,16,matched,Bacteria,290,44.82,6.125,0.163
Novosphingobium,165696,190,1341,0.07,0.1,647,179,0.02,0.17,0,0,179,0,179,matched,Bacteria,202,31.22,1.061,0.942
Prolixibacteraceae.U.genus,1471398,507,1696,0.18,0.13,642,58,0.02,0.06,0,0,58,0,58,matched,Bacteria,47,7.32,8.741,0.114
Erwinia,551,54,338,0.02,0.03,642,86,0.02,0.08,0,0,86,0,86,matched,Bacteria,617,96.11,0.628,1.593
Sulfolobales.U.genus,2281,2,37,0.0,0.0,638,74,0.02,0.07,0,0,74,0,74,matched,Archaea,180,28.21,0.027,37.0
Elusimicrobia.U.genus,641853,254,840,0.09,0.07,634,38,0.02,0.04,0,0,38,0,38,matched,Bacteria,5,0.79,6.684,0.15
Candidatus Gastranaerophilales.U.genus,1906119,275,696,0.1,0.05,633,32,0.02,0.03,0,0,32,0,32,matched,Bacteria,4,0.63,8.594,0.116
Halomonas,2745,470,2049,0.16,0.16,632,325,0.02,0.32,0,0,325,0,325,matched,Bacteria,399,63.13,1.446,0.691
Micrococcus,1269,120,396,0.04,0.03,629,67,0.02,0.07,0,0,67,0,67,matched,Bacteria,583,92.69,1.791,0.558
Acholeplasmataceae.U.genus,2146,244,846,0.08,0.07,627,122,0.02,0.12,0,0,122,0,122,matched,Bacteria,156,24.88,2.0,0.5
Peptococcaceae.U.genus,186807,186,429,0.06,0.03,625,79,0.02,0.08,0,0,79,0,79,matched,Bacteria,60,9.6,2.354,0.425
Rhodocyclaceae.U.genus,75787,276,1207,0.1,0.09,624,65,0.02,0.06,0,0,65,0,65,matched,Bacteria,59,9.46,4.246,0.236
Succinivibrionaceae.U.genus,83763,33,98,0.01,0.01,612,49,0.02,0.05,0,0,49,0,49,matched,Bacteria,25,4.08,0.673,1.485
Rickettsiaceae.U.genus,775,352,1595,0.12,0.12,612,152,0.02,0.15,0,0,152,0,152,matched,Bacteria,287,46.9,2.316,0.432
Anaeroglobus,906,1,4,0.0,0.0,610,50,0.02,0.05,0,0,50,0,50,matched,Bacteria,93,15.25,0.02,50.0
Megasphaera,906,62,408,0.02,0.03,610,50,0.02,0.05,0,0,50,0,50,matched,Bacteria,93,15.25,1.24,0.806
Sulfitobacter,60136,123,741,0.04,0.06,607,193,0.02,0.19,0,0,193,0,193,matched,Bacteria,360,59.31,0.637,1.569
Aerococcaceae.U.genus,186827,9,13,0.0,0.0,606,107,0.02,0.1,0,0,107,0,107,matched,Bacteria,429,70.79,0.084,11.889
Barnesiellaceae.U.genus,2005519,32,79,0.01,0.01,601,23,0.02,0.02,0,0,23,0,23,matched,Bacteria,48,7.99,1.391,0.719
Nitrosomonadaceae.U.genus,206379,601,5556,0.21,0.43,596,65,0.02,0.06,0,0,65,0,65,matched,Bacteria,95,15.94,9.246,0.108
Nitrosopumilus,338191,1,200,0.0,0.02,594,46,0.02,0.04,0,0,46,0,46,matched,Archaea,63,10.61,0.022,46.0
Parasutterella,577310,59,435,0.02,0.03,594,6,0.02,0.01,0,0,6,0,6,matched,Bacteria,31,5.22,9.833,0.102
Fusicatenibacter,1407607,155,528,0.05,0.04,593,9,0.02,0.01,0,0,9,0,9,matched,Bacteria,56,9.44,17.222,0.058
Candidatus Saccharimonadales.U.genus,2093825,1818,4927,0.63,0.38,591,12,0.02,0.01,0,0,12,0,12,matched,Bacteria,8,1.35,151.5,0.007
Weissella,46255,82,664,0.03,0.05,591,27,0.02,0.03,0,0,27,0,27,matched,Bacteria,424,71.74,3.037,0.329
Polyangiaceae.U.genus,49,24,110,0.01,0.01,591,95,0.02,0.09,0,0,95,0,95,matched,Bacteria,97,16.41,0.253,3.958
Verrucomicrobiaceae.U.genus,203557,127,830,0.04,0.06,588,73,0.02,0.07,0,0,73,0,73,matched,Bacteria,57,9.69,1.74,0.575
Lachnoclostridium,1506553,607,2035,0.21,0.16,581,61,0.02,0.06,0,0,61,0,61,matched,Bacteria,80,13.77,9.951,0.1
Gallionellaceae.U.genus,90627,63,257,0.02,0.02,579,52,0.02,0.05,0,0,52,0,52,matched,Bacteria,144,24.87,1.212,0.825
Anaerostipes,207244,201,716,0.07,0.06,577,21,0.02,0.02,0,0,21,0,21,matched,Bacteria,131,22.7,9.571,0.104
Bartonella,773,15,196,0.01,0.02,575,283,0.02,0.28,0,0,283,0,283,matched,Bacteria,528,91.83,0.053,18.867
Moraxella,475,98,547,0.03,0.04,570,65,0.02,0.06,0,0,65,0,65,matched,Bacteria,352,61.75,1.508,0.663
Kitasatospora,2063,24,254,0.01,0.02,568,322,0.02,0.31,0,0,322,0,322,matched,Bacteria,565,99.47,0.075,13.417
Chromatiaceae.U.genus,1046,49,175,0.02,0.01,559,140,0.02,0.14,0,0,140,0,140,matched,Bacteria,143,25.58,0.35,2.857
Desulfurococcaceae.U.genus,2272,9,42,0.0,0.0,557,37,0.02,0.04,0,0,37,0,37,matched,Archaea,24,4.31,0.243,4.111
Dysgonomonadaceae.U.genus,2005520,249,494,0.09,0.04,556,107,0.02,0.1,0,0,107,0,107,matched,Bacteria,62,11.15,2.327,0.43
Piscirickettsiaceae.U.genus,135616,44,96,0.02,0.01,556,135,0.02,0.13,0,0,135,0,135,matched,Bacteria,162,29.14,0.326,3.068
