genus,census_taxid,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,genome_pct_db,species_pct,direct_name_matches,direct_taxid_matches,hierarchical_taxid_matches,lineage_name_matches,total_matches,match_status,domain,isolate_count,isolate_percentage,novelty_factor,overrepresentation_factor
Eukaryota.U.genus,2759,9333,39360,13.16,9.81,59130,24211,100.0,100.0,0,0,24211,0,24211,matched,Eukaryota,57069,96.51,0.385,2.594
Opisthokonta.U.genus,33154,687,3638,0.97,0.91,48096,19894,81.34,82.17,0,0,19894,0,19894,matched,Eukaryota,46745,97.19,0.035,28.958
Metazoa.U.genus,33208,4480,25091,6.32,6.25,24478,12832,41.4,53.0,0,0,12832,0,12832,matched,Eukaryota,24291,99.24,0.349,2.864
Fungi_XXXX,4751,190,809,0.27,0.2,23592,7041,39.9,29.08,0,0,7041,0,7041,matched,Eukaryota,22429,95.07,0.027,37.058
Fungi.U.genus,4751,1112,2638,1.57,0.66,23592,7041,39.9,29.08,0,0,7041,0,7041,matched,Eukaryota,22429,95.07,0.158,6.332
Ascomycota.U.genus,4890,288,3632,0.41,0.9,19277,4926,32.6,20.35,0,0,4926,0,4926,matched,Eukaryota,18198,94.4,0.058,17.104
Pezizomycotina.U.genus,147538,987,5074,1.39,1.26,12730,3616,21.53,14.94,0,0,3616,0,3616,matched,Eukaryota,12083,94.92,0.273,3.664
Arthropoda.U.genus,6656,138,741,0.19,0.18,9744,5500,16.48,22.72,0,0,5500,0,5500,matched,Eukaryota,9662,99.16,0.025,39.855
Insecta.U.genus,50557,2513,16928,3.54,4.22,8796,4858,14.88,20.07,0,0,4858,0,4858,matched,Eukaryota,8739,99.35,0.517,1.933
Streptophyta_XXXXX,35493,4,23,0.01,0.01,7835,3043,13.25,12.57,0,0,3043,0,3043,matched,Eukaryota,7722,98.56,0.001,760.75
Saccharomycotina.U.genus,147537,259,3098,0.37,0.77,6396,1269,10.82,5.24,0,0,1269,0,1269,matched,Eukaryota,5980,93.5,0.204,4.9
Sordariomycetes.U.genus,147550,469,2392,0.66,0.6,5769,1506,9.76,6.22,0,0,1506,0,1506,matched,Eukaryota,5729,99.31,0.311,3.211
Mammalia_X,40674,72,159,0.1,0.04,4692,1050,7.94,4.34,0,0,1050,0,1050,matched,Eukaryota,4674,99.62,0.069,14.583
Mammalia.U.genus,40674,122,564,0.17,0.14,4692,1050,7.94,4.34,0,0,1050,0,1050,matched,Eukaryota,4674,99.62,0.116,8.607
Basidiomycota.U.genus,5204,32,88,0.05,0.02,3277,1567,5.54,6.47,0,0,1567,0,1567,matched,Eukaryota,3229,98.54,0.02,48.969
Eurotiomycetes.U.genus,147545,381,3580,0.54,0.89,3066,720,5.19,2.97,0,0,720,0,720,matched,Eukaryota,3007,98.08,0.529,1.89
Saccharomycetales.U.genus,4892,190,1145,0.27,0.29,2825,173,4.78,0.71,0,0,173,0,173,matched,Eukaryota,2770,98.05,1.098,0.911
Dothideomycetes.U.genus,147541,539,2447,0.76,0.61,2654,584,4.49,2.41,0,0,584,0,584,matched,Eukaryota,2628,99.02,0.923,1.083
Dothideomycetes_X,147541,56,240,0.08,0.06,2654,584,4.49,2.41,0,0,584,0,584,matched,Eukaryota,2628,99.02,0.096,10.429
Agaricomycotina.U.genus,5302,328,2666,0.46,0.66,2396,1320,4.05,5.45,0,0,1320,0,1320,matched,Eukaryota,2387,99.62,0.248,4.024
Saccharomyces,4930,13,969,0.02,0.24,1995,20,3.37,0.08,0,0,20,0,20,matched,Eukaryota,1987,99.6,0.65,1.538
Homo,9605,5,15,0.01,0.0,1941,1,3.28,0.0,0,0,1,0,1,matched,Eukaryota,1941,100.0,5.0,0.2
Gibberella,5506,466,4262,0.66,1.06,1935,270,3.27,1.12,0,0,270,0,270,matched,Eukaryota,1932,99.84,1.726,0.579
Agaricomycetes.U.genus,155619,665,4615,0.94,1.15,1799,1120,3.04,4.63,0,0,1120,0,1120,matched,Eukaryota,1796,99.83,0.594,1.684
Agaricomycetes_X,155619,8,27,0.01,0.01,1799,1120,3.04,4.63,0,0,1120,0,1120,matched,Eukaryota,1796,99.83,0.007,140.0
Aspergillus,5052,48,646,0.07,0.16,1515,265,2.56,1.09,0,0,265,0,265,matched,Eukaryota,1513,99.87,0.181,5.521
Stramenopiles_XXXXX,33634,5,8,0.01,0.0,1043,480,1.76,1.98,0,0,480,0,480,matched,Eukaryota,923,88.49,0.01,96.0
Stramenopiles.U.genus,33634,1038,7804,1.46,1.94,1043,480,1.76,1.98,0,0,480,0,480,matched,Eukaryota,923,88.49,2.163,0.462
Mollusca.U.genus,6447,353,2354,0.5,0.59,715,492,1.21,2.03,0,0,492,0,492,matched,Eukaryota,695,97.2,0.717,1.394
Nematoda.U.genus,6231,1163,5960,1.64,1.49,710,317,1.2,1.31,0,0,317,0,317,matched,Eukaryota,706,99.44,3.669,0.273
Penicillium,5073,100,2067,0.14,0.52,667,182,1.13,0.75,0,0,182,0,182,matched,Eukaryota,648,97.15,0.549,1.82
Chromadorea_X.U.genus,119089,282,791,0.4,0.2,658,287,1.11,1.19,0,0,287,0,287,matched,Eukaryota,654,99.39,0.983,1.018
Chromadorea_XX,119089,104,526,0.15,0.13,658,287,1.11,1.19,0,0,287,0,287,matched,Eukaryota,654,99.39,0.362,2.76
Alveolata.U.genus,33630,393,8253,0.55,2.06,658,219,1.11,0.9,0,0,219,0,219,matched,Eukaryota,639,97.11,1.795,0.557
Tremellomycetes_X,155616,27,282,0.04,0.07,593,196,1.0,0.81,0,0,196,0,196,matched,Eukaryota,587,98.99,0.138,7.259
Tremellomycetes.U.genus,155616,52,151,0.07,0.04,593,196,1.0,0.81,0,0,196,0,196,matched,Eukaryota,587,98.99,0.265,3.769
Lecanoromycetes.U.genus,147547,116,343,0.16,0.09,531,387,0.9,1.6,0,0,387,0,387,matched,Eukaryota,63,11.86,0.3,3.336
Chlorophyta_X.U.genus,3041,499,2267,0.7,0.56,518,245,0.88,1.01,0,0,245,0,245,matched,Eukaryota,349,67.37,2.037,0.491
Leotiomycetes.U.genus,147548,230,1747,0.32,0.44,429,232,0.73,0.96,0,0,232,0,232,matched,Eukaryota,423,98.6,0.991,1.009
Arabidopsis,3701,30,32,0.04,0.01,420,7,0.71,0.03,0,0,7,0,7,matched,Eukaryota,420,100.0,4.286,0.233
Arachnida.U.genus,6854,65,128,0.09,0.03,372,241,0.63,1.0,0,0,241,0,241,matched,Eukaryota,369,99.19,0.27,3.708
Ustilaginomycotina.U.genus,452284,43,1134,0.06,0.28,352,116,0.6,0.48,0,0,116,0,116,matched,Eukaryota,322,91.48,0.371,2.698
Colletotrichum,5455,10,15,0.01,0.0,348,105,0.59,0.43,0,0,105,0,105,matched,Eukaryota,347,99.71,0.095,10.5
Candida,5475,29,319,0.04,0.08,347,40,0.59,0.17,0,0,40,0,40,matched,Eukaryota,335,96.54,0.725,1.379
Anthozoa.U.genus,6101,248,2766,0.35,0.69,340,222,0.58,0.92,0,0,222,0,222,matched,Eukaryota,339,99.71,1.117,0.895
Euglenozoa.U.genus,33682,50,204,0.07,0.05,326,121,0.55,0.5,0,0,121,0,121,matched,Eukaryota,326,100.0,0.413,2.42
Peronosporales.U.genus,4776,4,45,0.01,0.01,318,106,0.54,0.44,0,0,106,0,106,matched,Eukaryota,318,100.0,0.038,26.5
Oryza,4527,1,29,0.0,0.01,311,23,0.53,0.09,0,0,23,0,23,matched,Eukaryota,311,100.0,0.043,23.0
Kinetoplastea_XXX,5653,90,230,0.13,0.06,309,112,0.52,0.46,0,0,112,0,112,matched,Eukaryota,309,100.0,0.804,1.244
Kinetoplastea_XX_MET8,5653,23,67,0.03,0.02,309,112,0.52,0.46,0,0,112,0,112,matched,Eukaryota,309,100.0,0.205,4.87
Kinetoplastea_XX_MET10,5653,37,72,0.05,0.02,309,112,0.52,0.46,0,0,112,0,112,matched,Eukaryota,309,100.0,0.33,3.027
Kinetoplastea.U.genus,5653,451,1621,0.64,0.4,309,112,0.52,0.46,0,0,112,0,112,matched,Eukaryota,309,100.0,4.027,0.248
Kinetoplastea_XX.U.genus,5653,25,45,0.04,0.01,309,112,0.52,0.46,0,0,112,0,112,matched,Eukaryota,309,100.0,0.223,4.48
Kinetoplastea_XX_MET3,5653,8,14,0.01,0.0,309,112,0.52,0.46,0,0,112,0,112,matched,Eukaryota,309,100.0,0.071,14.0
Crustacea.U.genus,6657,436,2433,0.61,0.61,295,178,0.5,0.74,0,0,178,0,178,matched,Eukaryota,274,92.88,2.449,0.408
Mucoromycotina.U.genus,451507,57,363,0.08,0.09,284,114,0.48,0.47,0,0,114,0,114,matched,Eukaryota,281,98.94,0.5,2.0
Mucoromycotina_XX,451507,8,8,0.01,0.0,284,114,0.48,0.47,0,0,114,0,114,matched,Eukaryota,281,98.94,0.07,14.25
Phytophthora,4783,67,1107,0.09,0.28,269,84,0.45,0.35,0,0,84,0,84,matched,Eukaryota,269,100.0,0.798,1.254
Zoopagomycota_XXX,1913638,18,43,0.03,0.01,217,192,0.37,0.79,0,0,192,0,192,matched,Eukaryota,215,99.08,0.094,10.667
Zoopagomycota_XX.U.genus,1913638,6,25,0.01,0.01,217,192,0.37,0.79,0,0,192,0,192,matched,Eukaryota,215,99.08,0.031,32.0
Zoopagomycota.U.genus,1913638,1,2,0.0,0.0,217,192,0.37,0.79,0,0,192,0,192,matched,Eukaryota,215,99.08,0.005,192.0
Neurospora,5140,13,243,0.02,0.06,197,34,0.33,0.14,0,0,34,0,34,matched,Eukaryota,197,100.0,0.382,2.615
Annelida_XX.U.genus,6340,40,202,0.06,0.05,191,126,0.32,0.52,0,0,126,0,126,matched,Eukaryota,189,98.95,0.317,3.15
Zea,4575,372,6252,0.52,1.56,190,2,0.32,0.01,0,0,2,0,2,matched,Eukaryota,190,100.0,186.0,0.005
Caenorhabditis,6237,57,495,0.08,0.12,177,49,0.3,0.2,0,0,49,0,49,matched,Eukaryota,177,100.0,1.163,0.86
Plasmodiidae.U.genus,1639119,45,167,0.06,0.04,176,26,0.3,0.11,0,0,26,0,26,matched,Eukaryota,176,100.0,1.731,0.578
Ciliophora.U.genus,5878,803,4342,1.13,1.08,162,80,0.27,0.33,0,0,80,0,80,matched,Eukaryota,150,92.59,10.037,0.1
Echinodermata_XXX,7586,48,349,0.07,0.09,161,106,0.27,0.44,0,0,106,0,106,matched,Eukaryota,161,100.0,0.453,2.208
Coemansia,4863,12,40,0.02,0.01,161,146,0.27,0.6,0,0,146,0,146,matched,Eukaryota,161,100.0,0.082,12.167
Platyhelminthes.U.genus,6157,851,2920,1.2,0.73,154,102,0.26,0.42,0,0,102,0,102,matched,Eukaryota,153,99.35,8.343,0.12
Chytridiomycota.U.genus,4761,530,1528,0.75,0.38,145,74,0.25,0.31,0,0,74,0,74,matched,Eukaryota,124,85.52,7.162,0.14
Chytridiomycota_XXX,4761,3,3,0.0,0.0,145,74,0.25,0.31,0,0,74,0,74,matched,Eukaryota,124,85.52,0.041,24.667
Taphrinomycotina.U.genus,451866,17,110,0.02,0.03,132,36,0.22,0.15,0,0,36,0,36,matched,Eukaryota,131,99.24,0.472,2.118
Bigyra.U.genus,2683628,30,244,0.04,0.06,124,42,0.21,0.17,0,0,42,0,42,matched,Eukaryota,56,45.16,0.714,1.4
