family,census_taxid,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,genome_pct_db,species_pct,direct_name_matches,direct_taxid_matches,hierarchical_taxid_matches,lineage_name_matches,total_matches,match_status,domain,isolate_count,isolate_percentage,novelty_factor,overrepresentation_factor
Nassellaria.U.family,278980,209,918,0.29,0.23,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Acantharea_3a,65574,208,1225,0.29,0.31,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Dino-Group-I.U.family,N/A,197,907,0.28,0.23,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Flamellidae.U.family,2605335,197,567,0.28,0.14,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Dino-Group-I-Clade-5,N/A,196,1050,0.28,0.26,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Eupetalomonads_X,N/A,192,534,0.27,0.13,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Phyllopharyngea.U.family,37471,186,686,0.26,0.17,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Dino-Group-I-Clade-4,N/A,182,1189,0.26,0.3,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Sessilida,1974272,174,1759,0.25,0.44,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
WIM80-lineage,N/A,173,656,0.24,0.16,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Actinocephalidae,650287,172,567,0.24,0.14,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Cercomonadidae,45108,154,294,0.22,0.07,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Turbellaria.U.family,166384,153,634,0.22,0.16,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Centroplasthelida_X.U.family,193537,151,475,0.21,0.12,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Difflugina,2681634,151,397,0.21,0.1,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Nolandellidae,N/A,142,405,0.2,0.1,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Rhogostoma-lineage,981201,134,853,0.19,0.21,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Schizoplasmodiidae,2681886,124,320,0.17,0.08,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Dino-Group-I-Clade-1,N/A,116,2072,0.16,0.52,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Psalteriomonadidae,1129782,108,544,0.15,0.14,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Dino-Group-II-Clade-3,N/A,92,284,0.13,0.07,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Thaumatomonadida.U.family,188944,88,597,0.12,0.15,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Euamoebida.U.family,180229,86,246,0.12,0.06,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Suctoria_X,39462,83,403,0.12,0.1,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Endostelium-lineage,668361,82,179,0.12,0.04,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Dino-Group-II-Clade-1,N/A,80,328,0.11,0.08,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Cyclotrichium_like_organism_XX,696132 Cyclotrichium,79,227,0.11,0.06,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Rigifilida_XXXX,1237875,79,246,0.11,0.06,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Arcellinida.U.family,318493,75,271,0.11,0.07,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
AND16-lineage,N/A,75,194,0.11,0.05,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Flamella-lineage,490353,62,262,0.09,0.07,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Phryganellina,318517,62,148,0.09,0.04,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Coccidiomorphea.U.family,N/A,61,404,0.09,0.1,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
LOS7N/I-lineage,N/A,60,299,0.08,0.07,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Archamoebea.U.family,N/A,58,216,0.08,0.05,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Bicoecaceae,238883,57,469,0.08,0.12,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Ulvales-relatives_X,N/A,55,176,0.08,0.04,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Peritrichia_2.U.family,6021,53,322,0.07,0.08,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Picomonadidae,1315717,51,366,0.07,0.09,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Sey055-lineage,N/A,50,123,0.07,0.03,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Mariager-Fjord-lineage,N/A,50,198,0.07,0.05,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
NPK2-lineage,N/A,48,137,0.07,0.03,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Protaspa-lineage,1938521,48,92,0.07,0.02,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Mb5C-lineage,N/A,46,111,0.06,0.03,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Vermamoebidae,N/A,46,155,0.06,0.04,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Peronosporomycetes_X.U.family,N/A,44,130,0.06,0.03,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Neobodonidae,N/A,43,74,0.06,0.02,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Novel-Gran-6,N/A,42,142,0.06,0.04,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Collophidiidae,1656265,42,87,0.06,0.02,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Pseudocolliniidae,1416935,40,96,0.06,0.02,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Novel-clade-10_X,N/A,38,48,0.05,0.01,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Urotrichidae,457377,38,128,0.05,0.03,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Acinetidae_2,239359,37,104,0.05,0.03,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Stygamoebida_XX,1485089,37,120,0.05,0.03,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Suctoria.U.family,39462,36,87,0.05,0.02,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Amoebidae,35218,35,66,0.05,0.02,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Filoretidae_X,N/A,34,52,0.05,0.01,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Filosa-Thecofilosea.U.family,N/A,33,84,0.05,0.02,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Tokophryidae,168137,33,176,0.05,0.04,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Gromiidae,35215,33,56,0.05,0.01,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Filosa-Sarcomonadea.U.family,N/A,31,82,0.04,0.02,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Arcellinida_X,318493,30,151,0.04,0.04,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Elardia.U.family,2681632,28,49,0.04,0.01,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Paradinidae,N/A,27,43,0.04,0.01,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Tholoniidae,N/A,26,77,0.04,0.02,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Dysteriidae,238903,25,115,0.04,0.03,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Distigmidae,2704119,24,188,0.03,0.05,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
NC12A-lineage,N/A,22,45,0.03,0.01,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Glissomonadida.U.family,1238681,21,102,0.03,0.03,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Rhabdocoela,27901,21,58,0.03,0.01,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Spironemidae,2027449,20,81,0.03,0.02,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Stylocephalidae,650329,20,39,0.03,0.01,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Ophryoglenida,N/A,19,444,0.03,0.11,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Xcellidae,2759735,19,22,0.03,0.01,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Dino-Group-II-Clade-14,N/A,19,51,0.03,0.01,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Centroplasthelida_XXXX,193537,19,25,0.03,0.01,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Lagynidae,212497,18,66,0.03,0.02,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Dino-Group-II-Clade-21,N/A,17,78,0.02,0.02,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Diplophrydaceae,N/A,17,26,0.02,0.01,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Amphitraemidae,1287649,16,60,0.02,0.01,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Gregarinomorphea.U.family,N/A,15,80,0.02,0.02,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
MAST-12,N/A,15,27,0.02,0.01,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Allobodonidae,N/A,14,30,0.02,0.01,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
OLIGO2,N/A,13,158,0.02,0.04,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Chytridiomycetaceae,N/A,12,82,0.02,0.02,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Dino-Group-II_X,N/A,12,29,0.02,0.01,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Prolecithophora,79788,12,25,0.02,0.01,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Nucleariidae_Nuclearia_2,154966,11,30,0.02,0.01,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Pterocystida_XX,2607628,10,24,0.01,0.01,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Reophacidae,1482317,10,34,0.01,0.01,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Vampyrellidae,325674,10,18,0.01,0.0,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Evaginogenida,163659,9,17,0.01,0.0,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Ventrifissuridae,1938506,9,9,0.01,0.0,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Thaumatomonadidae,45098,8,9,0.01,0.0,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
LKM74-lineage,N/A,8,10,0.01,0.0,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Eimeriida.U.family,N/A,6,20,0.01,0.0,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
ARMOP1,N/A,6,9,0.01,0.0,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Choanocystidae,N/A,5,6,0.01,0.0,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Leptomyxidae,66525,5,6,0.01,0.0,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Novel-Clade-4,N/A,5,6,0.01,0.0,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Nucleohelea,N/A,5,14,0.01,0.0,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Cryomonadida.U.family,589444,5,7,0.01,0.0,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
OLIGO5_X,N/A,4,4,0.01,0.0,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Rhynchomonadidae,2728145,4,14,0.01,0.0,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Paradinida_X,N/A,4,5,0.01,0.0,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Paracercomonadidae,N/A,4,4,0.01,0.0,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Mataza-lineage,1004929,4,5,0.01,0.0,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
CCW10-lineage,N/A,4,6,0.01,0.0,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Allapsidae,2607627,4,6,0.01,0.0,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Limnofilidae,1938435,4,6,0.01,0.0,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
MAST-3,N/A,3,7,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Rhizophydiaceae,451449,3,45,0.0,0.01,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Nibbleridae,3004210,3,11,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
NC12B-lineage,N/A,3,11,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Filosa-Thecofilosea_XX,1004930,3,4,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Hartmannulidae,247151,3,6,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Adeleidae,203140,3,3,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Acanthopodida.U.family,N/A,3,3,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Ceratiaceae,39451,3,65,0.0,0.02,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Glissomonadida_X,1238681,2,2,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Thaumatomonadida_X,188944,2,2,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Sphaerozoidae,65588,2,3,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Cryothecomonas-lineage,151025,2,3,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Corallicolidae,2828056,2,2,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Alphamonaceae,2605703,2,10,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Craniata_XX,89593 Craniata,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Cryomonadida_X,589444,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Echinamoebidae,136448,1,2,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Haliphthorales,N/A,1,2,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Massiteriidae,N/A,1,2,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Nebulidae,3004452,1,3,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Skeletonemaceae,N/A,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
