family,census_taxid,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,genome_pct_db,species_pct,direct_name_matches,direct_taxid_matches,hierarchical_taxid_matches,lineage_name_matches,total_matches,match_status,domain,isolate_count,isolate_percentage,novelty_factor,overrepresentation_factor
Trypanosomatidae,5654,147,1188,0.21,0.3,301,107,0.51,0.44,0,0,107,0,107,matched,Eukaryota,301,100.0,1.374,0.728
Crustacea.U.family,6657,436,2433,0.61,0.61,295,178,0.5,0.74,0,0,178,0,178,matched,Eukaryota,274,92.88,2.449,0.408
Mucoromycotina_X,451507,75,977,0.11,0.24,284,114,0.48,0.47,0,0,114,0,114,matched,Eukaryota,281,98.94,0.658,1.52
Mucoromycotina.U.family,451507,57,363,0.08,0.09,284,114,0.48,0.47,0,0,114,0,114,matched,Eukaryota,281,98.94,0.5,2.0
Amphibia,8292,5,9,0.01,0.0,282,206,0.48,0.85,0,0,206,0,206,matched,Eukaryota,282,100.0,0.024,41.2
Zoopagomycota_XX,1913638,27,72,0.04,0.02,217,192,0.37,0.79,0,0,192,0,192,matched,Eukaryota,215,99.08,0.141,7.111
Zoopagomycota.U.family,1913638,1,2,0.0,0.0,217,192,0.37,0.79,0,0,192,0,192,matched,Eukaryota,215,99.08,0.005,192.0
Annelida_XX,6340,49,237,0.07,0.06,191,126,0.32,0.52,0,0,126,0,126,matched,Eukaryota,189,98.95,0.389,2.571
Trebouxiophyceae_XX,75966,5,8,0.01,0.0,183,89,0.31,0.37,0,0,89,0,89,matched,Eukaryota,141,77.05,0.056,17.8
Plasmodiidae,1639119,103,612,0.15,0.15,176,26,0.3,0.11,0,0,26,0,26,matched,Eukaryota,176,100.0,3.962,0.252
Kickxellales,4861,12,40,0.02,0.01,171,153,0.29,0.63,0,0,153,0,153,matched,Eukaryota,171,100.0,0.078,12.75
Ciliophora.U.family,5878,803,4342,1.13,1.08,162,80,0.27,0.33,0,0,80,0,80,matched,Eukaryota,150,92.59,10.037,0.1
Echinodermata_XX,7586,48,349,0.07,0.09,161,106,0.27,0.44,0,0,106,0,106,matched,Eukaryota,161,100.0,0.453,2.208
Platyhelminthes.U.family,6157,851,2920,1.2,0.73,154,102,0.26,0.42,0,0,102,0,102,matched,Eukaryota,153,99.35,8.343,0.12
Chytridiomycota.U.family,4761,530,1528,0.75,0.38,145,74,0.25,0.31,0,0,74,0,74,matched,Eukaryota,124,85.52,7.162,0.14
Chytridiomycota_XX,4761,3,3,0.0,0.0,145,74,0.25,0.31,0,0,74,0,74,matched,Eukaryota,124,85.52,0.041,24.667
Ustilaginomycetes,5257,69,166,0.1,0.04,135,52,0.23,0.21,0,0,52,0,52,matched,Eukaryota,135,100.0,1.327,0.754
Taphrinomycotina.U.family,451866,17,110,0.02,0.03,132,36,0.22,0.15,0,0,36,0,36,matched,Eukaryota,131,99.24,0.472,2.118
Microsporida_X,6029,11,21,0.02,0.01,124,65,0.21,0.27,0,0,65,0,65,matched,Eukaryota,120,96.77,0.169,5.909
Bigyra.U.family,2683628,30,244,0.04,0.06,124,42,0.21,0.17,0,0,42,0,42,matched,Eukaryota,56,45.16,0.714,1.4
Bathycoccaceae,1525212,308,6531,0.43,1.63,113,23,0.19,0.09,0,0,23,0,23,matched,Eukaryota,46,40.71,13.391,0.075
