family,census_taxid,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,genome_pct_db,species_pct,direct_name_matches,direct_taxid_matches,hierarchical_taxid_matches,lineage_name_matches,total_matches,match_status,domain,isolate_count,isolate_percentage,novelty_factor,overrepresentation_factor
Gammaproteobacteria.U.family,1236,3688,17379,1.5,1.54,1481562,20386,49.97,19.89,0,0,20386,0,20386,matched,Bacteria,1438611,97.1,0.181,5.528
Enterobacterales.U.family,91347,16,25,0.01,0.0,1241521,7193,41.88,7.02,0,0,7193,0,7193,matched,Bacteria,1236376,99.59,0.002,449.562
Enterobacteriaceae,543,1996,23615,0.81,2.09,1211097,5414,40.85,5.28,0,0,5414,0,5414,matched,Bacteria,1206915,99.65,0.369,2.712
Bacillota.U.family,1239,892,2493,0.36,0.22,676376,16208,22.81,15.81,0,0,16208,0,16208,matched,Bacteria,518800,76.7,0.055,18.17
Bacilli.U.family,91061,691,2261,0.28,0.2,496192,9384,16.74,9.15,0,0,9384,0,9384,matched,Bacteria,479365,96.61,0.074,13.58
Lactobacillales.U.family,186826,30,69,0.01,0.01,249918,2546,8.43,2.48,0,0,2546,0,2546,matched,Bacteria,239359,95.78,0.012,84.867
Bacillales.U.family,1385,308,1263,0.13,0.11,242751,6804,8.19,6.64,0,0,6804,0,6804,matched,Bacteria,239987,98.86,0.045,22.091
Streptococcaceae,1300,1499,9958,0.61,0.88,176612,705,5.96,0.69,0,0,705,0,705,matched,Bacteria,173988,98.51,2.126,0.47
Campylobacterales.U.family,213849,70,177,0.03,0.02,166174,707,5.61,0.69,0,0,707,0,707,matched,Bacteria,161826,97.38,0.099,10.1
Clostridia.U.family,186801,5378,13639,2.19,1.21,159976,5380,5.4,5.25,0,0,5380,0,5380,matched,Bacteria,36998,23.13,1.0,1.0
Campylobacteraceae,72294,194,1558,0.08,0.14,152397,313,5.14,0.31,0,0,313,0,313,matched,Bacteria,151533,99.43,0.62,1.613
