family,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,novelty_factor,overrepresentation_factor,direct_matches,lineage_matches,total_matches,match_status,domain,coverage_percentage
Costaceae,0,0,0.0,0.0,17,17,17,0.03,0.08,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Gruidae,0,0,0.0,0.0,17,8,17,0.03,0.04,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Convolvulaceae,0,0,0.0,0.0,17,11,17,0.03,0.05,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Charadriidae,0,0,0.0,0.0,17,11,17,0.03,0.05,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Ciconiidae,0,0,0.0,0.0,17,12,14,0.03,0.06,82.35,,,0,0,0,ncbi_only,Eukaryota,0.0
Asparagaceae,0,0,0.0,0.0,17,13,17,0.03,0.06,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Bucerotidae,0,0,0.0,0.0,17,17,17,0.03,0.08,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Penaeidae,0,0,0.0,0.0,16,5,16,0.03,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Paradisaeidae,0,0,0.0,0.0,16,6,15,0.03,0.03,93.75,,,0,0,0,ncbi_only,Eukaryota,0.0
Picidae,0,0,0.0,0.0,16,11,16,0.03,0.05,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Paridae,0,0,0.0,0.0,16,9,16,0.03,0.04,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Papaveraceae,0,0,0.0,0.0,16,12,16,0.03,0.06,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Parulidae,0,0,0.0,0.0,16,12,16,0.03,0.06,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Branchiostomatidae,0,0,0.0,0.0,16,6,16,0.03,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Tomoceridae,0,0,0.0,0.0,16,11,16,0.03,0.05,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Cunninghamellaceae,0,0,0.0,0.0,16,14,16,0.03,0.07,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Cacatuidae,0,0,0.0,0.0,16,14,16,0.03,0.07,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Palinuridae,0,0,0.0,0.0,16,13,16,0.03,0.06,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Heligmosomidae,0,0,0.0,0.0,15,2,15,0.03,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Cheloniidae,0,0,0.0,0.0,15,6,15,0.03,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nosematidae,0,0,0.0,0.0,15,11,15,0.03,0.05,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Galdieriaceae,0,0,0.0,0.0,15,4,15,0.03,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Campanulaceae,0,0,0.0,0.0,15,11,15,0.03,0.05,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Balanidae,0,0,0.0,0.0,14,7,14,0.03,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Julidae,0,0,0.0,0.0,14,12,14,0.03,0.06,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Asteriidae,0,0,0.0,0.0,14,8,14,0.03,0.04,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Thraupidae,0,0,0.0,0.0,14,13,14,0.03,0.06,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Lumbricidae,0,0,0.0,0.0,14,8,14,0.03,0.04,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Sulidae,0,0,0.0,0.0,14,9,14,0.03,0.04,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Backusellaceae,0,0,0.0,0.0,14,13,14,0.03,0.06,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Stichopodidae,0,0,0.0,0.0,14,11,14,0.03,0.05,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Bromeliaceae,0,0,0.0,0.0,13,8,13,0.03,0.04,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Ramphastidae,0,0,0.0,0.0,13,13,13,0.03,0.06,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Cactaceae,0,0,0.0,0.0,13,10,13,0.03,0.05,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Dugesiidae,0,0,0.0,0.0,13,6,13,0.03,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Pectinidae,0,0,0.0,0.0,13,7,13,0.03,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Peltospiridae,0,0,0.0,0.0,13,12,13,0.03,0.06,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Pycnonotidae,0,0,0.0,0.0,13,12,13,0.03,0.06,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Primulaceae,0,0,0.0,0.0,13,6,13,0.03,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Volvocaceae,0,0,0.0,0.0,13,7,11,0.03,0.03,84.62,,,0,0,0,ncbi_only,Eukaryota,0.0
Ascarididae,0,0,0.0,0.0,13,7,13,0.03,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Rajidae,0,0,0.0,0.0,13,6,13,0.03,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Trichostrongylidae,0,0,0.0,0.0,13,6,12,0.03,0.03,92.31,,,0,0,0,ncbi_only,Eukaryota,0.0
Temoridae,0,0,0.0,0.0,13,2,1,0.03,0.01,7.69,,,0,0,0,ncbi_only,Eukaryota,0.0
Skeletonemataceae,0,0,0.0,0.0,13,8,10,0.03,0.04,76.92,,,0,0,0,ncbi_only,Eukaryota,0.0
Trochilidae,0,0,0.0,0.0,13,7,13,0.03,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Anacardiaceae,0,0,0.0,0.0,13,6,13,0.03,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Unikaryonidae,0,0,0.0,0.0,13,4,13,0.03,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Orobanchaceae,0,0,0.0,0.0,13,10,13,0.03,0.05,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Pedaliaceae,0,0,0.0,0.0,13,8,13,0.03,0.04,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Alcidae,0,0,0.0,0.0,12,7,12,0.02,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Dictyosteliaceae,0,0,0.0,0.0,12,10,12,0.02,0.05,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Dioscoreaceae,0,0,0.0,0.0,12,6,12,0.02,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Phylloscopidae,0,0,0.0,0.0,12,8,12,0.02,0.04,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Patellidae,0,0,0.0,0.0,12,7,12,0.02,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Aplysinidae,0,0,0.0,0.0,12,4,12,0.02,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Threskiornithidae,0,0,0.0,0.0,12,8,12,0.02,0.04,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Euplotidae,0,0,0.0,0.0,12,9,11,0.02,0.04,91.67,,,0,0,0,ncbi_only,Eukaryota,0.0
Ectocarpaceae,0,0,0.0,0.0,12,9,12,0.02,0.04,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Meliphagidae,0,0,0.0,0.0,12,10,12,0.02,0.05,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Sphagnaceae,0,0,0.0,0.0,12,9,11,0.02,0.04,91.67,,,0,0,0,ncbi_only,Eukaryota,0.0
Araliaceae,0,0,0.0,0.0,12,9,12,0.02,0.04,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Ardeidae,0,0,0.0,0.0,12,9,9,0.02,0.04,75.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Caligidae,0,0,0.0,0.0,12,3,12,0.02,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Sturnidae,0,0,0.0,0.0,12,8,12,0.02,0.04,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Polynoidae,0,0,0.0,0.0,12,7,12,0.02,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Icteridae,0,0,0.0,0.0,12,7,12,0.02,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Onychiuridae,0,0,0.0,0.0,12,9,12,0.02,0.04,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Juncaceae,0,0,0.0,0.0,12,5,12,0.02,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Urticaceae,0,0,0.0,0.0,12,4,12,0.02,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Albuginaceae,0,0,0.0,0.0,12,2,12,0.02,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Cupressaceae,0,0,0.0,0.0,12,11,12,0.02,0.05,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Pipridae,0,0,0.0,0.0,12,9,12,0.02,0.04,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Diplonemidae,0,0,0.0,0.0,12,6,12,0.02,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hydridae,0,0,0.0,0.0,12,3,12,0.02,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Thamnophilidae,0,0,0.0,0.0,11,8,11,0.02,0.04,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Gigasporaceae,0,0,0.0,0.0,11,8,11,0.02,0.04,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Portunidae,0,0,0.0,0.0,11,5,11,0.02,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Lepetodrilidae,0,0,0.0,0.0,11,11,11,0.02,0.05,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Marchantiaceae,0,0,0.0,0.0,11,3,11,0.02,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Trichomonadidae,0,0,0.0,0.0,11,6,11,0.02,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Sarraceniaceae,0,0,0.0,0.0,11,11,11,0.02,0.05,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Tuberaceae,0,0,0.0,0.0,11,10,10,0.02,0.05,90.91,,,0,0,0,ncbi_only,Eukaryota,0.0
Anguinidae,0,0,0.0,0.0,11,5,11,0.02,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Spragueidae,0,0,0.0,0.0,11,1,11,0.02,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mactridae,0,0,0.0,0.0,11,7,11,0.02,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Pneumocystaceae,0,0,0.0,0.0,11,7,11,0.02,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Otididae,0,0,0.0,0.0,11,7,11,0.02,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Actinidiaceae,0,0,0.0,0.0,11,7,11,0.02,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Sminthuridae,0,0,0.0,0.0,10,5,10,0.02,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neanuridae,0,0,0.0,0.0,10,10,10,0.02,0.05,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Paronellidae,0,0,0.0,0.0,10,8,10,0.02,0.04,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Odontophoridae,0,0,0.0,0.0,10,6,10,0.02,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Powellomycetaceae,0,0,0.0,0.0,10,5,10,0.02,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Salviniaceae,0,0,0.0,0.0,10,7,4,0.02,0.03,40.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Axinellidae,0,0,0.0,0.0,10,5,10,0.02,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Geoglossaceae,0,0,0.0,0.0,10,7,7,0.02,0.03,70.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Sepiolidae,0,0,0.0,0.0,10,5,10,0.02,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Umbelopsidaceae,0,0,0.0,0.0,10,7,10,0.02,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Steinernematidae,0,0,0.0,0.0,10,9,10,0.02,0.04,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Acipenseridae,0,0,0.0,0.0,10,6,10,0.02,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Amaranthaceae,0,0,0.0,0.0,10,6,10,0.02,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hypericaceae,0,0,0.0,0.0,10,5,10,0.02,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hirundinidae,0,0,0.0,0.0,10,6,10,0.02,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Asterinidae,0,0,0.0,0.0,10,5,10,0.02,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Haliotidae,0,0,0.0,0.0,10,7,10,0.02,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Lithobiidae,0,0,0.0,0.0,10,9,10,0.02,0.04,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Passeridae,0,0,0.0,0.0,10,8,10,0.02,0.04,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Tetrahymenidae,0,0,0.0,0.0,10,5,10,0.02,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hemiscylliidae,0,0,0.0,0.0,9,3,9,0.02,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Zosteropidae,0,0,0.0,0.0,9,7,9,0.02,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Strongyloididae,0,0,0.0,0.0,9,5,9,0.02,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Palaemonidae,0,0,0.0,0.0,9,4,9,0.02,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Gracilariaceae,0,0,0.0,0.0,9,9,9,0.02,0.04,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Cephalobidae,0,0,0.0,0.0,9,5,9,0.02,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Furnariidae,0,0,0.0,0.0,9,9,9,0.02,0.04,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Metastrongylidae,0,0,0.0,0.0,9,5,9,0.02,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Ancylostomatidae,0,0,0.0,0.0,9,4,9,0.02,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Phalacrocoracidae,0,0,0.0,0.0,9,6,9,0.02,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mopaliidae,0,0,0.0,0.0,9,9,9,0.02,0.04,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Timaliidae,0,0,0.0,0.0,9,9,9,0.02,0.04,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Dunaliellaceae,0,0,0.0,0.0,9,7,9,0.02,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Pyronemataceae,0,0,0.0,0.0,9,8,9,0.02,0.04,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hirudinidae,0,0,0.0,0.0,9,5,9,0.02,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Testudinidae,0,0,0.0,0.0,9,7,9,0.02,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Gordiidae,0,0,0.0,0.0,9,4,9,0.02,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Geodiidae,0,0,0.0,0.0,9,5,9,0.02,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Sepiidae,0,0,0.0,0.0,9,5,9,0.02,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Acanthaceae,0,0,0.0,0.0,9,4,9,0.02,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Amaryllidaceae,0,0,0.0,0.0,9,5,9,0.02,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Motacillidae,0,0,0.0,0.0,9,7,9,0.02,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Enchytraeidae,0,0,0.0,0.0,9,8,9,0.02,0.04,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Meliaceae,0,0,0.0,0.0,9,8,9,0.02,0.04,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Orchesellidae,0,0,0.0,0.0,9,6,9,0.02,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Boraginaceae,0,0,0.0,0.0,8,5,8,0.02,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Procellariidae,0,0,0.0,0.0,8,6,8,0.02,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Didemnidae,0,0,0.0,0.0,8,4,8,0.02,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hypogastruridae,0,0,0.0,0.0,8,7,8,0.02,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Spongillidae,0,0,0.0,0.0,8,3,8,0.02,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Pachycephalidae,0,0,0.0,0.0,8,8,8,0.02,0.04,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Dromaiidae,0,0,0.0,0.0,8,1,8,0.02,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Iridaceae,0,0,0.0,0.0,8,6,8,0.02,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Geoemydidae,0,0,0.0,0.0,8,6,8,0.02,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Leucosporidiaceae,0,0,0.0,0.0,8,3,7,0.02,0.01,87.5,,,0,0,0,ncbi_only,Eukaryota,0.0
Melampsoraceae,0,0,0.0,0.0,8,8,8,0.02,0.04,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Naviculaceae,0,0,0.0,0.0,8,5,8,0.02,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Perkinsidae,0,0,0.0,0.0,8,4,8,0.02,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Closteriaceae,0,0,0.0,0.0,8,8,8,0.02,0.04,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Syncephalastraceae,0,0,0.0,0.0,8,5,8,0.02,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Alopiidae,0,0,0.0,0.0,8,3,8,0.02,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Cuculidae,0,0,0.0,0.0,8,5,8,0.02,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Alligatoridae,0,0,0.0,0.0,8,4,8,0.02,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Acanthasteridae,0,0,0.0,0.0,8,1,8,0.02,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Unionidae,0,0,0.0,0.0,8,8,8,0.02,0.04,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Cyanidiaceae,0,0,0.0,0.0,8,3,8,0.02,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Plakobranchidae,0,0,0.0,0.0,8,5,8,0.02,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Chromodorididae,0,0,0.0,0.0,8,8,8,0.02,0.04,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Apodidae,0,0,0.0,0.0,8,5,8,0.02,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Trichuridae,0,0,0.0,0.0,8,3,8,0.02,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Crassulaceae,0,0,0.0,0.0,8,6,8,0.02,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Diomedeidae,0,0,0.0,0.0,8,7,8,0.02,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Styelidae,0,0,0.0,0.0,8,4,8,0.02,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Oikopleuridae,0,0,0.0,0.0,8,6,8,0.02,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Dimargaritaceae,0,0,0.0,0.0,7,6,7,0.01,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nereididae,0,0,0.0,0.0,7,5,7,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Thymelaeaceae,0,0,0.0,0.0,7,6,7,0.01,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Lybiidae,0,0,0.0,0.0,7,5,7,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Helicidae,0,0,0.0,0.0,7,3,7,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Ulmaceae,0,0,0.0,0.0,7,4,7,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Ascidiidae,0,0,0.0,0.0,7,4,7,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Pezizaceae,0,0,0.0,0.0,7,6,7,0.01,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Strongylocentrotidae,0,0,0.0,0.0,7,5,7,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Enterocytozoonidae,0,0,0.0,0.0,7,3,7,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mermithidae,0,0,0.0,0.0,7,3,7,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Alariaceae,0,0,0.0,0.0,7,6,7,0.01,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Dicyrtomidae,0,0,0.0,0.0,7,4,7,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Acanthizidae,0,0,0.0,0.0,7,6,6,0.01,0.03,85.71,,,0,0,0,ncbi_only,Eukaryota,0.0
Diplogasteridae,0,0,0.0,0.0,7,4,7,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Ebenaceae,0,0,0.0,0.0,7,2,7,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Musophagidae,0,0,0.0,0.0,7,5,7,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Caprifoliaceae,0,0,0.0,0.0,7,5,7,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Chytridiaceae,0,0,0.0,0.0,7,7,7,0.01,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Violaceae,0,0,0.0,0.0,7,4,7,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Certhiidae,0,0,0.0,0.0,7,7,7,0.01,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Balsaminaceae,0,0,0.0,0.0,7,4,7,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Cerylidae,0,0,0.0,0.0,7,7,7,0.01,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Verbenaceae,0,0,0.0,0.0,7,4,7,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Triparmaceae,0,0,0.0,0.0,7,6,7,0.01,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Pteriidae,0,0,0.0,0.0,7,5,7,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Myxinidae,0,0,0.0,0.0,7,4,7,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Magnoliaceae,0,0,0.0,0.0,7,7,1,0.01,0.03,14.29,,,0,0,0,ncbi_only,Eukaryota,0.0
Trionychidae,0,0,0.0,0.0,7,5,7,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Cionidae,0,0,0.0,0.0,6,2,6,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Begoniaceae,0,0,0.0,0.0,6,6,6,0.01,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Maluridae,0,0,0.0,0.0,6,6,6,0.01,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Dinobryaceae,0,0,0.0,0.0,6,4,6,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Chondrillidae,0,0,0.0,0.0,6,3,6,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Scrophulariaceae,0,0,0.0,0.0,6,3,6,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Meropidae,0,0,0.0,0.0,6,4,6,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hydrangeaceae,0,0,0.0,0.0,6,1,6,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Cornaceae,0,0,0.0,0.0,6,4,6,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Apterygidae,0,0,0.0,0.0,6,4,6,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Salpidae,0,0,0.0,0.0,6,4,6,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Ulvaceae,0,0,0.0,0.0,6,4,6,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Lymnaeidae,0,0,0.0,0.0,6,4,6,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Cathartidae,0,0,0.0,0.0,6,4,6,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nelumbonaceae,0,0,0.0,0.0,6,2,6,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Spongiidae,0,0,0.0,0.0,6,3,6,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Toxopneustidae,0,0,0.0,0.0,6,3,6,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Ancylistaceae,0,0,0.0,0.0,6,6,6,0.01,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Ascoideaceae,0,0,0.0,0.0,6,3,6,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Bugulidae,0,0,0.0,0.0,6,3,6,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Katiannidae,0,0,0.0,0.0,6,5,6,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Trochidae,0,0,0.0,0.0,6,3,4,0.01,0.01,66.67,,,0,0,0,ncbi_only,Eukaryota,0.0
Dubosqiidae,0,0,0.0,0.0,6,2,4,0.01,0.01,66.67,,,0,0,0,ncbi_only,Eukaryota,0.0
Holothuriidae,0,0,0.0,0.0,6,5,6,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Elaeagnaceae,0,0,0.0,0.0,6,6,6,0.01,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
