family,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,novelty_factor,overrepresentation_factor,direct_matches,lineage_matches,total_matches,match_status,domain,coverage_percentage
Oxytrichidae,800,7715,1.13,1.92,9,5,9,0.02,0.02,100.0,160.0,0.006,1,0,1,matched,Eukaryota,0.0
Pelagomonadaceae,36,182,0.05,0.05,8,4,8,0.02,0.02,100.0,9.0,0.111,1,0,1,matched,Eukaryota,0.0
Cafeteriaceae,18,75,0.03,0.02,7,3,5,0.01,0.01,71.43,6.0,0.167,1,0,1,matched,Eukaryota,0.0
Selenastraceae,1,1,0.0,0.0,5,5,4,0.01,0.02,80.0,0.2,5.0,1,0,1,matched,Eukaryota,0.0
Dacrymycetes,5,5,0.01,0.0,4,4,4,0.01,0.02,100.0,1.25,0.8,0,1,1,matched,Eukaryota,0.0
Chloropicaceae,15,50,0.02,0.01,4,2,4,0.01,0.01,100.0,7.5,0.133,1,0,1,matched,Eukaryota,0.0
Spizellomycetaceae,52,167,0.07,0.04,4,4,4,0.01,0.02,100.0,13.0,0.077,1,0,1,matched,Eukaryota,0.0
Balamuthiidae,8,12,0.01,0.0,3,1,3,0.01,0.0,100.0,8.0,0.125,1,0,1,matched,Eukaryota,0.0
Euglenaceae,470,1572,0.66,0.39,3,1,3,0.01,0.0,100.0,470.0,0.002,1,0,1,matched,Eukaryota,0.0
Phaeodactylaceae,15,37,0.02,0.01,3,1,3,0.01,0.0,100.0,15.0,0.067,1,0,1,matched,Eukaryota,0.0
Mastigamoebidae,1609,10879,2.27,2.71,2,1,2,0.0,0.0,100.0,1609.0,0.001,1,0,1,matched,Eukaryota,0.0
Vannellidae,56,94,0.08,0.02,2,1,0,0.0,0.0,0.0,56.0,0.018,1,0,1,matched,Eukaryota,0.0
Ochromonadaceae,12,14,0.02,0.0,2,2,2,0.0,0.01,100.0,6.0,0.167,1,0,1,matched,Eukaryota,0.0
Paulinellidae,17,24,0.02,0.01,2,1,2,0.0,0.0,100.0,17.0,0.059,1,0,1,matched,Eukaryota,0.0
Gregarinidae,130,692,0.18,0.17,1,1,1,0.0,0.0,100.0,130.0,0.008,1,0,1,matched,Eukaryota,0.0
Neovahlkampfiidae,211,780,0.3,0.19,1,1,1,0.0,0.0,100.0,211.0,0.005,1,0,1,matched,Eukaryota,0.0
Labyrinthulaceae,62,238,0.09,0.06,1,1,1,0.0,0.0,100.0,62.0,0.016,1,0,1,matched,Eukaryota,0.0
