genus,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,novelty_factor,overrepresentation_factor,direct_matches,lineage_matches,total_matches,match_status,domain,coverage_percentage
Culex,62,345,0.09,0.09,17,6,17,0.03,0.03,100.0,10.333,0.097,1,0,1,matched,Eukaryota,0.0
Nannochloropsis,39,315,0.06,0.08,17,6,17,0.03,0.03,100.0,6.5,0.154,1,0,1,matched,Eukaryota,0.0
Batrachochytrium,3,45,0.0,0.01,17,2,17,0.03,0.01,100.0,1.5,0.667,1,0,1,matched,Eukaryota,0.0
Neocallimastix,3,4,0.0,0.0,14,2,2,0.03,0.01,14.29,1.5,0.667,1,0,1,matched,Eukaryota,0.0
Skeletonema,1,1,0.0,0.0,13,8,10,0.03,0.04,76.92,0.125,8.0,1,0,1,matched,Eukaryota,0.0
Taphrina,17,80,0.02,0.02,13,9,13,0.03,0.04,100.0,1.889,0.529,1,0,1,matched,Eukaryota,0.0
Teratosphaeria,29,32,0.04,0.01,13,8,12,0.03,0.04,92.31,3.625,0.276,1,0,1,matched,Eukaryota,0.0
Ectocarpus,77,666,0.11,0.17,12,9,12,0.02,0.04,100.0,8.556,0.117,1,0,1,matched,Eukaryota,0.0
Cladophialophora,1,6,0.0,0.0,11,8,11,0.02,0.04,100.0,0.125,8.0,1,0,1,matched,Eukaryota,0.0
Anolis,4,42,0.01,0.01,11,8,8,0.02,0.04,72.73,0.5,2.0,1,0,1,matched,Eukaryota,0.0
Coccomyxa,20,87,0.03,0.02,10,6,8,0.02,0.03,80.0,3.333,0.3,1,0,1,matched,Eukaryota,0.0
Ditylenchus,4,4,0.01,0.0,9,3,9,0.02,0.01,100.0,1.333,0.75,1,0,1,matched,Eukaryota,0.0
Brachypodium,7,18,0.01,0.0,8,4,8,0.02,0.02,100.0,1.75,0.571,1,0,1,matched,Eukaryota,0.0
Mrakia,11,95,0.02,0.02,8,6,8,0.02,0.03,100.0,1.833,0.545,1,0,1,matched,Eukaryota,0.0
Xenopus,5,9,0.01,0.0,8,5,8,0.02,0.02,100.0,1.0,1.0,1,0,1,matched,Eukaryota,0.0
Lecanicillium,225,1334,0.32,0.33,8,6,8,0.02,0.03,100.0,37.5,0.027,1,0,1,matched,Eukaryota,0.0
Crassostrea,13,29,0.02,0.01,7,5,7,0.01,0.02,100.0,2.6,0.385,1,0,1,matched,Eukaryota,0.0
Piromyces,1,6,0.0,0.0,7,3,2,0.01,0.01,28.57,0.333,3.0,1,0,1,matched,Eukaryota,0.0
Smittium,60,247,0.08,0.06,7,6,7,0.01,0.03,100.0,10.0,0.1,1,0,1,matched,Eukaryota,0.0
Conus,45,225,0.06,0.06,6,6,6,0.01,0.03,100.0,7.5,0.133,1,0,1,matched,Eukaryota,0.0
Ulva,55,176,0.08,0.04,6,4,6,0.01,0.02,100.0,13.75,0.073,1,0,1,matched,Eukaryota,0.0
Auxenochlorella,23,524,0.03,0.13,6,2,6,0.01,0.01,100.0,11.5,0.087,1,0,1,matched,Eukaryota,0.0
Cafeteria,18,75,0.03,0.02,6,2,5,0.01,0.01,83.33,9.0,0.111,1,0,1,matched,Eukaryota,0.0
Chrysaora,13,32,0.02,0.01,5,4,5,0.01,0.02,100.0,3.25,0.308,1,0,1,matched,Eukaryota,0.0
Aureococcus,36,182,0.05,0.05,5,1,5,0.01,0.0,100.0,36.0,0.028,1,0,1,matched,Eukaryota,0.0
Hyaloscypha,40,131,0.06,0.03,5,5,5,0.01,0.02,100.0,8.0,0.125,1,0,1,matched,Eukaryota,0.0
Micractinium,2,10,0.0,0.0,4,4,4,0.01,0.02,100.0,0.5,2.0,1,0,1,matched,Eukaryota,0.0
