genus,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,novelty_factor,overrepresentation_factor,direct_matches,lineage_matches,total_matches,match_status,domain,coverage_percentage
Porphyridium,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Malbranchea,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Trichobilharzia,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Phlebiopsis,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Antedon,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Grapholita,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Anncaliia,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Dreissena,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Ambrosiella,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Manacus,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Gaultheria,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mamestra,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Liquidambar,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Pectinophora,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Rinodina,0,0,0.0,0.0,3,3,0,0.01,0.01,0.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Simochromis,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Paramyrothecium,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Diadophis,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Primulina,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Listrura,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Platalea,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Alviniconcha,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Pecten,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Parapristionchus,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Gaeumannomyces,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Magnaporthiopsis,0,0,0.0,0.0,3,3,0,0.01,0.01,0.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Loa,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Dysidea,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Alloascoidea,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Alliaria,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Rhizophlyctis,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Alopecurus,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Stegostoma,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Xyleborus,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Tigriopus,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Macrophya,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Posidonia,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Podocnemis,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mandarina,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Paralithodes,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Sistrurus,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Tillandsia,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Sitobion,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Phallus,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Diphasiastrum,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Fringilla,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Trachymyrmex,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Malacoctenus,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Phallusia,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Trachylepis,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Liposcelis,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Amblyjoppa,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Gastrophryne,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Frangula,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Lithospermum,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Eantis,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Parazoanthus,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Porcisia,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Parauchenoglanis,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Abrus,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Patagioenas,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Struthio,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Rhynchospora,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Rissa,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Leptogenys,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Rhinoceros,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Phakopsora,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Pontia,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Allochrocebus,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Loboptera,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Dinocampus,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Macrotrachela,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Dendrogyra,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Flueggea,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Amyelois,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Phenganax,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Evernia,0,0,0.0,0.0,3,2,1,0.01,0.01,33.33,,,0,0,0,ncbi_only,Eukaryota,0.0
Pelecanus,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Pelmatolapia,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Limnoperna,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Evasterias,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Gerris,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Rhodamnia,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Enoploplastron,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Trachurus,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Stropharia,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Engystomops,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Dictyocaulus,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Flavoplaca,0,0,0.0,0.0,3,2,2,0.01,0.01,66.67,,,0,0,0,ncbi_only,Eukaryota,0.0
Rhinatrema,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Lota,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Primolius,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Delphinus,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Alburnus,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Lottia,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Ephebe,0,0,0.0,0.0,3,2,2,0.01,0.01,66.67,,,0,0,0,ncbi_only,Eukaryota,0.0
Alca,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Dolichomitus,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Phengaris,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Entoloma,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Dendropsophus,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Panorpa,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Phenoliferia,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Rhinichthys,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Phaeophyscia,0,0,0.0,0.0,3,3,0,0.01,0.01,0.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Paradisaea,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Dipylidium,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Toxocara,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Lineus,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Rhinophrynus,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Gentiana,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Polypterus,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Aegotheles,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Genidens,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Presbytis,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Somateria,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Pelodytes,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Gila,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Anabas,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Rhincodon,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Linderina,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Paraconiothyrium,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Echeneis,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Amorphophallus,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Amorphotheca,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Sigmodon,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Stomoxys,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Epargyreus,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Limonius,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Alexandromys,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Anaeramoeba,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Gillenia,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Sminthurides,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Pogona,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Alces,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Peltospira,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Phataginus,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Amoeboaphelidium,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Sonneratia,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Rhynchonycteris,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Podargus,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Geophilus,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Phaeotremella,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Eos,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Cynara,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Codatractus,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Tineola,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Poteriospumella,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Phaethon,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Paraglomus,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Phascolosorex,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Ammodytes,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Saccoglossus,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hypanus,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Saccostrea,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Channallabes,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Chanodichthys,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hyperoodon,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hyperoplus,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Cochlearia,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Sphaeroforma,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hydrolagus,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Dermochelys,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Amphilophus,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Desmodesmus,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Desmodus,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Podiceps,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Diretmus,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Embiotoca,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Chamaerops,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Chamaetylas,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Champsocephalus,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Coelastrella,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Sprattus,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Charadrius,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Eriolobus,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nanomia,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Cloeon,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hymenolepis,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Kogia,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Saxifraga,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Cocos,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Koerneria,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Saxicola,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nannoperca,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Micropterix,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Iberochondrostoma,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Brosme,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Ustulina,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Cnephaeus,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Coccinella,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Phyllopteryx,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Psoroptes,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hypocenomyce,0,0,0.0,0.0,3,1,0,0.01,0.0,0.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Coelopa,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Microctenopoma,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Kokia,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Baorangia,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Barbarea,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Barbatula,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Sacculina,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hypothenemus,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Saturnia,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Battus,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Baudoinia,0,0,0.0,0.0,3,1,1,0.01,0.0,33.33,,,0,0,0,ncbi_only,Eukaryota,0.0
Hypsibius,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Schmidingerella,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Axinella,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Schizaphis,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Metridium,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Sporobolus,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Sphaerophoria,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nasturtium,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hypomesus,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hypomyces,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Saururus,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Vanellus,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Coix,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neophocaena,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Bugula,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Chanos,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
