family,census_otu_count,census_size_count,otu_percentage,size_percentage,eukprot_species_count,coverage_percentage,novelty_factor,overrepresentation_factor,direct_matches,lineage_matches,total_matches,match_status
Ustilaginomycetes,69,166,0.1,0.04,1,1.45,69.0,0.014,0,1,1,matched
Nebulidae,1,3,0.0,0.0,1,100.0,1.0,1.0,0,1,1,matched
Dothideomycetes,874,4225,1.23,1.05,0,0.0,inf,0.0,0,0,0,census_only
ARMOP1,6,9,0.01,0.0,0,0.0,inf,0.0,0,0,0,census_only
Balamuthiidae,8,12,0.01,0.0,0,0.0,inf,0.0,0,0,0,census_only
LKM74-lineage,8,10,0.01,0.0,0,0.0,inf,0.0,0,0,0,census_only
Ventrifissuridae,9,9,0.01,0.0,0,0.0,inf,0.0,0,0,0,census_only
Evaginogenida,9,17,0.01,0.0,0,0.0,inf,0.0,0,0,0,census_only
Reophacidae,10,34,0.01,0.01,0,0.0,inf,0.0,0,0,0,census_only
Vampyrellidae,10,18,0.01,0.0,0,0.0,inf,0.0,0,0,0,census_only
Nucleariidae_Nuclearia_2,11,30,0.02,0.01,0,0.0,inf,0.0,0,0,0,census_only
Prolecithophora,12,25,0.02,0.01,0,0.0,inf,0.0,0,0,0,census_only
Chytridiomycetaceae,12,82,0.02,0.02,0,0.0,inf,0.0,0,0,0,census_only
OLIGO2,13,158,0.02,0.04,0,0.0,inf,0.0,0,0,0,census_only
Ostreoida,13,29,0.02,0.01,0,0.0,inf,0.0,0,0,0,census_only
Allobodonidae,14,30,0.02,0.01,0,0.0,inf,0.0,0,0,0,census_only
MAST-12,15,27,0.02,0.01,0,0.0,inf,0.0,0,0,0,census_only
Amphitraemidae,16,60,0.02,0.01,0,0.0,inf,0.0,0,0,0,census_only
Dino-Group-II-Clade-21,17,78,0.02,0.02,0,0.0,inf,0.0,0,0,0,census_only
Diplophrydaceae,17,26,0.02,0.01,0,0.0,inf,0.0,0,0,0,census_only
Colpodellida_CHR1,18,70,0.03,0.02,0,0.0,inf,0.0,0,0,0,census_only
Lagynidae,18,66,0.03,0.02,0,0.0,inf,0.0,0,0,0,census_only
Dino-Group-II-Clade-14,19,51,0.03,0.01,0,0.0,inf,0.0,0,0,0,census_only
Xcellidae,19,22,0.03,0.01,0,0.0,inf,0.0,0,0,0,census_only
Ophryoglenida,19,444,0.03,0.11,0,0.0,inf,0.0,0,0,0,census_only
Thaumatomonadidae,8,9,0.01,0.0,0,0.0,inf,0.0,0,0,0,census_only
Leptomyxidae,5,6,0.01,0.0,0,0.0,inf,0.0,0,0,0,census_only
Sandonidae,645,3733,0.91,0.93,0,0.0,inf,0.0,0,0,0,census_only
Choanocystidae,5,6,0.01,0.0,0,0.0,inf,0.0,0,0,0,census_only
Massiteriidae,1,2,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
Haliphthorales,1,2,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
Corallicolidae,2,2,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
Cryothecomonas-lineage,2,3,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
Sphaerozoidae,2,3,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
NC12B-lineage,3,11,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
MAST-3,3,7,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
Lipomycetaceae,3,6,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
Hartmannulidae,3,6,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
Rhizophydiaceae,3,45,0.0,0.01,0,0.0,inf,0.0,0,0,0,census_only
Adeleidae,3,3,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
Nibbleridae,3,11,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
Paracercomonadidae,4,4,0.01,0.0,0,0.0,inf,0.0,0,0,0,census_only
Rhynchomonadidae,4,14,0.01,0.0,0,0.0,inf,0.0,0,0,0,census_only
Mataza-lineage,4,5,0.01,0.0,0,0.0,inf,0.0,0,0,0,census_only
Allapsidae,4,6,0.01,0.0,0,0.0,inf,0.0,0,0,0,census_only
Limnofilidae,4,6,0.01,0.0,0,0.0,inf,0.0,0,0,0,census_only
CCW10-lineage,4,6,0.01,0.0,0,0.0,inf,0.0,0,0,0,census_only
Novel-Clade-4,5,6,0.01,0.0,0,0.0,inf,0.0,0,0,0,census_only
Nucleohelea,5,14,0.01,0.0,0,0.0,inf,0.0,0,0,0,census_only
Dacrymycetes,5,5,0.01,0.0,0,0.0,inf,0.0,0,0,0,census_only
Stylocephalidae,20,39,0.03,0.01,0,0.0,inf,0.0,0,0,0,census_only
Rhabdocoela,21,58,0.03,0.01,0,0.0,inf,0.0,0,0,0,census_only
NC12A-lineage,22,45,0.03,0.01,0,0.0,inf,0.0,0,0,0,census_only
Distigmidae,24,188,0.03,0.05,0,0.0,inf,0.0,0,0,0,census_only
Dino-Group-II-Clade-1,80,328,0.11,0.08,0,0.0,inf,0.0,0,0,0,census_only
Endostelium-lineage,82,179,0.12,0.04,0,0.0,inf,0.0,0,0,0,census_only
Dino-Group-II-Clade-3,92,284,0.13,0.07,0,0.0,inf,0.0,0,0,0,census_only
Dino-Group-I-Clade-1,116,2072,0.16,0.52,0,0.0,inf,0.0,0,0,0,census_only
Rhogostoma-lineage,134,853,0.19,0.21,0,0.0,inf,0.0,0,0,0,census_only
Nolandellidae,142,405,0.2,0.1,0,0.0,inf,0.0,0,0,0,census_only
Salpingoecidae_Group_C1,148,357,0.21,0.09,0,0.0,inf,0.0,0,0,0,census_only
Actinocephalidae,172,567,0.24,0.14,0,0.0,inf,0.0,0,0,0,census_only
WIM80-lineage,173,656,0.24,0.16,0,0.0,inf,0.0,0,0,0,census_only
Sessilida,174,1759,0.25,0.44,0,0.0,inf,0.0,0,0,0,census_only
Dino-Group-I-Clade-4,182,1189,0.26,0.3,0,0.0,inf,0.0,0,0,0,census_only
Dino-Group-I-Clade-5,196,1050,0.28,0.26,0,0.0,inf,0.0,0,0,0,census_only
Acantharea_3a,208,1225,0.29,0.31,0,0.0,inf,0.0,0,0,0,census_only
Lecanoromycetes,220,1048,0.31,0.26,0,0.0,inf,0.0,0,0,0,census_only
Dileptidae,253,2935,0.36,0.73,0,0.0,inf,0.0,0,0,0,census_only
Dino-Group-II-Clade-6,286,4127,0.4,1.03,0,0.0,inf,0.0,0,0,0,census_only
Maxillopoda,290,3923,0.41,0.98,0,0.0,inf,0.0,0,0,0,census_only
Exobasidiomycetes,306,11775,0.43,2.93,0,0.0,inf,0.0,0,0,0,census_only
Leotiomycetes,374,2629,0.53,0.66,0,0.0,inf,0.0,0,0,0,census_only
Dino-Group-II-Clade-10-and-11,415,1595,0.59,0.4,0,0.0,inf,0.0,0,0,0,census_only
Dino-Group-II-Clade-7,547,1828,0.77,0.46,0,0.0,inf,0.0,0,0,0,census_only
AND16-lineage,75,194,0.11,0.05,0,0.0,inf,0.0,0,0,0,census_only
Blastocystis-Group,72,618,0.1,0.15,0,0.0,inf,0.0,0,0,0,census_only
Phryganellina,62,148,0.09,0.04,0,0.0,inf,0.0,0,0,0,census_only
Collophidiidae,42,87,0.06,0.02,0,0.0,inf,0.0,0,0,0,census_only
Dysteriidae,25,115,0.04,0.03,0,0.0,inf,0.0,0,0,0,census_only
Tholoniidae,26,77,0.04,0.02,0,0.0,inf,0.0,0,0,0,census_only
Paradinidae,27,43,0.04,0.01,0,0.0,inf,0.0,0,0,0,census_only
Tokophryidae,33,176,0.05,0.04,0,0.0,inf,0.0,0,0,0,census_only
Merostomata,36,122,0.05,0.03,0,0.0,inf,0.0,0,0,0,census_only
Acinetidae_2,37,104,0.05,0.03,0,0.0,inf,0.0,0,0,0,census_only
Urotrichidae,38,128,0.05,0.03,0,0.0,inf,0.0,0,0,0,census_only
Pseudocolliniidae,40,96,0.06,0.02,0,0.0,inf,0.0,0,0,0,census_only
Novel-Gran-6,42,142,0.06,0.04,0,0.0,inf,0.0,0,0,0,census_only
Neobodonidae,43,74,0.06,0.02,0,0.0,inf,0.0,0,0,0,census_only
Flamella-lineage,62,262,0.09,0.07,0,0.0,inf,0.0,0,0,0,census_only
Caenogastropoda,45,225,0.06,0.06,0,0.0,inf,0.0,0,0,0,census_only
Mb5C-lineage,46,111,0.06,0.03,0,0.0,inf,0.0,0,0,0,census_only
Vermamoebidae,46,155,0.06,0.04,0,0.0,inf,0.0,0,0,0,census_only
Protaspa-lineage,48,92,0.07,0.02,0,0.0,inf,0.0,0,0,0,census_only
NPK2-lineage,48,137,0.07,0.03,0,0.0,inf,0.0,0,0,0,census_only
Mariager-Fjord-lineage,50,198,0.07,0.05,0,0.0,inf,0.0,0,0,0,census_only
Sey055-lineage,50,123,0.07,0.03,0,0.0,inf,0.0,0,0,0,census_only
Bicoecaceae,57,469,0.08,0.12,0,0.0,inf,0.0,0,0,0,census_only
LOS7N/I-lineage,60,299,0.08,0.07,0,0.0,inf,0.0,0,0,0,census_only
Skeletonemaceae,1,1,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
