genus,census_otu_count,census_size_count,otu_percentage,size_percentage,eukprot_species_count,coverage_percentage,novelty_factor,overrepresentation_factor,direct_matches,lineage_matches,total_matches,match_status
Schistosoma,190,955,0.27,0.24,1,0.53,190.0,0.005,0,1,1,matched
Neovahlkampfia,211,780,0.3,0.19,1,0.47,211.0,0.005,0,1,1,matched
Drosophila,217,1383,0.31,0.34,1,0.46,217.0,0.005,0,1,1,matched
Rhizophagus,236,4813,0.33,1.2,1,0.42,236.0,0.004,0,1,1,matched
Apis,236,762,0.33,0.19,1,0.42,236.0,0.004,0,1,1,matched
Malassezia,298,11722,0.42,2.92,1,0.34,298.0,0.003,0,1,1,matched
Zea,372,6252,0.52,1.56,1,0.27,372.0,0.003,0,1,1,matched
Culex,62,345,0.09,0.09,1,1.61,62.0,0.016,0,1,1,matched
Rattus,58,114,0.08,0.03,1,1.72,58.0,0.017,0,1,1,matched
Caenorhabditis,57,495,0.08,0.12,1,1.75,57.0,0.018,0,1,1,matched
Candida,29,319,0.04,0.08,1,3.45,29.0,0.034,0,1,1,matched
Populus,16,126,0.02,0.03,1,6.25,16.0,0.062,0,1,1,matched
Taphrina,17,80,0.02,0.02,1,5.88,17.0,0.059,0,1,1,matched
Cafeteria,18,75,0.03,0.02,1,5.56,18.0,0.056,0,1,1,matched
Stylonychia,800,7715,1.13,1.92,1,0.12,800.0,0.001,0,1,1,matched
Coccomyxa,20,87,0.03,0.02,1,5.0,20.0,0.05,0,1,1,matched
Hemimastix,20,81,0.03,0.02,1,5.0,20.0,0.05,0,1,1,matched
Eurytemora,21,89,0.03,0.02,1,4.76,21.0,0.048,0,1,1,matched
Auxenochlorella,23,524,0.03,0.13,1,4.35,23.0,0.043,0,1,1,matched
Gromia,33,56,0.05,0.01,1,3.03,33.0,0.03,0,1,1,matched
Ulva,55,176,0.08,0.04,1,1.82,55.0,0.018,0,1,1,matched
Mastigella,34,67,0.05,0.02,1,2.94,34.0,0.029,0,1,1,matched
Filoreta,34,52,0.05,0.01,1,2.94,34.0,0.029,0,1,1,matched
Aureococcus,36,182,0.05,0.05,1,2.78,36.0,0.028,0,1,1,matched
Nannochloropsis,39,315,0.06,0.08,1,2.56,39.0,0.026,0,1,1,matched
Neobodo,43,74,0.06,0.02,1,2.33,43.0,0.023,0,1,1,matched
Acyrthosiphon,49,436,0.07,0.11,1,2.04,49.0,0.02,0,1,1,matched
Picomonas,51,366,0.07,0.09,1,1.96,51.0,0.02,0,1,1,matched
Spizellomyces,52,167,0.07,0.04,1,1.92,52.0,0.019,0,1,1,matched
Sorghum,1,2,0.0,0.0,1,100.0,1.0,1.0,0,1,1,matched
Flectomonas,639,3724,0.9,0.93,0,0.0,inf,0.0,0,0,0,census_only
Sandona,6,9,0.01,0.0,0,0.0,inf,0.0,0,0,0,census_only
Aculops,5,7,0.01,0.0,0,0.0,inf,0.0,0,0,0,census_only
Ripidomyxa,5,6,0.01,0.0,0,0.0,inf,0.0,0,0,0,census_only
Metridia,5,70,0.01,0.02,0,0.0,inf,0.0,0,0,0,census_only
Centropages,5,13,0.01,0.0,0,0.0,inf,0.0,0,0,0,census_only
Guepiniopsis,5,5,0.01,0.0,0,0.0,inf,0.0,0,0,0,census_only
Actinosphaerium,5,14,0.01,0.0,0,0.0,inf,0.0,0,0,0,census_only
Penthaleus,5,143,0.01,0.04,0,0.0,inf,0.0,0,0,0,census_only
Philaenus,5,7,0.01,0.0,0,0.0,inf,0.0,0,0,0,census_only
Hyplorynchus,5,10,0.01,0.0,0,0.0,inf,0.0,0,0,0,census_only
Polychytrium,5,6,0.01,0.0,0,0.0,inf,0.0,0,0,0,census_only
Bosmina,4,43,0.01,0.01,0,0.0,inf,0.0,0,0,0,census_only
Plasmodium4,4,6,0.01,0.0,0,0.0,inf,0.0,0,0,0,census_only
Anomalocera,4,55,0.01,0.01,0,0.0,inf,0.0,0,0,0,census_only
Ditylenchus,4,4,0.01,0.0,0,0.0,inf,0.0,0,0,0,census_only
Diaphanosoma,4,5,0.01,0.0,0,0.0,inf,0.0,0,0,0,census_only
Protaspa,4,4,0.01,0.0,0,0.0,inf,0.0,0,0,0,census_only
Venturia,4,4,0.01,0.0,0,0.0,inf,0.0,0,0,0,census_only
Rhynchomonas,4,14,0.01,0.0,0,0.0,inf,0.0,0,0,0,census_only
Cyclops,4,5,0.01,0.0,0,0.0,inf,0.0,0,0,0,census_only
Cryptodifflugia,6,11,0.01,0.0,0,0.0,inf,0.0,0,0,0,census_only
Ascomorpha,6,7,0.01,0.0,0,0.0,inf,0.0,0,0,0,census_only
Trachelomonas,470,1572,0.66,0.39,0,0.0,inf,0.0,0,0,0,census_only
Podospora,6,12,0.01,0.0,0,0.0,inf,0.0,0,0,0,census_only
Mrakia,11,95,0.02,0.02,0,0.0,inf,0.0,0,0,0,census_only
Plasmodium2,10,35,0.01,0.01,0,0.0,inf,0.0,0,0,0,census_only
Colletotrichum,10,15,0.01,0.0,0,0.0,inf,0.0,0,0,0,census_only
Psora,10,24,0.01,0.01,0,0.0,inf,0.0,0,0,0,census_only
Vampyrella,10,18,0.01,0.0,0,0.0,inf,0.0,0,0,0,census_only
Reophax,10,34,0.01,0.01,0,0.0,inf,0.0,0,0,0,census_only
Chloroparva,10,17,0.01,0.0,0,0.0,inf,0.0,0,0,0,census_only
Coelomomyces,10,29,0.01,0.01,0,0.0,inf,0.0,0,0,0,census_only
Plectonchus,9,71,0.01,0.02,0,0.0,inf,0.0,0,0,0,census_only
Ventrifissura,9,9,0.01,0.0,0,0.0,inf,0.0,0,0,0,census_only
Astrorhiza,9,9,0.01,0.0,0,0.0,inf,0.0,0,0,0,census_only
Clavicaudoides,8,142,0.01,0.04,0,0.0,inf,0.0,0,0,0,census_only
Balamuthia,8,12,0.01,0.0,0,0.0,inf,0.0,0,0,0,census_only
Tilletiopsis,8,53,0.01,0.01,0,0.0,inf,0.0,0,0,0,census_only
Prodesmodora,8,10,0.01,0.0,0,0.0,inf,0.0,0,0,0,census_only
Thaumatomonas,8,9,0.01,0.0,0,0.0,inf,0.0,0,0,0,census_only
Pseudovorticella,6,76,0.01,0.02,0,0.0,inf,0.0,0,0,0,census_only
Mortierella,6,6,0.01,0.0,0,0.0,inf,0.0,0,0,0,census_only
epibiont,6,29,0.01,0.01,0,0.0,inf,0.0,0,0,0,census_only
Parhypochthonius,4,6,0.01,0.0,0,0.0,inf,0.0,0,0,0,census_only
Spermatozopsis,3,12,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
Adelina,3,3,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
Tectonidula,3,5,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
Phryganella,2,2,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
Sphaerozoum,2,3,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
Cryptosporidium4,2,2,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
Cryothecomonas,2,3,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
Farlowiella,2,4,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
Ankistrodesmus,1,2,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
Nebulomonas,1,3,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
Campanella,1,3,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
Hyphodiscus,1,1,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
Massisteria,1,2,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
Ubysseya,1,2,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
Massaria,1,4,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
Tuckermannopsis,1,5,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
Simocephalus,1,2,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
Surapoda,1,2,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
Group-Te,1,2,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
Halodaphnea,1,2,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
Leptodora,1,7,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
Cladophialophora,1,6,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
Corallicolla,2,2,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
Coniophora,2,3,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
Alphamonadea_ALPH1,2,10,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
Lecidea,3,9,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
Ceratium,3,65,0.0,0.02,0,0.0,inf,0.0,0,0,0,census_only
Babesia6,3,68,0.0,0.02,0,0.0,inf,0.0,0,0,0,census_only
Allantion,3,4,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
Cryptosporidium15,3,3,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
MAST-3E,3,7,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
Loimia,3,6,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
Lipomyces,3,6,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
Leidyana1,3,29,0.0,0.01,0,0.0,inf,0.0,0,0,0,census_only
Protacanthamoeba,3,3,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
Mattesia,2,3,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
Neofabraea,3,6,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
Culiseta,3,6,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
Cryptosporidium13,3,4,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
Nibbleromonas,2,9,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
Panellus,2,3,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
Paramicrosporidium,2,8,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
Alaimus,2,2,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
Mayetiola,2,11,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
Tobrilus,11,65,0.02,0.02,0,0.0,inf,0.0,0,0,0,census_only
Chydorus,12,27,0.02,0.01,0,0.0,inf,0.0,0,0,0,census_only
Plagiostomum,12,25,0.02,0.01,0,0.0,inf,0.0,0,0,0,census_only
Anthoptilum,35,169,0.05,0.04,0,0.0,inf,0.0,0,0,0,census_only
Scytomonas,66,151,0.09,0.04,0,0.0,inf,0.0,0,0,0,census_only
Isaria,64,489,0.09,0.12,0,0.0,inf,0.0,0,0,0,census_only
Smittium,60,247,0.08,0.06,0,0.0,inf,0.0,0,0,0,census_only
Chlorociboria,56,565,0.08,0.14,0,0.0,inf,0.0,0,0,0,census_only
Corynespora,55,265,0.08,0.07,0,0.0,inf,0.0,0,0,0,census_only
Cryptosporidium1,50,922,0.07,0.23,0,0.0,inf,0.0,0,0,0,census_only
Cavernomonas,50,92,0.07,0.02,0,0.0,inf,0.0,0,0,0,census_only
Exophiala,48,94,0.07,0.02,0,0.0,inf,0.0,0,0,0,census_only
Trimitus,47,88,0.07,0.02,0,0.0,inf,0.0,0,0,0,census_only
Hartmannella,46,155,0.06,0.04,0,0.0,inf,0.0,0,0,0,census_only
Pycnora,46,237,0.06,0.06,0,0.0,inf,0.0,0,0,0,census_only
Conus,45,225,0.06,0.06,0,0.0,inf,0.0,0,0,0,census_only
Plasmodium1,44,404,0.06,0.1,0,0.0,inf,0.0,0,0,0,census_only
Collophidium,42,87,0.06,0.02,0,0.0,inf,0.0,0,0,0,census_only
Trichosporon,42,252,0.06,0.06,0,0.0,inf,0.0,0,0,0,census_only
Hyaloscypha,40,131,0.06,0.03,0,0.0,inf,0.0,0,0,0,census_only
Fusiforma,40,96,0.06,0.02,0,0.0,inf,0.0,0,0,0,census_only
Urotricha,38,128,0.05,0.03,0,0.0,inf,0.0,0,0,0,census_only
Acineta_1,37,104,0.05,0.03,0,0.0,inf,0.0,0,0,0,census_only
Eimeria1,68,535,0.1,0.13,0,0.0,inf,0.0,0,0,0,census_only
Neocercomonas,69,116,0.1,0.03,0,0.0,inf,0.0,0,0,0,census_only
Ustanciosporium,69,166,0.1,0.04,0,0.0,inf,0.0,0,0,0,census_only
Vorticella,132,1571,0.19,0.39,0,0.0,inf,0.0,0,0,0,census_only
Gibberella,466,4262,0.66,1.06,0,0.0,inf,0.0,0,0,0,census_only
Pentapharsodinium,466,2001,0.66,0.5,0,0.0,inf,0.0,0,0,0,census_only
Saccamoeba,279,1566,0.39,0.39,0,0.0,inf,0.0,0,0,0,census_only
Heterodera,228,2028,0.32,0.51,0,0.0,inf,0.0,0,0,0,census_only
Lecanicillium,225,1334,0.32,0.33,0,0.0,inf,0.0,0,0,0,census_only
Phaeosphaeria,172,1177,0.24,0.29,0,0.0,inf,0.0,0,0,0,census_only
Rehmannia,160,265,0.23,0.07,0,0.0,inf,0.0,0,0,0,census_only
Bullinularia,151,397,0.21,0.1,0,0.0,inf,0.0,0,0,0,census_only
Monocystis,131,467,0.18,0.12,0,0.0,inf,0.0,0,0,0,census_only
Russula,71,776,0.1,0.19,0,0.0,inf,0.0,0,0,0,census_only
Theileria1,101,1221,0.14,0.3,0,0.0,inf,0.0,0,0,0,census_only
Penicillium,100,2067,0.14,0.52,0,0.0,inf,0.0,0,0,0,census_only
Chaetonotus,98,611,0.14,0.15,0,0.0,inf,0.0,0,0,0,census_only
Bellemerea,90,667,0.13,0.17,0,0.0,inf,0.0,0,0,0,census_only
Allogromiina,83,222,0.12,0.06,0,0.0,inf,0.0,0,0,0,census_only
Cyclotrichium,79,227,0.11,0.06,0,0.0,inf,0.0,0,0,0,census_only
Sarcocystis10,76,608,0.11,0.15,0,0.0,inf,0.0,0,0,0,census_only
Leidyana2,73,258,0.1,0.06,0,0.0,inf,0.0,0,0,0,census_only
Limulus,36,122,0.05,0.03,0,0.0,inf,0.0,0,0,0,census_only
Chaos,35,66,0.05,0.02,0,0.0,inf,0.0,0,0,0,census_only
Micronuclearia,12,28,0.02,0.01,0,0.0,inf,0.0,0,0,0,census_only
Korotnevella,34,50,0.05,0.01,0,0.0,inf,0.0,0,0,0,census_only
Articulospora,19,62,0.03,0.02,0,0.0,inf,0.0,0,0,0,census_only
Nemogullmia,18,66,0.03,0.02,0,0.0,inf,0.0,0,0,0,census_only
Diplophrys,17,26,0.02,0.01,0,0.0,inf,0.0,0,0,0,census_only
Zymoseptoria,16,52,0.02,0.01,0,0.0,inf,0.0,0,0,0,census_only
Encentrum,16,25,0.02,0.01,0,0.0,inf,0.0,0,0,0,census_only
Oribatida,16,24,0.02,0.01,0,0.0,inf,0.0,0,0,0,census_only
Sabatieria,16,95,0.02,0.02,0,0.0,inf,0.0,0,0,0,census_only
Amphitrema,16,60,0.02,0.01,0,0.0,inf,0.0,0,0,0,census_only
Paracalanus,15,324,0.02,0.08,0,0.0,inf,0.0,0,0,0,census_only
Phialophora,15,31,0.02,0.01,0,0.0,inf,0.0,0,0,0,census_only
MAST-12C,15,27,0.02,0.01,0,0.0,inf,0.0,0,0,0,census_only
Eudiaptomus,14,901,0.02,0.22,0,0.0,inf,0.0,0,0,0,census_only
Allobodo,14,30,0.02,0.01,0,0.0,inf,0.0,0,0,0,census_only
Polychaos,14,43,0.02,0.01,0,0.0,inf,0.0,0,0,0,census_only
Leohumicola,13,81,0.02,0.02,0,0.0,inf,0.0,0,0,0,census_only
Chrysaora,13,32,0.02,0.01,0,0.0,inf,0.0,0,0,0,census_only
Crassostrea,13,29,0.02,0.01,0,0.0,inf,0.0,0,0,0,census_only
Aphelidium,12,17,0.02,0.0,0,0.0,inf,0.0,0,0,0,census_only
Tetrachaetum,12,36,0.02,0.01,0,0.0,inf,0.0,0,0,0,census_only
Gadixcellia,19,22,0.03,0.01,0,0.0,inf,0.0,0,0,0,census_only
Diptilomiopus,19,31,0.03,0.01,0,0.0,inf,0.0,0,0,0,census_only
Schizoplasmodium,20,36,0.03,0.01,0,0.0,inf,0.0,0,0,0,census_only
Gregarina3,27,218,0.04,0.05,0,0.0,inf,0.0,0,0,0,census_only
Tokophrya,33,176,0.05,0.04,0,0.0,inf,0.0,0,0,0,census_only
Hexamita,32,113,0.05,0.03,0,0.0,inf,0.0,0,0,0,census_only
Spinibdella,31,179,0.04,0.04,0,0.0,inf,0.0,0,0,0,census_only
Physochila,30,151,0.04,0.04,0,0.0,inf,0.0,0,0,0,census_only
Ptolemeba,29,78,0.04,0.02,0,0.0,inf,0.0,0,0,0,census_only
Teratosphaeria,29,32,0.04,0.01,0,0.0,inf,0.0,0,0,0,census_only
Physcomitrella,28,50,0.04,0.01,0,0.0,inf,0.0,0,0,0,census_only
Paradinium,27,43,0.04,0.01,0,0.0,inf,0.0,0,0,0,census_only
Gyropaigne,26,100,0.04,0.02,0,0.0,inf,0.0,0,0,0,census_only
Ceratiomyxella,20,54,0.03,0.01,0,0.0,inf,0.0,0,0,0,census_only
Tholomura,26,77,0.04,0.02,0,0.0,inf,0.0,0,0,0,census_only
Trichocladium,25,579,0.04,0.14,0,0.0,inf,0.0,0,0,0,census_only
Trochilia,25,115,0.04,0.03,0,0.0,inf,0.0,0,0,0,census_only
Spadicoides,24,103,0.03,0.03,0,0.0,inf,0.0,0,0,0,census_only
Distigma,24,188,0.03,0.05,0,0.0,inf,0.0,0,0,0,census_only
Unclassified_Provorticidae,21,58,0.03,0.01,0,0.0,inf,0.0,0,0,0,census_only
Cercomonas,20,57,0.03,0.01,0,0.0,inf,0.0,0,0,0,census_only
Xiphocephalus,20,39,0.03,0.01,0,0.0,inf,0.0,0,0,0,census_only
Heterolepidoderma,1,1,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
